Genome	fox29_D_9	fox1_K_18	fox8_K_22	fox16_F_35	fox30_M_16	fox5_K_11	fox10_F_39	fox10_M_40	fox14_D_1	fox8_F_23	fox14_M_4	fox5_M_9	fox24_K_6	fox29_F_11	fox10_K_38	fox30_F_15	Control2	fox22_F_31	fox24_M_8	fox16_K_34	fox8_M_24	fox26_D_41	fox14_K_2	fox24_D_5	fox16_D_33	fox22_D_29	fox1_D_17	fox26_M_44	fox5_D_10	fox30_K_14	fox30_D_13	fox26_F_43	fox26_K_42	fox1_M_20	fox3_F_27	fox3_D_25	fox10_D_37	fox22_K_30	fox29_M_12	fox29_K_10	fox24_F_7	fox8_D_21	fox14_F_3	fox5_F_12	Control1	fox16_M_36	fox3_M_28	fox22_M_32
F_bin_250894	386838	734629	12016	2788800	335433	1301	4318162	1472533	440771	1667552	3622	5742	53106	2682527	707453	2089224	694	4401282	26461	68614	155420	1863823	1515	4310987	1088751	4399805	3797498	517850	192669	2500	2703881	2532889	1121983	15800	861386	14231	4318074	51780	25753	10356	4309671	2918411	1485203	1414149	0	2409	8753	4291777
K_bin_25	4090	759442	722576	127338	213679	4736	762881	394111	7500	306882	0	225	75403	23416	704863	709194	0	761000	1254	6849	96067	743392	6679	732788	349607	764738	761028	278517	19955	737932	743115	734524	726468	12214	2274	0	766272	674578	105	6121	159378	720820	4797	15426	0	300	0	539405
F_bin_146338	150	14405	2565	9134	420014	0	826074	106237	150	731073	421	478	0	1785	300	1353197	0	796973	0	0	41972	300	0	470	0	1121	492275	1309	0	0	301	3005	0	4135	280796	0	318990	0	0	0	1259	386952	378610	129237	0	367	1617	95980
F_bin_398	925	3691	632	2195	937798	0	1695729	652943	1886	16967	150	121	0	2112	5506	1703884	0	1661830	0	0	2591	982	0	916	354	1956	123775	344859	1239	300	1317	1588384	4714	793	1489517	302	1467887	271	0	0	1665	11252	3364	2407	0	194	35901	954228
F_bin_213245	0	1844	450	28409	2143564	0	3486836	1227217	0	22814	135	63278	0	25361	5709	3488861	0	3487574	924	0	9796	499	141	562	0	12289	16908	14069	300	0	705	23679	150	693	39158	0	2552734	0	600	271	233196	20471	23691	3487248	0	520	1682	2611129
F_bin_268207	0	15557	9709	226411	701072	0	2659586	1172999	0	2158717	1879	1899	0	49024	12230	2486845	0	1680853	5992	0	270551	66	0	331	62	414	309692	550968	150	0	108	2145008	7353	6069	1401998	0	2527272	0	1077	0	756098	1885255	90982	92992	0	2024	22405	203128
M_bin_34858	77	238575	91702	2493652	2491910	0	2506710	2332383	2279	2498282	265480	264396	1196	2496936	72396	2512386	0	2466165	72963	150	1413811	10120	364	3554	228	3323	2446811	2423946	3283	419	2158	2517586	58766	86712	2410618	288	2481992	568	282089	358	2419931	2494858	2406226	2437902	0	154056	202895	1083929
D_bin_75949	244	407838	48935	2092254	2466111	209	2772827	1897292	2635	2688077	128457	67816	2009	1275069	24861	2595509	0	2717263	72451	253	1040355	6105	0	5782	300	54311	2801184	2474332	1271	0	3016	2765310	41762	180462	2539857	331	2701985	1575	23679	172	2528227	2639053	2681581	2678230	0	8953	353190	2672682
F_bin_297164	0	21862	46790	2253584	127925	0	2539183	2185338	3095	2493842	53273	30910	668	1779714	28054	998946	0	2488905	19143	496	1293919	2299	0	2268	0	1691	607145	1985154	2872	300	1314	2518317	16313	8222	2491753	0	2535427	567	30426	0	1546194	2484912	2503544	2502054	0	7383	229711	1915034
D_bin_78969	0	88621	62908	2446009	2316101	0	2505744	2044365	1191	2506381	45414	46811	458	677921	22376	2497557	0	2473369	12863	237	1552127	1741	248	917	169	23678	1869705	1239316	1789	95	1167	2418989	10486	45287	2485980	0	2494419	1519	12567	0	964907	2502925	2412667	2494258	0	31379	290171	2314027
