Genome	fox29_D_9	fox1_K_18	fox8_K_22	fox16_F_35	fox30_M_16	fox5_K_11	fox10_F_39	fox10_M_40	fox14_D_1	fox8_F_23	fox14_M_4	fox5_M_9	fox24_K_6	fox29_F_11	fox10_K_38	fox30_F_15	Control2	fox22_F_31	fox24_M_8	fox16_K_34	fox8_M_24	fox26_D_41	fox14_K_2	fox24_D_5	fox16_D_33	fox22_D_29	fox1_D_17	fox26_M_44	fox5_D_10	fox30_K_14	fox30_D_13	fox26_F_43	fox26_K_42	fox1_M_20	fox3_F_27	fox3_D_25	fox10_D_37	fox22_K_30	fox29_M_12	fox29_K_10	fox24_F_7	fox8_D_21	fox14_F_3	fox5_F_12	Control1	fox16_M_36	fox3_M_28	fox22_M_32
F_bin_250894	47066	10324	148	76329	3689	14	319743	18460	10151	24561	40	58	573	44837	8111	30135	45	1055994	255	701	1659	28579	16	834766	17909	23469518	128343	6077	21680	20	49720	44655	13506	174	11970	5050	700220	582	260	96	432466	74248	21135	18292	0	24	95	215330
K_bin_25	480	72978	24220	2104	2689	56	82085	5679	136	4205	0	2	820	233	21421	25298	0	88212	10	74	1018	192508	82	47771	6244	2793373	157774	3798	2155	43570	201892	42834	30616	135	37	0	759179	19212	2	63	1758	30757	68	190	0	4	0	10425
F_bin_146338	15	199	22	302	5293	0	14369	1100	1	11950	4	6	0	75	2	54133	0	12603	0	0	440	2	0	11	0	86	7947	47	0	0	7	414	0	44	3850	0	4217	0	0	0	130	6660	5422	1669	0	6	19	1088
F_bin_398	263	47	9	785	14846	0	126178	8224	198	1535	3	2	0	351	45	158411	0	137580	0	0	102	50	0	206	17	13769	1851	4322	408	2	172	60513	55	8	45293	23	39988	2	0	0	435	2470	860	810	0	6	366	15856
F_bin_213245	0	30	5	3227	36836	0	413433	16467	0	4160	2	766	0	744	59	759957	0	934317	12	0	222	4	2	22	0	183	1317	507	46	0	18	3925	1	7	5571	0	58057	0	4	2	2805	3951	2737	432023	0	8	27	54753
F_bin_268207	0	220	120	14179	11463	0	365453	18170	0	69895	24	25	0	2693	132	116813	0	65578	55	0	3348	2	0	14	2	8	6427	8170	1	0	2	67323	71	70	37046	0	111734	0	17	0	10227	58942	12740	9011	0	24	290	5067
M_bin_34858	2	3357	984	1444978	204920	0	1971401	100629	68	580291	3188	3287	14	521215	774	2644668	0	314952	801	1	24699	121	4	104	6	49	252749	128206	531	6	37	1575959	636	1013	341985	103	592342	10	3062	4	129733	525474	1139623	1077618	0	1609	2488	27475
D_bin_75949	39	5861	510	147122	102793	2	582292	37637	100	257815	1448	717	24	26671	287	926895	0	2805450	794	2	14636	72	0	165	4	1444	480130	78261	126	0	68	609080	444	1970	497847	26	191105	26	263	2	119310	242973	583713	320483	0	94	4058	259308
F_bin_297164	0	305	512	132447	4410	0	897854	56062	102	410394	599	346	7	37088	309	45033	0	517432	202	4	19625	22	0	66	0	27	13973	47326	443	2	39	372298	173	94	295773	0	303311	6	319	0	27653	290483	345373	228925	0	69	2668	45415
D_bin_78969	0	1172	672	433532	78982	0	747202	46870	45	417639	498	515	5	11405	222	907374	0	910147	131	2	25972	19	2	28	2	284	51999	20574	358	2	24	135878	115	484	383436	0	270501	17	125	0	14176	387469	178684	264842	0	325	3330	89271
F_bin_1530	0	111	8	3761	12459	0	39615	2922	46	12396	34	11	0	1044	3	121416	0	166582	43	0	421	8	0	4	0	34	5970	5444	19	0	33	45255	39	21	11192	0	8525	0	4	0	6009	7413	23422	2836	0	0	115	14228
F_bin_214435	0	213	70	23229	26349	0	181321	12253	8	42249	123	21	0	16687	71	259161	0	250284	58	0	2019	2	0	14	0	92	14261	6425	0	0	2	52625	46	108	54113	0	52808	0	155	0	6933	31433	68202	7342	0	25	460	21314
F_bin_239230	0	117	68	98299	698	0	36574	2059	6	49942	8	1	0	566	9	6571	0	21431	11	0	2677	61	0	4	0	9	5180	5263	19	0	81	48396	40	60	2617	0	13011	0	4	0	1739	40083	3628	2249	0	87	38	1545
