annotation,(Intercept),host_type_2domestic,host_type_2wild,species
K00003,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00008,-6.246909640739742,-2.897860639997976,-2.9093053639301383,akkermansia_muciniphila
K00010,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00012,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00013,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00014,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00025,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00027,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00030,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00034,-8.741792628249303,0.13615341767708006,-1.1436720616009852,akkermansia_muciniphila
K00052,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00053,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00057,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00058,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00059,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00060,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00067,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00077,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00088,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00097,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00099,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00104,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00133,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00134,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
