effect,component,term,estimate,std.error,statistic,p.value,species,annotation,logOR,SE,OR,CI_low,CI_high,p_adj
fixed,cond,host_type_2wild,0.4773503978666101,0.8953492307021863,0.5331443659054059,0.5939336496258509,lactococcus_lactis,K00980,0.4773503978666101,0.8953492307021863,1.6117981157397476,0.2787237602392047,9.320673500072806,0.8521656712023078
fixed,cond,host_type_2wild,0.6303732516115841,0.9376246222601723,0.6723087647720368,0.5013871510827048,lactococcus_lactis,K01153,0.6303732516115841,0.9376246222601723,1.8783115312465715,0.29898226910010395,11.800212163192166,0.7796438946155149
fixed,cond,host_type_2wild,0.7172149068995104,0.9610698313993533,0.7462672154168224,0.4555060117536621,lactococcus_lactis,K01154,0.7172149068995104,0.9610698313993533,2.048719383347388,0.31146074665514556,13.476019552314776,0.7643236468408907
fixed,cond,host_type_2wild,-387.97461642362117,NA,NA,NA,lactococcus_lactis,K02039,-387.97461642362117,NA,3.1971644013035294e-169,NA,NA,NA
fixed,cond,host_type_2wild,-0.5826175467568261,1.3825384841934272,-0.42141144960367966,0.6734546598918064,lactococcus_lactis,K02565,-0.5826175467568261,1.3825384841934272,0.5584347228254946,0.037164808415994253,8.390984723144152,0.9137322351445482
fixed,cond,host_type_2wild,-1.2739313116880835,1.0311627574504392,-1.235431848642296,0.2166698257763026,lactococcus_lactis,K03086,-1.2739313116880835,1.0311627574504392,0.2797297524563062,0.037067662644434556,2.110970285875709,0.4695396839570331
fixed,cond,host_type_2wild,680.8578078350452,NA,NA,NA,lactococcus_lactis,K03427,680.8578078350452,NA,4929341463759754e280,NA,NA,NA
fixed,cond,host_type_2wild,-0.6094305577506673,1.2416735998102673,-0.4908138160010737,0.6235581373671477,lactococcus_lactis,K03686,-0.6094305577506673,1.2416735998102673,0.5436603641269786,0.047686315293107726,6.198142794341634,0.8818893657049661
fixed,cond,host_type_2wild,-387.97461642362117,NA,NA,NA,lactococcus_lactis,K03741,-387.97461642362117,NA,3.1971644013035294e-169,NA,NA,NA
fixed,cond,host_type_2wild,-1.0943585672294167,0.9258926816147899,-1.1819496891592407,0.23722566418550953,lactococcus_lactis,K03830,-1.0943585672294167,0.9258926816147899,0.33475426045109824,0.05452433172933992,2.0552368334642277,0.47605420448038055
fixed,cond,host_type_2wild,0.32047497644377393,0.8833520470116922,0.36279417422296645,0.7167586441165716,lactococcus_lactis,K03892,0.32047497644377393,0.8833520470116922,1.3777820229504985,0.24392486396037752,7.782246024226215,0.9175746435457836
fixed,cond,host_type_2wild,-2.7373499175158718,1.149955234586224,-2.3803969364953783,0.017293997998818103,lactococcus_lactis,K04095,-2.7373499175158718,1.149955234586224,0.064741690575632,0.006797079955707133,0.6166598783454825,0.09691164916318823
fixed,cond,host_type_2wild,680.8578078350452,NA,NA,NA,lactococcus_lactis,K06223,680.8578078350452,NA,4929341463759754e280,NA,NA,NA
fixed,cond,host_type_2wild,-41.28328080340531,NA,NA,NA,lactococcus_lactis,K06909,-41.28328080340531,NA,1.1773320104987162e-18,NA,NA,NA
