effect,component,term,estimate,std.error,statistic,p.value,species,annotation,logOR,SE,OR,CI_low,CI_high,p_adj
fixed,cond,host_type_2wild,0.8470336617747376,0.6343157138188983,1.335350273249847,0.18176173177067403,lactococcus_lactis,K01153,0.8470336617747376,0.6343157138188983,2.332716951331466,0.672855194075048,8.087280031343914,0.3593930928074538
fixed,cond,host_type_2wild,-0.7637433025104107,0.7207966997009494,-1.0595821302002066,0.28933474681087734,lactococcus_lactis,K01154,-0.7637433025104107,0.7207966997009494,0.4659190825594433,0.11343732083680604,1.9136611292621353,0.49532197264068295
fixed,cond,host_type_2wild,-1.176931468609135,0.8827764823214879,-1.3332157031574867,0.18246102754549995,lactococcus_lactis,K02864,-1.176931468609135,0.8827764823214879,0.30822308118772457,0.054629930216516194,1.7390003501804396,0.3593930928074538
fixed,cond,host_type_2wild,-0.6038765971026516,0.8654142951866356,-0.6977890248189387,0.48530914376299644,lactococcus_lactis,K02874,-0.6038765971026516,0.8654142951866356,0.546688232944101,0.10024995961199001,2.981228373520449,0.667785381817883
fixed,cond,host_type_2wild,-0.5145358736175082,0.8119085811044184,-0.6337362180820878,0.5262529842947552,lactococcus_lactis,K02876,-0.5145358736175082,0.8119085811044184,0.5977779747724988,0.12173889988127504,2.9352861531655203,0.7071524476460773
fixed,cond,host_type_2wild,141.4674809109149,NA,NA,NA,lactococcus_lactis,K02878,141.4674809109149,NA,2745025153419367e46,NA,NA,NA
fixed,cond,host_type_2wild,-0.9311408925771306,0.861499216943687,-1.0808377700916654,0.2797692840591457,lactococcus_lactis,K02881,-0.9311408925771306,0.861499216943687,0.3941038236571644,0.0728262102413862,2.132718746539034,0.48606380664821275
fixed,cond,host_type_2wild,1.0444586245757517,1.1777863711798222,0.8867980222334273,0.37518765262276677,lactococcus_lactis,K02886,1.0444586245757517,1.1777863711798222,2.8418595941766056,0.28252092426702413,28.586080744166217,0.5787648094270483
fixed,cond,host_type_2wild,-0.3196782117843819,1.0849181993240524,-0.29465651141584154,0.7682562877399998,lactococcus_lactis,K02890,-0.3196782117843819,1.0849181993240524,0.7263827408761518,0.08662923944569806,6.09069050610201,0.9263768438724227
fixed,cond,host_type_2wild,1.7403621400728722,0.9460357832986502,1.839636693238552,0.06582159353176104,lactococcus_lactis,K02895,1.7403621400728722,0.9460357832986502,5.69940703266964,0.8923757459963902,36.40085543536897,0.15999415067325323
fixed,cond,host_type_2wild,1.981245186626416,0.6501115878398029,3.0475463346372837,0.002307179537165527,lactococcus_lactis,K02904,1.981245186626416,0.6501115878398029,7.251767169095285,2.0279521169127044,25.93164140129052,0.01782090655416847
fixed,cond,host_type_2wild,-2.2438853129757312,0.648159785977516,-3.461932322122757,5.363119992172684e-4,lactococcus_lactis,K02907,-2.2438853129757312,0.648159785977516,0.10604568226169447,0.029769273932331503,0.3777615386895501,0.011995916181964928
fixed,cond,host_type_2wild,1.2555768272126036,0.641504754508418,1.9572369781962815,0.05031961313537294,lactococcus_lactis,K02931,1.2555768272126036,0.641504754508418,3.509862374667431,0.9982290783116798,12.340988813851864,0.13014997683134052
