effect,component,term,estimate,std.error,statistic,p.value,species
fixed,cond,(Intercept),-4.548972306678052,1.512254873370753,-3.0080725060178395,0.0026291040373973514,akkermansia_muciniphila
fixed,cond,host_type_2domestic,-0.6933415313191472,0.20845392041923363,-3.326114135559208,8.806585946844692e-4,akkermansia_muciniphila
fixed,cond,host_type_2wild,-0.35348048749397587,0.2066365030117741,-1.7106391288175962,0.0871477510230456,akkermansia_muciniphila
fixed,cond,completeness,0.16165891661402565,0.015023357002091748,10.76050556420362,5.287926289028595e-27,akkermansia_muciniphila
fixed,cond,(Intercept),-6.211807966353908,1.466624995522858,-4.23544395146448,2.281005956113703e-5,bacteroides_fragilis
fixed,cond,host_type_2domestic,-0.2583868891135923,0.08862123289732142,-2.9156318487801367,0.003549690864494202,bacteroides_fragilis
fixed,cond,host_type_2wild,-1.7065356167962669,0.14453630908046408,-11.806968281210432,3.5928389262073925e-32,bacteroides_fragilis
fixed,cond,completeness,0.17776444070955244,0.014719389518863948,12.076889498829733,1.399129833176741e-33,bacteroides_fragilis
fixed,cond,(Intercept),-5.39912188869502,0.48336081237412426,-11.16996196314745,5.720537215604245e-29,bacteroides_uniformis
fixed,cond,host_type_2domestic,0.21279367888742445,0.09135450997534662,2.3293177199992643,0.019842240318743088,bacteroides_uniformis
fixed,cond,host_type_2wild,-0.9703666926084134,0.06086294899884053,-15.943471497362037,3.162844500469354e-57,bacteroides_uniformis
fixed,cond,completeness,0.11549984215849379,0.004760034999938903,24.264494307284775,4.649330747433649e-130,bacteroides_uniformis
fixed,cond,(Intercept),0.010033841173600556,NA,NA,NA,citrobacter_braakii
fixed,cond,host_type_2domestic,5.88463951692757e-4,NA,NA,NA,citrobacter_braakii
fixed,cond,host_type_2wild,0.0044076886424243315,NA,NA,NA,citrobacter_braakii
fixed,cond,completeness,0.999745203269529,NA,NA,NA,citrobacter_braakii
fixed,cond,(Intercept),-10.645500177009495,0.9457583831081191,-11.256046329744773,2.1624431391485238e-29,enterococcus_faecalis
fixed,cond,host_type_2domestic,0.02491609983967147,0.060265275236308286,0.41344040563943457,0.6792839762438341,enterococcus_faecalis
fixed,cond,host_type_2wild,-0.6498463502576544,0.05831281156705995,-11.144143676048422,7.647639378255758e-29,enterococcus_faecalis
fixed,cond,completeness,0.19997109987318173,0.009019985943976187,22.169779544582145,6.7238898325700765e-109,enterococcus_faecalis
fixed,cond,(Intercept),-21.773346049238636,1.3172663213924458,-16.529190563547267,2.2616028858014496e-61,enterococcus_hirae
fixed,cond,host_type_2domestic,0.7881279772677212,0.1241653900873724,6.347404673018248,2.189775792443459e-10,enterococcus_hirae
fixed,cond,host_type_2wild,-0.8804153172285134,0.11333402470964528,-7.768323056417371,7.953200693973828e-15,enterococcus_hirae
fixed,cond,completeness,0.31125125842425205,0.013325733037217645,23.35715848088459,1.1656343916422501e-120,enterococcus_hirae
fixed,cond,(Intercept),-51.903349000567964,6.619894329289498,-7.840510198315909,4.487194860361045e-15,hafnia_paralvei
fixed,cond,host_type_2wild,-0.37407892064082304,0.17976930226235724,-2.0808831982608926,0.03744459839798525,hafnia_paralvei
fixed,cond,completeness,0.5861338819847647,0.06660307523815769,8.800402682441932,1.3632609158440878e-18,hafnia_paralvei
fixed,cond,(Intercept),-11.194577855282128,0.7725615977964957,-14.490207495701783,1.3972011445687458e-47,lactococcus_lactis
fixed,cond,host_type_2domestic,0.33315626431161344,0.17309844214379388,1.924663562453431,0.054271461811895114,lactococcus_lactis
fixed,cond,host_type_2wild,-0.42979265667451794,0.07656814753817781,-5.613204321813037,1.986138444691914e-8,lactococcus_lactis
fixed,cond,completeness,0.1880981149748792,0.007577827401580048,24.822169337831443,5.167465434454402e-136,lactococcus_lactis
fixed,cond,(Intercept),-16.56484047842383,0.44992661660693495,-36.8167604827327,9.95789259256934e-297,parabacteroides_goldsteinii
fixed,cond,host_type_2domestic,0.8133400348173708,0.06545993550506041,12.425005135461754,1.9121414781611774e-35,parabacteroides_goldsteinii
fixed,cond,host_type_2wild,-0.4763633464699082,0.06852204331626711,-6.951972291182678,3.6021416762001264e-12,parabacteroides_goldsteinii
fixed,cond,completeness,0.22570989658039123,0.00463811674360427,48.66412577726377,0,parabacteroides_goldsteinii
fixed,cond,(Intercept),-6.404980698110998,0.6144444574205354,-10.424018999210091,1.926369160086179e-25,phocaeicola_vulgatus
fixed,cond,host_type_2domestic,-0.014500798808006391,0.08690268940272002,-0.1668624861632018,0.8674782509593277,phocaeicola_vulgatus
fixed,cond,host_type_2wild,-1.6911688726724832,0.07234520824565724,-23.376377146222413,7.433174264997575e-121,phocaeicola_vulgatus
fixed,cond,completeness,0.13430989957542802,0.005977147165325464,22.470569296768296,8.055214176459251e-112,phocaeicola_vulgatus
