effect,component,term,estimate,std.error,statistic,p.value,species,annotation,logOR,SE,OR,CI_low,CI_high,p_adj
fixed,cond,host_type_2wild,-416.0446492781222,NA,NA,NA,lactococcus_lactis,VF0014,-416.0446492781222,NA,2.061126244015148e-181,NA,NA,NA
fixed,cond,host_type_2wild,-2.2010485955180736,1.5236237533012142,-1.4446142564718438,0.14856626606861703,lactococcus_lactis,VF0079,-2.2010485955180736,1.5236237533012142,0.11068703156274814,0.0055867857790656604,2.1929637971946327,0.4854877295956516
fixed,cond,host_type_2wild,88.41675079551274,NA,NA,NA,lactococcus_lactis,VF0124,88.41675079551274,NA,25055725260578494e22,NA,NA,NA
fixed,cond,host_type_2wild,-2.880114873106562,0.8073579256229467,-3.5673333743324602,3.606325535550522e-4,lactococcus_lactis,VF0225,-2.880114873106562,0.8073579256229467,0.05612831482989907,0.011533073585512489,0.2731611571092111,0.015266778100497211
fixed,cond,host_type_2wild,1.0038730273623464,0.6725986250236214,1.4925291102506948,0.1355604917381884,lactococcus_lactis,VF0311,1.0038730273623464,0.6725986250236214,2.728830222282401,0.730212071822155,10.197742093553657,0.4854877295956516
fixed,cond,host_type_2wild,-44.54636438646859,NA,NA,NA,lactococcus_lactis,VF0445,-44.54636438646859,NA,4.505673918897795e-20,NA,NA,NA
fixed,cond,host_type_2wild,-23.114352634345067,16565.63358637071,-0.0013953195640740408,0.9988866964236907,lactococcus_lactis,VF0449,-23.114352634345067,16565.63358637071,9.153015506904851e-11,0,Inf,0.9999236677991763
fixed,cond,host_type_2wild,105.64856002260944,NA,NA,NA,lactococcus_lactis,VF0472,105.64856002260944,NA,7631091111401767e30,NA,NA,NA
fixed,cond,host_type_2wild,159.5363026594028,NA,NA,NA,lactococcus_lactis,VF0650,159.5363026594028,NA,1930793856222401e54,NA,NA,NA
fixed,cond,host_type_2wild,60.844820342785916,NA,NA,NA,lactococcus_lactis,VF0688,60.844820342785916,NA,26580902795719822e10,NA,NA,NA
fixed,cond,host_type_2wild,1.6910487105468985,0.6510790189361856,2.597301804180306,0.009395932689573335,lactococcus_lactis,VF0701,1.6910487105468985,0.6510790189361856,5.425167152903107,1.5142705432923145,19.43671080925014,0.11364604300722034
fixed,cond,host_type_2wild,-0.22235910380615775,0.8430905546803649,-0.26374284775430706,0.7919780763932103,lactococcus_lactis,VF0739,-0.22235910380615775,0.8430905546803649,0.8006278042139735,0.1533830961086613,4.179110326645,0.9999236677991763
fixed,cond,host_type_2wild,-0.47014854017228547,0.8469585580734271,-0.5551021778937216,0.5788247732009041,lactococcus_lactis,VF0783,-0.47014854017228547,0.8469585580734271,0.624909437232832,0.1188150360486644,3.286720416283916,0.9188843274564352
fixed,cond,host_type_2wild,-2.7683480223424484,1.0726390816722235,-2.580875589603399,0.009855008983175305,lactococcus_lactis,VF0815,-2.7683480223424484,1.0726390816722235,0.06276560652431826,0.0076678376807301635,0.5137721384303489,0.1137805582602967
fixed,cond,host_type_2wild,-121.2257009696896,NA,NA,NA,lactococcus_lactis,VF0985,-121.2257009696896,NA,2.2508523326488423e-53,NA,NA,NA
fixed,cond,host_type_2wild,-56.96372448538558,NA,NA,NA,lactococcus_lactis,VF1116,-56.96372448538558,NA,1.823764623999897e-25,NA,NA,NA
fixed,cond,host_type_2wild,112.86160457836584,NA,NA,NA,lactococcus_lactis,VF0163,112.86160457836584,NA,10355524181338341e33,NA,NA,NA
fixed,cond,host_type_2wild,0.5617494120086334,0.876411555405882,0.640965318797602,0.521545215875338,lactococcus_lactis,VF0740,0.5617494120086334,0.876411555405882,1.753737828270316,0.31473721180072706,9.77195023336983,0.8803663480725529
fixed,cond,host_type_2wild,2.709911910242198,0.8037759393576374,3.3714767730020743,7.476634298781756e-4,lactococcus_lactis,VF0273,2.709911910242198,0.8037759393576374,15.027951647945772,3.1096527658363065,72.62525681778465,0.027129501598436655
fixed,cond,host_type_2wild,2.524314190639309,1.0731165938350087,2.3523205261584295,0.018656690637917157,lactococcus_lactis,VF0344,2.524314190639309,1.0731165938350087,12.482331827489583,1.5234929115961466,102.27064836706097,0.18226151623195994
fixed,cond,host_type_2wild,-0.08640576833216343,0.8511947783949396,-0.10151115881501878,0.9191446998635304,lactococcus_lactis,VF0799,-0.08640576833216343,0.8511947783949396,0.9172219760691295,0.17295090100486588,4.864364096955408,0.9999236677991763
fixed,cond,host_type_2wild,1.301225444736245,0.7018411355305777,1.854017068624148,0.06373671809290124,lactococcus_lactis,VF0292,1.301225444736245,0.7018411355305777,3.6737959441506183,0.9283159127510254,14.538990933873361,0.352390853007534
fixed,cond,host_type_2wild,2.7525688824565235,1.0796899654369192,2.5494067469105715,0.01079063652521941,lactococcus_lactis,VF0936,2.7525688824565235,1.0796899654369192,15.682867625127,1.8896215108360315,130.1595772152483,0.11916615988720566
fixed,cond,host_type_2wild,1.6496335216132805,0.794158140122101,2.077210366891978,0.037782147466013605,lactococcus_lactis,VF0043,1.6496335216132805,0.794158140122101,5.2050719312357705,1.0975534506564735,24.68469648847956,0.2741904416104987
fixed,cond,host_type_2wild,423.61063274207055,NA,NA,NA,lactococcus_lactis,VF0213,423.61063274207055,NA,9370446284143082e168,NA,NA,NA
fixed,cond,host_type_2wild,1.0773120085078847,0.7708795378453533,1.397510188840951,0.16226020489411605,lactococcus_lactis,VF1233,1.0773120085078847,0.7708795378453533,2.9367749060539743,0.6481637683216408,13.306277318093608,0.4854877295956516
fixed,cond,host_type_2wild,2.2432374387345906,1.0096671775055475,2.221759297233633,0.02629957680421047,lactococcus_lactis,VF0488,2.2432374387345906,1.0096671775055475,9.423790900961961,1.3025055697341867,68.18230724585479,0.23034801752653308
fixed,cond,host_type_2wild,1172.23974865175,NA,NA,NA,lactococcus_lactis,VF0265,1172.23974865175,NA,Inf,NA,NA,NA
fixed,cond,host_type_2wild,2814.539441427841,NA,NA,NA,lactococcus_lactis,VF0818,2814.539441427841,NA,Inf,NA,NA,NA
fixed,cond,host_type_2wild,1.0319341356143936,0.870299441419204,1.1857230816230453,0.2357316761976105,lactococcus_lactis,VF1283,1.0319341356143936,0.870299441419204,2.806488718494042,0.5097408755364407,15.451731075608555,0.570246150039934
fixed,cond,host_type_2wild,1.0264626773540046,0.7706090153935035,1.332014882838935,0.18285529801138437,lactococcus_lactis,VF0469,1.0264626773540046,0.7706090153935035,2.791175064824517,0.6163557334175106,12.639873079952135,0.5036141593038814
fixed,cond,host_type_2wild,160531.86215698175,NA,NA,NA,lactococcus_lactis,VF1146,160531.86215698175,NA,Inf,NA,NA,NA
fixed,cond,host_type_2wild,613.4433845918855,NA,NA,NA,lactococcus_lactis,VF0682,613.4433845918855,NA,2600619941046365e251,NA,NA,NA
fixed,cond,host_type_2wild,722.0127031184203,NA,NA,NA,lactococcus_lactis,VF0566,722.0127031184203,NA,Inf,NA,NA,NA
fixed,cond,host_type_2wild,-0.11408858106774748,2.3715263125819024,-0.04810765980645528,0.9616304416328839,lactococcus_lactis,VF1120,-0.11408858106774748,2.3715263125819024,0.8921789222204648,0.008546100741115479,93.13993052117645,0.9999236677991763
fixed,cond,host_type_2wild,-0.371157564700677,0.8408929114621958,-0.44138505586316057,0.6589342591687892,lactococcus_lactis,VF1269,-0.371157564700677,0.8408929114621958,0.6899352235569679,0.1327473380830021,3.585839230968015,0.9402769765666992
fixed,cond,host_type_2wild,-67.45575866359883,NA,NA,NA,lactococcus_lactis,VF0729,-67.45575866359883,NA,5.062164335939718e-30,NA,NA,NA
fixed,cond,host_type_2wild,4.728279537122717,1.2762557167587645,3.7048057650475132,2.1155277861952492e-4,lactococcus_lactis,VF0089,4.728279537122717,1.2762557167587645,113.10080912036682,9.270324017170974,1379.8647167011668,0.014672945483049595
fixed,cond,host_type_2wild,-0.7983920983582616,0.7858712904453419,-1.0159323900302102,0.3096615834581049,parabacteroides_goldsteinii,VF0043,-0.7983920983582616,0.7858712904453419,0.45005202204354,0.0964529622178169,2.099954401484046,0.6794636350798537
