effect,component,term,estimate,std.error,statistic,p.value,species,annotation,logOR,SE,OR,CI_low,CI_high,p_adj
fixed,cond,host_type_2wild,-52.24323569859337,NA,NA,NA,lactococcus_lactis,VF0014,-52.24323569859337,NA,2.0466850596898072e-23,NA,NA,NA
fixed,cond,host_type_2wild,301.12934389052094,NA,NA,NA,lactococcus_lactis,VF0079,301.12934389052094,NA,6009140948415799e115,NA,NA,NA
fixed,cond,host_type_2wild,-0.3573743865761109,1.0463085899312865,-0.34155734743569344,0.7326840404774523,lactococcus_lactis,VF0124,-0.3573743865761109,1.0463085899312865,0.6995105613409219,0.08998257640972117,5.437886365905713,0.9468890749427983
fixed,cond,host_type_2wild,-23.07598034582711,58593.26910103567,-3.938332968934691e-4,0.9996857665010018,lactococcus_lactis,VF0225,-23.07598034582711,58593.26910103567,9.511063282668089e-11,0,Inf,0.9999184530298117
fixed,cond,host_type_2wild,-680.8578078350452,NA,NA,NA,lactococcus_lactis,VF0289,-680.8578078350452,NA,2.028668550052669e-296,NA,NA,NA
fixed,cond,host_type_2wild,-1.435254596933626,1.2316927752866733,-1.1652699648250953,0.2439097328169995,lactococcus_lactis,VF0311,-1.435254596933626,1.2316927752866733,0.23805474828977596,0.021293095015590503,2.661429122530829,0.5911224112976694
fixed,cond,host_type_2wild,-230.97703819705092,NA,NA,NA,lactococcus_lactis,VF0370,-230.97703819705092,NA,4.874688453082648e-101,NA,NA,NA
fixed,cond,host_type_2wild,0.7553996099614366,1.846044703812323,0.409198980068813,0.6823936428254379,lactococcus_lactis,VF0429,0.7553996099614366,1.846044703812323,2.1284619080138723,0.05710589032921671,79.33244832973425,0.9309476186890081
fixed,cond,host_type_2wild,-1.0147177828789438,1.8567117029618412,-0.5465133769880687,0.5847130950201718,lactococcus_lactis,VF0445,-1.0147177828789438,1.8567117029618412,0.3625047204363024,0.00952464412678996,13.796806535688397,0.872832591117068
fixed,cond,host_type_2wild,-680.8578078350452,NA,NA,NA,lactococcus_lactis,VF0472,-680.8578078350452,NA,2.028668550052669e-296,NA,NA,NA
fixed,cond,host_type_2wild,680.8578078350452,NA,NA,NA,lactococcus_lactis,VF0519,680.8578078350452,NA,4929341463759754e280,NA,NA,NA
fixed,cond,host_type_2wild,0.5849792346819446,1.230313824948389,0.47547156084869985,0.6344508989833892,lactococcus_lactis,VF0562,0.5849792346819446,1.230313824948389,1.7949537124681727,0.16098632391759268,20.013245544711697,0.8951841451409466
fixed,cond,host_type_2wild,-680.8578078350452,NA,NA,NA,lactococcus_lactis,VF0650,-680.8578078350452,NA,2.028668550052669e-296,NA,NA,NA
