Mus musculus
Homo sapiens
Podarcis pityusensis
Podarcis gaigeae
Podarcis filfolensis
Podarcis muralis
Tarentola mauritanica
Lepus europaeus
Podarcis milensis
Peromyscus maniculatus
Sus scrofa
Gallus gallus
Arctocephalus australis
Balaenoptera acutorostrata
Spheniscus magellanicus
Capra hircus
Bos taurus
Columba livia
Equus caballus
Oryctolagus cuniculus
Apodemus sylvaticus
Canis lupus
Mops thersites
Ovis aries
Corallus caninus
Meles meles
Clanga pomarina
Buteo buteo
Chelonia mydas
Grampus griseus
Sterna trudeaui
Macaca fascicularis
Rhinolophus capensis
Mustela putorius
Turdus merula
Curruca curruca
Columba palumbus
Delichon urbicum
Chloris chloris
Hirundo rustica
Ciconia ciconia
Anas platyrhynchos
Grus grus
Strix aluco
Rhinolophus hipposideros
Rhinolophus euryale
Plecotus auritus
Dasyurus geoffroii
Myotis blythii
Myotis myotis
Myotis bechsteinii
Hipposideros ruber
Sciurus vulgaris
Cathartes aura
Psammodromus manuelae
Rattus rattus
Lasiorhinus latifrons
Phascolarctos cinereus
Felis catus
Timon lepidus
Oncorhynchus mykiss
Oreochromis niloticus
Barbastella barbastellus
Nyctalus noctula
Rhinolophus landeri
Lissotriton helveticus
Natrix astreptophora
Anguis fragilis
Salamandra atra
Vulpes zerda
Corvus frugilegus
Milvus milvus
Lacerta viridis
Podarcis liolepis
Chalcides striatus
