"kegg","n_mags_human","n_mags_wild","n_mags_NA","absent_human","absent_wild","absent_NA","p_value","odds_ratio","conf_low","conf_high","log_or","log2_or","se_log_or","se_log2_or","p_adj","prop_g1","prop_g2","diff_prop","species","contrast","n_mags_domestic","absent_domestic","neg_log10_padj","sig","ko","pathway_map","pathway_name","class","category"
"K00003",41,41,28,0,1,NA,1,0,0,39.9518114534888,-Inf,-Inf,Inf,Inf,1,0.976190476190476,1,0.0238095238095238,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00004",40,39,27,1,3,NA,0.615796519410977,0.329077119224072,0.00604801841754112,4.30039357519108,-1.11146315074892,-1.60350237571629,1.6751865159455,2.41678327911864,1,0.928571428571429,0.975609756097561,0.0470383275261324,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00009",40,40,28,1,2,NA,1,0.504046597452949,0.00827763377551266,10.0444732481303,-0.685086559920706,-0.988370982577282,1.81153588903376,2.61349384350139,1,0.952380952380952,0.975609756097561,0.0232288037166086,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00012",10,12,0,31,30,0,0.804439809751639,1.23678485025392,0.417754301970587,3.72906023124947,0.212515149628137,0.306594552482289,0.558422976221826,0.805634058513684,1,0.285714285714286,0.24390243902439,-0.0418118466898955,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00013",41,42,22,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00014",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00015",2,0,0,39,0,0,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,NA,0.0487804878048781,NA,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00016",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00018",6,1,0,35,41,0,0.0573972144812468,0.145160199659051,0.00302619633460862,1.28448885790001,-1.92991732119697,-2.78428214861658,1.54357388939457,2.22690639547524,0.833045873190151,0.0238095238095238,0.146341463414634,0.12253193960511,"lactococcus_lactis","HumanvsWild",NA,NA,0.0793310827170946,FALSE,NA,NA,NA,NA,NA
"K00020",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
