contig_id	mag
EHA01202_bin.10^_0	EHM020807
EHA01202_bin.10^_1	EHM020807
EHA01202_bin.10^_2	EHM020807
EHA01202_bin.10^_3	EHM020807
EHA01202_bin.10^_4	EHM020807
EHA01202_bin.10^_5	EHM020807
EHA01202_bin.10^_6	EHM020807
EHA01202_bin.10^_7	EHM020807
EHA01202_bin.10^_8	EHM020807
EHA01202_bin.10^_9	EHM020807
EHA01202_bin.10^_10	EHM020807
EHA01202_bin.10^_11	EHM020807
EHA01202_bin.10^_12	EHM020807
EHA01202_bin.10^_13	EHM020807
EHA01202_bin.10^_14	EHM020807
EHA01202_bin.10^_15	EHM020807
EHA01202_bin.10^_16	EHM020807
EHA01202_bin.10^_17	EHM020807
EHA01202_bin.10^_18	EHM020807
EHA01202_bin.10^_19	EHM020807
EHA01202_bin.10^_20	EHM020807
EHA01202_bin.10^_21	EHM020807
EHA01202_bin.10^_22	EHM020807
EHA01202_bin.10^_23	EHM020807
EHA01202_bin.10^_24	EHM020807
EHA01202_bin.10^_25	EHM020807
EHA01202_bin.10^_26	EHM020807
EHA01202_bin.10^_27	EHM020807
EHA01202_bin.10^_28	EHM020807
EHA01202_bin.10^_29	EHM020807
EHA01202_bin.10^_30	EHM020807
EHA01202_bin.10^_31	EHM020807
EHA01202_bin.10^_32	EHM020807
EHA01202_bin.10^_33	EHM020807
EHA01202_bin.10^_34	EHM020807
EHA01202_bin.10^_35	EHM020807
EHA01202_bin.10^_36	EHM020807
EHA01202_bin.10^_37	EHM020807
EHA01202_bin.10^_38	EHM020807
EHA01202_bin.10^_39	EHM020807
EHA01202_bin.10^_40	EHM020807
EHA01202_bin.10^_41	EHM020807
EHA01202_bin.10^_42	EHM020807
EHA01202_bin.10^_43	EHM020807
EHA01202_bin.10^_44	EHM020807
EHA01202_bin.10^_45	EHM020807
EHA01202_bin.10^_46	EHM020807
EHA01202_bin.10^_47	EHM020807
EHA01202_bin.10^_48	EHM020807
EHA01202_bin.10^_49	EHM020807
EHA01202_bin.10^_50	EHM020807
EHA01202_bin.10^_51	EHM020807
EHA01202_bin.10^_52	EHM020807
EHA01202_bin.10^_53	EHM020807
EHA01202_bin.10^_54	EHM020807
EHA01202_bin.10^_55	EHM020807
EHA01202_bin.10^_56	EHM020807
EHA01202_bin.10^_57	EHM020807
EHA01202_bin.10^_58	EHM020807
EHA01202_bin.10^_59	EHM020807
EHA01202_bin.10^_60	EHM020807
EHA01202_bin.10^_61	EHM020807
EHA01202_bin.10^_62	EHM020807
EHA01202_bin.10^_63	EHM020807
EHA01202_bin.10^_64	EHM020807
EHA01202_bin.10^_65	EHM020807
EHA01202_bin.10^_66	EHM020807
EHA01202_bin.10^_67	EHM020807
EHA01202_bin.10^_68	EHM020807
EHA01202_bin.10^_69	EHM020807
EHA01202_bin.10^_70	EHM020807
EHA01202_bin.10^_71	EHM020807
EHA01202_bin.10^_72	EHM020807
EHA01202_bin.10^_73	EHM020807
EHA01202_bin.10^_74	EHM020807
EHA01202_bin.10^_75	EHM020807
EHA01202_bin.10^_76	EHM020807
EHA01202_bin.10^_77	EHM020807
EHA01202_bin.10^_78	EHM020807
EHA01202_bin.10^_79	EHM020807
EHA01202_bin.10^_80	EHM020807
EHA01202_bin.10^_81	EHM020807
EHA01202_bin.10^_82	EHM020807
EHA01202_bin.10^_83	EHM020807
EHA01202_bin.10^_84	EHM020807
EHA01202_bin.10^_85	EHM020807
EHA01202_bin.10^_86	EHM020807
EHA01202_bin.10^_87	EHM020807
EHA01202_bin.10^_88	EHM020807
EHA01202_bin.10^_89	EHM020807
EHA01202_bin.10^_90	EHM020807
EHA01202_bin.10^_91	EHM020807
EHA01202_bin.10^_92	EHM020807
EHA01202_bin.10^_93	EHM020807
EHA01202_bin.10^_94	EHM020807
EHA01202_bin.10^_95	EHM020807
EHA01202_bin.10^_96	EHM020807
EHA01202_bin.10^_97	EHM020807
EHA01202_bin.10^_98	EHM020807
EHA01202_bin.10^_99	EHM020807
EHA01202_bin.10^_100	EHM020807
EHA01202_bin.10^_101	EHM020807
EHA01202_bin.10^_102	EHM020807
EHA01202_bin.10^_103	EHM020807
EHA01202_bin.10^_104	EHM020807
EHA01202_bin.10^_105	EHM020807
EHA01202_bin.10^_106	EHM020807
EHA01202_bin.10^_107	EHM020807
EHA01202_bin.10^_108	EHM020807
EHA01202_bin.10^_109	EHM020807
EHA01202_bin.10^_110	EHM020807
EHA01202_bin.10^_111	EHM020807
EHA01202_bin.10^_112	EHM020807
EHA01202_bin.10^_113	EHM020807
EHA01202_bin.10^_114	EHM020807
EHA01202_bin.10^_115	EHM020807
EHA01202_bin.10^_116	EHM020807
EHA01202_bin.10^_117	EHM020807
EHA01202_bin.10^_118	EHM020807
EHA01202_bin.10^_119	EHM020807
EHA01202_bin.10^_120	EHM020807
EHA01202_bin.10^_121	EHM020807
EHA01202_bin.10^_122	EHM020807
EHA01202_bin.10^_123	EHM020807
EHA01202_bin.10^_124	EHM020807
EHA01202_bin.10^_125	EHM020807
EHA01202_bin.10^_126	EHM020807
EHA01202_bin.10^_127	EHM020807
EHA01202_bin.10^_128	EHM020807
EHA01202_bin.10^_129	EHM020807
EHA01202_bin.10^_130	EHM020807
EHA01202_bin.10^_131	EHM020807
EHA01202_bin.10^_132	EHM020807
EHA01202_bin.10^_133	EHM020807
EHA01202_bin.10^_134	EHM020807
EHA01202_bin.10^_135	EHM020807
EHA01202_bin.10^_136	EHM020807
EHA01202_bin.10^_137	EHM020807
EHA01202_bin.10^_138	EHM020807
EHA01202_bin.10^_139	EHM020807
EHA01202_bin.10^_140	EHM020807
EHA01202_bin.10^_141	EHM020807
EHA01202_bin.10^_142	EHM020807
EHA01202_bin.10^_143	EHM020807
EHA01202_bin.10^_144	EHM020807
EHA01202_bin.10^_145	EHM020807
EHA01202_bin.10^_146	EHM020807
EHA01202_bin.10^_147	EHM020807
EHA01202_bin.10^_148	EHM020807
EHA01202_bin.10^_149	EHM020807
EHA01202_bin.10^_150	EHM020807
EHA01202_bin.10^_151	EHM020807
EHA01202_bin.10^_152	EHM020807
EHA01202_bin.10^_153	EHM020807
EHA01202_bin.10^_154	EHM020807
EHA01202_bin.10^_155	EHM020807
EHA01202_bin.10^_156	EHM020807
EHA01202_bin.10^_157	EHM020807
EHA01202_bin.10^_158	EHM020807
EHA01202_bin.10^_159	EHM020807
EHA01202_bin.10^_160	EHM020807
EHA01202_bin.10^_161	EHM020807
EHA01202_bin.10^_162	EHM020807
EHA01202_bin.10^_163	EHM020807
EHA01202_bin.10^_164	EHM020807
EHA01202_bin.10^_165	EHM020807
EHA01202_bin.10^_166	EHM020807
EHA01202_bin.10^_167	EHM020807
EHA01202_bin.10^_168	EHM020807
EHA01202_bin.10^_169	EHM020807
EHA01202_bin.10^_170	EHM020807
EHA01202_bin.10^_171	EHM020807
EHA01202_bin.10^_172	EHM020807
EHA01202_bin.10^_173	EHM020807
EHA01202_bin.10^_174	EHM020807
EHA01202_bin.10^_175	EHM020807
EHA01202_bin.10^_176	EHM020807
EHA01202_bin.10^_177	EHM020807
EHA01202_bin.10^_178	EHM020807
EHA01202_bin.10^_179	EHM020807
EHA01202_bin.10^_180	EHM020807
EHA01202_bin.10^_181	EHM020807
EHA01202_bin.10^_182	EHM020807
EHA01202_bin.10^_183	EHM020807
EHA01202_bin.10^_184	EHM020807
EHA01202_bin.10^_185	EHM020807
EHA01202_bin.10^_186	EHM020807
EHA01202_bin.10^_187	EHM020807
EHA01202_bin.10^_188	EHM020807
EHA01202_bin.10^_189	EHM020807
EHA01202_bin.10^_190	EHM020807
EHA01202_bin.10^_191	EHM020807
EHA01202_bin.10^_192	EHM020807
EHA01202_bin.10^_193	EHM020807
EHA01202_bin.10^_194	EHM020807
EHA01202_bin.10^_195	EHM020807
EHA01202_bin.10^_196	EHM020807
EHA01202_bin.10^_197	EHM020807
EHA01202_bin.10^_198	EHM020807
EHA01202_bin.10^_199	EHM020807
EHA01202_bin.10^_200	EHM020807
EHA01202_bin.10^_201	EHM020807
EHA01202_bin.10^_202	EHM020807
EHA01202_bin.10^_203	EHM020807
EHA01202_bin.10^_204	EHM020807
EHA01202_bin.10^_205	EHM020807
EHA01202_bin.10^_206	EHM020807
EHA01202_bin.10^_207	EHM020807
EHA01202_bin.10^_208	EHM020807
EHA01202_bin.10^_209	EHM020807
EHA01202_bin.10^_210	EHM020807
EHA01202_bin.10^_211	EHM020807
EHA01202_bin.10^_212	EHM020807
EHA01202_bin.10^_213	EHM020807
EHA01202_bin.10^_214	EHM020807
EHA01202_bin.10^_215	EHM020807
EHA01202_bin.10^_216	EHM020807
EHA01202_bin.10^_217	EHM020807
EHA01202_bin.10^_218	EHM020807
EHA01202_bin.10^_219	EHM020807
EHA01202_bin.10^_220	EHM020807
EHA01202_bin.10^_221	EHM020807
EHA01202_bin.10^_222	EHM020807
EHA01202_bin.10^_223	EHM020807
EHA01202_bin.10^_224	EHM020807
EHA01202_bin.10^_225	EHM020807
EHA01202_bin.10^_226	EHM020807
EHA01202_bin.10^_227	EHM020807
EHA01202_bin.10^_228	EHM020807
EHA01202_bin.10^_229	EHM020807
EHA01202_bin.10^_230	EHM020807
EHA01202_bin.10^_231	EHM020807
EHA01202_bin.10^_232	EHM020807
EHA01202_bin.10^_233	EHM020807
EHA01202_bin.10^_234	EHM020807
EHA01202_bin.10^_235	EHM020807
EHA01202_bin.10^_236	EHM020807
EHA01202_bin.10^_237	EHM020807
EHA01202_bin.10^_238	EHM020807
EHA01202_bin.10^_239	EHM020807
EHA01202_bin.10^_240	EHM020807
