gap_accession	gap_accession	Attribute "phs000309"
gap_parent_phs	Attribute "phs000285"
submitter_handle	submitter handle	Attribute "NHLBI_CARDIA"
biospecimen_repository	biospecimen repository	Attribute "NHLBI_CARDIA"
study_name	study name	Attribute "The CARDIA-GENEVA Study"
study_design	study design	Attribute "Prospective Longitudinal Cohort"
biospecimen_repository_sample_id	biospecimen repository sample id	Attribute "344242"
submitted_sample_id	submitted sample id	Attribute "344242"
submitted_subject_id	submitted subject id	Attribute "221071279"
gap_sample_id	gap_sample_id	Attribute "992083"
gap_subject_id	gap_subject_id	Attribute "336414"
sex	sex	Attribute "female"
tissue	body site	Attribute "Blood"
analyte_type	analyte type	Attribute "DNA"
is_tumor	is tumor	Attribute "No"
molecular_data_type	molecular data type	Attribute "SNP Genotypes (Array)"
gap_consent_code	gap_consent_code	Attribute "1"
gap_consent_short_name	gap_consent_short_name	Attribute "HMB-IRB"
gap_accession	gap_accession	Attribute "phs000309"
gap_parent_phs	Attribute "phs000285"
submitter_handle	submitter handle	Attribute "NHLBI_CARDIA"
biospecimen_repository	biospecimen repository	Attribute "NHLBI_CARDIA"
study_name	study name	Attribute "The CARDIA-GENEVA Study"
study_design	study design	Attribute "Prospective Longitudinal Cohort"
biospecimen_repository_sample_id	biospecimen repository sample id	Attribute "343949"
submitted_sample_id	submitted sample id	Attribute "343949"
submitted_subject_id	submitted subject id	Attribute "221111062"
gap_sample_id	gap_sample_id	Attribute "990965"
gap_subject_id	gap_subject_id	Attribute "337560"
sex	sex	Attribute "male"
tissue	body site	Attribute "Blood"
analyte_type	analyte type	Attribute "DNA"
is_tumor	is tumor	Attribute "No"
molecular_data_type	molecular data type	Attribute "SNP Genotypes (Array)"
gap_consent_code	gap_consent_code	Attribute "1"
gap_consent_short_name	gap_consent_short_name	Attribute "HMB-IRB"
strain	strain	Attribute "BIRD-238"
collection_date	collection_date	Attribute "2014-06-13"
env_broad_scale	env_broad_scale	Attribute "environment"
env_local_scale	env_local_scale	Attribute "wild bird"
env_medium	env_medium	Attribute "feces"
geo_loc_name	geo_loc_name	Attribute "Estonia: Valgamaa, Soontaga, Vaike-Emajogi"
isol_growth_condt	isol_growth_condt	Attribute "missing"
lat_lon	lat_lon	Attribute "missing"
num_replicons	num_replicons	Attribute "missing"
ref_biomaterial	ref_biomaterial	Attribute "missing"
biotic_relationship	biotic_relationship	Attribute "commensal"
host	host	Attribute "Astur gentilis"
host_age	host_age	Attribute "0+"
strain	strain	Attribute "BIRD-178"
collection_date	collection_date	Attribute "2014-05-30"
env_broad_scale	env_broad_scale	Attribute "environment"
env_local_scale	env_local_scale	Attribute "wild bird"
env_medium	env_medium	Attribute "feces"
geo_loc_name	geo_loc_name	Attribute "Estonia: Polvamaa, Kooraste"
isol_growth_condt	isol_growth_condt	Attribute "missing"
lat_lon	lat_lon	Attribute "missing"
num_replicons	num_replicons	Attribute "missing"
ref_biomaterial	ref_biomaterial	Attribute "missing"
biotic_relationship	biotic_relationship	Attribute "commensal"
host	host	Attribute "Astur gentilis"
host_age	host_age	Attribute "0+"
strain	strain	Attribute "BIRD-176"
collection_date	collection_date	Attribute "2014-05-30"
env_broad_scale	env_broad_scale	Attribute "environment"
env_local_scale	env_local_scale	Attribute "wild bird"
env_medium	env_medium	Attribute "feces"
geo_loc_name	geo_loc_name	Attribute "Estonia: Polvamaa, Kooraste"
isol_growth_condt	isol_growth_condt	Attribute "missing"
lat_lon	lat_lon	Attribute "missing"
num_replicons	num_replicons	Attribute "missing"
ref_biomaterial	ref_biomaterial	Attribute "missing"
biotic_relationship	biotic_relationship	Attribute "commensal"
host	host	Attribute "Astur gentilis"
host_age	host_age	Attribute "0+"
strain	strain	Attribute "BIRD-175"
collection_date	collection_date	Attribute "2014-05-30"
env_broad_scale	env_broad_scale	Attribute "environment"
env_local_scale	env_local_scale	Attribute "wild bird"
env_medium	env_medium	Attribute "feces"
geo_loc_name	geo_loc_name	Attribute "Estonia: Polvamaa, Kooraste"
isol_growth_condt	isol_growth_condt	Attribute "missing"
lat_lon	lat_lon	Attribute "missing"
num_replicons	num_replicons	Attribute "missing"
ref_biomaterial	ref_biomaterial	Attribute "missing"
biotic_relationship	biotic_relationship	Attribute "commensal"
host	host	Attribute "Astur gentilis"
host_age	host_age	Attribute "0+"
strain	strain	Attribute "BIRD-174"
collection_date	collection_date	Attribute "2014-05-30"
env_broad_scale	env_broad_scale	Attribute "environment"
env_local_scale	env_local_scale	Attribute "wild bird"
env_medium	env_medium	Attribute "feces"
geo_loc_name	geo_loc_name	Attribute "Estonia: Polvamaa, Kooraste"
isol_growth_condt	isol_growth_condt	Attribute "missing"
lat_lon	lat_lon	Attribute "missing"
num_replicons	num_replicons	Attribute "missing"
ref_biomaterial	ref_biomaterial	Attribute "missing"
biotic_relationship	biotic_relationship	Attribute "commensal"
host	host	Attribute "Astur gentilis"
host_age	host_age	Attribute "0+"
strain	strain	Attribute "BIRD-173"
collection_date	collection_date	Attribute "2014-05-30"
env_broad_scale	env_broad_scale	Attribute "environment"
env_local_scale	env_local_scale	Attribute "wild bird"
env_medium	env_medium	Attribute "feces"
geo_loc_name	geo_loc_name	Attribute "Estonia: Polvamaa, Kooraste"
isol_growth_condt	isol_growth_condt	Attribute "missing"
lat_lon	lat_lon	Attribute "missing"
num_replicons	num_replicons	Attribute "missing"
ref_biomaterial	ref_biomaterial	Attribute "missing"
biotic_relationship	biotic_relationship	Attribute "commensal"
host	host	Attribute "Astur gentilis"
host_age	host_age	Attribute "0+"
strain	strain	Attribute "BIRD-170"
collection_date	collection_date	Attribute "2014-05-30"
env_broad_scale	env_broad_scale	Attribute "environment"
env_local_scale	env_local_scale	Attribute "wild bird"
env_medium	env_medium	Attribute "feces"
geo_loc_name	geo_loc_name	Attribute "Estonia: Polvamaa, Kooraste"
isol_growth_condt	isol_growth_condt	Attribute "missing"
lat_lon	lat_lon	Attribute "missing"
num_replicons	num_replicons	Attribute "missing"
ref_biomaterial	ref_biomaterial	Attribute "missing"
biotic_relationship	biotic_relationship	Attribute "commensal"
host	host	Attribute "Astur gentilis"
host_age	host_age	Attribute "0+"
host	host	Attribute "Cattle"
collected_by	collected_by	Attribute "Neha Parmar, Hina Malik"
collection_date	collection_date	Attribute "2021-12-10"
geo_loc_name	geo_loc_name	Attribute "India:Punjab"
isolation_source	isolation_source	Attribute "feces"
lat_lon	lat_lon	Attribute "30.90 N 75.85 E"
strain	strain	Attribute "CF_L_EN_IN"
host	host	Attribute "Poultry"
collected_by	collected_by	Attribute "Neha Parmar, Hina Malik"
collection_date	collection_date	Attribute "2021-11-14"
geo_loc_name	geo_loc_name	Attribute "India:Punjab"
isolation_source	isolation_source	Attribute "feces"
lat_lon	lat_lon	Attribute "30.90 N 75.85 E"
strain	strain	Attribute "PF_L2_EN_IN"
host	host	Attribute "Poultry"
collected_by	collected_by	Attribute "Neha Parmar, Hina Malik"
collection_date	collection_date	Attribute "2021-11-10"
geo_loc_name	geo_loc_name	Attribute "India:Punjab"
isolation_source	isolation_source	Attribute "feces"
lat_lon	lat_lon	Attribute "30.90 N 75.85 E"
strain	strain	Attribute "PF_L1_EN_IN"
gap_accession	gap_accession	Attribute "phs001391"
submitter_handle	submitter handle	Attribute "OncoArray_ProstateCancer"
