ENA-CHECKLIST	Attribute "ERC000047"
ENA-FIRST-PUBLIC	Attribute "2023-02-03T00:44:48Z"
ENA-LAST-UPDATE	Attribute "2023-02-03T00:44:48Z"
External Id	Attribute "SAMEA112390797"
INSDC center name	Attribute "UNIVERSITY OF CAMBRIDGE"
INSDC first public	Attribute "2023-02-03T00:44:48Z"
INSDC last update	Attribute "2023-02-03T00:44:48Z"
INSDC status	Attribute "public"
Submitter Id	Attribute "MGBC117220"
assembly quality	Attribute "Many fragments with little to no review of assembly other than reporting of standard assembly statistics"
assembly software	Attribute "metaSPAdes_v3.10.1"
binning parameters	Attribute "default parameters, kmer: 4"
binning software	Attribute "metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)"
env_broad_scale	broad-scale environmental context	Attribute "mouse gut"
collection_date	collection date	Attribute "not provided"
completeness score	Attribute "100"
completeness software	Attribute "CheckM"
contamination score	Attribute "0.82"
env_medium	environmental medium	Attribute "Faeces"
geo_loc_name	geographic location (country and/or sea)	Attribute "South Korea"
geographic location (latitude)	Attribute "37.59712"
geographic location (longitude)	Attribute "127.05199"
investigation_type	investigation type	Attribute "metagenome-assembled genome"
isolation_source	isolation_source	Attribute "feces"
local environmental context	Attribute "mouse-associated habitat"
metagenomic source	Attribute "mouse gut metagenome"
project_name	project name	Attribute "Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue"
sample derived from	Attribute "ERR2059939"
sample_name	sample name	Attribute "MGBC117220"
scientific_name	Attribute "Lactococcus lactis"
sequencing method	Attribute "Illumina"
taxonomic identity marker	Attribute "multi-marker approach"
ENA-CHECKLIST	Attribute "ERC000011"
ENA-FIRST-PUBLIC	Attribute "2019-08-06T09:56:06Z"
ENA-LAST-UPDATE	Attribute "2019-08-06T09:56:06Z"
External Id	Attribute "SAMEA5849728"
INSDC center name	Attribute "EMG"
INSDC first public	Attribute "2019-08-06T09:56:06Z"
INSDC last update	Attribute "2019-08-06T09:56:06Z"
INSDC status	Attribute "public"
Submitter Id	Attribute "MGYG-HGUT-00226"
broker name	Attribute "EBI-EMG"
common name	Attribute "Lactococcus lactis"
completeness score	Attribute "100"
contamination score	Attribute "0.76"
env_broad_scale	environment (biome)	Attribute "human-associated habitat"
env_local_scale	environment (feature)	Attribute "human gut"
geo_loc_name	geographic location (country and/or sea)	Attribute "China"
investigation_type	investigation type	Attribute "isolate"
isolation_source	isolation source	Attribute "human gut"
project_name	project name	Attribute "Human gut genomes"
sample derived from	Attribute "SAMN09734781"
sample_name	sample name	Attribute "MGYG-HGUT-00226"
scientific_name	Attribute "Lactococcus lactis"
ENA-CHECKLIST	Attribute "ERC000047"
ENA-FIRST-PUBLIC	Attribute "2022-10-13T16:34:14Z"
ENA-LAST-UPDATE	Attribute "2022-10-13T16:34:14Z"
External Id	Attribute "SAMEA111465618"
INSDC center name	Attribute "EMG"
INSDC first public	Attribute "2022-10-13T16:34:14Z"
INSDC last update	Attribute "2022-10-13T16:34:14Z"
INSDC status	Attribute "public"
Submitter Id	Attribute "SRR12358629_bin.41_metawrap_v1.3_MAG"
assembly quality	Attribute "Many fragments with little to no review of assembly other than reporting of standard assembly statistics"
assembly software	Attribute "metaSPAdes v3.15.3"
binning parameters	Attribute "MaxBin2, MetaBat2, Concoct with default parameter of the metaWRAP pipeline. Bin refinement module used from metaWRAP with default parameters."
binning software	Attribute "metawrap v1.3"
env_broad_scale	broad-scale environmental context	Attribute "mouse digestive system"
broker name	Attribute "EBI-EMG"
collection_date	collection date	Attribute "2012-04-01"
completeness score	Attribute "92.99"
completeness software	Attribute "CheckM"
contamination score	Attribute "1.7"
env_medium	environmental medium	Attribute "feces"
geo_loc_name	geographic location (country and/or sea)	Attribute "Japan"
geographic location (latitude)	Attribute "35.6762"
geographic location (longitude)	Attribute "139.6503"
investigation_type	investigation type	Attribute "metagenome-assembled genome"
isolation_source	isolation_source	Attribute "mouse gut metagenome"
local environmental context	Attribute "digestive tube"
metagenomic source	Attribute "mouse gut metagenome"
project_name	project name	Attribute "Effects of Fructooligosaccharides (FOS) on gut microbiota"
sample derived from	Attribute "SAMN15684188"
sample_name	sample name	Attribute "SRR12358629_bin.41_metawrap_v1.3_MAG"
scientific_name	Attribute "Lactococcus lactis"
sequencing method	Attribute "Illumina HiSeq 2000"
taxonomic classification	Attribute "The taxonomy of this metagenome-assembled genome was originally computed with GTDBtk, which assigned the following taxonomic annotation: d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis"
taxonomic identity marker	Attribute "multi-marker approach"
ENA-CHECKLIST	Attribute "ERC000047"
ENA-FIRST-PUBLIC	Attribute "2023-07-13T16:22:55Z"
ENA-LAST-UPDATE	Attribute "2023-07-13T16:22:55Z"
External Id	Attribute "SAMEA114063391"
INSDC center alias	Attribute "EMG"
INSDC center name	Attribute "EMG"
INSDC first public	Attribute "2023-07-13T16:22:55Z"
INSDC last update	Attribute "2023-07-13T16:22:55Z"
INSDC status	Attribute "public"
Submitter Id	Attribute "ERR9578277_bin.11_MetaWRAP_v1.3_MAG"
assembly quality	Attribute "Many fragments with little to no review of assembly other than reporting of standard assembly statistics"
assembly software	Attribute "metaspades v3.15.3"
binning parameters	Attribute "MaxBin2, MetaBat2, Concoct with default parameter of the metaWRAP pipeline. Bin refinement module used from metaWRAP with default parameters."
binning software	Attribute "MetaWRAP v1.3"
env_broad_scale	broad-scale environmental context	Attribute "Human digestive system"
broker name	Attribute "EMG broker account, EMBL-EBI"
collection_date	collection date	Attribute "2018"
completeness score	Attribute "97.88"
completeness software	Attribute "CheckM"
contamination score	Attribute "0.0"
env_medium	environmental medium	Attribute "faeces"
geo_loc_name	geographic location (country and/or sea)	Attribute "Germany"
geographic location (latitude)	Attribute "48.5216364"
geographic location (longitude)	Attribute "9.0576448"
investigation_type	investigation type	Attribute "metagenome-assembled genome"
isolation_source	isolation_source	Attribute "human feces metagenome"
local environmental context	Attribute "colon"
metagenomic source	Attribute "human feces metagenome"
project_name	project name	Attribute "Changes in intestinal microbiome composition have been described in animal models of Alzheimer`s disease (AD) and AD patients. Here we investigated how well taxonomic and functional intestinal microbiome data can be used to discriminate between amyloid-positive AD patients and cognitively healthy elderly controls."
sample derived from	Attribute "SAMEA13959675"
sample_name	sample name	Attribute "ERR9578277_bin.11_MetaWRAP_v1.3_MAG"
scientific_name	Attribute "Lactococcus lactis"
sequencing method	Attribute "Illumina HiSeq 2000"
taxonomic classification	Attribute "The taxonomy of this Metagenome-Assembled Genome was originally computed with GTDBtk, which assigned the following taxonomic annotation: d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis"
taxonomic identity marker	Attribute "multi-marker approach"
ENA-CHECKLIST	Attribute "ERC000047"
