species,partition,families
akkermansia_muciniphila,Persistent,1870
akkermansia_muciniphila,Shell,1518
akkermansia_muciniphila,Cloud,4111
bacteroides_fragilis,Persistent,3103
bacteroides_fragilis,Shell,3635
bacteroides_fragilis,Cloud,9571
bacteroides_uniformis,Persistent,2295
bacteroides_uniformis,Shell,7317
bacteroides_uniformis,Cloud,23122
citrobacter_braakii,Persistent,3895
citrobacter_braakii,Shell,557
citrobacter_braakii,Cloud,8313
enterococcus_faecalis,Persistent,2161
enterococcus_faecalis,Shell,2907
enterococcus_faecalis,Cloud,8977
enterococcus_hirae,Persistent,2054
enterococcus_hirae,Shell,1182
enterococcus_hirae,Cloud,5553
hafnia_paralvei,Persistent,3593
hafnia_paralvei,Shell,452
hafnia_paralvei,Cloud,7569
lactococcus_lactis,Persistent,1731
lactococcus_lactis,Shell,1891
lactococcus_lactis,Cloud,9325
parabacteroides_goldsteinii,Persistent,3725
parabacteroides_goldsteinii,Shell,2285
parabacteroides_goldsteinii,Cloud,10923
phocaeicola_vulgatus,Persistent,2558
phocaeicola_vulgatus,Shell,10123
phocaeicola_vulgatus,Cloud,21201
