module_id	nb_families	nb_genomes	partition	mean_number_of_occurrence
module_225	3	7	cloud	1.286
module_262	6	4	cloud	1.0
module_336	6	4	cloud	1.042
module_406	7	29	shell	1.103
module_455	6	5	cloud	1.0
module_519	4	3	cloud	1.0
module_561	4	6	cloud	1.0
module_650	3	5	cloud	1.0
module_132	8	26	shell	0.894
module_148	10	28	shell	1.35
module_221	3	31	shell	0.968
module_44	5	58	shell	0.976
module_224	6	16	shell	0.948
module_287	7	9	cloud	0.952
module_449	5	2	cloud	1.0
module_498	3	5	cloud	1.0
module_182	6	18	shell	1.009
module_281	29	2	cloud	1.0
module_337	4	20	shell	0.938
module_624	11	8	cloud	1.068
module_634	5	2	cloud	1.0
module_653	9	2	cloud	1.0
module_84	4	4	cloud	1.0
module_150	6	26	shell	0.891
module_218	3	17	shell	1.0
module_357	4	6	cloud	1.042
module_427	3	3	cloud	1.0
module_477	3	2	cloud	1.0
module_583	8	2	cloud	1.0
module_102	5	7	cloud	1.0
module_122	3	42	shell	0.952
module_195	3	41	shell	0.984
module_379	3	25	shell	1.56
module_227	9	3	cloud	1.0
module_315	13	5	cloud	1.031
module_335	8	8	cloud	0.953
module_407	3	11	shell	1.091
module_456	5	3	cloud	1.0
module_520	7	3	cloud	1.048
module_562	3	3	cloud	1.0
module_428	6	9	shell	0.907
module_74	3	15	shell	1.0
module_104	4	3	cloud	1.0
module_198	6	4	cloud	1.0
module_249	7	7	cloud	0.939
module_274	3	30	shell	0.922
module_385	9	4	cloud	1.0
module_450	3	4	cloud	1.0
module_499	5	5	cloud	1.0
module_541	14	2	cloud	1.0
module_77	3	6	cloud	1.0
module_263	5	11	shell	0.927
module_280	3	4	cloud	1.0
module_651	5	2	cloud	1.0
module_18	18	27	shell	0.837
module_223	3	2	cloud	1.0
module_279	5	2	cloud	1.0
module_358	9	5	cloud	1.0
module_478	15	4	cloud	1.0
module_584	3	2	cloud	1.0
module_83	8	3	cloud	1.0
module_100	3	18	shell	0.963
module_250	7	7	cloud	0.878
module_380	4	3	cloud	1.0
module_542	3	2	cloud	1.0
