spot	nb_rgp	nb_families	nb_unique_family_sets	mean_nb_genes	stdev_nb_genes	max_nb_genes	min_nb_genes
spot_26	67	49	67	5.866	2.235	18	4
spot_44	63	54	63	6.048	6.155	54	5
spot_28	59	51	59	8.627	0.869	11	7
spot_41	58	18	58	4.224	0.563	7	4
spot_16	57	17	57	5.14	0.398	7	5
spot_58	57	47	57	13.544	1.001	15	11
spot_18	55	21	55	5.273	1.027	8	4
spot_68	55	17	55	6.164	0.66	10	5
spot_23	54	71	54	11.444	0.816	15	11
spot_24	53	13	53	5.321	1.298	8	4
spot_47	53	20	53	6.698	0.845	9	4
spot_53	53	143	53	17.17	2.786	21	9
spot_71	53	67	53	16.302	4.29	23	12
spot_19	52	64	52	8.327	4.072	22	6
spot_31	52	54	52	10.885	1.323	15	8
spot_52	52	187	52	28.635	16.826	99	4
spot_40	50	18	50	7.2	0.756	12	7
spot_30	49	99	49	14.918	3.829	22	10
spot_54	49	118	49	11.694	9.218	70	8
spot_55	49	63	49	15.367	7.441	27	4
spot_72	49	5	49	5.041	0.2	6	5
spot_42	47	32	47	10.149	1.251	15	7
spot_6	46	33	46	5.196	3.436	18	4
spot_32	46	19	46	5.674	1.283	12	4
spot_126	45	146	45	15.422	4.58	21	7
spot_33	44	23	44	5.341	1.524	15	5
spot_50	42	38	42	9.476	5.861	36	4
spot_36	40	30	40	20.825	1.534	23	17
spot_49	40	18	40	6.15	0.949	12	6
spot_45	39	13	39	4.128	0.57	7	4
spot_0	38	79	38	18.921	1.514	23	18
spot_2	38	11	38	5.184	0.801	7	4
spot_34	38	13	38	7	1.771	9	4
spot_61	35	26	35	11	2.776	13	4
spot_10	34	47	34	12.529	2.863	17	8
spot_37	34	188	34	29.088	4.33	33	17
spot_46	34	5	34	5.265	0.511	7	5
spot_87	34	98	34	14.412	9.474	38	4
spot_25	33	114	33	13.545	6.996	33	6
spot_35	33	42	33	7.939	3.824	28	5
spot_39	33	382	33	27.818	17.393	86	5
spot_75	32	27	32	4.562	2.124	14	4
spot_77	30	44	30	5	4.571	29	4
spot_78	28	21	28	5.214	2.425	17	4
spot_129	28	144	28	21.357	6.111	32	11
spot_48	27	210	27	27.222	16.092	81	12
spot_59	27	31	27	8.815	4.133	23	7
spot_15	26	5	26	4.077	0.272	5	4
