sample	reads_raw	reads_discarded	reads_host	reads_metagenomic	bases_raw	bases_discarded	bases_host	bases_metagenomic
fox8_K_22	82601896	1670580	78690516	1079032	12390284400	679616413	11384513788	153191527
fox10_M_40	73029616	1671408	65356312	4062666	10954442400	527848367	9547021937	589747982
fox8_M_24	75024116	1597470	68015256	3541278	11253617400	543612710	9919482690	511182182
Control2	9419546	805890	74942	8524822	1412931900	336582942	8831254	1065485857
fox16_M_36	54938706	3842466	49911848	720334	8240805900	798045446	7269640036	104145463
fox30_F_15	85115020	4387864	36671464	41477208	12767253000	1608302404	4855235532	5918701937
fox5_M_9	25043498	938274	23463028	412104	3756524700	300883085	3364382734	57133542
fox1_M_20	22630648	1460406	20717456	288526	3394597200	355144025	2974067850	41058495
fox1_K_18	102071556	6695470	93494798	1220868	15310733400	1284175023	13750607925	177845966
Control1	29035138	28901290	2910	130126	4355270700	4339071672	426474	15650796
fox16_D_33	121928038	4238654	115121404	1679244	18289205700	1879242348	16048061747	231118746
fox3_F_27	50913968	5112484	16252480	29449978	7637095200	1519454158	2027715687	4075765550
fox5_K_11	25003766	987254	23550968	279860	3750564900	348392785	3335484624	39246993
fox26_D_41	121313128	13572998	98166472	5870884	18196969200	5111333568	11811462309	725987517
fox1_D_17	78713640	2337322	68055780	7768310	11807046000	1044422761	9582191057	1099021021
fox5_D_10	123920334	9417460	98519284	15443914	18588050100	2742331417	13606386846	2160681671
fox24_K_6	80152294	1839122	76320486	818396	12022844100	598078404	11131289215	118480924
fox30_K_14	70755344	1483876	67025090	807606	10613301600	580233482	9702159408	116229592
fox3_M_28	58403034	7703848	49380068	893394	8760455100	1415626253	7153504687	128225225
fox5_F_12	76794324	6009570	32625668	37718344	11519148600	1837356080	4332996187	5283905027
fox26_K_42	71047634	1316184	66917288	909966	10657145100	553962950	9687796621	130930631
fox14_K_2	42710484	2627124	39206110	448926	6406572600	606199358	5672400243	64281749
fox22_F_31	73787750	3992926	4937184	64649706	11068162500	1245972205	580830597	9210528613
fox29_F_11	60251626	4403446	43013092	11785088	9037743900	1627761268	5615041737	1639144575
fox30_M_16	78396166	1983062	69847664	5170738	11759424900	715899934	10093922574	741636782
fox29_D_9	74889846	10415542	60305792	3833594	11233476900	2771898234	7878934370	534371657
fox8_F_23	78255562	6540158	19130586	52152102	11738334300	2524765471	2210755666	6939653783
fox14_D_1	65392862	4214368	55882762	4985638	9808929300	1567237571	7512941495	683681706
fox22_M_32	76181408	1839370	66266666	6327230	11427211200	780318174	9484020161	901954156
fox3_D_25	103899212	4493862	94528802	4235734	15584881800	1722904335	13197343079	570510362
fox24_M_8	72011256	1668806	67992678	956234	10801688400	527525347	9927390851	138783312
fox14_M_4	38068966	1023472	36171464	547666	5710344900	382491772	5201989446	77468230
fox22_K_30	78939550	7135338	70101390	788042	11840932500	1436021441	10155872126	113325947
fox10_F_39	85421912	6574348	24886460	53438854	12813286800	2313902374	2840696646	7582214024
fox30_D_13	97891630	10274608	76617198	8288812	14683744500	3861029802	9408971375	1012349683
fox26_M_44	87170084	2057828	77448708	5118318	13075512600	877124938	11092010910	726172874
fox10_K_38	63983126	1265714	61017852	727302	9597468900	526474845	8821862607	104244170
fox26_F_43	88130366	8140608	38019594	40431980	13219554900	3283694703	4360982695	5347332359
fox8_D_21	95572680	5973676	32370406	57001716	14335902000	2372520777	4066572642	7864556744
fox14_F_3	76538878	12277796	28761778	35313950	11480831700	3058999438	3443557577	4952041291
fox29_K_10	49456230	4290944	44317378	481090	7418434500	866547694	6428384286	69089686
fox29_M_12	44319180	2879362	40519280	554744	6647877000	624855586	5888842262	79800931
fox24_D_5	87405730	8012044	74452182	4267796	13110859500	2252136379	10159367379	600529006
fox24_F_7	65783524	5028310	52709114	6927576	9867528600	1491441728	7210738814	999117854
fox10_D_37	89553574	7847384	63158092	17775152	13433036100	2658056307	8121629822	2540032497
fox16_F_35	101886666	5110650	60093660	36244300	15282999900	1812453247	8144430423	5262256451
fox16_K_34	47992810	4569908	42592546	461200	7198921500	901359821	6176642242	66180098
fox22_D_29	88304130	2175678	27938832	57718070	13245619500	822624580	3999578277	8353213301
