Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp	# predicted rRNA genes
EHM012289	114	114	94	63	44	30	4636206	4636206	4563272	4342426	4036638	3545649	114	423271	4636206	43.51	90475	15898	141797.4	13	51	0.00	1 + 1 part
EHM016394	47	47	41	40	36	28	4953213	4953213	4932742	4923593	4860771	4557402	47	448214	4953213	43.20	192565	53363	214266.1	9	27	0.00	2 + 2 part
EHM020821	88	88	84	77	59	30	4595159	4595159	4584963	4536258	4234106	3243886	88	262290	4595159	43.39	95341	28027	101353.9	17	56	0.00	3 + 0 part
EHM027640	69	69	41	36	32	23	5037571	5037571	4961365	4929352	4881926	4552732	69	558506	5037571	43.10	214841	51823	275922.6	7	23	0.00	6 + 3 part
EHM027690	42	42	33	31	26	22	5020724	5020724	4997601	4984094	4907135	4741941	42	583133	5020724	43.07	287692	70316	326351.0	6	19	0.00	2 + 2 part
EHM028151	37	37	37	34	33	23	4931339	4931339	4931339	4910373	4898645	4511674	37	558506	4931339	43.35	238764	66250	252930.1	8	22	0.00	2 + 2 part
EHM040120	48	48	48	47	40	32	4766825	4766825	4766825	4759617	4646466	4327774	48	419855	4766825	43.35	144277	53213	165030.8	11	32	0.00	3 + 0 part
EHM040221	56	56	48	39	36	25	5006847	5006847	4982567	4918621	4871648	4455448	56	535592	5006847	43.21	222857	47944	239179.6	8	27	0.00	2 + 2 part
EHM042364	144	144	124	106	66	30	4390806	4390806	4325314	4189964	3536044	2272737	144	163943	4390806	43.63	50978	16006	57630.0	29	88	0.00	3 + 0 part
EHM073471	51	51	51	50	41	31	4663733	4663733	4663733	4656525	4520040	4126777	51	335533	4663733	43.33	146088	47545	155419.8	11	33	0.00	3 + 0 part
GCF_000434095.1	118	110	78	66	50	27	4457568	4452162	4366123	4279127	4007498	3144514	110	274269	4452162	43.57	88471	25159	113742.1	14	50	71.74	0 + 0 part
GCF_000965785.1	1	1	1	1	1	1	5282232	5282232	5282232	5282232	5282232	5282232	1	5282232	5282232	43.19	5282232	5282232	5282232.0	1	1	0.00	18 + 0 part
GCF_001580095.1	52	46	36	34	30	23	5206456	5202607	5180224	5169011	5097327	4832832	46	448317	5202607	43.10	311131	53887	271484.4	7	21	178.76	1 + 2 part
GCF_001580105.1	52	46	36	34	30	23	5206456	5202607	5180224	5169011	5097327	4832832	46	448317	5202607	43.10	311131	53887	271484.4	7	21	178.76	1 + 2 part
GCF_001692695.1	81	51	39	36	31	28	5247065	5238760	5203137	5183366	5109726	4984695	51	436986	5238760	43.43	184948	70503	219757.0	10	24	0.00	2 + 1 part
GCF_001699855.1	52	47	40	36	31	27	5212804	5208974	5191087	5163533	5103595	4944800	47	639633	5208974	43.18	301080	58554	307665.0	6	23	0.12	2 + 1 part
GCF_001699865.1	140	33	29	25	24	22	5210816	5164446	5156117	5131707	5118319	5037975	33	585236	5164446	43.15	346660	88607	324081.1	6	17	0.00	9 + 0 part
GCF_001699875.1	68	63	51	40	33	25	4896431	4892628	4866749	4790650	4668324	4349824	63	754132	4892628	43.45	175950	47989	273881.3	8	27	0.29	1 + 2 part
GCF_001699885.1	156	120	60	48	39	29	5258210	5231388	5117968	5040787	4898398	4490428	120	350802	5231388	43.34	181621	44267	174546.4	11	34	0.00	3 + 0 part
