genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
EHA00531_bin.1.fa,1_1,0.050000000000000044,average,fastANI,1
EHA00535_bin.6.fa,1_1,0.050000000000000044,average,fastANI,1
EHA00539_bin.6.fa,1_1,0.050000000000000044,average,fastANI,1
EHA00726_bin.13.fa,1_1,0.050000000000000044,average,fastANI,1
EHA00928_bin.90.fa,1_1,0.050000000000000044,average,fastANI,1
EHA01202_bin.66.fa,1_1,0.050000000000000044,average,fastANI,1
EHA01281_bin.18.fa,1_1,0.050000000000000044,average,fastANI,1
EHA01439_bin.44.fa,1_1,0.050000000000000044,average,fastANI,1
EHA01634_bin.14.fa,1_1,0.050000000000000044,average,fastANI,1
EHA01845_bin.103.fa,1_1,0.050000000000000044,average,fastANI,1
EHA01958_bin.190.fa,1_1,0.050000000000000044,average,fastANI,1
EHA02500_bin.116.fa,1_1,0.050000000000000044,average,fastANI,1
EHA03161_bin.52.fa,1_1,0.050000000000000044,average,fastANI,1
EHA03288_bin.14.fa,1_1,0.050000000000000044,average,fastANI,1
EHA03306_bin.55.fa,1_1,0.050000000000000044,average,fastANI,1
EHA03349_bin.40.fa,1_1,0.050000000000000044,average,fastANI,1
EHA03351_bin.43.fa,1_1,0.050000000000000044,average,fastANI,1
EHA03376_bin.12.fa,1_1,0.050000000000000044,average,fastANI,1
EHA03390_bin.20.fa,1_1,0.050000000000000044,average,fastANI,1
EHA04575_bin.10.fa,1_1,0.050000000000000044,average,fastANI,1
EHA04588_bin.13.fa,1_1,0.050000000000000044,average,fastANI,1
EHA04680_bin.8.fa,1_1,0.050000000000000044,average,fastANI,1
EHA04696_bin.132.fa,1_1,0.050000000000000044,average,fastANI,1
EHA05078_bin.42.fa,1_1,0.050000000000000044,average,fastANI,1
EHA05111_bin.128.fa,1_1,0.050000000000000044,average,fastANI,1
GCA_003464145.1_ASM346414v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_008679285.1_ASM867928v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_008679655.1_ASM867965v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_008680675.1_ASM868067v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_009774835.1_ASM977483v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_014870645.1_ASM1487064v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_020809955.1_ASM2080995v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_022771305.1_ASM2277130v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_022774455.1_ASM2277445v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_022776965.1_ASM2277696v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_022784765.1_ASM2278476v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_025757725.1_ASM2575772v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_030839525.1_ASM3083952v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_030839725.1_ASM3083972v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_030841945.1_ASM3084194v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_030842445.1_ASM3084244v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_030842705.1_ASM3084270v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
GCA_030843875.1_ASM3084387v1_genomic.fna,1_1,0.050000000000000044,average,fastANI,1
