reference,querry,ani,alignment_coverage,primary_cluster
EHM028451.fna,EHM028451.fna,1.0,1.0,1
EHM028451.fna,EHM030672.fna,0.9629859999999999,0.8824858757062147,1
EHM028451.fna,EHM031657.fna,0.96308,0.8711864406779661,1
EHM028451.fna,EHM042200.fna,0.956169,0.8564971751412429,1
EHM028451.fna,EHM042775.fna,0.999922,0.9943502824858758,1
EHM028451.fna,EHM043802.fna,0.959937,0.8463276836158192,1
EHM028451.fna,EHM054902.fna,0.9999030000000001,0.9954802259887006,1
EHM028451.fna,EHM063775.fna,0.956049,0.6237288135593221,1
EHM028451.fna,EHM073018.fna,0.960428,0.847457627118644,1
EHM028451.fna,EHM073266.fna,0.999921,0.9717514124293786,1
EHM028451.fna,EHM074946.fna,0.950321,0.2858757062146893,1
EHM028451.fna,GCA_001280825.1.fna,0.95906,0.8847457627118644,1
EHM028451.fna,GCA_002212045.1.fna,0.959773,0.8429378531073446,1
EHM028451.fna,GCA_002213305.1.fna,0.959943,0.8531073446327684,1
EHM028451.fna,GCA_002213325.1.fna,0.958788,0.8677966101694915,1
EHM028451.fna,GCA_002213345.1.fna,0.958787,0.8124293785310734,1
EHM028451.fna,GCA_003796045.1.fna,0.959622,0.8225988700564971,1
EHM028451.fna,GCA_003796165.1.fna,0.959498,0.831638418079096,1
EHM028451.fna,GCA_003797335.1.fna,0.959024,0.8305084745762712,1
EHM028451.fna,GCA_003797685.1.fna,0.959294,0.8632768361581921,1
EHM028451.fna,GCA_004167465.1.fna,0.9606239999999999,0.8598870056497175,1
EHM028451.fna,GCA_004793905.1.fna,0.9593590000000001,0.8542372881355932,1
EHM028451.fna,GCA_012222705.1.fna,0.959421,0.8406779661016949,1
EHM028451.fna,GCA_012843775.1.fna,0.9593170000000001,0.8836158192090395,1
EHM028451.fna,GCA_014000815.1.fna,0.959611,0.8700564971751412,1
EHM028451.fna,GCA_014000825.1.fna,0.960014,0.8870056497175142,1
EHM028451.fna,GCA_014000885.1.fna,0.960213,0.880225988700565,1
EHM028451.fna,GCA_014000925.1.fna,0.959664,0.8824858757062147,1
EHM028451.fna,GCA_015554495.1.fna,0.9613320000000001,0.831638418079096,1
EHM028451.fna,GCA_015556025.1.fna,0.9595229999999999,0.8813559322033898,1
EHM028451.fna,GCA_017356465.1.fna,0.959149,0.8677966101694915,1
EHM028451.fna,GCA_017356505.1.fna,0.956828,0.8677966101694915,1
EHM028451.fna,GCA_017356525.1.fna,0.961577,0.8350282485875706,1
EHM028451.fna,GCA_017356535.1.fna,0.959136,0.8621468926553673,1
EHM028451.fna,GCA_017356565.1.fna,0.959234,0.8700564971751412,1
EHM028451.fna,GCA_017356585.1.fna,0.959664,0.8870056497175142,1
EHM028451.fna,GCA_018374335.1.fna,0.9584950000000001,0.8418079096045198,1
EHM028451.fna,GCA_020405955.1.fna,0.95997,0.8564971751412429,1
EHM028451.fna,GCA_020668055.1.fna,0.959139,0.8632768361581921,1
EHM028451.fna,GCA_023375155.1.fna,0.9616419999999999,0.8451977401129943,1
EHM028451.fna,GCA_023375175.1.fna,0.960679,0.848587570621469,1
EHM028451.fna,GCA_023375305.1.fna,0.9614919999999999,0.8350282485875706,1
EHM028451.fna,GCA_023383115.1.fna,0.961395,0.8327683615819209,1
EHM028451.fna,GCA_023383375.1.fna,0.9594070000000001,0.8361581920903954,1
EHM028451.fna,GCA_023956735.1.fna,0.9595440000000001,0.8790960451977401,1
EHM028451.fna,GCA_023956975.1.fna,0.958915,0.8858757062146893,1
EHM028451.fna,GCA_026202095.1.fna,0.95976,0.8689265536723164,1
EHM028451.fna,GCA_026202215.1.fna,0.960013,0.8621468926553673,1
EHM028451.fna,GCA_026203075.1.fna,0.959876,0.864406779661017,1
EHM028451.fna,GCA_026203095.1.fna,0.959687,0.8666666666666667,1
EHM028451.fna,GCA_026203695.1.fna,0.960375,0.8384180790960452,1
EHM028451.fna,GCA_026203875.1.fna,0.961128,0.8372881355932204,1
EHM028451.fna,GCA_026204115.1.fna,0.960802,0.8451977401129943,1
EHM028451.fna,GCA_030179575.1.fna,0.9593689999999999,0.8293785310734463,1
EHM028451.fna,GCA_030270185.1.fna,0.9520029999999999,0.6463276836158192,1
EHM028451.fna,GCA_030270245.1.fna,0.9581740000000001,0.880225988700565,1
EHM028451.fna,GCA_030282225.1.fna,0.959306,0.8519774011299435,1
EHM028451.fna,GCA_030282285.1.fna,0.9600799999999999,0.847457627118644,1
EHM028451.fna,GCA_030282325.1.fna,0.9593980000000001,0.8508474576271187,1
EHM028451.fna,GCA_030282345.1.fna,0.959908,0.8508474576271187,1
EHM028451.fna,GCA_030282365.1.fna,0.9592449999999999,0.8531073446327684,1
EHM028451.fna,GCA_030282405.1.fna,0.959852,0.8497175141242937,1
EHM028451.fna,GCA_030282485.1.fna,0.959175,0.8508474576271187,1
EHM028451.fna,GCA_030282495.1.fna,0.9594670000000001,0.848587570621469,1
EHM028451.fna,GCA_030282585.1.fna,0.959431,0.847457627118644,1
EHM028451.fna,GCA_030282605.1.fna,0.9592100000000001,0.8497175141242937,1
EHM028451.fna,GCA_030282625.1.fna,0.960058,0.8497175141242937,1
EHM028451.fna,GCA_030282645.1.fna,0.959646,0.8508474576271187,1
EHM028451.fna,GCA_030282665.1.fna,0.9596760000000001,0.8519774011299435,1
EHM028451.fna,GCA_030282725.1.fna,0.9600029999999999,0.8440677966101695,1
EHM028451.fna,GCA_030282745.1.fna,0.959195,0.8531073446327684,1
EHM028451.fna,GCA_030282765.1.fna,0.95916,0.8519774011299435,1
EHM028451.fna,GCA_030282785.1.fna,0.959739,0.8508474576271187,1
EHM028451.fna,GCA_030294065.1.fna,0.9588880000000001,0.8564971751412429,1
EHM028451.fna,GCA_030294125.1.fna,0.9596399999999999,0.847457627118644,1
EHM028451.fna,GCA_030294185.1.fna,0.960094,0.8451977401129943,1
EHM028451.fna,GCA_030295825.1.fna,0.959262,0.8779661016949153,1
EHM028451.fna,GCA_031927645.1.fna,0.960128,0.8305084745762712,1
EHM028451.fna,GCA_031927665.1.fna,0.960948,0.8440677966101695,1
EHM028451.fna,GCA_031927705.1.fna,0.961139,0.8463276836158192,1
EHM028451.fna,GCA_031927725.1.fna,0.960024,0.8734463276836159,1
EHM028451.fna,GCA_031927745.1.fna,0.959813,0.8711864406779661,1
EHM028451.fna,GCA_031927765.1.fna,0.960154,0.8711864406779661,1
EHM028451.fna,GCA_033391135.1.fna,0.960607,0.8711864406779661,1
EHM028451.fna,GCA_040493595.1.fna,0.9593689999999999,0.8293785310734463,1
EHM028451.fna,GCA_041226705.1.fna,0.95908,0.8497175141242937,1
EHM028451.fna,GCA_042134835.1.fna,0.960715,0.8463276836158192,1
EHM028451.fna,GCA_042135145.1.fna,0.958506,0.8372881355932204,1
EHM028451.fna,GCA_043845205.1.fna,0.959766,0.8632768361581921,1
EHM028451.fna,GCA_043950735.1.fna,0.9604389999999999,0.8395480225988701,1
EHM028451.fna,GCA_043950745.1.fna,0.9603360000000001,0.8338983050847457,1
EHM028451.fna,GCA_046311655.1.fna,0.95962,0.8192090395480226,1
EHM028451.fna,GCA_046311675.1.fna,0.9602330000000001,0.8542372881355932,1
EHM028451.fna,GCA_046311715.1.fna,0.959692,0.8700564971751412,1
EHM028451.fna,GCA_046311735.1.fna,0.9595480000000001,0.8723163841807909,1
EHM028451.fna,GCA_046311815.1.fna,0.959501,0.8158192090395481,1
EHM028451.fna,GCA_046311915.1.fna,0.960048,0.8384180790960452,1
EHM028451.fna,GCA_046312095.1.fna,0.9599070000000001,0.8723163841807909,1
EHM028451.fna,GCA_046312115.1.fna,0.959876,0.8757062146892656,1
EHM028451.fna,GCA_049841855.1.fna,0.960452,0.8813559322033898,1
EHM028451.fna,GCA_049892005.1.fna,0.961267,0.8372881355932204,1
EHM028451.fna,GCA_050684635.1.fna,0.9597199999999999,0.8542372881355932,1
EHM028451.fna,GCA_050685135.1.fna,0.9594450000000001,0.8632768361581921,1
