ID	mag_name	link_to_assembly	AB_batch	eha_number	GTDB_version	GTDB_release	domain	phylum	class	order	family	genus	species	fastani_ani	closest_placement_ani	closest_placement_af	completeness	contamination	size	GC	N50	coding_density	contigs	number_genes	number_unannotated_genes	DM_batch	host_species	host_order	host_class	locality	country	MAG_url	anno_url	kegg_url	annotated	taxonomy_level	assembly_type	sample_type	gbk_url	kegg_hits	Capture ID	percent_unannotated_genes	percent_unannotated_kegg	dereplicated	metagenomic source	completeness software	binning software	assembly quality	binning parameters	taxonomic identity marker	isolation_source	assembly software	Submission	species_clean
EHM013411	EHA00302_bin.9.fa	EHA00302	ABB0114	EHA00302	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia paralvei	98.94	98.94	0.87	99.86	0.54	4969598	47.80%	105118	NA	97	NA	NA	NA	Podarcis muralis	Squamata	Reptilia	Aragón	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0114/EHA00302_bin.9.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0063101	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS011	hafnia_paralvei
EHM015951	EHA00298_bin.17.fa	EHA00298	ABB0114	EHA00298	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia paralvei	95.71	95.71	0.86	98.58	0.91	4627090	48.20%	115086	NA	62	NA	NA	NA	Podarcis muralis	Squamata	Reptilia	Aragón	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0114/EHA00298_bin.17.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0062001	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS011	hafnia_paralvei
EHM019781	EHA00183_bin.3.fa	EHA00183	ABB0138	EHA00183	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia paralvei	98.91	98.91	0.86	99.52	0.45	4866050	47.80%	110865	NA	94	4527	574	DMB0029,DMB0114,DMB0172	Plecotus auritus	Chiroptera	Mammalia	Greater London	United Kingdom	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0138/EHA00183_bin.3.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019781_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019781_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019781.gbk.gz	3002	SD0073601, SD0073701	12.7	33.7	DMB0029,DMB0114,DMB0172	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	hafnia_paralvei
EHM025129	EHA01546_bin.21.fa	EHA01546	ABB0216	EHA01546	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia paralvei	98.94	98.94	0.87	99.86	0.54	4947652	47.80%	94600	NA	103	4682	625	DMB0010,DMB0112,DMB0113,DMB0114	Podarcis muralis	Squamata	Reptilia	Aragón	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0216/EHA01546_bin.21.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM025129_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM025129_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM025129.gbk.gz	3004	SD0063201, SD0063101, SD0063001, SD0063301	13.3	35.8	DMB0010,DMB0112,DMB0114,DMB0113	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	hafnia_paralvei
EHM034518	EHA02345_bin.5.fa	EHA02345	ABB0269	EHA02345	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia paralvei	99.02	99.02	0.88	100	0.15	4792154	48.00%	300554	0.86	45	NA	NA	DMB0042,DMB0157	Lissotriton helveticus	Urodela	Amphibia	Irun	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0269/EHA02345_bin.5.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0342101	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS004	hafnia_paralvei
EHM034582	EHA02328_bin.12.fa	EHA02328	ABB0269	EHA02328	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia paralvei	99.02	99.02	0.87	100	0.04	4812957	48.00%	205045	0.86	66	NA	NA	DMB0042,DMB0157	Lissotriton helveticus	Urodela	Amphibia	Eskoriatza	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0269/EHA02328_bin.12.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0343701	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS004	hafnia_paralvei
EHM034613	EHA02338_bin.5.fa	EHA02338	ABB0269	EHA02338	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia paralvei	99.12	99.12	0.88	100	0.01	4727852	48.00%	181676	0.86	57	4294	447	DMB0042,DMB0114,DMB0157	Lissotriton helveticus	Urodela	Amphibia	Irun	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0269/EHA02338_bin.5.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM034613_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM034613_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM034613.gbk.gz	2996	SD0342301	10.4	30.2	DMB0042,DMB0114,DMB0157	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS004	hafnia_paralvei
EHM034663	EHA02355_bin.14.fa	EHA02355	ABB0269	EHA02355	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia paralvei	99.02	99.02	0.89	100	0.03	4978946	48.00%	254463	0.86	106	NA	NA	DMB0042,DMB0157	Lissotriton helveticus	Urodela	Amphibia	Eskoriatza	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0269/EHA02355_bin.14.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0343601	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS004	hafnia_paralvei
EHM035016	EHA02364_bin.14.fa	EHA02364	ABB0270	EHA02364	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia paralvei	99.11	99.11	0.91	100	0.07	4509409	48.00%	74245	0.86	110	NA	NA	DMB0042,DMB0157	Lissotriton helveticus	Urodela	Amphibia	Eskoriatza	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0270/EHA02364_bin.14.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0343701, SD0343801, SD0343601, SD0343501	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	hafnia_paralvei
EHM035261	EHA02344_bin.16.fa	EHA02344	ABB0269	EHA02344	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia paralvei	98.98	98.98	0.87	100	0.09	4757837	48.00%	224320	0.86	42	NA	NA	DMB0042,DMB0157	Lissotriton helveticus	Urodela	Amphibia	Eskoriatza	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0269/EHA02344_bin.16.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0343801	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS004	hafnia_paralvei
