module_id	genome	completion
module_225	GCA_958371025.1_SRR17798044_bin.10_MetaWRAP_v1.3_MAG_genomic	1.0
module_225	GCF_002206325.1_ASM220632v2_genomic	1.0
module_225	GCF_018288975.1_ASM1828897v1_genomic	1.0
module_225	GCA_003464145.1_ASM346414v1_genomic	1.0
module_225	GCF_018289335.1_ASM1828933v1_genomic	1.0
module_225	GCF_018587995.1_ASM1858799v1_genomic	1.0
module_225	EHA01281_bin.18	1.0
module_262	GCF_018288975.1_ASM1828897v1_genomic	1.0
module_262	EHA01845_bin.103	1.0
module_262	GCF_001405775.1_13414_6_6_genomic	1.0
module_262	GCA_025757725.1_ASM2575772v1_genomic	1.0
module_336	EHA04680_bin.8	1.0
module_336	EHA03390_bin.20	1.0
module_336	EHA04696_bin.132	1.0
module_336	EHA05078_bin.42	1.0
module_406	GCF_018784195.1_ASM1878419v1_genomic	1.0
module_406	GCA_003464145.1_ASM346414v1_genomic	1.0
module_406	GCA_958413795.1_ERR9578301_bin.6_MetaWRAP_v1.3_MAG_genomic	0.14
module_406	GCF_003475725.1_ASM347572v1_genomic	1.0
module_406	GCF_018289335.1_ASM1828933v1_genomic	1.0
module_406	GCF_003471825.1_ASM347182v1_genomic	1.0
module_406	GCF_018784125.1_ASM1878412v1_genomic	1.0
module_406	GCF_003464475.1_ASM346447v1_genomic	0.86
module_406	GCF_003439415.1_ASM343941v1_genomic	1.0
module_406	GCF_003467575.1_ASM346757v1_genomic	1.0
module_406	GCF_003469715.1_ASM346971v1_genomic	1.0
module_406	GCF_003472045.1_ASM347204v1_genomic	1.0
module_406	GCF_001405775.1_13414_6_6_genomic	1.0
module_406	GCF_029369685.1_ASM2936968v1_genomic	1.0
module_406	GCF_002206325.1_ASM220632v2_genomic	1.0
module_406	GCF_003468605.1_ASM346860v1_genomic	1.0
module_406	GCA_008679285.1_ASM867928v1_genomic	0.57
module_406	GCA_958416015.1_ERR10960865_bin.15_MetaWRAP_v1.3_MAG_genomic	0.14
module_406	GCF_003459965.1_ASM345996v1_genomic	1.0
module_406	GCF_020687325.1_ASM2068732v1_genomic	0.71
module_406	GCF_003469775.1_ASM346977v1_genomic	1.0
module_406	GCF_003437495.1_ASM343749v1_genomic	1.0
module_406	GCF_003469235.1_ASM346923v1_genomic	1.0
module_406	GCF_018288975.1_ASM1828897v1_genomic	1.0
module_406	GCA_014870645.1_ASM1487064v1_genomic	1.0
module_406	GCF_018292145.1_ASM1829214v1_genomic	1.0
module_406	GCF_001405935.1_13414_6_56_genomic	0.86
module_406	GCF_019733675.1_ASM1973367v1_genomic	1.0
module_406	GCF_018587995.1_ASM1858799v1_genomic	1.0
module_455	GCA_008680675.1_ASM868067v1_genomic	1.0
module_455	GCF_018784125.1_ASM1878412v1_genomic	1.0
module_455	GCF_003475725.1_ASM347572v1_genomic	1.0
module_455	GCF_018289335.1_ASM1828933v1_genomic	1.0
module_455	GCF_018587995.1_ASM1858799v1_genomic	1.0
module_519	GCA_030842445.1_ASM3084244v1_genomic	1.0
module_519	GCF_003464475.1_ASM346447v1_genomic	1.0
module_519	GCF_018292145.1_ASM1829214v1_genomic	1.0
module_561	GCF_003469235.1_ASM346923v1_genomic	1.0
module_561	GCA_958427815.1_ERR9762699_bin.64_MetaWRAP_v1.3_MAG_genomic	1.0
module_561	GCF_003467575.1_ASM346757v1_genomic	1.0
