ID	mag_name	link_to_assembly	AB_batch	eha_number	GTDB_version	GTDB_release	domain	phylum	class	order	family	genus	species	fastani_ani	closest_placement_ani	closest_placement_af	completeness	contamination	size	GC	N50	coding_density	contigs	number_genes	number_unannotated_genes	DM_batch	host_species	host_order	host_class	locality	country	MAG_url	anno_url	kegg_url	annotated	taxonomy_level	assembly_type	sample_type	gbk_url	kegg_hits	Capture ID	percent_unannotated_genes	percent_unannotated_kegg	dereplicated	metagenomic source	completeness software	binning software	assembly quality	binning parameters	taxonomic identity marker	isolation_source	assembly software	Submission
EHM012150	EHA00441_bin.2.fa	EHA00441	ABB0111	EHA00441	2.3.0	R214	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_C	s__Helicobacter_C marmotae	98.44	98.44	0.94	99.17	0.82	2022309	39.30%	79976	NA	74	NA	NA	DMB0006,DMB0025,DMB0031	Sciurus vulgaris	Rodentia	Mammalia	Ovar	Portugal	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0111/EHA00441_bin.2.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012150_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012150_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012150.gbk.gz	NA	SD0188901	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM012170	EHA00442_bin.4.fa	EHA00442	ABB0111	EHA00442	2.3.0	R214	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_C	s__Helicobacter_C marmotae	98.42	98.42	0.92	99.35	0.82	2057779	39.20%	45398	NA	88	NA	NA	DMB0006,DMB0025,DMB0031	Sciurus vulgaris	Rodentia	Mammalia	Ballina, Co.Mayo	Ireland	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0111/EHA00442_bin.4.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012170_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012170_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012170.gbk.gz	NA	SD0185201	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM012186	EHA00444_bin.7.fa	EHA00444	ABB0111	EHA00444	2.3.0	R214	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_C	s__Helicobacter_C marmotae	98.44	98.44	0.94	99.35	0.82	1967061	39.40%	81869	NA	67	1837	413	DMB0006,DMB0025,DMB0031	Sciurus vulgaris	Rodentia	Mammalia	Ballina, Co.Mayo	Ireland	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0111/EHA00444_bin.7.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012186_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012186_kegg.tsv.gz	TRUE	Species	Individual	Anal/cloacal swab	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012186.gbk.gz	970	SD0184301	22.5	47.2	DMB0006,DMB0025,DMB0031	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM012215	EHA00447_bin.1.fa	EHA00447	ABB0111	EHA00447	2.3.0	R214	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_C	s__Helicobacter_C marmotae	98.4	98.4	0.94	98.99	0.82	1966862	39.50%	69246	NA	65	NA	NA	DMB0006,DMB0025,DMB0031	Sciurus vulgaris	Rodentia	Mammalia	Ballina, Co.Mayo	Ireland	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0111/EHA00447_bin.1.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012215_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012215_kegg.tsv.gz	TRUE	Species	Individual	Anal/cloacal swab	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012215.gbk.gz	NA	SD0184201	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM012296	EHA00452_bin.14.fa	EHA00452	ABB0111	EHA00452	2.3.0	R214	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_C	s__Helicobacter_C marmotae	98.44	98.44	0.94	99.35	0.82	2049222	39.30%	51394	NA	76	NA	NA	DMB0006,DMB0025,DMB0031	Sciurus vulgaris	Rodentia	Mammalia	Ballina, Co.Mayo	Ireland	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0111/EHA00452_bin.14.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012296_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012296_kegg.tsv.gz	TRUE	Species	Individual	Anal/cloacal swab	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012296.gbk.gz	NA	SD0183901	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM012494	EHA00391_bin.12.fa	EHA00391	ABB0112	EHA00391	2.3.0	R214	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_C	s__Helicobacter_C marmotae	98.48	98.48	0.97	97.11	1.13	1810935	39.70%	10019	NA	244	NA	NA	DMB0009,DMB0026,DMB0031	Sciurus carolinensis	Rodentia	Mammalia	Piedmont, Torino	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0112/EHA00391_bin.12.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012494_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012494_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012494.gbk.gz	NA	SD0178601	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS012
EHM012515	EHA00392_bin.11.fa	EHA00392	ABB0112	EHA00392	2.3.0	R214	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_C	s__Helicobacter_C marmotae	98.36	98.36	0.94	98.59	1.18	1961357	39.40%	18823	NA	173	NA	NA	DMB0009,DMB0026,DMB0031	Sciurus carolinensis	Rodentia	Mammalia	Piedmont, Piobesi	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0112/EHA00392_bin.11.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012515_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012515_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012515.gbk.gz	NA	SD0034101	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS012
EHM012726	EHA00402_bin.8.fa	EHA00402	ABB0112	EHA00402	2.3.0	R214	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_C	s__Helicobacter_C marmotae	98.48	98.48	0.93	99.35	0.82	2083116	39.30%	58265	NA	83	NA	NA	DMB0009,DMB0026,DMB0031	Sciurus carolinensis	Rodentia	Mammalia	Piedmont, Piobesi	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0112/EHA00402_bin.8.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012726_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012726_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012726.gbk.gz	NA	SD0034201	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS012
EHM012735	EHA00405_bin.10.fa	EHA00405	ABB0112	EHA00405	2.3.0	R214	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_C	s__Helicobacter_C marmotae	98.42	98.42	0.93	99.35	0.82	2057838	39.20%	63120	NA	71	NA	NA	DMB0009,DMB0026,DMB0031	Sciurus carolinensis	Rodentia	Mammalia	Scotland, Aberdeen	United Kingdom	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0112/EHA00405_bin.10.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012735_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012735_kegg.tsv.gz	TRUE	Species	Individual	Anal/cloacal swab	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012735.gbk.gz	NA	SD0165901	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM012756	EHA00406_bin.5.fa	EHA00406	ABB0112	EHA00406	2.3.0	R214	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_C	s__Helicobacter_C marmotae	98.38	98.38	0.99	91.63	2.31	1759045	39.60%	6713	NA	340	NA	NA	DMB0009,DMB0026,DMB0031	Sciurus carolinensis	Rodentia	Mammalia	Calgary	Canada	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0112/EHA00406_bin.5.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012756_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012756_kegg.tsv.gz	TRUE	Species	Individual	Anal/cloacal swab	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM012756.gbk.gz	NA	SD0187201	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
