representative_RGP	nb_spots	mod_list	RGP_list
EHA00531_bin.1^_4_RGP_0	0	module_2,module_3	EHA00531_bin.1^_4_RGP_0,JAUURM010000005.1_RGP_0,NZ_QRKE01000004.1_RGP_0
EHA00531_bin.1^_37_RGP_0	1	module_10	EHA00531_bin.1^_37_RGP_0,EHA03376_bin.12^_2_RGP_0,NAKS01000002.1_RGP_6,JALFGY010000025.1_RGP_1,JALFYO010000052.1_RGP_1,JAUUMF010000053.1_RGP_0,JAUUMF010000174.1_RGP_0,JAUUOT010000138.1_RGP_0,CATZCB010000018.1_RGP_0,CAUFBL010000008.1_RGP_1,CAUFLA010000045.1_RGP_0,CAUFQX010000020.1_RGP_0,NZ_QRXK01000011.1_RGP_1,NZ_QRPA01000006.1_RGP_0,NZ_JAASIM010000018.1_RGP_0,NZ_JAASIM010000010.1_RGP_0,NZ_CP120353.1_RGP_22
EHA00531_bin.1^_185_RGP_0	0	module_77,module_2	EHA00531_bin.1^_185_RGP_0,EHA01281_bin.18^_99_RGP_0,EHA01845_bin.103^_85_RGP_0,EHA05111_bin.128^_66_RGP_0
EHA00531_bin.1^_170_RGP_0	5	module_74,module_33	EHA00531_bin.1^_170_RGP_0,NAMT01000009.1_RGP_10,VSOM01000023.1_RGP_0,CAUFBL010000008.1_RGP_0,NZ_QRYZ01000001.1_RGP_7,NZ_QRPY01000033.1_RGP_0,NZ_JAFBJB010000004.1_RGP_0,NZ_WQNY01000003.1_RGP_1,NZ_BQOC01000003.1_RGP_1,NZ_BQOD01000003.1_RGP_1
EHA00531_bin.1^_119_RGP_0	1	module_36	EHA00531_bin.1^_119_RGP_0,EHA00539_bin.6^_158_RGP_0,JAUURM010000001.1_RGP_2,JAUUOT010000164.1_RGP_0,JAUUOT010000051.1_RGP_0,CATYVK010000043.1_RGP_0,CATZCB010000001.1_RGP_0,CAUAVI010000001.1_RGP_0,NZ_QRXK01000006.1_RGP_0,NZ_QSHF01000005.1_RGP_1,NZ_QSIV01000047.1_RGP_0,NZ_QSIV01000004.1_RGP_2,NZ_QRPY01000041.1_RGP_0,NZ_QRPY01000063.1_RGP_0,NZ_JABAFE010000001.1_RGP_2
EHA00531_bin.1^_197_RGP_0	1	module_83,module_84	EHA00531_bin.1^_197_RGP_0,NAMT01000002.1_RGP_5,CATZCB010000014.1_RGP_0
EHA00531_bin.1^_207_RGP_0	1	module_87	EHA00531_bin.1^_207_RGP_0,JALFYO010000020.1_RGP_0,JAUUOT010000175.1_RGP_0,CAUCZP010000027.1_RGP_1,CAUCZP010000045.1_RGP_0,CAUFBL010000015.1_RGP_0,NZ_QRXK01000015.1_RGP_0,NZ_QRPA01000014.1_RGP_0,NZ_CP120353.1_RGP_41
EHA00531_bin.1^_215_RGP_0	1	module_89	EHA00531_bin.1^_215_RGP_0,EHA01281_bin.18^_45_RGP_2,EHA03390_bin.20^_94_RGP_1,EHA04680_bin.8^_59_RGP_2,EHA04696_bin.132^_11_RGP_0,EHA05078_bin.42^_71_RGP_0,NAMT01000006.1_RGP_7,JALFYO010000018.1_RGP_0,CP107196.1_RGP_46,JAUUQX010000022.1_RGP_0,JAUUOT010000016.1_RGP_0,CATZCB010000028.1_RGP_0,CATZPJ010000166.1_RGP_0,CAUFBL010000037.1_RGP_0,CAUFQX010000027.1_RGP_0,NZ_CYXP01000005.1_RGP_3,NZ_CZBM01000002.1_RGP_6,NZ_QRPA01000026.1_RGP_0,NZ_CP072210.1_RGP_46
EHA00531_bin.1^_13_RGP_0	0	module_5	EHA00531_bin.1^_13_RGP_0,EHA01845_bin.103^_14_RGP_0,EHA05111_bin.128^_89_RGP_0,CATZPJ010000381.1_RGP_0,CAUCSL010000065.1_RGP_0
EHA00531_bin.1^_125_RGP_0	1	module_37,module_38,module_40,module_39	EHA00531_bin.1^_125_RGP_0
EHA00531_bin.1^_126_RGP_0	1	module_41	EHA00531_bin.1^_126_RGP_0,EHA00726_bin.13^_35_RGP_0,EHA01281_bin.18^_78_RGP_0,EHA01845_bin.103^_86_RGP_0,EHA03288_bin.14^_51_RGP_0,EHA03351_bin.43^_77_RGP_0,EHA05111_bin.128^_61_RGP_0,QSEH01000024.1_RGP_0,WGVK01000005.1_RGP_0,JALFMD010000021.1_RGP_0,JALFYO010000040.1_RGP_0,CP107196.1_RGP_22,JAUUMF010000151.1_RGP_0,JAUUMF010000237.1_RGP_0,JAUULV010000003.1_RGP_0,JAUURM010000008.1_RGP_0,JAUUQX010000008.1_RGP_0,JAUUNW010000121.1_RGP_0,JAUUNW010000015.1_RGP_1,CATYBK010000028.1_RGP_1,CATZAC010000261.1_RGP_0,CATZPJ010000179.1_RGP_0,CATZPJ010000125.1_RGP_0,CAUADP010000058.1_RGP_0,CAUBHL010000008.1_RGP_0,CAUCZP010000012.1_RGP_0,CAUFBL010000016.1_RGP_0,CAUFLA010000048.1_RGP_0,CAUFNR010000019.1_RGP_0,CAUFQX010000042.1_RGP_0,CAUGMZ010000036.1_RGP_0,NZ_CYYK01000001.1_RGP_2,NZ_CYXP01000002.1_RGP_2,NZ_QSQS01000004.1_RGP_2,NZ_QSVO01000004.1_RGP_2,NZ_QRXK01000002.1_RGP_2,NZ_QRYZ01000001.1_RGP_2,NZ_QSLF01000008.1_RGP_1,NZ_QRKE01000007.1_RGP_0,NZ_QRPA01000008.1_RGP_2,NZ_CP072210.1_RGP_23,NZ_CP072231.1_RGP_24,NZ_CP072254.1_RGP_23,NZ_WQNZ01000081.1_RGP_0,NZ_JAJEQK010000010.1_RGP_0,NZ_BQOC01000003.1_RGP_2,NZ_BQOD01000003.1_RGP_2,NZ_CP120353.1_RGP_30
EHA00531_bin.1^_167_RGP_0	0	module_72	EHA00531_bin.1^_167_RGP_0,QSEH01000006.1_RGP_1
EHA00531_bin.1^_3_RGP_0	1	module_1	EHA00531_bin.1^_3_RGP_0,EHA00535_bin.6^_598_RGP_0,JALFYO010000011.1_RGP_1,JAUUMF010000155.1_RGP_0,CAUFBL010000002.1_RGP_1,CAUFLA010000012.1_RGP_0,CAUFQX010000023.1_RGP_0,NZ_QRPA01000007.1_RGP_1,NZ_JAJEQK010000006.1_RGP_0
EHA00531_bin.1^_96_RGP_0	2	module_29	EHA00531_bin.1^_96_RGP_0,EHA00928_bin.90^_173_RGP_0,EHA02500_bin.116^_122_RGP_1,EHA03390_bin.20^_73_RGP_1,EHA04680_bin.8^_92_RGP_1,EHA04680_bin.8^_48_RGP_0,EHA04696_bin.132^_95_RGP_0,EHA05078_bin.42^_89_RGP_0,NAMT01000009.1_RGP_19,NAKS01000002.1_RGP_21,SUXM01000011.1_RGP_0,JALFGY010000025.1_RGP_2,JAUUNC010000024.1_RGP_0,CATYVK010000015.1_RGP_3,CATZAC010000032.1_RGP_0,CATZCB010000013.1_RGP_0,CAUFLA010000045.1_RGP_1,NZ_QRXK01000011.1_RGP_2,NZ_CP120353.1_RGP_77
EHA00531_bin.1^_198_RGP_0	1	module_85	EHA00531_bin.1^_198_RGP_0,EHA01439_bin.44^_298_RGP_0,QSEH01000012.1_RGP_2,NAMT01000009.1_RGP_20,JAUUMF010000161.1_RGP_0,CATYBK010000039.1_RGP_0,CATYVK010000013.1_RGP_1,CATZCB010000002.1_RGP_3,CATZPJ010000027.1_RGP_0,CAUCAE010000006.1_RGP_2,CAUCZP010000039.1_RGP_0,NZ_CZBM01000019.1_RGP_1,NZ_QRXK01000013.1_RGP_4,NZ_QSHF01000007.1_RGP_3,NZ_QSJN01000007.1_RGP_3,NZ_QSIV01000039.1_RGP_0,NZ_QRPA01000013.1_RGP_3,NZ_QRPY01000009.1_RGP_2,NZ_JAFBJB010000006.1_RGP_4,NZ_JAJEQK010000015.1_RGP_2
EHA00531_bin.1^_10_RGP_0	2	module_4	EHA00531_bin.1^_10_RGP_0,EHA00535_bin.6^_534_RGP_0,EHA01958_bin.190^_140_RGP_0,WGVK01000029.1_RGP_0,JAUURM010000041.1_RGP_0,JAUUOT010000082.1_RGP_0,JAUUOT010000169.1_RGP_0,CATXLD010000007.1_RGP_0,CATYBK010000008.1_RGP_1,CATZCB010000035.1_RGP_0,CAUAVI010000012.1_RGP_1,CAUCAE010000024.1_RGP_0,CAUCSL010000005.1_RGP_0,CAUGMZ010000008.1_RGP_0,NZ_JAFBJB010000014.1_RGP_0,NZ_WQNY01000017.1_RGP_2,NZ_JAJEQK010000018.1_RGP_2
EHA00531_bin.1^_56_RGP_0	1	module_16,module_17	EHA00531_bin.1^_56_RGP_0,EHA03390_bin.20^_15_RGP_1,NAMT01000011.1_RGP_6,NAKS01000003.1_RGP_4,VSOM01000020.1_RGP_0,JALFGY010000005.1_RGP_0,JALFYO010000002.1_RGP_0,JAUUMF010000009.1_RGP_0,JAUUOT010000075.1_RGP_0,CATYVK010000001.1_RGP_1,CATZCB010000027.1_RGP_0,CAUCZP010000036.1_RGP_0,CAUFBL010000020.1_RGP_0,CAUFLA010000024.1_RGP_0,CAUFQX010000004.1_RGP_1,NZ_CZBM01000012.1_RGP_2,NZ_QRXK01000009.1_RGP_2,NZ_QRPA01000025.1_RGP_0,NZ_CP072231.1_RGP_38,NZ_JAJEQK010000025.1_RGP_0,NZ_CP120353.1_RGP_40
EHA00531_bin.1^_67_RGP_0	1	module_21,module_22	EHA00531_bin.1^_67_RGP_0,EHA01202_bin.66^_237_RGP_0,CATZCB010000008.1_RGP_0
EHA00531_bin.1^_205_RGP_0	1	module_86	EHA00531_bin.1^_205_RGP_0,EHA03161_bin.52^_16_RGP_0,EHA04588_bin.13^_173_RGP_0,NAMT01000011.1_RGP_9,NAKS01000004.1_RGP_1,DYUW01000059.1_RGP_0,JALFBZ010000051.1_RGP_0,JALFGY010000022.1_RGP_0,JALFYO010000007.1_RGP_0,JAUUMF010000018.1_RGP_0,JAUUNW010000001.1_RGP_0,JAUUNC010000018.1_RGP_0,CATYVK010000028.1_RGP_0,CATZAC010000003.1_RGP_0,CATZCB010000046.1_RGP_0,CATZPJ010000009.1_RGP_0,CAUCZP010000001.1_RGP_0,CAUFLA010000070.1_RGP_0,CAUFQX010000001.1_RGP_1,CAUHJC010000007.1_RGP_1,NZ_CYXP01000003.1_RGP_1,NZ_QRPA01000021.1_RGP_0,NZ_JAJEQK010000036.1_RGP_0,NZ_CP120353.1_RGP_58
EHA00531_bin.1^_41_RGP_0	2	module_11,module_12,module_13	EHA00531_bin.1^_41_RGP_0,EHA00726_bin.13^_3_RGP_1,NAKS01000002.1_RGP_2,VSOM01000007.1_RGP_0,JALFMD010000024.1_RGP_0,JALFGY010000044.1_RGP_0,JALFYO010000023.1_RGP_0,JAUUMF010000094.1_RGP_0,JAUURM010000001.1_RGP_1,CATYBK010000002.1_RGP_2,CATZCB010000005.1_RGP_0,CAUBHL010000006.1_RGP_1,CAUCZP010000002.1_RGP_0,CAUFBL010000003.1_RGP_0,CAUFLA010000021.1_RGP_0,CAUFQX010000003.1_RGP_0,NZ_CYXP01000001.1_RGP_2,NZ_CZBM01000026.1_RGP_1,NZ_QSQS01000001.1_RGP_2,NZ_QSVO01000010.1_RGP_2,NZ_QRYZ01000009.1_RGP_2,NZ_QSLF01000003.1_RGP_2,NZ_QRKE01000008.1_RGP_2,NZ_QRPA01000001.1_RGP_0,NZ_CP072254.1_RGP_12,NZ_WQNZ01000064.1_RGP_0,NZ_BQOC01000001.1_RGP_5,NZ_BQOD01000001.1_RGP_5
