user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
D_bin_101864	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__Limisoma sp900541935	GCA_900541935.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__Limisoma sp900541935	96.53	0.824	GCA_900541935.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__Limisoma sp900541935	96.53	0.824	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	92.27	11	N/A	N/A
D_bin_102248	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp900552855	GCA_900552855.1	95.0	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp900552855	98.99	0.878	GCA_900552855.1	95.0	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp900552855	98.99	0.878	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900547415.1, s__Phascolarctobacterium_A sp900547415, 95.0, 85.15, 0.413	94.06	11	N/A	N/A
D_bin_113409	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__	N/A	N/A	N/A	N/A	N/A	GCF_000953675.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium sordellii	98.38	0.493	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_014306135.1, s__Paraclostridium hominis, 95.0, 88.58, 0.275; GCF_019916025.1, s__Paraclostridium bifermentans, 96.17, 86.01, 0.172; GCF_012922555.1, s__Paraclostridium dentum, 95.01, 85.77, 0.166; GCF_030815085.1, s__Paraclostridium ghonii, 95.0, 85.25, 0.164; GCA_017425305.1, s__Paraclostridium sp017425305, 95.0, 83.06, 0.176; GCF_001006285.1, s__Paraclostridium benzoelyticum, 95.0, 82.82, 0.155	68.06	11	0.99778	N/A
D_bin_40485	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus acidophilus	GCF_001591845.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus acidophilus	98.06	0.805	GCF_001591845.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus acidophilus	98.06	0.805	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002706375.1, s__Lactobacillus amylovorus, 95.0, 84.27, 0.317; GCF_000615285.1, s__Lactobacillus kitasatonis, 95.0, 84.01, 0.327; GCF_001434975.1, s__Lactobacillus gallinarum, 95.0, 83.46, 0.296; GCF_902491705.1, s__Lactobacillus sp902491705, 95.0, 83.2, 0.31; GCF_000160855.1, s__Lactobacillus helveticus, 95.0, 82.89, 0.249; GCF_001436305.1, s__Lactobacillus ultunensis, 95.0, 82.83, 0.278; GCF_018987235.1, s__Lactobacillus crispatus, 95.0, 82.74, 0.223; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 82.65, 0.223; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 82.56, 0.229; GCF_900103655.1, s__Lactobacillus kefiranofaciens, 95.0, 81.76, 0.194	92.87	11	N/A	N/A
D_bin_43708	d__Bacteria;p__Bacillota;c__Bacilli;o__MOL361;f__Turicibacteraceae;g__Turicibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__MOL361;f__Turicibacteraceae;g__Turicibacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	96.48	11	0.97571	N/A
D_bin_44667	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-465;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-465;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	85.22	11	0.77811	N/A
D_bin_48063	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Gallintestinimicrobium;s__Gallintestinimicrobium sp900539715	GCA_900539715.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Gallintestinimicrobium;s__Gallintestinimicrobium sp900539715	97.84	0.898	GCA_900539715.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Gallintestinimicrobium;s__Gallintestinimicrobium sp900539715	97.84	0.898	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Gallintestinimicrobium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900550285.1, s__Gallintestinimicrobium sp900550285, 95.0, 85.4, 0.253	56.9	11	N/A	N/A
D_bin_51922	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp958367245	GCA_958367245.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp958367245	97.59	0.907	GCA_958367245.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp958367245	97.59	0.907	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_030536995.1, s__Blautia_A sp030536995, 95.0, 93.99, 0.82; GCA_019416265.1, s__Blautia_A sp019416265, 95.0, 88.41, 0.663	90.19	11	N/A	N/A
D_bin_51985	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus animalis	GCF_001434535.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus animalis	99.22	0.941	GCF_001434535.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus animalis	99.22	0.941	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_910587695.1, s__Ligilactobacillus sp910587695, 95.0, 91.72, 0.777; GCF_001591685.1, s__Ligilactobacillus murinus, 95.0, 91.42, 0.772	92.14	11	N/A	N/A
D_bin_54794	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp900556555	GCA_900556555.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp900556555	98.0	0.704	GCA_900556555.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp900556555	98.0	0.704	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_947654165.1, s__Blautia sp947654165, 95.0, 89.72, 0.503; GCA_905200905.1, s__Blautia sp900753905, 95.0, 86.77, 0.223; GCA_902363515.1, s__Blautia sp000432195, 95.0, 84.5, 0.186; GCA_958352855.1, s__Blautia sp958352855, 95.0, 83.2, 0.162	75.91	11	N/A	N/A
