ID	mag_name	link_to_assembly	AB_batch	eha_number	GTDB_version	GTDB_release	domain	phylum	class	order	family	genus	species	fastani_ani	closest_placement_ani	closest_placement_af	completeness	contamination	size	GC	N50	coding_density	contigs	number_genes	number_unannotated_genes	DM_batch	host_species	host_order	host_class	MAG_url	anno_url	kegg_url	annotated	taxonomy_level	assembly_type	sample_type	gbk_url	kegg_hits	Capture ID	percent_unannotated_genes	percent_unannotated_kegg	dereplicated	metagenomic source	completeness software	binning software	assembly quality	binning parameters	taxonomic identity marker	isolation_source	assembly software	Submission	species_clean
EHM019092	EHA00702_bin.16.fa	EHA00702	ABB0132	EHA00702	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B hirae	98.81	98.81	0.91	99.62	0.2	2834271	36.80%	98582	NA	51	2593	529	DMB0049,DMB0112,DMB0114	Podarcis muralis	Squamata	Reptilia	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0132/EHA00702_bin.16.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019092_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019092_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019092.gbk.gz	1392	SD0226901	20.4	46.3	DMB0049,DMB0112,DMB0114	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS015	enterococcus_b_hirae
EHM028451	EHA01270_bin.16.fa	EHA01270	ABB0174	EHA01270	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B hirae	96	96	0.87	100	0.13	2718048	36.00%	143989	0.84	40	NA	NA	DMB0052,DMB0146	Apodemus sylvaticus	Rodentia	Mammalia	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0174/EHA01270_bin.16.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0015001	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	enterococcus_b_hirae
EHM030672	EHA01904_bin.9.fa	EHA01904	ABB0247	EHA01904	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B hirae	98.49	98.49	0.91	100	0.18	2862920	37.00%	160051	0.84	41	2771	655	DMB0024,DMB0032,DMB0114	Canis familiaris	Carnivora	Mammalia	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0247/EHA01904_bin.9.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM030672_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM030672_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM030672.gbk.gz	1375	SD0317601	23.6	50.4	DMB0024,DMB0032,DMB0114	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS002	enterococcus_b_hirae
EHM031657	EHA01958_bin.112.fa	EHA01958	ABB0249	EHA01958	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B hirae	98.42	98.42	0.92	99.93	0.42	2831882	37.00%	148493	0.84	40	NA	NA	DMB0032	Canis familiaris	Carnivora	Mammalia	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0249/EHA01958_bin.112.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM031657_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM031657_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM031657.gbk.gz	NA	SD0315101, SD0314701, SD0317301, SD0316401, SD0317601, SD0315301, SD0323101, SD0316801, SD0317101, SD0316901, SD0317401, SD0317001, SD0316001, SD0314601, SD0315001, SD0317201, SD0314901, SD0317801, SD0322901, SD0322801, SD0323001, SD0314801, SD0315901, SD0316201, SD0316101, SD0317701, SD0316301, SD0317501, SD0315201	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	enterococcus_b_hirae
EHM042200	EHA02805_bin.2.fa	EHA02805	ABB0323	EHA02805	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B hirae	98.22	98.22	0.86	100	0.46	3035989	36.00%	84928	0.83	92	2912	726	DMB0072,DMB0114	Mops thersites	Chiroptera	Mammalia	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0323/EHA02805_bin.2.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM042200_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM042200_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM042200.gbk.gz	1429	SD0204101, SD0203901	24.9	50.9	DMB0072,DMB0114	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	enterococcus_b_hirae
EHM042775	EHA02748_bin.94.fa	EHA02748	ABB0305	EHA02748	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B hirae	96	96	0.88	100	0.12	2716568	36.00%	152864	0.83	37	2588	579	DMB0052,DMB0114,DMB0146	Apodemus sylvaticus	Rodentia	Mammalia	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0305/EHA02748_bin.94.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM042775_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM042775_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM042775.gbk.gz	1353	SD0014801, SD0014601, SD0015101, SD0015001, SD0014501, SD0014401, SD0015401	22.4	47.7	DMB0052,DMB0114,DMB0146	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	enterococcus_b_hirae
EHM043802	EHA02910_bin.45.fa	EHA02910	ABB0349	EHA02910	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B hirae	98.88	98.88	0.9	100	0.7	2834520	37.00%	98937	0.84	49	NA	NA	NA	Podarcis muralis	Squamata	Reptilia	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0349/EHA02910_bin.45.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0226901, SD0227001, SD0227301, SD0226601, SD0227201	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	enterococcus_b_hirae
EHM054902	EHA03613_bin.143.fa	EHA03613	ABB0426	EHA03613	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B hirae	95.95	95.95	0.88	100	0.98	2721429	37.00%	114934	0.91	34	NA	NA	DMB0146	Apodemus sylvaticus	Rodentia	Mammalia	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0426/EHA03613_bin.143.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0240601, SD0240501, SD0066901, SD0067101, SD0014601, SD0014801, SD0015001, SD0015101, SD0014501, SD0014401, SD0015401, SD0308901, SD0310101, SD0309501, SD0309201, SD0309701, SD0309101, SD0309301	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	enterococcus_b_hirae
EHM063775	EHA03781_bin.47.fa	EHA03781	ABB0432	EHA03781	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B hirae	98.54	98.54	0.95	93.38	1.93	2638264	37.00%	8098	0.89	448	2508	567	DMB0161,DMB0162	Podarcis pityusensis	Squamata	Reptilia	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0432/EHA03781_bin.47.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM063775_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM063775_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM063775.gbk.gz	1213	SD0437901, SD0104101, SD0438301, SD0100901, SD0223301, SD0105001, SD0438401, SD0222601, SD0224601, SD0438801, SD0105401, SD0104701, SD0438701, SD0100601, SD0100701, SD0104601, SD0105501, SD0105301, SD0101901, SD0104801, SD0103901, SD0105201, SD0437101, SD0437701, SD0224501, SD0437801, SD0222801, SD0437501, SD0438501, SD0437601, SD0223201, SD0102601, SD0223801, SD0223101, SD0222901, SD0438201, SD0438101, SD0437201, SD0105101, SD0223901, SD0224401, SD0100801, SD0223701	22.6	51.6	DMB0161,DMB0162	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	enterococcus_b_hirae
EHM073018	EHA05014_bin.275.fa	EHA05014	ABB0598	EHA05014	2.3.0	NA	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B hirae	98.82	98.82	0.87	100	0.45	3608305	37.00%	67690	0.81	310	3060	754	DMB0173	Podarcis muralis	Squamata	Reptilia	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0598/EHA05014_bin.275.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM073018_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM073018_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM073018.gbk.gz	1475	SD0226301, SD0226401, SD0226501, SD0226901, SD0227401, SD0227801, SD0227901, SD0228001, SD0227701, SD0263501, SD0263701, SD0263801, SD0264001, SD0264101, SD0264301, SD0264501, SD0265001, SD0265201, SD0263601, SD0264401	24.6	51.8	DMB0173	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	enterococcus_b_hirae
