ID	mag_name	link_to_assembly	AB_batch	eha_number	GTDB_version	GTDB_release	domain	phylum	class	order	family	genus	species	fastani_ani	closest_placement_ani	closest_placement_af	completeness	contamination	size	GC	N50	coding_density	contigs	number_genes	number_unannotated_genes	DM_batch	host_species	host_order	host_class	locality	country	MAG_url	anno_url	kegg_url	annotated	taxonomy_level	assembly_type	sample_type	gbk_url	kegg_hits	Capture ID	percent_unannotated_genes	percent_unannotated_kegg	dereplicated	metagenomic source	completeness software	binning software	assembly quality	binning parameters	taxonomic identity marker	isolation_source	assembly software	Submission
EHM012338	EHA00453_bin.3.fa	EHA00453	ABB0111	EHA00453	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__Scatocola	s__Scatocola faecipullorum	99.06	99.06	0.9	96.77	0	1843608	46.70%	53643	NA	54	NA	NA	DMB0006,DMB0025	Sciurus vulgaris	Rodentia	Mammalia	Gaia	Portugal	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0111/EHA00453_bin.3.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0187901	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM016308	EHA00539_bin.16.fa	EHA00539	ABB0120	EHA00539	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__Scatocola	s__Scatocola faecipullorum	99.09	99.09	0.9	95.69	0	1816793	46.90%	61244	NA	52	1809	604	DMB0005,DMB0023,DMB0114	Strix aluco	Strigiformes	Aves	Gipuzkoa	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0120/EHA00539_bin.16.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016308_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016308_kegg.tsv.gz	TRUE	Species	Individual	Anal/cloacal swab	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016308.gbk.gz	806	SD0017101	33.4	55.4	DMB0005,DMB0023,DMB0114	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM020951	EHA01202_bin.99.fa	EHA01202	ABB0171	EHA01202	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__Scatocola	s__Scatocola faecipullorum	99.04	99.04	0.9	95.69	0	1811250	46.90%	59744	NA	52	NA	NA	DMB0005,DMB0023	Strix aluco	Strigiformes	Aves	Gipuzkoa	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0171/EHA01202_bin.99.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM020951_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM020951_kegg.tsv.gz	TRUE	Species	Coassembly	Oral swab	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM020951.gbk.gz	NA	SD0016401, SD0016401, SD0016401, SD0116901, SD0115501, SD0116001, SD0116501, SD0115701, SD0115501, SD0116201, SD0115901, SD0116001, SD0116001, SD0115501, SD0017101	NA	NA	NA	1227552	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM023683	EHA00911_bin.2.fa	EHA00911	ABB0164	EHA00911	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__Scatocola	s__Scatocola faecipullorum	99.06	99.06	0.89	96.77	0	1843149	46.70%	55711	NA	53	NA	NA	DMB0006,DMB0025	Sciurus vulgaris	Rodentia	Mammalia	Gaia	Portugal	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0164/EHA00911_bin.2.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0188001, SD0188101, SD0188301, SD0187901	NA	NA	DMB0006,DMB0025	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM037991	EHA02447_bin.18.fa	EHA02447	ABB0280	EHA02447	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__Scatocola	s__Scatocola faecipullorum	99.06	99.06	0.94	100	2.38	1737196	47.00%	20429	0.9	131	NA	NA	DMB0044	Sciurus vulgaris	Rodentia	Mammalia	Lombardy, Varese	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0280/EHA02447_bin.18.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0171202	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS012
EHM039033	EHA02599_bin.56.fa	EHA02599	ABB0295	EHA02599	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__Scatocola	s__Scatocola faecipullorum	99.11	99.11	0.94	99.27	0.99	1702712	47.00%	21897	0.9	116	NA	NA	DMB0044	Sciurus vulgaris	Rodentia	Mammalia	Lombardy, Varese	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0295/EHA02599_bin.56.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0171202, SD0171101, SD0169503, SD0169502, SD0172201, SD0172202, SD0172203	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM039905	EHA02526_bin.152.fa	EHA02526	ABB0288	EHA02526	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__Scatocola	s__Scatocola faecipullorum	99.17	99.17	0.95	99.58	0.74	1685876	48.00%	13744	0.9	184	1669	544	DMB0044,DMB0046,DMB0114,DMB0135	Sciurus vulgaris	Rodentia	Mammalia	Lombardy, Golasecca	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0288/EHA02526_bin.152.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM039905_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM039905_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM039905.gbk.gz	756	SD0172601, SD0172501, SD0029703, SD0029804, SD0029801, SD0032503, SD0032502, SD0038504, SD0038503, SD0038501, SD0040203, SD0040202, SD0040201, SD0170402, SD0170401, SD0170303, SD0170301, SD0170302	32.6	54.7	DMB0044,DMB0046,DMB0114,DMB0135	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM047231	EHA03288_bin.3.fa	EHA03288	ABB0381	EHA03288	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__Scatocola	s__Scatocola faecipullorum	99.01	99.01	0.89	100	0.38	1827116	47.00%	59084	0.89	52	NA	NA	DMB0118,DMB0165	Lepus europaeus	Lagomorpha	Mammalia	Nafarroa	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0381/EHA03288_bin.3.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0421201	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS006
EHM048466	EHA03305_bin.247.fa	EHA03305	ABB0382	EHA03305	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__Scatocola	s__Scatocola faecipullorum	99.01	99.01	0.93	97.83	0.37	1676623	47.00%	56748	0.9	48	NA	NA	DMB0118,DMB0165	Lepus europaeus	Lagomorpha	Mammalia	Nafarroa	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0382/EHA03305_bin.247.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0420101, SD0420201, SD0420301, SD0420401, SD0420501, SD0420601, SD0420701, SD0420801, SD0420901, SD0421001, SD0421101, SD0421201	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM048791	EHA03351_bin.44.fa	EHA03351	ABB0401	EHA03351	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__Scatocola	s__Scatocola faecipullorum	98.99	98.99	0.89	100	0.38	1823203	47.00%	59084	0.89	49	1798	594	DMB0118,DMB0165	Lepus europaeus	Lagomorpha	Mammalia	Nafarroa	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0401/EHA03351_bin.44.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM048791_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM048791_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM048791.gbk.gz	806	SD0421201, SD0421202	33	55.2	DMB0118,DMB0165	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM073499	EHA05094_bin.135.fa	EHA05094	ABB0603	EHA05094	2.3.0	NA	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__Scatocola	s__Scatocola faecipullorum	99.13	99.13	0.92	99.96	0.31	1775374	47.00%	36399	0.9	85	1757	585	DMB0173	Sciurus vulgaris	Rodentia	Mammalia	Lombardy, Calusco	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0603/EHA05094_bin.135.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM073499_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM073499_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM073499.gbk.gz	789	SD0044604, SD0170402, SD0178901, SD0172601, SD0046603, SD0172501, SD0179101, SD0031202, SD0179001, SD0040203, SD0170303, SD0170903, SD0029703, SD0040202, SD0029801, SD0029804, SD0171202	33.3	55.1	DMB0173	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
