accession	ambiguous_bases	checkm2_completeness	checkm2_contamination	checkm2_model	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation_ncbi_taxa	gtdb_type_designation_ncbi_taxa_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count	original_gcf	search_accession
GB_GCA_948674145.1	0	100.0	0.18	Specific	100.0	0.38	472	o__Lactobacillales (UID543)	265	0.0	2105572	86.79528390630139	94	846783	34.9074858850223	2425906	RS_GCF_029023865.1	f	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	not type material	none	f	14	14	145419	145419	none	0	none	none	15740	1	103	CAPOPN010000044.1	none	none	none	none	none	none	25806	27257	f	f	t	52544	52544	Scaffold	MGBC102287	na	PRJEB59335	SAMEA112376254	94	52544	none	2023-03-30	GCA_948674145.1	derived from metagenome	full	MGBC102287	Faeces	none	0	none	Lactococcus lactis	none	na	none	89	14	52544	27478	13281	2023/03/30	5	1358	none	MGBC102287	UNIVERSITY OF CAMBRIDGE	1358	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	114	2425906	none	none	na	2425792	0	CAPOPN000000000.1	2442	89	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	114	14	32	0		GCA_948674145.1
GB_GCA_937910935.1	0	99.94	1.52	Specific	99.5	2.14	472	o__Lactobacillales (UID543)	265	25.0	2281276	86.17023607259333	94	934876	35.31290629393452	2647406	RS_GCF_001591705.1	f	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus cremoris	not type material	none	f	14	14	219073	219073	3404	1	444	CALEML010000035.1	3404	2	118	CALEML010000035.1	444	808	0	99.55	BBIL01000016.8402.10783	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces;Kluyveromyces marxianus	28163	28163	f	f	t	50120	50120	Contig	ERR4757815_bin.5_CONCOCT_v1.1_MAG	na	PRJEB51073	SAMEA14037263	94	50120	none	2023-01-10	GCA_937910935.1	derived from metagenome	full	ERR4757815_bin.5_CONCOCT_v1.1_MAG	food production metagenome	none	0	none	Lactococcus lactis	none	na	none	none	none	none	none	none	2023/01/10	0	1358	none	ERR4757815_bin.5_CONCOCT_v1.1_MAG	European Bioinformatics Institute	1358	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	0	2647406	none	none	na	2647406	0	CALEML000000000.1	2746	94	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	13	37	0		GCA_937910935.1
GB_GCA_948748415.1	0	100.0	0.63	Specific	99.25	0.69	472	o__Lactobacillales (UID543)	265	33.33	2100812	86.40985711688545	123	848570	34.91347849449536	2431218	RS_GCF_029023865.1	f	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	not type material	none	f	15	11	199339	199339	31728	1	209	CAPZPG010000024.1	31728	1	101	CAPZPG010000024.1	209	387	3.61e-106	100	CP033607.2218491.2221395	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus lactis	19760	26426	f	f	t	40481	68775	Scaffold	MGBC102374	na	PRJEB59335	SAMEA112376341	123	40481	none	2023-03-30	GCA_948748415.1	derived from metagenome	full	MGBC102374	Faeces	none	0	none	Lactococcus lactis	none	na	none	92	11	68775	29622	15675	2023/03/30	31	1358	none	MGBC102374	UNIVERSITY OF CAMBRIDGE	1358	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	724	2431218	none	none	na	2430494	0	CAPZPG000000000.1	2460	92	45442	1	none	none	none	none	none	none	283	CAPZPG010000014.1	283	523	4.15e-147	100	CP020604.78388.79935	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus lactis subsp. lactis bv. diacetylactis	724	16	33	0		GCA_948748415.1
GB_GCA_948654415.1	9	100.0	0.95	Specific	99.62	0.38	472	o__Lactobacillales (UID543)	265	0.0	2124774	86.38303996565452	92	859351	34.940154356953094	2459712	RS_GCF_029023865.1	f	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	not type material	none	f	11	11	185506	185506	37783	1	281	CAPLRP010000020.1	13416	2	103	CAPLRP010000043.1	281	520	4.74e-146	100	CP033607.2218491.2221395	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus lactis	26733	28272	f	f	t	76936	76936	Scaffold	MGBC102312	na	PRJEB59335	SAMEA112376279	92	76936	none	2023-03-30	GCA_948654415.1	derived from metagenome	full	MGBC102312	Faeces	none	0	none	Lactococcus lactis	none	na	none	87	11	76936	29548	13416	2023/03/30	5	1358	none	MGBC102312	UNIVERSITY OF CAMBRIDGE	1358	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	209	2459712	none	none	na	2459503	0	CAPLRP000000000.1	2493	87	104249	1	none	none	none	none	none	none	296	CAPLRP010000007.1	296	547	2.59e-154	100	CP020604.78388.79935	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus lactis subsp. lactis bv. diacetylactis	209	17	33	0		GCA_948654415.1
GB_GCA_947041925.1	0	99.98	0.55	Specific	100.0	1.51	472	o__Lactobacillales (UID543)	265	14.29	2182963	87.42825995189162	53	888584	35.588030095375714	2496862	RS_GCF_001591705.1	f	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus cremoris	not type material	none	f	9	9	191799	191799	none	0	none	none	62046	1	103	CAMRFA010000014.1	none	none	none	none	none	none	47110	47110	f	f	t	81633	81633	Contig	ERR1868832_bin.3_metaWRAP_v1.3_MAG	na	PRJEB54986	SAMEA111404286	53	81633	none	2022-10-08	GCA_947041925.1	derived from metagenome	full	ERR1868832_bin.3_metaWRAP_v1.3_MAG	fish gut metagenome	none	0	none	Lactococcus lactis	none	na	none	none	none	none	none	none	2022/10/08	0	1358	none	ERR1868832_bin.3_metaWRAP_v1.3_MAG	EMG	1358	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	0	2496862	none	none	na	2496862	0	CAMRFA000000000.1	2460	53	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	13	35	0		GCA_947041925.1
GB_GCA_949439745.1	0	99.95	0.32	Specific	97.17	0.25	472	o__Lactobacillales (UID543)	265	0.0	1913303	87.60625097299426	100	766533	35.09798624529529	2183980	RS_GCF_029023865.1	f	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	type strain of species	LPSN	t	15	15	225756	225756	none	0	none	none	97827	1	103	CASRXY010000003.1	none	none	none	none	none	none	21839	21839	f	f	t	36713	36713	Contig	extra-ERR2059951.6_1677762709	na	PRJEB32890	SAMEA112718985	100	36713	none	2023-03-26	GCA_949439745.1	derived from metagenome	full	extra-ERR2059951.6_1677762709	mouse gut metagenome	none	0	none	Lactococcus lactis subsp. lactis JCM 5805 = NBRC 100933	none	na	none	none	none	none	none	none	2023/03/26	0	1358	none	extra-ERR2059951.6_1677762709	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	1236944	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis;sb__Lactococcus lactis subsp. lactis;x__Lactococcus lactis subsp. lactis JCM 5805 = NBRC 100933	0	2183980	none	none	na	2183980	0	CASRXY000000000.1	2208	100	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	11	23	0		GCA_949439745.1
GB_GCA_949444485.1	0	99.25	0.55	Specific	97.99	0.22	472	o__Lactobacillales (UID543)	265	0.0	1847586	88.02354299827344	133	740481	35.27833678264747	2098968	RS_GCF_029023865.1	f	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	type strain of species	LPSN	t	21	21	142021	142021	none	0	none	none	53141	1	103	CASSQQ010000007.1	none	none	none	none	none	none	15781	15781	f	f	t	30909	30909	Contig	extra-ERR2059952.50_1677762729	na	PRJEB32890	SAMEA112719033	133	30909	none	2023-03-25	GCA_949444485.1	derived from metagenome	full	extra-ERR2059952.50_1677762729	mouse gut metagenome	none	0	none	Lactococcus lactis subsp. lactis JCM 5805 = NBRC 100933	none	na	none	none	none	none	none	none	2023/03/25	0	1358	none	extra-ERR2059952.50_1677762729	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	1236944	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis;sb__Lactococcus lactis subsp. lactis;x__Lactococcus lactis subsp. lactis JCM 5805 = NBRC 100933	0	2098968	none	none	na	2098968	0	CASSQQ000000000.1	2152	133	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	13	26	0		GCA_949444485.1
GB_GCA_948995465.1	0	100.0	0.77	Specific	100.0	0.82	472	o__Lactobacillales (UID543)	265	0.0	2076648	86.84623227547259	72	834171	34.9010627998303	2391178	RS_GCF_029023865.1	f	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	not type material	none	f	12	9	215588	254688	none	0	none	none	125609	1	103	CARINI010000004.1	none	none	none	none	none	none	33195	44281	f	f	t	65369	81734	Scaffold	MGBC117220	na	PRJEB59335	SAMEA112390797	72	65369	none	2023-03-30	GCA_948995465.1	derived from metagenome	full	MGBC117220	Faeces	none	0	none	Lactococcus lactis	none	na	none	54	9	81734	37267	28671	2023/03/30	18	1358	none	MGBC117220	UNIVERSITY OF CAMBRIDGE	1358	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	1076	2391178	none	none	na	2390102	0	CARINI000000000.1	2383	54	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	1076	14	29	0		GCA_948995465.1
GB_GCA_948675165.1	0	99.99	0.87	Specific	99.25	0.57	472	o__Lactobacillales (UID543)	265	0.0	2064928	86.56088124984018	76	847725	35.54222196693585	2385521	RS_GCF_001591705.1	f	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus cremoris	not type material	none	f	14	13	171061	182910	none	0	none	none	47048	1	103	CAPOTN010000018.1	none	none	none	none	none	none	31383	33132	f	f	t	54974	56141	Scaffold	MGBC116688	na	PRJEB59335	SAMEA112390279	76	54974	none	2023-03-30	GCA_948675165.1	derived from metagenome	full	MGBC116688	Faeces	none	0	none	Lactococcus lactis	none	na	none	72	13	56141	27715	16743	2023/03/30	4	1358	none	MGBC116688	UNIVERSITY OF CAMBRIDGE	1358	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	400	2385521	none	none	na	2385121	0	CAPOTN000000000.1	2418	72	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	400	16	41	0		GCA_948675165.1
GB_GCA_937924215.1	0	100.0	0.51	Specific	100.0	0.66	472	o__Lactobacillales (UID543)	265	0.0	2348329	86.99970139720914	75	941877	34.894181246707404	2699238	RS_GCF_029023865.1	f	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	not type material	none	f	8	8	232646	232646	none	0	none	none	38850	1	104	CALDVX010000019.1	none	none	none	none	none	none	35989	35989	f	f	t	124962	124962	Contig	ERR260195_bin.69_CONCOCT_v1.1_MAG	na	PRJEB51075	SAMEA14084047	75	124962	none	2023-01-10	GCA_937924215.1	derived from metagenome	full	ERR260195_bin.69_CONCOCT_v1.1_MAG	human gut metagenome	none	0	none	Lactococcus lactis	none	na	none	none	none	none	none	none	2023/01/10	0	1358	none	ERR260195_bin.69_CONCOCT_v1.1_MAG	European Bioinformatics Institute	1358	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	0	2699238	none	none	na	2699238	0	CALDVX000000000.1	2740	75	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	16	42	0		GCA_937924215.1
