module_id	family_id
module_225	GCA_003464145.1_ASM346414v1_genomic_CDS_2513
module_225	GCA_958371025.1_SRR17798044_bin.10_MetaWRAP_v1.3_MAG_genomic_CDS_1315
module_225	EHA01281_bin.18_CDS_2259
module_262	EHA01845_bin.103_CDS_1523
module_262	EHA01845_bin.103_CDS_1525
module_262	EHA01845_bin.103_CDS_1526
module_262	EHA01845_bin.103_CDS_1527
module_262	EHA01845_bin.103_CDS_1521
module_262	EHA01845_bin.103_CDS_1522
module_336	EHA03390_bin.20_CDS_1374
module_336	EHA04680_bin.8_CDS_2301
module_336	EHA03390_bin.20_CDS_1375
module_336	EHA03390_bin.20_CDS_1378
module_336	EHA03390_bin.20_CDS_1379
module_336	EHA03390_bin.20_CDS_1373
module_406	GCA_003464145.1_ASM346414v1_genomic_CDS_3007
module_406	GCA_003464145.1_ASM346414v1_genomic_CDS_3008
module_406	GCA_003464145.1_ASM346414v1_genomic_CDS_3436
module_406	GCA_003464145.1_ASM346414v1_genomic_CDS_3009
module_406	GCA_003464145.1_ASM346414v1_genomic_CDS_3439
module_406	GCF_020687325.1_ASM2068732v1_genomic_CDS_3166
module_406	GCF_003471825.1_ASM347182v1_genomic_CDS_2718
module_455	GCA_008680675.1_ASM868067v1_genomic_CDS_1493
module_455	GCA_008680675.1_ASM868067v1_genomic_CDS_1494
module_455	GCA_008680675.1_ASM868067v1_genomic_CDS_1489
module_455	GCA_008680675.1_ASM868067v1_genomic_CDS_1490
module_455	GCA_008680675.1_ASM868067v1_genomic_CDS_1491
module_455	GCA_008680675.1_ASM868067v1_genomic_CDS_1492
module_519	GCA_030842445.1_ASM3084244v1_genomic_CDS_0152
module_519	GCA_030842445.1_ASM3084244v1_genomic_CDS_0149
module_519	GCA_030842445.1_ASM3084244v1_genomic_CDS_0153
module_519	GCA_030842445.1_ASM3084244v1_genomic_CDS_0150
module_561	GCA_958427815.1_ERR9762699_bin.64_MetaWRAP_v1.3_MAG_genomic_CDS_3472
module_561	GCA_958427815.1_ERR9762699_bin.64_MetaWRAP_v1.3_MAG_genomic_CDS_3473
module_561	GCA_958447325.1_ERR4316497_bin.13_MetaWRAP_v1.3_MAG_genomic_CDS_3183
module_561	GCA_958427815.1_ERR9762699_bin.64_MetaWRAP_v1.3_MAG_genomic_CDS_3474
module_650	GCF_003471825.1_ASM347182v1_genomic_CDS_1830
module_650	GCF_003471825.1_ASM347182v1_genomic_CDS_1831
module_650	GCF_003471825.1_ASM347182v1_genomic_CDS_1832
module_132	EHA01281_bin.18_CDS_3145
module_132	EHA01281_bin.18_CDS_3150
module_132	EHA01281_bin.18_CDS_3144
module_132	EHA01281_bin.18_CDS_3149
module_132	EHA01281_bin.18_CDS_3148
module_132	EHA01281_bin.18_CDS_3147
module_132	EHA01281_bin.18_CDS_3146
module_132	EHA01281_bin.18_CDS_3151
module_148	EHA00726_bin.13_CDS_0208
module_148	EHA03376_bin.12_CDS_3075
module_148	EHA00726_bin.13_CDS_0207
module_148	EHA03376_bin.12_CDS_3078
module_148	EHA03376_bin.12_CDS_3082
module_148	GCA_003464145.1_ASM346414v1_genomic_CDS_2754
module_148	GCF_003472045.1_ASM347204v1_genomic_CDS_3071
module_148	GCA_003464145.1_ASM346414v1_genomic_CDS_2755
module_148	GCF_012843465.1_ASM1284346v1_genomic_CDS_4310
module_148	GCA_003464145.1_ASM346414v1_genomic_CDS_4261
module_221	EHA01281_bin.18_CDS_1575
module_221	EHA01281_bin.18_CDS_1573
module_221	EHA01281_bin.18_CDS_1574
module_44	EHA00531_bin.1_CDS_2452
module_44	GCF_012843465.1_ASM1284346v1_genomic_CDS_1234
module_44	EHA00531_bin.1_CDS_2453
module_44	EHA00726_bin.13_CDS_1077
module_44	EHA00531_bin.1_CDS_2450
module_224	GCA_022771305.1_ASM2277130v1_genomic_CDS_2352
module_224	GCA_022771305.1_ASM2277130v1_genomic_CDS_2354
module_224	GCA_003464145.1_ASM346414v1_genomic_CDS_2521
module_224	GCA_022771305.1_ASM2277130v1_genomic_CDS_2356
module_224	GCA_003464145.1_ASM346414v1_genomic_CDS_2524
module_224	GCA_022776965.1_ASM2277696v1_genomic_CDS_1156
module_287	EHA03161_bin.52_CDS_2786
module_287	EHA03161_bin.52_CDS_2787
module_287	EHA03161_bin.52_CDS_2788
module_287	EHA03161_bin.52_CDS_2789
module_287	EHA03161_bin.52_CDS_2790
module_287	EHA03161_bin.52_CDS_2791
module_287	GCA_958445425.1_ERR9610044_bin.23_MetaWRAP_v1.3_MAG_genomic_CDS_1946
module_449	GCA_958447325.1_ERR4316497_bin.13_MetaWRAP_v1.3_MAG_genomic_CDS_3395
module_449	GCA_958447325.1_ERR4316497_bin.13_MetaWRAP_v1.3_MAG_genomic_CDS_3396
module_449	GCA_958447325.1_ERR4316497_bin.13_MetaWRAP_v1.3_MAG_genomic_CDS_3397
module_449	GCA_958447325.1_ERR4316497_bin.13_MetaWRAP_v1.3_MAG_genomic_CDS_3398
module_449	GCA_958447325.1_ERR4316497_bin.13_MetaWRAP_v1.3_MAG_genomic_CDS_3399
module_498	GCA_022784765.1_ASM2278476v1_genomic_CDS_2547
module_498	GCA_022784765.1_ASM2278476v1_genomic_CDS_2548
module_498	GCA_022784765.1_ASM2278476v1_genomic_CDS_2549
module_182	EHA00726_bin.13_CDS_3281
module_182	EHA00726_bin.13_CDS_3286
module_182	EHA00726_bin.13_CDS_3285
module_182	EHA00726_bin.13_CDS_3284
module_182	EHA00726_bin.13_CDS_3283
module_182	EHA00726_bin.13_CDS_3282
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2398
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2399
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2400
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2401
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2402
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2403
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2404
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2406
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2407
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2408
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2410
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2411
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2412
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2413
module_281	EHA02500_bin.116_CDS_1497
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2383
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2384
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2385
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2386
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2387
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2388
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2389
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2390
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2391
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2392
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2393
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2394
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2395
module_281	GCF_019733675.1_ASM1973367v1_genomic_CDS_2396
module_337	EHA03390_bin.20_CDS_1438
module_337	EHA03390_bin.20_CDS_1439
module_337	EHA03390_bin.20_CDS_1442
module_337	EHA03390_bin.20_CDS_1440
module_624	GCF_003468915.1_ASM346891v1_genomic_CDS_2254
module_624	GCF_003464475.1_ASM346447v1_genomic_CDS_2299
module_624	GCF_003464475.1_ASM346447v1_genomic_CDS_2304
module_624	GCF_003464475.1_ASM346447v1_genomic_CDS_2305
module_624	GCF_003464475.1_ASM346447v1_genomic_CDS_2308
module_624	GCF_003468915.1_ASM346891v1_genomic_CDS_2240
module_624	GCF_003464475.1_ASM346447v1_genomic_CDS_2309
module_624	GCF_003468915.1_ASM346891v1_genomic_CDS_2243
module_624	GCF_003464475.1_ASM346447v1_genomic_CDS_2311
module_624	GCF_003468915.1_ASM346891v1_genomic_CDS_2244
module_624	GCF_003464475.1_ASM346447v1_genomic_CDS_2312
module_634	GCF_003472045.1_ASM347204v1_genomic_CDS_0561
module_634	GCF_003472045.1_ASM347204v1_genomic_CDS_0562
module_634	GCF_003472045.1_ASM347204v1_genomic_CDS_0555
module_634	GCF_003472045.1_ASM347204v1_genomic_CDS_0556
module_634	GCF_003472045.1_ASM347204v1_genomic_CDS_0557
module_653	GCF_018289335.1_ASM1828933v1_genomic_CDS_0893
module_653	GCF_018289335.1_ASM1828933v1_genomic_CDS_0894
module_653	GCF_018289335.1_ASM1828933v1_genomic_CDS_0895
module_653	GCF_018289335.1_ASM1828933v1_genomic_CDS_0896
module_653	GCF_018289335.1_ASM1828933v1_genomic_CDS_0897
module_653	GCF_018289335.1_ASM1828933v1_genomic_CDS_0898
module_653	GCF_018289335.1_ASM1828933v1_genomic_CDS_0888
module_653	GCF_018289335.1_ASM1828933v1_genomic_CDS_0891
module_653	GCF_018289335.1_ASM1828933v1_genomic_CDS_0892
module_84	EHA00531_bin.1_CDS_3506
module_84	EHA00531_bin.1_CDS_3505
module_84	EHA00531_bin.1_CDS_3508
module_84	EHA00531_bin.1_CDS_3507
module_150	EHA00726_bin.13_CDS_0393
module_150	EHA00726_bin.13_CDS_0392
module_150	EHA00726_bin.13_CDS_0391
module_150	EHA00726_bin.13_CDS_0390
module_150	EHA00726_bin.13_CDS_0389
module_150	EHA00726_bin.13_CDS_0388
module_218	EHA01281_bin.18_CDS_1167
module_218	EHA01281_bin.18_CDS_1168
module_218	EHA01281_bin.18_CDS_1166
module_357	EHA03390_bin.20_CDS_3839
module_357	EHA03390_bin.20_CDS_3842
module_357	EHA03390_bin.20_CDS_3840
module_357	EHA03390_bin.20_CDS_3841
module_427	GCA_008679285.1_ASM867928v1_genomic_CDS_1565
module_427	GCA_008679285.1_ASM867928v1_genomic_CDS_1562
module_427	GCF_020687325.1_ASM2068732v1_genomic_CDS_1038
module_477	GCF_018784125.1_ASM1878412v1_genomic_CDS_3232
module_477	GCA_014870645.1_ASM1487064v1_genomic_CDS_2081
module_477	GCF_018784125.1_ASM1878412v1_genomic_CDS_3231
module_583	GCF_018289335.1_ASM1828933v1_genomic_CDS_3404
module_583	GCF_018289335.1_ASM1828933v1_genomic_CDS_3405
module_583	GCF_018289335.1_ASM1828933v1_genomic_CDS_3406
module_583	GCF_018289335.1_ASM1828933v1_genomic_CDS_3408
module_583	GCA_959026965.1_SRR20881986_bin.33_MetaWRAP_v1.3_MAG_genomic_CDS_2377
module_583	GCF_018289335.1_ASM1828933v1_genomic_CDS_3410
module_583	GCF_018289335.1_ASM1828933v1_genomic_CDS_3411
module_583	GCF_018289335.1_ASM1828933v1_genomic_CDS_3403
module_102	EHA03390_bin.20_CDS_0608
module_102	EHA03390_bin.20_CDS_0609
module_102	EHA03390_bin.20_CDS_0610
module_102	EHA03390_bin.20_CDS_0611
module_102	EHA00535_bin.6_CDS_1005
module_122	EHA00539_bin.6_CDS_0249
module_122	EHA01439_bin.44_CDS_2906
module_122	EHA00539_bin.6_CDS_0250
module_195	EHA03351_bin.43_CDS_3567
module_195	EHA00928_bin.90_CDS_0376
module_195	EHA00928_bin.90_CDS_0377
module_379	EHA04680_bin.8_CDS_1962
