contig_id	mag
EHA00536_bin.10^_0	EHM016370
EHA00536_bin.10^_1	EHM016370
EHA00536_bin.10^_2	EHM016370
EHA00536_bin.10^_3	EHM016370
EHA00536_bin.10^_4	EHM016370
EHA00536_bin.10^_5	EHM016370
EHA00536_bin.10^_6	EHM016370
EHA00536_bin.10^_7	EHM016370
EHA00536_bin.10^_8	EHM016370
EHA00536_bin.10^_9	EHM016370
EHA00536_bin.10^_10	EHM016370
EHA00536_bin.10^_11	EHM016370
EHA00536_bin.10^_12	EHM016370
EHA00536_bin.10^_13	EHM016370
EHA00536_bin.10^_14	EHM016370
EHA00536_bin.10^_15	EHM016370
EHA00536_bin.10^_16	EHM016370
EHA00536_bin.10^_17	EHM016370
EHA00536_bin.10^_18	EHM016370
EHA00536_bin.10^_19	EHM016370
EHA00536_bin.10^_20	EHM016370
EHA00536_bin.10^_21	EHM016370
EHA00536_bin.10^_22	EHM016370
EHA00536_bin.10^_23	EHM016370
EHA00536_bin.10^_24	EHM016370
EHA00536_bin.10^_25	EHM016370
EHA00536_bin.10^_26	EHM016370
EHA00536_bin.10^_27	EHM016370
EHA00536_bin.10^_28	EHM016370
EHA00536_bin.10^_29	EHM016370
EHA00536_bin.10^_30	EHM016370
EHA00536_bin.10^_31	EHM016370
EHA00536_bin.10^_32	EHM016370
EHA00536_bin.10^_33	EHM016370
EHA00536_bin.10^_34	EHM016370
EHA00536_bin.10^_35	EHM016370
EHA00536_bin.10^_36	EHM016370
EHA00536_bin.10^_37	EHM016370
EHA00536_bin.10^_38	EHM016370
EHA00536_bin.10^_39	EHM016370
EHA00536_bin.10^_40	EHM016370
EHA00536_bin.10^_41	EHM016370
EHA00536_bin.10^_42	EHM016370
EHA00536_bin.10^_43	EHM016370
EHA00536_bin.10^_44	EHM016370
EHA00535_bin.7^_0	EHM016583
EHA00535_bin.7^_1	EHM016583
EHA00535_bin.7^_2	EHM016583
EHA00535_bin.7^_3	EHM016583
