ID	mag_name	link_to_assembly	AB_batch	eha_number	GTDB_version	GTDB_release	domain	phylum	class	order	family	genus	species	fastani_ani	closest_placement_ani	closest_placement_af	completeness	contamination	size	GC	N50	coding_density	contigs	number_genes	number_unannotated_genes	DM_batch	host_species	host_order	host_class	locality	country	MAG_url	anno_url	kegg_url	annotated	taxonomy_level	assembly_type	sample_type	gbk_url	kegg_hits	Capture ID	percent_unannotated_genes	percent_unannotated_kegg	dereplicated	metagenomic source	completeness software	binning software	assembly quality	binning parameters	taxonomic identity marker	isolation_source	assembly software	Submission
EHM012184	EHA00444_bin.5.fa	EHA00444	ABB0111	EHA00444	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas aeruginosa	98.79	98.79	0.88	98.21	0.84	6626997	66.10%	27301	NA	394	NA	NA	DMB0006,DMB0025	Sciurus vulgaris	Rodentia	Mammalia	Ballina, Co.Mayo	Ireland	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0111/EHA00444_bin.5.fa.gz	NA	NA	FALSE	Species	Individual	Anal/cloacal swab	NA	NA	SD0184301	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM012729	EHA00403_bin.2.fa	EHA00403	ABB0112	EHA00403	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas aeruginosa	98.78	98.78	0.91	95.78	0.53	6332807	66.20%	14228	NA	649	NA	NA	DMB0009,DMB0026	Sciurus carolinensis	Rodentia	Mammalia	Scotland, Dumfries & Galloway	United Kingdom	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0112/EHA00403_bin.2.fa.gz	NA	NA	FALSE	Species	Individual	Anal/cloacal swab	NA	NA	SD0164901	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM012755	EHA00406_bin.4.fa	EHA00406	ABB0112	EHA00406	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas aeruginosa	98.83	98.83	0.94	91.91	0.48	5776177	66.60%	8024	NA	971	NA	NA	DMB0009,DMB0026	Sciurus carolinensis	Rodentia	Mammalia	Calgary	Canada	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0112/EHA00406_bin.4.fa.gz	NA	NA	FALSE	Species	Individual	Anal/cloacal swab	NA	NA	SD0187201	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM015435	EHA00417_bin.6.fa	EHA00417	ABB0118	EHA00417	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas aeruginosa	98.71	98.71	0.87	93.95	1.07	6316797	65.90%	10498	NA	873	NA	NA	DMB0006,DMB0025	Sciurus vulgaris	Rodentia	Mammalia	Berlin	Germany	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0118/EHA00417_bin.6.fa.gz	NA	NA	FALSE	Species	Individual	Anal/cloacal swab	NA	NA	SD0117801	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM019738	EHA00619_bin.4.fa	EHA00619	ABB0122	EHA00619	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas aeruginosa	98.7	98.7	0.88	93.97	0.32	6167737	66.00%	11765	NA	803	NA	NA	DMB0029,DMB0172	Plecotus auritus	Chiroptera	Mammalia	Cuenca	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0122/EHA00619_bin.4.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0047701	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM019759	EHA00618_bin.1.fa	EHA00618	ABB0122	EHA00618	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas aeruginosa	98.76	98.76	0.89	97.26	0.21	6567405	66.20%	32604	NA	358	NA	NA	DMB0029,DMB0172	Plecotus auritus	Chiroptera	Mammalia	Cuenca	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0122/EHA00618_bin.1.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0047601	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM019798	EHA00176_bin.4.fa	EHA00176	ABB0135	EHA00176	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas aeruginosa	98.63	98.63	0.83	94.38	1.43	6389169	65.40%	10866	NA	899	NA	NA	DMB0029,DMB0172	Plecotus auritus	Chiroptera	Mammalia	Białowieza	Poland	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0135/EHA00176_bin.4.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0118501, SD0118601	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM019809	EHA00196_bin.1.fa	EHA00196	ABB0141	EHA00196	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas aeruginosa	98.68	98.68	0.89	95.1	1.09	6108457	66.10%	10768	NA	840	NA	NA	DMB0029,DMB0172	Plecotus auritus	Chiroptera	Mammalia	Segovia	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0141/EHA00196_bin.1.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0050701, SD0050501, SD0050401	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM019824	EHA00179_bin.2.fa	EHA00179	ABB0137	EHA00179	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas aeruginosa	98.77	98.77	0.89	97.67	0.78	6636519	66.20%	38754	NA	308	NA	NA	DMB0029,DMB0172	Plecotus auritus	Chiroptera	Mammalia	Cuenca	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0137/EHA00179_bin.2.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0047601, SD0047701, SD0047301, SD0047501	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM019862	EHA00169_bin.18.fa	EHA00169	ABB0134	EHA00169	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas aeruginosa	98.79	98.79	0.9	99.02	0.52	6800053	66.10%	56798	NA	214	NA	NA	DMB0029,DMB0172	Plecotus auritus	Chiroptera	Mammalia	Berlin-Brandenburg	Germany	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0134/EHA00169_bin.18.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0141701, SD0142601, SD0144601, SD0144201, SD0144101, SD0144301, SD0141901, SD0141501, SD0141601, SD0142101	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
