Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp	# predicted rRNA genes
EHM015380	52	52	45	42	28	18	2795043	2795043	2776723	2756404	2529421	2161580	52	355162	2795043	55.75	104987	25433	127836.0	9	28	0.00	3 + 0 part
EHM016229	53	53	47	38	30	23	2950484	2950484	2931607	2862262	2727095	2430768	53	396385	2950484	55.59	94668	38052	132396.8	10	29	0.00	1 + 0 part
EHM016316	32	32	30	28	23	18	2642546	2642546	2636683	2621104	2543011	2354538	32	313393	2642546	55.61	132408	48298	150489.8	7	19	0.00	3 + 0 part
EHM020890	108	108	95	76	35	11	2557388	2557388	2516290	2377512	1720514	897047	108	118041	2557388	56.01	35593	11331	46357.1	21	70	0.00	0 + 0 part
EHM021927	50	50	45	42	29	18	2760780	2760780	2746774	2726455	2520730	2111172	50	355162	2760780	55.83	100111	28346	126604.1	9	28	0.00	0 + 0 part
EHM037909	47	47	44	42	30	21	2768777	2768777	2757452	2739390	2513956	2174329	47	344098	2768777	55.63	97554	25394	121073.3	9	30	0.00	0 + 0 part
EHM038031	34	34	33	27	22	17	2741858	2741858	2737586	2697773	2602000	2401031	34	563217	2741858	55.50	112004	43454	245810.7	4	19	0.00	3 + 0 part
EHM038744	47	47	43	41	32	22	2788970	2788970	2776389	2758327	2593847	2236323	47	256303	2788970	55.69	97600	29582	110321.4	10	30	0.00	3 + 0 part
EHM038989	32	32	32	25	21	17	2698232	2698232	2698232	2653703	2567931	2399192	32	359391	2698232	55.54	112004	48643	192893.8	5	18	0.00	0 + 0 part
EHM046625	26	26	21	20	17	12	2686383	2686383	2674084	2668073	2611306	2400088	26	628638	2686383	55.55	219762	46347	284938.6	4	13	0.00	3 + 0 part
EHM048605	26	26	22	20	18	16	2813053	2813053	2802345	2789168	2745922	2658773	26	539570	2813053	54.74	219762	60920	250476.6	4	14	0.00	3 + 0 part
EHM049281	28	28	23	20	18	14	2692978	2692978	2680578	2662382	2619136	2453464	28	539651	2692978	55.53	219762	57187	248566.7	4	14	0.00	1 + 0 part
GCA_052329965.1	430	430	193	69	6	0	2638358	2638358	1958100	1098188	198787	0	430	42303	2638358	55.78	8423	2993	11001.5	94	299	10.46	0 + 0 part
GCF_000436395.1	81	68	52	47	31	17	2721828	2711798	2667813	2628243	2372997	1872004	68	437224	2711798	55.49	74342	18935	135738.0	9	35	161.66	0 + 0 part
GCF_002885155.1	11	11	9	9	9	8	2795610	2795610	2792519	2792519	2792519	2756176	11	780207	2795610	55.57	310513	162161	478678.8	3	7	2.11	4 + 0 part
GCF_002885165.1	14	12	7	6	6	6	2770301	2769070	2759805	2752820	2752820	2752820	12	1550586	2769070	55.37	1550586	191472	989032.4	1	5	0.22	3 + 0 part
GCF_002885195.1	11	9	7	7	7	7	2750232	2749447	2744188	2744188	2744188	2744188	9	1446788	2749447	55.44	1446788	131491	901225.4	1	5	0.58	3 + 0 part
GCF_002885215.1	20	17	16	13	12	11	2753166	2752349	2749597	2729308	2705041	2670713	17	476533	2752349	55.30	301342	106430	298142.6	4	10	8.94	3 + 0 part
GCF_002885235.1	18	16	10	9	8	7	2843384	2842849	2830253	2822944	2800655	2760691	16	960663	2842849	55.37	505927	135847	564223.1	2	6	0.42	3 + 0 part
GCF_002885255.1	19	15	14	12	11	10	2824426	2822612	2820532	2806508	2789356	2753702	15	955852	2822612	55.30	297559	123793	471016.5	3	8	3.05	3 + 0 part
GCF_002885265.1	1	1	1	1	1	1	2762447	2762447	2762447	2762447	2762447	2762447	1	2762447	2762447	55.19	2762447	2762447	2762447.0	1	1	0.00	9 + 0 part
GCF_002885295.1	14	12	9	8	8	8	2861208	2860251	2855814	2849626	2849626	2849626	12	1495453	2860251	55.57	1495453	130637	897995.1	1	6	0.35	3 + 1 part
GCF_002885315.1	11	11	9	8	8	7	2720256	2720256	2715830	2709746	2709746	2681363	11	926407	2720256	55.51	518281	312311	548588.6	2	5	6.73	4 + 0 part
GCF_002885335.1	17	15	12	10	7	5	2679074	2678111	2673007	2658989	2607899	2527381	15	825374	2678111	55.72	549589	304816	545778.7	2	5	1.38	4 + 0 part
GCF_002885355.1	10	8	6	6	6	6	2859287	2858804	2855058	2855058	2855058	2855058	8	1206975	2858804	55.56	824253	177133	831766.4	2	4	0.35	3 + 0 part
GCF_002885375.1	15	13	10	9	9	9	2820827	2820180	2814578	2805852	2805852	2805852	13	775700	2820180	55.62	354229	231220	433726.4	3	7	1.52	4 + 1 part
GCF_002885395.1	10	9	6	6	6	6	2790954	2790744	2785381	2785381	2785381	2785381	9	1127989	2790744	55.48	450538	227774	689236.9	2	5	0.29	5 + 0 part
GCF_002885415.1	13	12	10	10	10	10	2672910	2672597	2667227	2667227	2667227	2667227	12	757984	2672597	55.62	729631	101481	500086.0	2	8	0.86	5 + 0 part
GCF_002885425.1	17	16	11	11	10	6	2708328	2708073	2700751	2700751	2682324	2505995	16	843580	2708073	55.53	534168	118949	509465.7	2	6	1.22	3 + 0 part
GCF_002885455.1	16	12	10	10	10	10	2679854	2677396	2674863	2674863	2674863	2674863	12	609533	2677396	55.72	548987	105106	443045.9	3	7	0.49	4 + 0 part
GCF_002885465.1	20	15	13	12	12	10	2679142	2676222	2672184	2665773	2665773	2611944	15	548781	2676222	55.72	405711	107020	364814.3	3	8	2.62	4 + 0 part
GCF_002885475.1	18	17	13	11	10	10	2645537	2644558	2635049	2619973	2606594	2606594	17	1086351	2644558	55.66	324554	127106	581608.9	2	7	11.31	3 + 0 part
GCF_002885575.1	23	17	14	14	12	11	2883372	2880287	2875519	2875519	2846013	2805208	17	1094930	2880287	55.39	453623	73360	579803.1	2	8	1.25	5 + 0 part
GCF_002885595.1	18	14	10	10	9	9	2846238	2843736	2833347	2833347	2819382	2819382	14	998758	2843736	55.24	649895	94596	601845.6	2	7	0.46	3 + 0 part
GCF_002885615.1	19	18	15	14	14	11	2770401	2769404	2764089	2756993	2756993	2654120	18	484759	2769404	55.32	256742	141244	295451.7	4	9	0.25	4 + 0 part
GCF_002885625.1	11	9	8	8	8	7	2787215	2786317	2785191	2785191	2785191	2751440	9	825297	2786317	55.48	703402	143287	620474.9	2	5	1.04	5 + 0 part
GCF_002885655.1	22	19	17	16	14	12	2838669	2837832	2832238	2826700	2786299	2704567	19	856931	2837832	55.32	630437	64068	481900.8	2	10	0.70	3 + 0 part
