reference,querry,ani,alignment_coverage,primary_cluster
EHM013856.fna,EHM013856.fna,1.0,0.9983108108108109,1
EHM013856.fna,EHM016687.fna,0.989448,0.8091216216216216,1
EHM013856.fna,EHM018416.fna,0.9906050000000001,0.8102477477477478,1
EHM013856.fna,EHM019588.fna,0.988177,0.8547297297297297,1
EHM013856.fna,EHM025899.fna,0.986627,0.7922297297297297,1
EHM013856.fna,EHM034508.fna,0.9638100000000001,0.767454954954955,1
EHM013856.fna,EHM036539.fna,0.963818,0.7905405405405406,1
EHM013856.fna,EHM042977.fna,0.990587,0.8012387387387387,1
EHM013856.fna,EHM043923.fna,0.989217,0.8400900900900901,1
EHM013856.fna,EHM050060.fna,0.98869,0.8209459459459459,1
EHM013856.fna,EHM055692.fna,0.987841,0.848536036036036,1
EHM013856.fna,EHM066268.fna,0.989169,0.8440315315315315,1
EHM013856.fna,EHM079210.fna,0.9614879999999999,0.7257882882882883,1
EHM013856.fna,EHM081080.fna,0.9882850000000001,0.8643018018018018,1
EHM013856.fna,EHM082134.fna,0.962911,0.8327702702702703,1
EHM013856.fna,EHM082624.fna,0.9894750000000001,0.829954954954955,1
EHM013856.fna,GCA_030131705.1.fna,0.989195,0.8586711711711712,1
EHM013856.fna,GCA_036957665.1.fna,0.984995,0.8141891891891891,1
EHM013856.fna,GCA_046518655.1.fna,0.986096,0.8203828828828829,1
EHM013856.fna,GCA_046555535.1.fna,0.988845,0.8400900900900901,1
EHM013856.fna,GCA_046555695.1.fna,0.988907,0.8384009009009009,1
EHM013856.fna,GCA_046555735.1.fna,0.98705,0.8474099099099099,1
EHM013856.fna,GCA_046559175.1.fna,0.98839,0.8288288288288288,1
EHM013856.fna,GCA_047313245.1.fna,0.986861,0.8192567567567568,1
EHM013856.fna,GCA_050782755.1.fna,0.989641,0.8423423423423423,1
EHM013856.fna,GCA_054185985.1.fna,0.985727,0.8119369369369369,1
EHM013856.fna,GCA_054186025.1.fna,0.9867619999999999,0.8012387387387387,1
EHM013856.fna,GCF_014230105.1.fna,0.987687,0.838963963963964,1
EHM013856.fna,GCF_018138525.1.fna,0.987401,0.8400900900900901,1
EHM013856.fna,GCF_030131705.1.fna,0.989195,0.8586711711711712,1
EHM013856.fna,GCF_030357945.1.fna,0.98798,0.8175675675675675,1
EHM013856.fna,GCF_036957665.1.fna,0.984995,0.8141891891891891,1
EHM013856.fna,GCF_046518655.1.fna,0.986096,0.8203828828828829,1
EHM013856.fna,GCF_046555535.1.fna,0.988845,0.8400900900900901,1
EHM013856.fna,GCF_046555695.1.fna,0.988907,0.8384009009009009,1
EHM013856.fna,GCF_046555735.1.fna,0.98705,0.8474099099099099,1
EHM013856.fna,GCF_046559175.1.fna,0.98839,0.8288288288288288,1
EHM013856.fna,GCF_047313245.1.fna,0.986861,0.8192567567567568,1
EHM013856.fna,GCF_050782755.1.fna,0.989641,0.8423423423423423,1
EHM013856.fna,GCF_054185985.1.fna,0.985727,0.8119369369369369,1
EHM013856.fna,GCF_054186025.1.fna,0.9867619999999999,0.8012387387387387,1
EHM016687.fna,EHM013856.fna,0.989183,0.9121155053358443,1
EHM016687.fna,EHM016687.fna,1.0,0.9962335216572504,1
EHM016687.fna,EHM018416.fna,0.990398,0.8895166352793471,1
EHM016687.fna,EHM019588.fna,0.990356,0.9158819836785939,1
EHM016687.fna,EHM025899.fna,0.986983,0.8600125549278091,1
EHM016687.fna,EHM034508.fna,0.963853,0.8317639673571877,1
EHM016687.fna,EHM036539.fna,0.963936,0.8549905838041432,1
EHM016687.fna,EHM042977.fna,0.990232,0.8807281858129316,1
EHM016687.fna,EHM043923.fna,0.990228,0.9121155053358443,1
EHM016687.fna,EHM050060.fna,0.988614,0.9001883239171374,1
EHM016687.fna,EHM055692.fna,0.9985930000000001,0.9692404268675455,1
EHM016687.fna,EHM066268.fna,0.9898600000000001,0.9309478970495919,1
EHM016687.fna,EHM079210.fna,0.962585,0.770872567482737,1
EHM016687.fna,EHM081080.fna,0.989219,0.9328311362209667,1
EHM016687.fna,EHM082134.fna,0.9648749999999999,0.8782172002510985,1
EHM016687.fna,EHM082624.fna,0.988946,0.9139987445072191,1
EHM016687.fna,GCA_030131705.1.fna,0.9895149999999999,0.928436911487759,1
EHM016687.fna,GCA_036957665.1.fna,0.986103,0.8788449466415568,1
EHM016687.fna,GCA_046518655.1.fna,0.986541,0.9052102950408035,1
EHM016687.fna,GCA_046555535.1.fna,0.989679,0.9089767733835531,1
EHM016687.fna,GCA_046555695.1.fna,0.989622,0.9139987445072191,1
EHM016687.fna,GCA_046555735.1.fna,0.9885550000000001,0.9058380414312618,1
EHM016687.fna,GCA_046559175.1.fna,0.988969,0.90646578782172,1
EHM016687.fna,GCA_047313245.1.fna,0.987928,0.8857501569365976,1
EHM016687.fna,GCA_050782755.1.fna,0.9893540000000001,0.9240426867545511,1
EHM016687.fna,GCA_054185985.1.fna,0.986656,0.8851224105461394,1
EHM016687.fna,GCA_054186025.1.fna,0.986665,0.8819836785938481,1
EHM016687.fna,GCF_014230105.1.fna,0.988191,0.9177652228499686,1
EHM016687.fna,GCF_018138525.1.fna,0.989681,0.8895166352793471,1
