genome,completeness,contamination,score,size,N50,contig_count,length
D_bin_72949.fa,100.0,0.02,99.96,2288039,110484,50,2288039.0
D_bin_102248.fa,99.65,0.04,99.57,1952893,30717,100,1952893.0
D_bin_51985.fa,99.64,0.32,99.0,1760005,59219,44,1760005.0
D_bin_43708.fa,99.99,0.53,98.93,3101188,41097,142,3101188.0
D_bin_105267.fa,99.33,0.37,98.59,2176401,24591,140,2176401.0
D_bin_192.fa,98.53,0.12,98.29,1582878,223878,15,1582878.0
D_bin_75949.fa,98.62,0.37,97.88,2811899,27256,192,2811899.0
D_bin_40485.fa,99.27,1.2,96.87,1986573,36622,100,1986573.0
D_bin_75627.fa,99.99,2.03,95.93,4533861,21233,358,4533861.0
D_bin_40677.fa,99.99,2.35,95.29,2104414,111105,54,2104414.0
D_bin_78273.fa,99.95,2.37,95.21,2004511,20294,185,2004511.0
D_bin_60660.fa,96.54,0.86,94.82,2283901,73676,64,2283901.0
D_bin_101864.fa,97.97,2.12,93.73,2876907,14542,330,2876907.0
D_bin_71950.fa,94.07,0.34,93.39,1990944,15292,206,1990944.0
D_bin_44667.fa,100.0,3.48,93.04,1434175,31190,70,1434175.0
D_bin_46344.fa,93.83,0.87,92.09,2551081,30607,154,2551081.0
D_bin_96977.fa,98.03,2.97,92.09,1902120,24263,158,1902120.0
D_bin_113409.fa,93.88,1.61,90.66,15417611,12238,1960,15417611.0
D_bin_78969.fa,91.59,0.52,90.55,2512003,23539,142,2512003.0
D_bin_68961.fa,93.27,1.38,90.51,1368141,8718,211,1368141.0
D_bin_526.fa,89.85,0.0,89.85,772856,90976,24,772856.0
D_bin_51922.fa,90.23,0.48,89.27000000000001,2619710,27503,134,2619710.0
D_bin_78559.fa,95.27,3.14,88.99,1686145,17091,150,1686145.0
D_bin_92702.fa,99.92,5.59,88.74000000000001,3194479,5662,703,3194479.0
D_bin_103006.fa,88.53,0.02,88.49,2640797,39553,149,2640797.0
D_bin_107696.fa,95.57,4.5,86.57,2603478,30726,193,2603478.0
D_bin_63799.fa,92.52,3.02,86.47999999999999,1473813,12611,184,1473813.0
D_bin_55944.fa,97.32,6.82,83.67999999999999,2189816,9152,327,2189816.0
D_bin_101840.fa,86.65,1.64,83.37,3264919,22636,300,3264919.0
D_bin_46392.fa,88.5,2.76,82.98,2084652,9129,373,2084652.0
D_bin_54794.fa,90.44,4.09,82.25999999999999,3210533,11135,447,3210533.0
D_bin_77912.fa,82.05,0.65,80.75,2027634,9493,285,2027634.0
D_bin_227.fa,82.87,1.92,79.03,1728234,3918,487,1728234.0
D_bin_98460.fa,82.54,1.87,78.80000000000001,2198620,5124,500,2198620.0
D_bin_103278.fa,83.99,3.12,77.75,2647555,49049,148,2647555.0
D_bin_43836.fa,84.01,3.8,76.41000000000001,1808698,9008,260,1808698.0
D_bin_48063.fa,79.41,1.89,75.63,1827076,5160,427,1827076.0
D_bin_94521.fa,86.0,5.37,75.26,1623720,6843,307,1623720.0
D_bin_55673.fa,83.1,4.09,74.91999999999999,2498605,21294,180,2498605.0
D_bin_44090.fa,75.97,0.54,74.89,1735585,22516,127,1735585.0
D_bin_107259.fa,80.23,3.33,73.57000000000001,1890578,8363,335,1890578.0
D_bin_88019.fa,77.47,2.19,73.09,1195729,4348,314,1195729.0
D_bin_104479.fa,77.68,2.76,72.16000000000001,1942404,4439,520,1942404.0
D_bin_12441.fa,77.02,3.78,69.46,1334476,12904,135,1334476.0
D_bin_102986.fa,77.69,4.69,68.31,1570542,8144,269,1570542.0
D_bin_95139.fa,69.89,1.41,67.07000000000001,2223932,8108,396,2223932.0
D_bin_52920.fa,66.09,0.66,64.77000000000001,957524,3487,301,957524.0
D_bin_65625.fa,69.66,2.55,64.56,1376834,5389,308,1376834.0
D_bin_83120.fa,64.7,0.38,63.940000000000005,2010911,27990,135,2010911.0
D_bin_46432.fa,67.26,1.92,63.42,1359892,3712,415,1359892.0
D_bin_42257.fa,67.36,2.76,61.84,1203831,2837,448,1203831.0
D_bin_78089.fa,75.88,7.09,61.7,1854379,3437,585,1854379.0
D_bin_72441.fa,75.52,7.35,60.81999999999999,1324467,10050,196,1324467.0
D_bin_72267.fa,65.62,2.84,59.940000000000005,1413268,12654,176,1413268.0
D_bin_73905.fa,75.64,8.52,58.6,2403701,11749,317,2403701.0
D_bin_82100.fa,65.1,3.26,58.58,1833204,9960,254,1833204.0
D_bin_60969.fa,62.69,2.77,57.15,853102,2454,347,853102.0
D_bin_52533.fa,61.08,2.24,56.6,1081624,4189,296,1081624.0
D_bin_71863.fa,53.99,0.19,53.61,810015,3264,275,810015.0
D_bin_43212.fa,61.6,5.19,51.22,1196490,4469,322,1196490.0
D_bin_80043.fa,55.03,1.96,51.11,1024046,3510,313,1024046.0
D_bin_54621.fa,68.23,9.0,50.23,2369184,3796,692,2369184.0
D_bin_41782.fa,61.94,6.91,48.12,1643689,5267,379,1643689.0
D_bin_95655.fa,48.86,0.45,47.96,1055361,21177,70,1055361.0
D_bin_87972.fa,71.06,14.45,42.16,1870629,3319,596,1870629.0
D_bin_65404.fa,42.04,0.91,40.22,34516,4237,10,
D_bin_2584.fa,42.6,1.2,40.2,586146,2467,239,586146.0
D_bin_5818.fa,43.64,2.03,39.58,65803,3043,23,65803.0
D_bin_51623.fa,41.3,0.94,39.42,1067830,30152,60,1067830.0
D_bin_68349.fa,41.01,1.48,38.05,954177,2910,341,954177.0
D_bin_86904.fa,43.6,3.14,37.32,1248578,6430,237,1248578.0
D_bin_91656.fa,41.86,3.2,35.46,1421410,4739,354,1421410.0
F_bin_55.fa,99.99,0.0,99.99,1480535,94915,48,1480535.0
F_bin_124563.fa,99.99,0.0,99.99,2873055,28269,200,2873055.0
F_bin_117625.fa,100.0,0.03,99.94,2356154,79462,75,2356154.0
F_bin_239230.fa,100.0,0.11,99.78,2254852,14330,262,2254852.0
F_bin_250894.fa,99.98,0.12,99.74,4445666,37627,196,4445666.0
F_bin_157399.fa,99.98,0.13,99.72,1786474,51081,69,1786474.0
F_bin_211176.fa,99.91,0.2,99.51,1892704,26228,142,1892704.0
F_bin_213245.fa,99.77,0.14,99.49,3490804,60711,116,3490804.0
F_bin_53850.fa,99.99,0.29,99.41,3588254,263453,25,3588254.0
F_bin_241092.fa,99.94,0.28,99.38,1561031,18689,144,1561031.0
F_bin_177620.fa,99.86,0.37,99.12,2700455,33759,160,2700455.0
F_bin_258476.fa,99.39,0.19,99.01,2461270,29038,170,2461270.0
F_bin_115099.fa,100.0,0.51,98.98,2263363,35110,120,2263363.0
F_bin_116764.fa,99.43,0.3,98.83,2352505,60517,69,2352505.0
F_bin_235402.fa,99.73,0.45,98.83,1882854,17997,175,1882854.0
F_bin_275946.fa,99.62,0.4,98.82,2366691,21765,207,2366691.0
F_bin_119699.fa,99.26,0.28,98.7,1447170,23325,96,1447170.0
F_bin_191654.fa,98.79,0.08,98.63,1555596,67862,43,1555596.0
F_bin_398.fa,100.0,0.83,98.34,1706873,219547,12,1706873.0
F_bin_778.fa,99.45,0.75,97.95,1888700,29526,120,1888700.0
F_bin_110336.fa,100.0,1.13,97.74,1795781,13912,203,1795781.0
F_bin_147199.fa,97.84,0.09,97.66,1934105,26223,130,1934105.0
F_bin_111749.fa,99.53,1.07,97.39,2200000,28180,118,2200000.0
F_bin_119750.fa,97.37,0.0,97.37,2327562,71450,55,2327562.0
F_bin_232232.fa,100.0,1.36,97.28,2529064,38638,105,2529064.0
F_bin_7203.fa,97.57,0.26,97.05,2743986,27826,171,2743986.0
F_bin_257404.fa,97.88,0.45,96.98,2419852,15478,260,2419852.0
F_bin_118177.fa,96.66,0.0,96.66,1681374,40315,79,1681374.0
F_bin_121093.fa,97.75,0.67,96.41,2496522,41326,109,2496522.0
F_bin_140455.fa,98.84,1.22,96.4,2482194,37077,117,2482194.0
F_bin_281737.fa,96.76,0.26,96.24,2982194,18770,282,2982194.0
