Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp	# predicted rRNA genes
EHM016244	167	167	148	109	70	29	4781710	4781710	4710749	4431774	3767054	2282093	167	135117	4781710	42.02	48045	13783	55797.5	32	98	0.00	2 + 2 part
EHM020888	229	229	189	136	51	11	4012352	4012352	3894595	3479693	2069655	705929	229	139607	4012352	41.94	26409	8757	32038.0	49	150	0.00	2 + 4 part
EHM023642	174	174	136	100	50	23	4422164	4422164	4296267	4021942	3205551	2270743	174	171076	4422164	42.27	56309	10838	70516.7	22	96	0.00	3 + 2 part
EHM027647	203	203	184	130	42	8	3587464	3587464	3524745	3103339	1666497	484056	203	70895	3587464	41.78	24197	9062	28167.8	48	144	0.00	0 + 1 part
EHM027681	223	223	185	131	55	16	4255551	4255551	4127195	3742214	2526874	1238485	223	176882	4255551	41.86	28558	8334	41770.9	41	141	0.00	1 + 3 part
EHM030017	118	118	110	87	59	26	4293371	4293371	4263223	4098575	3615973	2343366	118	196524	4293371	42.22	59177	18022	70542.7	23	71	0.00	3 + 2 part
EHM030591	162	162	135	92	55	32	4843106	4843106	4748039	4432140	3866963	3046154	162	244743	4843106	41.57	72662	11394	80072.3	22	86	0.00	2 + 0 part
EHM031561	226	226	174	118	46	18	4245162	4245162	4082837	3657692	2511308	1492470	226	177575	4245162	41.91	35311	8717	48901.2	33	136	0.00	2 + 1 part
EHM031855	257	257	173	122	55	23	4382459	4382459	4144181	3787806	2775560	1641716	257	130750	4382459	41.80	35946	7019	42619.0	37	141	0.00	1 + 3 part
EHM038992	129	129	122	97	61	28	4376570	4376570	4348569	4163751	3600442	2369833	129	234743	4376570	41.94	53964	14769	68704.6	25	79	0.00	3 + 2 part
EHM042242	62	62	56	47	37	31	4830688	4830688	4810204	4733927	4582031	4358075	62	358913	4830688	41.57	158114	54676	168988.6	11	31	0.00	0 + 1 part
EHM046462	273	273	193	130	43	9	3993475	3993475	3742847	3305429	1878689	660247	273	124981	3993475	42.02	23724	6427	31963.9	48	167	0.00	1 + 4 part
EHM064882	321	321	274	191	54	7	5060242	5060242	4883554	4294337	2097722	403522	321	74561	5060242	41.84	21318	7801	25763.9	73	221	0.00	2 + 0 part
EHM065060	314	314	266	175	44	8	4638771	4638771	4456601	3768151	1720067	484971	314	74547	4638771	42.34	20345	7648	24647.2	71	222	0.00	2 + 0 part
EHM065154	419	419	256	155	40	6	4625753	4625753	4126801	3388454	1529683	368443	419	81830	4625753	42.02	17992	4605	22490.9	77	264	0.00	2 + 0 part
EHM069253	186	186	162	134	61	17	4450937	4450937	4362472	4154670	2940778	1251948	186	161523	4450937	41.75	40202	11425	43767.2	39	121	0.00	1 + 2 part
EHM074387	103	103	79	72	49	37	4800145	4800145	4731509	4682429	4296333	3878034	103	344232	4800145	42.03	97183	24963	116049.2	16	50	0.00	0 + 1 part
EHM083838	97	97	86	75	51	32	4217150	4217150	4181820	4098024	3650010	3008743	97	173763	4217150	41.96	82307	22117	81233.7	19	58	0.00	1 + 4 part
EHM084708	171	171	150	110	47	20	4083986	4083986	4012495	3727344	2646274	1658723	171	223549	4083986	42.13	43188	11176	56382.1	29	106	0.00	0 + 0 part
GCA_000403235.2	17	17	16	15	14	14	5128730	5128730	5126202	5117820	5104412	5104412	17	1241262	5128730	42.41	422052	168595	689803.2	3	10	332.17	13 + 1 part
GCA_040912025.1	115	113	67	59	46	30	4575595	4573717	4482986	4432187	4205981	3646795	113	296989	4573717	43.50	113832	26612	124324.5	14	43	26.98	4 + 3 part
GCF_000403235.1	17	17	16	15	14	14	5128730	5128730	5126202	5117820	5104412	5104412	17	1241262	5128730	42.41	422052	168595	689803.2	3	10	332.17	13 + 1 part
GCF_001404375.1	88	77	67	62	46	31	5048219	5041406	5013879	4972371	4708441	4192293	77	581980	5041406	42.19	127869	30274	201401.0	11	41	64.68	3 + 0 part
GCF_001405155.1	111	100	86	78	54	40	5192323	5186745	5145190	5085663	4661252	4096074	100	192003	5186745	42.74	98681	23720	97573.7	20	55	117.13	3 + 1 part
GCF_001406315.1	67	62	56	51	38	29	4972269	4969176	4952056	4910989	4675989	4351174	62	421388	4969176	42.17	200277	40723	192407.9	9	32	82.97	2 + 1 part
GCF_002796815.1	194	118	80	67	53	35	5045792	5011878	4923704	4821923	4636449	3989337	118	332476	5011878	42.23	99080	27634	124855.1	15	49	115.01	2 + 2 part
GCF_003436175.1	104	98	75	66	53	35	5146969	5143407	5089965	5021066	4814093	4180902	98	341599	5143407	42.48	117661	29340	128385.6	16	47	19.21	2 + 1 part
GCF_003436605.1	102	90	72	64	48	33	5051994	5043172	5001325	4942060	4645813	4080506	90	302354	5043172	42.09	117573	33095	128077.2	15	44	9.26	3 + 0 part
GCF_003436855.1	87	80	66	61	44	32	4966975	4961707	4929312	4890156	4593805	4112197	80	302644	4961707	42.16	137571	40154	131351.8	14	40	3.83	2 + 1 part
GCF_003437415.1	195	186	154	127	72	28	5289832	5283216	5187779	4989167	4069279	2521185	186	380115	5283216	42.67	48170	14093	76588.3	31	109	60.70	3 + 0 part
GCF_003437875.1	80	70	60	54	41	29	5062435	5055423	5034972	4992329	4768055	4312590	70	472798	5055423	42.46	157195	45508	185083.5	11	34	12.36	4 + 1 part
GCF_003438235.1	99	94	71	64	49	34	4814482	4810826	4750667	4696690	4438953	3849262	94	300669	4810826	41.97	94343	33785	123825.5	15	46	1.87	5 + 0 part
GCF_003438645.1	171	148	111	89	58	41	5657833	5641643	5547182	5386358	4856611	4235464	148	329739	5641643	42.39	91959	20835	105127.5	21	68	21.18	4 + 0 part
