ID	accession	gtdb_taxonomy	checkm2_completeness	checkm2_contamination	genome_size	gc_percentage	n50_contigs	contig_count	ncbi_biosample	isolation_source_x	country	mimag_high_quality	mimag_medium_quality	gtdb_representative	ncbi_genbank_assembly_accession	BioSample	ENA first public	ENA last update	ENA-CHECKLIST	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	External Id	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	MLST_type	SRA_BioSample	Submitter Id	altitude	assembly	assembly quality	assembly software	assembly_method	assembly_method_version	binning parameters	binning software	biomaterial_provider	biotic_relationship	broker name	collected_by	collection_date	common name	completeness score	completeness software	completeness_estimated	contamination score	contamination_estimated	culture_collection	depth	derived_from	env_broad_scale	env_local_scale	env_medium	env_package	environmental-sample	environmental_sample	estimated_size	extrachrom_elements	finishing strategy (depth of coverage)	genome_coverage	genome_name	genotype	geo_loc_name	geographic location (latitude)	geographic location (longitude)	host	host-associated environmental package	host_age	host_body_habitat	host_body_product	host_description	host_diet	host_disease	host_disease_outcome	host_disease_stage	host_genotype	host_health_state	host_phenotype	host_sex	host_subject_id	host_taxid	host_tissue_sampled	identified_by	investigation_type	isol_growth_condt	isolate	isolate host	isolation_source_y	lab_host	label	lat_lon	local environmental context	locus_tag_prefix	mapping_method	mapping_method_version	mating_type	metagenome_source	metagenomic	metagenomic source	misc_param: HMP body site	misc_param: HMP supersite	note	nucleic acid extraction	num_replicons	passage_history	pathotype	project_name	project_type	quality_assessment_method	quality_assessment_method_version	ref_biomaterial	rel_to_oxygen	samp_mat_process	samp_size	sample derived from	sample_name	sample_type	scientific_name	seq_id	sequencing method	serotype	serovar	sop	source_SRA	source_SRA_ bioproject	source_material_id	specimen_voucher	strain	subgroup	subtype	taxonomic classification	taxonomic identity marker	temp	value
GCA_000205205.1	GB_GCA_000205205.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	99.98	1.92	3026279	37.14040604909907	25933	220	SAMN02299432	gut	none	f	t	f	GCA_000205205.1	SAMN02299432																not determined											not determined										terrestrial biome [ENVO:00000446]	human-associated habitat [ENVO:00009003]	biological product [ENVO:02000043]	missing			not determined		Level 2: High-Quality Draft220				not determined			Homo sapiens															9606			bacteria_archaea	not determined						not determined									not determined	gastrointestinal_tract		not determined	not determined			Enterococcus faecalis TX1467	Reference Genome			not determined									Illumina			http://hmpdacc.org/doc/CommonGeneAnnotation_SOP.pdf			BEI HM-458		TX1467						
GCA_000505585.1	GB_GCA_000505585.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	99.93	3.46	3213860	37.46818467512586	59627	397	SAMN02380586	feces	Antarctica: Warriner Island	t	f	f	GCA_000505585.1	SAMN02380586																											2010-03										Gastrointestinal tract	Island	Adelie penguin faeces										Antarctica: Warriner Island			Adelie penguin			Excreted faeces															bacteria_archaea	www.epa.gov/microbes/documents/1106_1sp02.pdf?						68.602605 S 77.915193 E													1			Distribution and Taxonomy of Enterococci from the Davis Station Wastewater Discharge, Antarctica				Draft Genome Sequence of Enterococcus faecalis strain PF3, Isolated from Adelie penguin faeces, Antarctica																	PF3						
GCA_000508705.1	GB_GCA_000508705.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.17	2965864	37.319206915042514	161590	62	SAMN02316559	premature infant gut	USA: Chicago; IL	f	t	f	GCA_000508705.1	SAMN02316559																											2012-02-10										human gut	hospital	stool										USA: Comer Children's Hospital at the University of Chicago			Homo sapiens																		metagenome						premature infant gut metagenome	"41.790306, -87.6546"""																metagenome reconstructed from a premature infant gut community																											
GCA_001913975.1	GB_GCA_001913975.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.43	3142035	37.06594611454042	76013	105	SAMN05509316	Infant 1 DOL 13 gut	USA: Pittsburgh; Magee-Womens Hospital of UPMC	f	t	f	GCA_001913975.1	SAMN05509316																											2013/2014														TRUE								USA: Pittsburgh, Magee-Womens Hospital of UPMC			Homo sapiens																				0113A_36_17		Infant 1 DOL 13 gut									human gut metagenome	TRUE				This biosample is a metagenomic assembly obtained from the human gut metagenome sample: SAMN05301469															metagenomic assembly																	
GCA_001913995.1	GB_GCA_001913995.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	99.99	0.3	2994424	37.24750038743327	157543	45	SAMN05509325	Infant 2 DOL 19 gut	USA: Pittsburgh; Magee-Womens Hospital of UPMC	f	t	f	GCA_001913995.1	SAMN05509325																											2013/2014														TRUE								USA: Pittsburgh, Magee-Womens Hospital of UPMC			Homo sapiens																				0519A_37_406		Infant 2 DOL 19 gut									human gut metagenome	TRUE				This biosample is a metagenomic assembly obtained from the human gut metagenome sample: SAMN05301497															metagenomic assembly																	
GCA_003449815.1	GB_GCA_003449815.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.07	2658041	37.74385394526711	107100	35	SAMN08020061	metagenome	none	f	t	f	GCA_003449815.1	SAMN08020061																			CLC de novo assembler	4.4.1							not applicable				99.53%		0.00%									true				32.26x			not applicable																							UBA8857		metagenome						BWA (BWA-MEM)	0.7.12-r1039		metagenome	true				metagenome							CheckM	1.0.6							metagenomic assembly																	This BioSample is a metagenomic assembly obtained from the metagenome reads: SRR606249.
GCA_014853775.1	GB_GCA_014853775.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	99.99	1.56	3206492	37.079306606721616	11342	491	SAMN15957564	feces	Estonia: Tartu	f	t	f	GCA_014853775.1	SAMN15957564																								commensal			2012-05-21										medical	human	feces										Estonia: Tartu			Homo sapiens		34																	missing						missing													missing							missing																	HUM-571						
GCA_018380395.1	GB_GCA_018380395.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.33	2958376	37.24648252960408	178540	46	SAMN17801159	infant feces	USA: Pittsburgh; Magee-Womens Hospital of UPMC	f	t	f	GCA_018380395.1	SAMN17801159																											2016/2019									This BioSample is a metagenomic assembly obtained from the human gut metagenome BioSample: SAMN17763869	feces	infant	feces		1						Enterococcus_faecalis_dasL2_037_008G1_concoct_7.fa		USA: Pittsburgh, Magee-Womens Hospital of UPMC			Homo sapiens																				L2_037_008G1_dasL2_037_008G1_concoct_7		infant feces			40.4308 N 79.9598 W						human gut metagenome	1																			metagenomic assembly																	
GCA_020743815.1	GB_GCA_020743815.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	99.98	1.09	2775563	37.50511157556143	46336	108	SAMN21194290	feces	Bulgaria	f	t	f	GCA_020743815.1	SAMN21194290													SAMEA104467487														2015									This BioSample is a metagenomic assembly obtained from the publicly available reads deposited in SRA accession:ERR2241984	faecal biome	Gallus gallus	faeces		1								Bulgaria			poultry																				CHK173-2788		feces			42.7339 N 25.4858 E						gut metagenome	1																			metagenomic assembly							ERS2085429	PRJEB22062									
GCA_022712435.1	GB_GCA_022712435.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecalis_A	94.45	0.03	2211246	39.74044497988917	10314	266	SAMN26087327	Bran-feeding group superworm feces	none	f	t	f	GCA_022712435.1	SAMN26087327																											2018-01									SAMN26087426	not applicable	not applicable	not applicable		1								not applicable			Zophobas morio						Bran														feces_b_bin.10		Bran-feeding group superworm feces			not applicable						insect gut metagenome	1																			metagenomic assembly																	
