contig_id	mag
EHA00451_bin.8^_0	EHM012289
EHA00451_bin.8^_1	EHM012289
EHA00451_bin.8^_2	EHM012289
EHA00451_bin.8^_3	EHM012289
EHA00451_bin.8^_4	EHM012289
EHA00451_bin.8^_5	EHM012289
EHA00451_bin.8^_6	EHM012289
EHA00451_bin.8^_7	EHM012289
EHA00451_bin.8^_8	EHM012289
EHA00451_bin.8^_9	EHM012289
EHA00451_bin.8^_10	EHM012289
EHA00451_bin.8^_11	EHM012289
EHA00451_bin.8^_12	EHM012289
EHA00451_bin.8^_13	EHM012289
EHA00451_bin.8^_14	EHM012289
EHA00451_bin.8^_15	EHM012289
EHA00451_bin.8^_16	EHM012289
EHA00451_bin.8^_17	EHM012289
EHA00451_bin.8^_18	EHM012289
EHA00451_bin.8^_19	EHM012289
EHA00451_bin.8^_20	EHM012289
EHA00451_bin.8^_21	EHM012289
EHA00451_bin.8^_22	EHM012289
EHA00451_bin.8^_23	EHM012289
EHA00451_bin.8^_24	EHM012289
EHA00451_bin.8^_25	EHM012289
EHA00451_bin.8^_26	EHM012289
EHA00451_bin.8^_27	EHM012289
EHA00451_bin.8^_28	EHM012289
EHA00451_bin.8^_29	EHM012289
EHA00451_bin.8^_30	EHM012289
EHA00451_bin.8^_31	EHM012289
EHA00451_bin.8^_32	EHM012289
EHA00451_bin.8^_33	EHM012289
EHA00451_bin.8^_34	EHM012289
EHA00451_bin.8^_35	EHM012289
EHA00451_bin.8^_36	EHM012289
EHA00451_bin.8^_37	EHM012289
EHA00451_bin.8^_38	EHM012289
EHA00451_bin.8^_39	EHM012289
EHA00451_bin.8^_40	EHM012289
EHA00451_bin.8^_41	EHM012289
EHA00451_bin.8^_42	EHM012289
EHA00451_bin.8^_43	EHM012289
EHA00451_bin.8^_44	EHM012289
EHA00451_bin.8^_45	EHM012289
EHA00451_bin.8^_46	EHM012289
EHA00451_bin.8^_47	EHM012289
EHA00451_bin.8^_48	EHM012289
EHA00451_bin.8^_49	EHM012289
EHA00451_bin.8^_50	EHM012289
EHA00451_bin.8^_51	EHM012289
EHA00451_bin.8^_52	EHM012289
EHA00451_bin.8^_53	EHM012289
EHA00451_bin.8^_54	EHM012289
EHA00451_bin.8^_55	EHM012289
EHA00451_bin.8^_56	EHM012289
EHA00451_bin.8^_57	EHM012289
EHA00451_bin.8^_58	EHM012289
EHA00451_bin.8^_59	EHM012289
EHA00451_bin.8^_60	EHM012289
