ID	mag_name	link_to_assembly	AB_batch	eha_number	GTDB_version	GTDB_release	domain	phylum	class	order	family	genus	species	fastani_ani	closest_placement_ani	closest_placement_af	completeness	contamination	size	GC	N50	coding_density	contigs	number_genes	number_unannotated_genes	DM_batch	host_species	host_order	host_class	locality	country	MAG_url	anno_url	kegg_url	annotated	taxonomy_level	assembly_type	sample_type	gbk_url	kegg_hits	Capture ID	percent_unannotated_genes	percent_unannotated_kegg	dereplicated	metagenomic source	completeness software	binning software	assembly quality	binning parameters	taxonomic identity marker	isolation_source	assembly software	Submission
EHM027709	EHA01589_bin.9.fa	EHA01589	ABB0221	EHA01589	2.3.0	R214	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Peptostreptococcus	s__Peptostreptococcus russellii_A	98.25	98.25	0.92	99.3	0	2014505	30.60%	231861	NA	17	1731	205	DMB0019,DMB0027,DMB0043,DMB0114,DMB0117,DMB0182	Cathartes aura	Accipitriformes	Aves	Florida, 4.1 mi N of Brooker	United States	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0221/EHA01589_bin.9.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM027709_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM027709_kegg.tsv.gz	TRUE	Species	Individual	Colon contents	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM027709.gbk.gz	1054	SD0294801	11.8	39.1	DMB0019,DMB0027,DMB0043,DMB0114,DMB0117	NA	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM028178	EHA01709_bin.58.fa	EHA01709	ABB0232	EHA01709	2.3.0	R214	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Peptostreptococcus	s__Peptostreptococcus russellii_A	98.18	98.18	0.91	96.45	1.75	2079705	30.60%	57253	NA	70	NA	NA	DMB0019,DMB0027,DMB0043,DMB0117,DMB0182	Cathartes aura	Accipitriformes	Aves	Florida, 4.1 mi N of Brooker	United States	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0232/EHA01709_bin.58.fa.gz	NA	NA	FALSE	Species	Coassembly	Jejunum contents	NA	NA	SD0294801, SD0294701, SD0294801, SD0294701, SD0294701, SD0294801, SD0294501, SD0297801, SD0297701, SD0296201, SD0296701, SD0295001, SD0297601, SD0296701, SD0294501, SD0297801, SD0297601, SD0295101, SD0295201, SD0296701, SD0297601, SD0294501, SD0297701, SD0294501, SD0295001, SD0295001, SD0295301, SD0295201, SD0295101, SD0295301, SD0295001, SD0295201, SD0297801, SD0296201, SD0295101, SD0297701, SD0296201, SD0297701, SD0295201, SD0297601, SD0297801, SD0296201, SD0296701, SD0295301, SD0295301, SD0294801, SD0295101, SD0294701, SD0294901, SD0295601, SD0295601, SD0295601, SD0295601, SD0294901, SD0294901, SD0294901, SD0296801, SD0296001, SD0297001, SD0296501, SD0296901, SD0296401, SD0296301, SD0296801, SD0296001, SD0296601, SD0294601, SD0296901, SD0296601, SD0294601, SD0294601, SD0296401, SD0296301, SD0296301, SD0296501, SD0297001, SD0296501, SD0296401, SD0296901, SD0296601, SD0297001, SD0296801, SD0296001, SD0296801, SD0296301, SD0297001, SD0296501, SD0294601, SD0296001, SD0296401, SD0296601	NA	NA	NA	NA	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM029968	EHA01922_bin.8.fa	EHA01922	ABB0247	EHA01922	2.3.0	R214	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Peptostreptococcus	s__Peptostreptococcus russellii_A	99.16	99.16	0.9	100	0.33	2168579	31.00%	155187	0.81	25	NA	NA	DMB0024,DMB0032,DMB0182	Canis familiaris	Carnivora	Mammalia	Ittoqqortoormii	Greenland	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0247/EHA01922_bin.8.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM029968_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM029968_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM029968.gbk.gz	NA	SD0315901	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS002
EHM030001	EHA01911_bin.1.fa	EHA01911	ABB0247	EHA01911	2.3.0	R214	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Peptostreptococcus	s__Peptostreptococcus russellii_A	99.12	99.12	0.93	100	0.13	2143907	31.00%	240141	0.84	34	1922	308	DMB0024,DMB0032,DMB0114,DMB0182	Canis familiaris	Carnivora	Mammalia	Ittoqqortoormii	Greenland	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0247/EHA01911_bin.1.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM030001_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM030001_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM030001.gbk.gz	1065	SD0317001	16	44.6	DMB0024,DMB0032,DMB0114,DMB0182	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS002
EHM030605	EHA01907_bin.10.fa	EHA01907	ABB0247	EHA01907	2.3.0	R214	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Peptostreptococcus	s__Peptostreptococcus russellii_A	99.12	99.12	0.89	100	0.35	2077720	31.00%	108739	0.84	35	NA	NA	DMB0024,DMB0032,DMB0182	Canis familiaris	Carnivora	Mammalia	Ittoqqortoormii	Greenland	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0247/EHA01907_bin.10.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM030605_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM030605_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM030605.gbk.gz	NA	SD0316801	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS002
EHM030835	EHA01902_bin.8.fa	EHA01902	ABB0247	EHA01902	2.3.0	R214	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Peptostreptococcus	s__Peptostreptococcus russellii_A	99.12	99.12	0.93	100	0.64	2089435	31.00%	177081	0.84	30	NA	NA	DMB0024,DMB0032,DMB0182	Canis familiaris	Carnivora	Mammalia	Ittoqqortoormii	Greenland	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0247/EHA01902_bin.8.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM030835_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM030835_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM030835.gbk.gz	NA	SD0317301	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS002
EHM046465	EHA03161_bin.57.fa	EHA03161	ABB0384	EHA03161	2.3.0	R214	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Peptostreptococcus	s__Peptostreptococcus russellii_A	98.19	98.19	0.9	90.98	1.02	2050248	31.00%	60998	0.84	65	NA	NA	DMB0117	Cathartes aura	Accipitriformes	Aves	Florida, Lake Butler	United States	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0384/EHA03161_bin.57.fa.gz	NA	NA	FALSE	Species	Coassembly	Colon contents	NA	NA	SD0294501, SD0294501, SD0294701, SD0294701, SD0294801, SD0294801, SD0295001, SD0295001, SD0295101, SD0295101, SD0295201, SD0295201, SD0295301, SD0295801, SD0295901, SD0296101, SD0296201, SD0296701, SD0296701, SD0297601, SD0297601, SD0297701, SD0297701, SD0297801, SD0297801, SD0297901, SD0298001, SD0298101	NA	NA	NA	NA	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM083967	EHA05620_bin.6.fa	EHA05620	ABB0628	EHA05620	2.3.0	NA	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Peptostreptococcus	s__Peptostreptococcus russellii_A	99.26	99.26	0.95	92.29	0.78	1831851	31.00%	8908	0.84	265	NA	NA	DMB0181	Canis familiaris	Carnivora	Mammalia	Ittoqqortoormiit	Greenland	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0628/EHA05620_bin.6.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0529201, SD0529202, SD0529203, SD0529204, SD0529205	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM084128	EHA05615_bin.97.fa	EHA05615	ABB0627	EHA05615	2.3.0	NA	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Peptostreptococcus	s__Peptostreptococcus russellii_A	99.32	99.32	0.93	100	0.56	1942462	31.00%	137484	0.84	23	NA	NA	DMB0181	Canis familiaris	Carnivora	Mammalia	Ittoqqortoormiit	Greenland	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0627/EHA05615_bin.97.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0529101, SD0529102, SD0529103, SD0529104, SD0529105	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM084133	EHA05667_bin.11.fa	EHA05667	ABB0638	EHA05667	2.3.0	NA	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Peptostreptococcus	s__Peptostreptococcus russellii_A	99.26	99.26	0.91	100	0.02	2069060	31.00%	152349	0.84	34	NA	NA	DMB0181	Canis familiaris	Carnivora	Mammalia	Ittoqqortoormiit	Greenland	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0638/EHA05667_bin.11.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0530301, SD0530302, SD0530303	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
