reference,querry,ani,alignment_coverage,primary_cluster
EHM016840.fna,EHM016840.fna,1.0,0.9937434827945777,1
EHM016840.fna,EHM018199.fna,0.979444,0.8237747653806048,1
EHM016840.fna,EHM018319.fna,0.983575,0.6955161626694474,1
EHM016840.fna,EHM018971.fna,0.982889,0.8409801876955162,1
EHM016840.fna,EHM019513.fna,0.977115,0.7481751824817519,1
EHM016840.fna,EHM019698.fna,0.980486,0.7805005213764338,1
EHM016840.fna,EHM020631.fna,0.980943,0.799791449426486,1
EHM016840.fna,EHM044815.fna,0.99126,0.6553701772679875,1
EHM016840.fna,EHM047420.fna,0.977446,0.6814389989572471,1
EHM016840.fna,EHM048328.fna,0.981668,0.7241918665276329,1
EHM016840.fna,EHM048951.fna,0.979255,0.7466110531803962,1
EHM016840.fna,EHM049476.fna,0.981453,0.7382690302398331,1
EHM016840.fna,EHM049771.fna,0.9800270000000001,0.7737226277372263,1
EHM016840.fna,EHM050866.fna,0.979348,0.8138686131386861,1
EHM016840.fna,EHM050943.fna,0.978941,0.8279457768508863,1
EHM016840.fna,EHM074851.fna,0.98398,0.6955161626694474,1
EHM016840.fna,EHM075880.fna,0.951952,0.5755995828988529,1
EHM016840.fna,GCA_947382255.1.fna,0.980047,0.6730969760166841,1
EHM016840.fna,GCA_948602925.1.fna,0.979212,0.7617309697601669,1
EHM016840.fna,GCA_948651455.1.fna,0.979022,0.778415015641293,1
EHM016840.fna,GCA_948685565.1.fna,0.977719,0.7257559958289885,1
EHM016840.fna,GCA_948697095.1.fna,0.977476,0.7335766423357665,1
EHM016840.fna,GCA_948865225.1.fna,0.9773999999999999,0.7200208550573514,1
EHM016840.fna,GCA_949345095.1.fna,0.9763339999999999,0.6006256517205423,1
EHM016840.fna,GCA_958413355.1.fna,0.976683,0.643378519290928,1
EHM016840.fna,GCF_000403825.2.fna,0.9795520000000001,0.8300312825860271,1
EHM016840.fna,GCF_009677045.1.fna,0.980034,0.8123044838373306,1
EHM016840.fna,GCF_009677055.1.fna,0.979573,0.8086548488008342,1
EHM016840.fna,GCF_009677135.1.fna,0.9801439999999999,0.8143899895724713,1
EHM016840.fna,GCF_009677145.1.fna,0.979916,0.8112617309697602,1
EHM016840.fna,GCF_009677155.1.fna,0.979733,0.8107403545359749,1
EHM016840.fna,GCF_009677195.1.fna,0.980043,0.8117831074035453,1
EHM016840.fna,GCF_009677205.1.fna,0.980035,0.8123044838373306,1
EHM016840.fna,GCF_009677815.1.fna,0.980649,0.8044838373305526,1
EHM016840.fna,GCF_009677865.1.fna,0.9809699999999999,0.8039624608967675,1
EHM016840.fna,GCF_010206235.1.fna,0.979889,0.821689259645464,1
EHM016840.fna,GCF_017873595.1.fna,0.979363,0.8284671532846716,1
EHM016840.fna,GCF_027688775.1.fna,0.979962,0.8065693430656934,1
EHM016840.fna,GCF_902375575.1.fna,0.979543,0.8263816475495308,1
EHM016840.fna,GCF_905205365.1.fna,0.979301,0.791970802919708,1
EHM016840.fna,GCF_910574435.1.fna,0.980266,0.8232533889468197,1
EHM016840.fna,GCF_910574575.1.fna,0.9799519999999999,0.8227320125130344,1
EHM016840.fna,GCF_910577775.1.fna,0.980667,0.8258602711157456,1
EHM016840.fna,GCF_932751185.1.fna,0.979599,0.8076120959332638,1
EHM016840.fna,GCF_938010035.1.fna,0.979743,0.8070907194994786,1
EHM016840.fna,GCF_947038275.1.fna,0.979926,0.8076120959332638,1
EHM016840.fna,GCF_947061905.1.fna,0.979919,0.7413972888425443,1
EHM016840.fna,GCF_947256775.1.fna,0.979732,0.8159541188738269,1
EHM016840.fna,GCF_947256815.1.fna,0.980731,0.805526590198123,1
EHM016840.fna,GCF_947364385.1.fna,0.979771,0.8164754953076121,1
EHM016840.fna,GCF_947367975.1.fna,0.9803029999999999,0.8096976016684045,1
EHM016840.fna,GCF_947571905.1.fna,0.9801439999999999,0.8107403545359749,1
EHM016840.fna,GCF_947649565.1.fna,0.9808920000000001,0.8018769551616267,1
EHM016840.fna,GCF_947653485.1.fna,0.9804590000000001,0.8138686131386861,1
EHM016840.fna,GCF_948560525.1.fna,0.979218,0.781021897810219,1
EHM016840.fna,GCF_948590365.1.fna,0.979996,0.7872784150156413,1
EHM016840.fna,GCF_948592825.1.fna,0.980519,0.7773722627737226,1
EHM016840.fna,GCF_948708715.1.fna,0.979696,0.8008342022940563,1
EHM016840.fna,GCF_948742315.1.fna,0.9786069999999999,0.7627737226277372,1
EHM016840.fna,GCF_948761645.1.fna,0.979901,0.8029197080291971,1
EHM016840.fna,GCF_948766295.1.fna,0.980787,0.8008342022940563,1
EHM016840.fna,GCF_948785215.1.fna,0.9799840000000001,0.7888425443169969,1
EHM016840.fna,GCF_948786225.1.fna,0.979463,0.7966631908237748,1
EHM016840.fna,GCF_948821275.1.fna,0.97856,0.735140771637122,1
EHM016840.fna,GCF_948825195.1.fna,0.978977,0.8018769551616267,1
EHM016840.fna,GCF_948890965.1.fna,0.979463,0.7966631908237748,1
EHM016840.fna,GCF_948908075.1.fna,0.979805,0.7940563086548488,1
EHM016840.fna,GCF_948951615.1.fna,0.979958,0.7893639207507821,1
EHM016840.fna,GCF_949022055.1.fna,0.980279,0.8060479666319083,1
EHM016840.fna,GCF_949030735.1.fna,0.979565,0.8133472367049009,1
EHM016840.fna,GCF_949080125.1.fna,0.9796349999999999,0.8023983315954119,1
EHM016840.fna,GCF_949122975.1.fna,0.9803029999999999,0.8023983315954119,1
EHM016840.fna,GCF_949346165.1.fna,0.978428,0.7471324296141815,1
EHM016840.fna,GCF_949349475.1.fna,0.9793120000000001,0.8029197080291971,1
EHM016840.fna,GCF_949386655.1.fna,0.977437,0.6689259645464025,1
EHM016840.fna,GCF_949392105.1.fna,0.978551,0.7554744525547445,1
EHM016840.fna,GCF_949393655.1.fna,0.9762609999999999,0.6538060479666319,1
EHM016840.fna,GCF_949407495.1.fna,0.9794320000000001,0.7930135557872784,1
EHM016840.fna,GCF_949410045.1.fna,0.978402,0.7742440041710115,1
EHM016840.fna,GCF_949410935.1.fna,0.97859,0.6913451511991658,1
EHM016840.fna,GCF_949425035.1.fna,0.979215,0.7299270072992701,1
EHM016840.fna,GCF_949434065.1.fna,0.979728,0.7773722627737226,1
EHM016840.fna,GCF_958368535.1.fna,0.95482,0.6412930135557873,1
EHM016840.fna,GCF_959018585.1.fna,0.979688,0.8023983315954119,1
EHM016840.fna,GCF_959021585.1.fna,0.980125,0.8076120959332638,1
EHM018199.fna,EHM016840.fna,0.979954,0.7545982575024202,1
EHM018199.fna,EHM018199.fna,1.0,0.9995159728944821,1
EHM018199.fna,EHM018319.fna,0.98125,0.6766698935140368,1
EHM018199.fna,EHM018971.fna,0.9791989999999999,0.8146176185866408,1
EHM018199.fna,EHM019513.fna,0.976313,0.7197483059051307,1
EHM018199.fna,EHM019698.fna,0.9802620000000001,0.7783155856727977,1
EHM018199.fna,EHM020631.fna,0.982273,0.8102613746369797,1
EHM018199.fna,EHM044815.fna,0.982399,0.5963213939980639,1
EHM018199.fna,EHM047420.fna,0.977591,0.6645692158760891,1
EHM018199.fna,EHM048328.fna,0.981423,0.7066795740561471,1
EHM018199.fna,EHM048951.fna,0.97881,0.7299128751210068,1
EHM018199.fna,EHM049476.fna,0.982321,0.7057115198451114,1
EHM018199.fna,EHM049771.fna,0.98575,0.7783155856727977,1
EHM018199.fna,EHM050866.fna,0.98301,0.8441432720232332,1
EHM018199.fna,EHM050943.fna,0.983139,0.8465634075508228,1
EHM018199.fna,EHM074851.fna,0.977859,0.6379477250726041,1
EHM018199.fna,EHM075880.fna,0.95086,0.5643756050338818,1
EHM018199.fna,GCA_947382255.1.fna,0.9790040000000001,0.6456921587608906,1
EHM018199.fna,GCA_948602925.1.fna,0.9773909999999999,0.7429816069699903,1
EHM018199.fna,GCA_948651455.1.fna,0.9769950000000001,0.7584704743465635,1
EHM018199.fna,GCA_948685565.1.fna,0.977492,0.7100677637947725,1
EHM018199.fna,GCA_948697095.1.fna,0.978062,0.7207163601161665,1
EHM018199.fna,GCA_948865225.1.fna,0.9764010000000001,0.7018393030009681,1
EHM018199.fna,GCA_949345095.1.fna,0.9766320000000001,0.5953533397870281,1
EHM018199.fna,GCA_958413355.1.fna,0.9765630000000001,0.6195546950629235,1
EHM018199.fna,GCF_000403825.2.fna,0.978879,0.81945788964182,1
EHM018199.fna,GCF_009677045.1.fna,0.98016,0.8068731848983544,1
EHM018199.fna,GCF_009677055.1.fna,0.980207,0.8044530493707648,1
EHM018199.fna,GCF_009677135.1.fna,0.980124,0.8044530493707648,1
EHM018199.fna,GCF_009677145.1.fna,0.98007,0.8049370764762827,1
EHM018199.fna,GCF_009677155.1.fna,0.9804219999999999,0.8044530493707648,1
EHM018199.fna,GCF_009677195.1.fna,0.979992,0.8107454017424975,1
EHM018199.fna,GCF_009677205.1.fna,0.980228,0.8049370764762827,1
EHM018199.fna,GCF_009677815.1.fna,0.9802,0.8039690222652468,1
EHM018199.fna,GCF_009677865.1.fna,0.9793999999999999,0.8097773475314618,1
EHM018199.fna,GCF_010206235.1.fna,0.9798399999999999,0.8097773475314618,1
EHM018199.fna,GCF_017873595.1.fna,0.979495,0.8218780251694094,1
EHM018199.fna,GCF_027688775.1.fna,0.9802299999999999,0.7865440464666021,1
EHM018199.fna,GCF_902375575.1.fna,0.977996,0.7981606969990319,1
EHM018199.fna,GCF_905205365.1.fna,0.977611,0.7657308809293321,1
EHM018199.fna,GCF_910574435.1.fna,0.979504,0.8151016456921588,1
EHM018199.fna,GCF_910574575.1.fna,0.979889,0.8107454017424975,1
EHM018199.fna,GCF_910577775.1.fna,0.980664,0.8117134559535334,1
EHM018199.fna,GCF_932751185.1.fna,0.979584,0.8073572120038722,1
EHM018199.fna,GCF_938010035.1.fna,0.97784,0.7879961277831559,1
EHM018199.fna,GCF_947038275.1.fna,0.979301,0.7986447241045499,1
EHM018199.fna,GCF_947061905.1.fna,0.979287,0.7381413359148112,1
EHM018199.fna,GCF_947256775.1.fna,0.9797589999999999,0.8049370764762827,1
EHM018199.fna,GCF_947256815.1.fna,0.9791970000000001,0.8020329138431752,1
EHM018199.fna,GCF_947364385.1.fna,0.979679,0.8030009680542111,1
EHM018199.fna,GCF_947367975.1.fna,0.979546,0.8049370764762827,1
EHM018199.fna,GCF_947571905.1.fna,0.979681,0.8010648596321394,1
EHM018199.fna,GCF_947649565.1.fna,0.978877,0.8044530493707648,1
EHM018199.fna,GCF_947653485.1.fna,0.9797589999999999,0.8068731848983544,1
EHM018199.fna,GCF_948560525.1.fna,0.97746,0.7613746369796709,1
EHM018199.fna,GCF_948590365.1.fna,0.9796819999999999,0.7749273959341723,1
EHM018199.fna,GCF_948592825.1.fna,0.978266,0.7536302032913843,1
EHM018199.fna,GCF_948708715.1.fna,0.978515,0.7986447241045499,1
EHM018199.fna,GCF_948742315.1.fna,0.97875,0.7420135527589545,1
EHM018199.fna,GCF_948761645.1.fna,0.979473,0.7889641819941917,1
EHM018199.fna,GCF_948766295.1.fna,0.97828,0.776863504356244,1
EHM018199.fna,GCF_948785215.1.fna,0.9793470000000001,0.7807357212003873,1
EHM018199.fna,GCF_948786225.1.fna,0.979386,0.7904162633107454,1
EHM018199.fna,GCF_948821275.1.fna,0.977135,0.7168441432720233,1
EHM018199.fna,GCF_948825195.1.fna,0.978844,0.7889641819941917,1
EHM018199.fna,GCF_948890965.1.fna,0.9793559999999999,0.7909002904162633,1
EHM018199.fna,GCF_948908075.1.fna,0.97847,0.7904162633107454,1
EHM018199.fna,GCF_948951615.1.fna,0.9793470000000001,0.781703775411423,1
EHM018199.fna,GCF_949022055.1.fna,0.978888,0.78702807357212,1
EHM018199.fna,GCF_949030735.1.fna,0.978667,0.7879961277831559,1
EHM018199.fna,GCF_949080125.1.fna,0.9792109999999999,0.7986447241045499,1
EHM018199.fna,GCF_949122975.1.fna,0.979686,0.7971926427879962,1
EHM018199.fna,GCF_949346165.1.fna,0.9776990000000001,0.7410454985479187,1
EHM018199.fna,GCF_949349475.1.fna,0.979534,0.7986447241045499,1
EHM018199.fna,GCF_949386655.1.fna,0.9753109999999999,0.6529525653436592,1
EHM018199.fna,GCF_949392105.1.fna,0.978935,0.744433688286544,1
EHM018199.fna,GCF_949393655.1.fna,0.976399,0.6408518877057116,1
EHM018199.fna,GCF_949407495.1.fna,0.9797790000000001,0.7802516940948693,1
EHM018199.fna,GCF_949410045.1.fna,0.976634,0.7434656340755083,1
EHM018199.fna,GCF_949410935.1.fna,0.9771299999999999,0.6955469506292352,1
EHM018199.fna,GCF_949425035.1.fna,0.978501,0.7255566311713456,1
EHM018199.fna,GCF_949434065.1.fna,0.978887,0.7599225556631172,1
EHM018199.fna,GCF_958368535.1.fna,0.9525159999999999,0.6287512100677638,1
EHM018199.fna,GCF_959018585.1.fna,0.980283,0.7725072604065828,1
EHM018199.fna,GCF_959021585.1.fna,0.9809869999999999,0.787512100677638,1
EHM018319.fna,EHM016840.fna,0.9836870000000001,0.8191230207064556,1
EHM018319.fna,EHM018199.fna,0.982777,0.8599269183922046,1
EHM018319.fna,EHM018319.fna,1.0,0.9866017052375152,1
EHM018319.fna,EHM018971.fna,0.996658,0.9482338611449452,1
EHM018319.fna,EHM019513.fna,0.9784430000000001,0.7764920828258222,1
EHM018319.fna,EHM019698.fna,0.982817,0.8197320341047503,1
EHM018319.fna,EHM020631.fna,0.9828910000000001,0.8239951278928136,1
EHM018319.fna,EHM044815.fna,0.984971,0.6729598051157125,1
EHM018319.fna,EHM047420.fna,0.976584,0.7137637028014616,1
EHM018319.fna,EHM048328.fna,0.9833729999999999,0.7618757612667478,1
EHM018319.fna,EHM048951.fna,0.979564,0.7752740560292326,1
EHM018319.fna,EHM049476.fna,0.982144,0.7777101096224117,1
EHM018319.fna,EHM049771.fna,0.981575,0.807551766138855,1
EHM018319.fna,EHM050866.fna,0.981408,0.843483556638246,1
EHM018319.fna,EHM050943.fna,0.980829,0.8635809987819733,1
EHM018319.fna,EHM074851.fna,0.9836860000000001,0.7040194884287454,1
EHM018319.fna,EHM075880.fna,0.9545399999999999,0.6248477466504263,1
EHM018319.fna,GCA_947382255.1.fna,0.9808150000000001,0.7015834348355664,1
EHM018319.fna,GCA_948602925.1.fna,0.978514,0.8014616321559074,1
EHM018319.fna,GCA_948651455.1.fna,0.9791880000000001,0.8087697929354446,1
EHM018319.fna,GCA_948685565.1.fna,0.9784910000000001,0.7643118148599269,1
EHM018319.fna,GCA_948697095.1.fna,0.97956,0.769183922046285,1
EHM018319.fna,GCA_948865225.1.fna,0.9783029999999999,0.7600487210718636,1
EHM018319.fna,GCA_949345095.1.fna,0.9769840000000001,0.6479902557856273,1
EHM018319.fna,GCA_958413355.1.fna,0.9801489999999999,0.6857490864799025,1
EHM018319.fna,GCF_000403825.2.fna,0.980834,0.8611449451887941,1
EHM018319.fna,GCF_009677045.1.fna,0.980231,0.8459196102314251,1
EHM018319.fna,GCF_009677055.1.fna,0.9802639999999999,0.8404384896467723,1
EHM018319.fna,GCF_009677135.1.fna,0.980239,0.8453105968331304,1
EHM018319.fna,GCF_009677145.1.fna,0.979916,0.8447015834348356,1
EHM018319.fna,GCF_009677155.1.fna,0.980189,0.8440925700365408,1
EHM018319.fna,GCF_009677195.1.fna,0.980094,0.8471376370280146,1
EHM018319.fna,GCF_009677205.1.fna,0.980178,0.8459196102314251,1
EHM018319.fna,GCF_009677815.1.fna,0.9805769999999999,0.8422655298416565,1
EHM018319.fna,GCF_009677865.1.fna,0.980716,0.8398294762484775,1
EHM018319.fna,GCF_010206235.1.fna,0.981238,0.8501827040194885,1
EHM018319.fna,GCF_017873595.1.fna,0.9807819999999999,0.8556638246041413,1
EHM018319.fna,GCF_027688775.1.fna,0.9801829999999999,0.8319123020706456,1
EHM018319.fna,GCF_902375575.1.fna,0.978385,0.8483556638246041,1
EHM018319.fna,GCF_905205365.1.fna,0.9804200000000001,0.8148599269183922,1
EHM018319.fna,GCF_910574435.1.fna,0.9808199999999999,0.856272838002436,1
EHM018319.fna,GCF_910574575.1.fna,0.981104,0.8526187576126675,1
EHM018319.fna,GCF_910577775.1.fna,0.982522,0.8477466504263094,1
EHM018319.fna,GCF_932751185.1.fna,0.980375,0.841047503045067,1
EHM018319.fna,GCF_938010035.1.fna,0.9793940000000001,0.8380024360535931,1
EHM018319.fna,GCF_947038275.1.fna,0.980761,0.8380024360535931,1
EHM018319.fna,GCF_947061905.1.fna,0.979559,0.7886723507917174,1
EHM018319.fna,GCF_947256775.1.fna,0.980719,0.8489646772228989,1
EHM018319.fna,GCF_947256815.1.fna,0.980227,0.8483556638246041,1
EHM018319.fna,GCF_947364385.1.fna,0.980829,0.8440925700365408,1
EHM018319.fna,GCF_947367975.1.fna,0.9806180000000001,0.8507917174177831,1
EHM018319.fna,GCF_947571905.1.fna,0.980548,0.8386114494518879,1
EHM018319.fna,GCF_947649565.1.fna,0.981184,0.8337393422655298,1
EHM018319.fna,GCF_947653485.1.fna,0.9803820000000001,0.8501827040194885,1
EHM018319.fna,GCF_948560525.1.fna,0.978699,0.8172959805115713,1
EHM018319.fna,GCF_948590365.1.fna,0.981184,0.8215590742996346,1
EHM018319.fna,GCF_948592825.1.fna,0.979694,0.820341047503045,1
EHM018319.fna,GCF_948708715.1.fna,0.98009,0.8373934226552984,1
EHM018319.fna,GCF_948742315.1.fna,0.9788330000000001,0.792326431181486,1
EHM018319.fna,GCF_948761645.1.fna,0.981054,0.8264311814859927,1
EHM018319.fna,GCF_948766295.1.fna,0.9797490000000001,0.8361753958587089,1
EHM018319.fna,GCF_948785215.1.fna,0.980547,0.830694275274056,1
EHM018319.fna,GCF_948786225.1.fna,0.980569,0.8355663824604141,1
EHM018319.fna,GCF_948821275.1.fna,0.978501,0.771619975639464,1
EHM018319.fna,GCF_948825195.1.fna,0.980039,0.833130328867235,1
EHM018319.fna,GCF_948890965.1.fna,0.980526,0.8361753958587089,1
EHM018319.fna,GCF_948908075.1.fna,0.979978,0.8270401948842875,1
EHM018319.fna,GCF_948951615.1.fna,0.980547,0.8313032886723508,1
EHM018319.fna,GCF_949022055.1.fna,0.9794329999999999,0.8416565164433617,1
EHM018319.fna,GCF_949030735.1.fna,0.9792740000000001,0.8483556638246041,1
EHM018319.fna,GCF_949080125.1.fna,0.980647,0.8361753958587089,1
EHM018319.fna,GCF_949122975.1.fna,0.9800530000000001,0.8422655298416565,1
EHM018319.fna,GCF_949346165.1.fna,0.9793229999999999,0.7850182704019488,1
EHM018319.fna,GCF_949349475.1.fna,0.980076,0.843483556638246,1
EHM018319.fna,GCF_949386655.1.fna,0.975803,0.7015834348355664,1
EHM018319.fna,GCF_949392105.1.fna,0.979813,0.7978075517661388,1
EHM018319.fna,GCF_949393655.1.fna,0.976505,0.6997563946406821,1
EHM018319.fna,GCF_949407495.1.fna,0.980586,0.8270401948842875,1
EHM018319.fna,GCF_949410045.1.fna,0.9796309999999999,0.7935444579780755,1
EHM018319.fna,GCF_949410935.1.fna,0.97906,0.7484774665042631,1
EHM018319.fna,GCF_949425035.1.fna,0.978659,0.7734470158343484,1
EHM018319.fna,GCF_949434065.1.fna,0.9805459999999999,0.8112058465286236,1
EHM018319.fna,GCF_958368535.1.fna,0.9571200000000001,0.6839220462850183,1
EHM018319.fna,GCF_959018585.1.fna,0.9799209999999999,0.8197320341047503,1
EHM018319.fna,GCF_959021585.1.fna,0.98506,0.8398294762484775,1
EHM018971.fna,EHM016840.fna,0.982537,0.7306993642143506,1
EHM018971.fna,EHM018199.fna,0.979795,0.7647593097184378,1
EHM018971.fna,EHM018319.fna,0.995124,0.7057220708446866,1
EHM018971.fna,EHM018971.fna,1.0,0.9918256130790191,1
EHM018971.fna,EHM019513.fna,0.9745579999999999,0.6989100817438693,1
EHM018971.fna,EHM019698.fna,0.97878,0.7329700272479565,1
EHM018971.fna,EHM020631.fna,0.979221,0.7302452316076294,1
EHM018971.fna,EHM044815.fna,0.986033,0.584014532243415,1
EHM018971.fna,EHM047420.fna,0.974371,0.6276112624886467,1
EHM018971.fna,EHM048328.fna,0.9794499999999999,0.6653042688465032,1
EHM018971.fna,EHM048951.fna,0.9760639999999999,0.6866485013623979,1
EHM018971.fna,EHM049476.fna,0.9801529999999999,0.6671207992733879,1
EHM018971.fna,EHM049771.fna,0.9787359999999999,0.7129881925522252,1
EHM018971.fna,EHM050866.fna,0.9768380000000001,0.7683923705722071,1
EHM018971.fna,EHM050943.fna,0.977542,0.7929155313351499,1
EHM018971.fna,EHM074851.fna,0.9831489999999999,0.623069936421435,1
EHM018971.fna,EHM075880.fna,0.953712,0.536330608537693,1
EHM018971.fna,GCA_947382255.1.fna,0.976043,0.6108083560399636,1
EHM018971.fna,GCA_948602925.1.fna,0.9745529999999999,0.7161671207992734,1
EHM018971.fna,GCA_948651455.1.fna,0.9752630000000001,0.7266121707538601,1
EHM018971.fna,GCA_948685565.1.fna,0.973946,0.6780199818346957,1
EHM018971.fna,GCA_948697095.1.fna,0.975091,0.6757493188010899,1
EHM018971.fna,GCA_948865225.1.fna,0.975391,0.6548592188919165,1
EHM018971.fna,GCA_949345095.1.fna,0.9733809999999999,0.5631244323342416,1
EHM018971.fna,GCA_958413355.1.fna,0.974736,0.5881017257039055,1
EHM018971.fna,GCF_000403825.2.fna,0.975804,0.779291553133515,1
EHM018971.fna,GCF_009677045.1.fna,0.975904,0.765213442325159,1
EHM018971.fna,GCF_009677055.1.fna,0.9757250000000001,0.7615803814713896,1
EHM018971.fna,GCF_009677135.1.fna,0.976195,0.7615803814713896,1
EHM018971.fna,GCF_009677145.1.fna,0.975569,0.7602179836512262,1
EHM018971.fna,GCF_009677155.1.fna,0.975851,0.7638510445049954,1
