ID	accession	gtdb_taxonomy	checkm2_completeness	checkm2_contamination	genome_size	gc_percentage	n50_contigs	contig_count	ncbi_biosample	isolation_source_x	country	mimag_high_quality	mimag_medium_quality	gtdb_representative	ncbi_genbank_assembly_accession	BioSample	ENA first public	ENA last update	ENA-CHECKLIST	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	External Id	GTDB_taxonomy	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	Submitter Id	altitude	altitute	anonymized name	assembly quality	assembly software	assembly_method	assembly_method_version	binning parameters	binning software	biomaterial_provider	broker name	checkm_completeness	checkm_contamination	collected_by	collection_date	common name	completeness score	completeness software	completeness_estimated	contamination score	contamination_estimated	contigs	culture_collection	depth	derived_from	env_broad_scale	env_local_scale	env_medium	environmental-sample	environmental_sample	ethnicity	genome_coverage	genome_name	genotype	geo_loc_name	geographic location (latitude)	geographic location (longitude)	host	host-associated environmental package	host_body_habitat	host_body_product	host_health_state	host_taxid	host_tissue_sampled	identified_by	investigation_type	isol_growth_condt	isolate	isolation_source_y	lab_host	lat_lon	length	local environmental context	locus_tag_prefix	mapping_method	mapping_method_version	mating_type	metagenome_source	metagenomic	metagenomic source	note	num_replicons	passage_history	project_name	quality_assessment_method	quality_assessment_method_version	ref_biomaterial	rel_to_oxygen	samp_size	sample derived from	sample_name	sample_type	scientific_name	seq_id	sequencing method	serotype	serovar	source_material_id	specimen_voucher	strain	subsrc_note	substrate	supplier_name	taxonomic classification	taxonomic identity marker	temp	value
GCA_000437295.1	GB_GCA_000437295.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	94.39	0.3	4270326	46.4189049316734	39417	202	SAMEA3138749	derived from human gut metagenome	none	f	t	f	GCA_000437295.1	SAMEA3138749	2014-11-20	2016-10-21	ERC000011			SAMEA3138749		EBI	European Bioinformatics Institute	2014-11-20T12:20:15Z	2016-10-21T09:48:33Z	public	GCA_000437295											European Nucleotide Archive																																						derived from human gut metagenome												Y										GCA_000437295																
GCA_002320565.1	GB_GCA_002320565.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.26	0.17	4121457	46.653867584589456	78943	82	SAMN06453410	Feces of three-weeks old elephant	Germany: Zoo of Hamburg	f	t	f	GCA_002320565.1	SAMN06453410																			CLC de novo assembler	4.4.1								not applicable				97.24%		0.50%									true		52.86			Germany: Zoo of Hamburg													UBA1695	Feces of three-weeks old elephant						BWA (BWA-MEM)	0.7.12-r1039		gut metagenome	true						CheckM	1.0.6						metagenomic assembly									Genome binned from sequencing reads available in SRX498680 metagenome						This BioSample is a metagenomic assembly obtained from the gut metagenome reads: SRR1201870.
GCA_003463375.1	GB_GCA_003463375.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.27	2.92	4895468	46.42755299391192	99624	123	SAMN09736692	feces	China: Shenzhen	t	f	f	GCA_003463375.1	SAMN09736692																												2013-12-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								OF03-17							
GCA_003463925.1	GB_GCA_003463925.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.09	3.74	4898836	46.19225873248257	176638	80	SAMN09736622	feces	China: Shenzhen	t	f	f	GCA_003463925.1	SAMN09736622																												2014-04-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AM50-4							
GCA_003468465.1	GB_GCA_003468465.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.76	3.28	4999809	46.12496407049444	96881	123	SAMN09736465	feces	China: Shenzhen	t	f	f	GCA_003468465.1	SAMN09736465																												2013-12-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AM34-25							
GCA_003469535.1	GB_GCA_003469535.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	94.56	3.25	4765693	46.49880110516134	163530	71	SAMN09736363	feces	China: Shenzhen	t	f	f	GCA_003469535.1	SAMN09736363																												2013-12-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AM27-46							
GCA_003474125.1	GB_GCA_003474125.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.61	2.56	4355071	46.240216065732696	130464	126	SAMN09734698	feces	China: Shenzhen	t	f	f	GCA_003474125.1	SAMN09734698																												2014-04-01																				China: Shenzhen			Homo sapiens											feces																							whole organism								AF42-11							
GCA_003487475.1	GB_GCA_003487475.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	95.76	0.9	3994381	46.667591520916105	52650	151	SAMN08018348	human gut	none	f	t	f	GCA_003487475.1	SAMN08018348																			CLC de novo assembler	4.4.1								not applicable				94.54%		14.44%									true		155.81x			not applicable													UBA11753	human gut						BWA (BWA-MEM)	0.7.12-r1039		human gut metagenome	true		human gut metagenome				CheckM	1.0.6						metagenomic assembly															This BioSample is a metagenomic assembly obtained from the human gut metagenome reads: ERR636351.
GCA_008680795.1	GB_GCA_008680795.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.2	0.88	4787664	46.6330343984039	590173	12	SAMN06546826	Human feces	none	t	f	f	GCA_008680795.1	SAMN06546826																												missing															TRUE					missing			Homo sapiens										LMAG:22	human feces									human gut metagenome	TRUE		This BioSample is a metagenomic assembly obtained from the human gut metagenome BioSample: SAMN06241982											metagenomic assembly															
GCA_009020435.1	GB_GCA_009020435.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	93.03	5.86	4755380	46.05792724407456	8538	883	SAMN11944053	fecal material [ENVO:00002003]	USA: Boston	t	f	f	GCA_009020435.1	SAMN11944053																												2015-12-09											bodily fluid material biome [ENVO:02000019]	excreta material [ENVO:02000022]	fecal material [ENVO:00002003]							USA:Boston			Homo sapiens									missing				42.36 N 71.06 W											missing					missing													BIOML-A22							
GCA_014871095.1	GB_GCA_014871095.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	96.0	0.34	4303656	46.527649979459326	68977	107	SAMN12904987	feces	Australia: Newcastle	f	t	f	GCA_014871095.1	SAMN12904987							d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis																		97.82	0.37		2015-04/2016-09							107			This BioSample is a metagenomic assembly obtained from the feces metagenome BioSample: SAMN12649866				1						Australia: Newcastle			Homo sapiens										COPD040	feces		32.93 S 151.78 E	4303656						human gut metagenome	1													metagenomic assembly															
GCA_014871105.1	GB_GCA_014871105.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	98.05	2.13	4401011	46.80760852449585	106863	113	SAMN12904988	feces	Australia: Newcastle	f	t	f	GCA_014871105.1	SAMN12904988							d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis																		98.15	2.38		2015-04/2016-09							113			This BioSample is a metagenomic assembly obtained from the feces metagenome BioSample: SAMN12649868				1						Australia: Newcastle			Homo sapiens										COPD041	feces		32.93 S 151.78 E	4401011						human gut metagenome	1													metagenomic assembly															
GCA_014871175.1	GB_GCA_014871175.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	97.92	0.22	4200850	46.64610733542021	182886	48	SAMN12904984	feces	Australia: Newcastle	f	t	f	GCA_014871175.1	SAMN12904984							d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis																		96.77	0		2015-04/2016-09							48			This BioSample is a metagenomic assembly obtained from the feces metagenome BioSample: SAMN12649849				1						Australia: Newcastle			Homo sapiens										COPD037	feces		32.93 S 151.78 E	4200850						human gut metagenome	1													metagenomic assembly															
GCA_014871195.1	GB_GCA_014871195.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	93.59	0.08	4211874	46.71744691317927	102256	65	SAMN12904981	feces	Australia: Newcastle	f	t	f	GCA_014871195.1	SAMN12904981							d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis																		93.35	0		2015-04/2016-09							65			This BioSample is a metagenomic assembly obtained from the feces metagenome BioSample: SAMN12649823				1						Australia: Newcastle			Homo sapiens										COPD034	feces		32.93 S 151.78 E	4211874						human gut metagenome	1													metagenomic assembly															
GCA_014871205.1	GB_GCA_014871205.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	93.45	0.23	4137442	46.68258793718438	52675	105	SAMN12904982	feces	Australia: Newcastle	f	t	f	GCA_014871205.1	SAMN12904982							d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis																		94.38	0.12		2015-04/2016-09							105			This BioSample is a metagenomic assembly obtained from the feces metagenome BioSample: SAMN12649826				1						Australia: Newcastle			Homo sapiens										COPD035	feces		32.93 S 151.78 E	4137442						human gut metagenome	1													metagenomic assembly															
GCA_014871265.1	GB_GCA_014871265.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	98.75	0.56	4516251	46.27395598694581	100544	69	SAMN12904980	feces	Australia: Newcastle	f	t	f	GCA_014871265.1	SAMN12904980							d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis																		97.49	0.74		2015-04/2016-09							69			This BioSample is a metagenomic assembly obtained from the feces metagenome BioSample: SAMN12649820				1						Australia: Newcastle			Homo sapiens										COPD033	feces		32.93 S 151.78 E	4516251						human gut metagenome	1													metagenomic assembly															
GCA_014871475.1	GB_GCA_014871475.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	95.66	2.68	3929801	46.54401075270733	82112	79	SAMN12904972	feces	Australia: Newcastle	f	t	f	GCA_014871475.1	SAMN12904972							d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis																		97.67	1.56		2015-04/2016-09							79			This BioSample is a metagenomic assembly obtained from the feces metagenome BioSample: SAMN12649858				1						Australia: Newcastle			Homo sapiens										COPD025	feces		32.93 S 151.78 E	3929801						human gut metagenome	1													metagenomic assembly															
