ID	mag_name	link_to_assembly	AB_batch	eha_number	GTDB_version	GTDB_release	domain	phylum	class	order	family	genus	species	fastani_ani	closest_placement_ani	closest_placement_af	completeness	contamination	size	GC	N50	coding_density	contigs	number_genes	number_unannotated_genes	DM_batch	host_species	host_order	host_class	locality	country	MAG_url	anno_url	kegg_url	annotated	taxonomy_level	assembly_type	sample_type	gbk_url	kegg_hits	Capture ID	percent_unannotated_genes	percent_unannotated_kegg	dereplicated	metagenomic source	completeness software	binning software	assembly quality	binning parameters	taxonomic identity marker	isolation_source	assembly software	Submission
EHM015145	EHA00439_bin.3.fa	EHA00439	ABB0118	EHA00439	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Diplorickettsiales	f__Diplorickettsiaceae	g__Aquirickettsiella	s__Aquirickettsiella isopodorum	98.43	98.43	0.93	93.02	1.2	1678951	36.70%	80539	NA	39	NA	NA	DMB0006,DMB0025	Sciurus vulgaris	Rodentia	Mammalia	Wales	United Kingdom	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0118/EHA00439_bin.3.fa.gz	NA	NA	FALSE	Species	Individual	Anal/cloacal swab	NA	NA	SD0214801	NA	NA	DMB0006,DMB0025	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM022329	EHA00955_bin.15.fa	EHA00955	ABB0169	EHA00955	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Diplorickettsiales	f__Diplorickettsiaceae	g__Aquirickettsiella	s__Aquirickettsiella isopodorum	98.43	98.43	0.93	93.02	1.2	1658534	36.60%	79129	NA	38	NA	NA	DMB0006,DMB0025	Sciurus vulgaris	Rodentia	Mammalia	Wales	United Kingdom	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0169/EHA00955_bin.15.fa.gz	NA	NA	FALSE	Species	Coassembly	Anal/cloacal swab	NA	NA	SD0214801, SD0215101	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM058956	EHA04298_bin.23.fa	EHA04298	ABB0480	EHA04298	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Diplorickettsiales	f__Diplorickettsiaceae	g__Aquirickettsiella	s__Aquirickettsiella isopodorum	96.86	96.86	0.95	99.57	0.03	1593834	37.00%	209386	0.91	17	1400	245	DMB0157	Lissotriton helveticus	Urodela	Amphibia	Zarautz	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0480/EHA04298_bin.23.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM058956_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM058956_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM058956.gbk.gz	884	SD0452301	17.5	36.9	DMB0157	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS004
EHM059020	EHA04252_bin.5.fa	EHA04252	ABB0480	EHA04252	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Diplorickettsiales	f__Diplorickettsiaceae	g__Aquirickettsiella	s__Aquirickettsiella isopodorum	98.45	98.45	0.93	90.18	2.24	1387655	37.00%	5504	0.89	307	NA	NA	DMB0157	Lissotriton helveticus	Urodela	Amphibia	Usurbil	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0480/EHA04252_bin.5.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0449901	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS004
EHM059176	EHA04299_bin.14.fa	EHA04299	ABB0480	EHA04299	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Diplorickettsiales	f__Diplorickettsiaceae	g__Aquirickettsiella	s__Aquirickettsiella isopodorum	98.53	98.53	0.94	100	0.01	1729357	37.00%	84378	0.89	76	NA	NA	DMB0157	Lissotriton helveticus	Urodela	Amphibia	Usurbil	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0480/EHA04299_bin.14.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0450001	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS004
EHM059316	EHA04253_bin.11.fa	EHA04253	ABB0480	EHA04253	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Diplorickettsiales	f__Diplorickettsiaceae	g__Aquirickettsiella	s__Aquirickettsiella isopodorum	98.58	98.58	0.93	100	0	1661969	37.00%	82816	0.9	50	NA	NA	DMB0157	Lissotriton helveticus	Urodela	Amphibia	Donostia	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0480/EHA04253_bin.11.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0448501	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS004
EHM060194	EHA04312_bin.101.fa	EHA04312	ABB0482	EHA04312	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Diplorickettsiales	f__Diplorickettsiaceae	g__Aquirickettsiella	s__Aquirickettsiella isopodorum	98.57	98.57	0.93	100	0	1677748	37.00%	96978	0.9	40	1541	314	DMB0157	Lissotriton helveticus	Urodela	Amphibia	Donostia	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0482/EHA04312_bin.101.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM060194_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM060194_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM060194.gbk.gz	915	SD0448501, SD0449101, SD0448401, SD0448801, SD0448901, SD0449001, SD0449201, SD0448701, SD0448601	20.4	40.6	DMB0157	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM060728	EHA04343_bin.100.fa	EHA04343	ABB0486	EHA04343	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Diplorickettsiales	f__Diplorickettsiaceae	g__Aquirickettsiella	s__Aquirickettsiella isopodorum	98.54	98.54	0.95	100	0.07	1895848	36.00%	84324	0.9	93	NA	NA	DMB0157	Lissotriton helveticus	Urodela	Amphibia	Usurbil	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0486/EHA04343_bin.100.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0449701, SD0450101, SD0449901, SD0449401, SD0449501, SD0449601, SD0449801, SD0449301, SD0450001	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM061002	EHA04352_bin.60.fa	EHA04352	ABB0487	EHA04352	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Diplorickettsiales	f__Diplorickettsiaceae	g__Aquirickettsiella	s__Aquirickettsiella isopodorum	96.88	96.88	0.94	99.6	0.05	1556535	37.00%	97029	0.9	30	NA	NA	DMB0157	Lissotriton helveticus	Urodela	Amphibia	Zarautz	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0487/EHA04352_bin.60.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0451701, SD0452101, SD0451601, SD0451801, SD0452001, SD0452201, SD0452301, SD0451901	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM062426	EHA04427_bin.6.fa	EHA04427	ABB0493	EHA04427	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Diplorickettsiales	f__Diplorickettsiaceae	g__Aquirickettsiella	s__Aquirickettsiella isopodorum	98.53	98.53	0.93	99.59	0.04	1465052	37.00%	322515	0.9	10	NA	NA	DMB0164	Salamandra salamandra gallaica	Urodela	Amphibia	Porto	Portugal	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0493/EHA04427_bin.6.fa.gz	NA	NA	FALSE	Species	Coassembly	Skin swab	NA	NA	SD0441301, SD0442601, SD0441201, SD0442301, SD0441401, SD0442401, SD0442501, SD0446601, SD0443801, SD0447601	NA	NA	DMB0164	1338477	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
