species	mag	gene	entry	identity	length	mismatches	gaps	query_start	query_end	target_start	target_end	evalue	bitscore	identity_percent	VF_id	vf	vf_type
akkermansia_muciniphila	EHM015380	EHA00438_bin.2^_13_24	VFG016981(gb|WP_010883341)	0.331	212	128	0	125	336	62	253	6.304999999999999e-22	103	33.1	VF0344	(pkn5) serine/threonine protein kinase [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila pneumoniae AR39]	Chlamydophila pneumoniae AR39
akkermansia_muciniphila	EHM015380	EHA00438_bin.2^_18_9	VFG016987(gb|WP_011458511)	0.25	135	95	0	102	236	82	209	4.159e-06	49	25.0	VF0344	(pkn5) serine/threonine protein kinase [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila felis Fe/C-56]	Chlamydophila felis Fe/C-56
akkermansia_muciniphila	EHM015380	EHA00438_bin.2^_32_62	VFG006506(gb|WP_011116615)	0.283	286	197	0	20	305	26	301	2.978e-24	106	28.299999999999997	VF0057	(futA) fucosyltransferase [Lewis antigen (VF0057) - Immune modulation (VFC0258)] [Helicobacter hepaticus ATCC 51449]	Helicobacter hepaticus ATCC 51449
akkermansia_muciniphila	EHM015380	EHA00438_bin.2^_44_122	VFG019544(gb|WP_000874846)	0.301	291	196	0	8	298	5	286	2.462e-33	132	30.099999999999998	VF0057	(futC1) alpha-(1,2)-fucosyltransferase [Lewis antigen (VF0057) - Immune modulation (VFC0258)] [Helicobacter pylori P12]	Helicobacter pylori P12
akkermansia_muciniphila	EHM015380	EHA00438_bin.2^_46_72	VFG048489(gb|WP_012968728)	0.246	319	167	0	502	820	11	233	1.654e-09	62	24.6	VF0562	(fepC) iron-enterobactin transporter ATP-binding protein [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella variicola At-22]	Klebsiella variicola At-22
akkermansia_muciniphila	EHM015380	EHA00438_bin.2^_48_2	VFG016986(gb|WP_011006012)	0.355	212	123	0	118	329	61	251	2.926e-27	121	35.5	VF0344	(pkn5) serine/threonine protein kinase [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila caviae GPIC]	Chlamydophila caviae GPIC
akkermansia_muciniphila	EHM015380	EHA00438_bin.2^_6_310	VFG049559(gb|WP_010883163)	0.243	231	173	0	9	239	2	231	7.237e-08	53	24.3	VF0344	(cdsZ) zinc ribbon domain-containing protein [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila pneumoniae AR39]	Chlamydophila pneumoniae AR39
akkermansia_muciniphila	EHM016229	EHA00531_bin.10^_10_61	VFG006506(gb|WP_011116615)	0.285	286	197	0	20	305	26	301	2.978e-24	106	28.499999999999996	VF0057	(futA) fucosyltransferase [Lewis antigen (VF0057) - Immune modulation (VFC0258)] [Helicobacter hepaticus ATCC 51449]	Helicobacter hepaticus ATCC 51449
akkermansia_muciniphila	EHM016229	EHA00531_bin.10^_19_304	VFG049559(gb|WP_010883163)	0.243	231	173	0	9	239	2	231	7.237e-08	53	24.3	VF0344	(cdsZ) zinc ribbon domain-containing protein [TTSS (VF0344) - Effector delivery system (VFC0086)] [Chlamydophila pneumoniae AR39]	Chlamydophila pneumoniae AR39
akkermansia_muciniphila	EHM016229	EHA00531_bin.10^_19_92	VFG044153(gb|WP_011063599)	0.276	236	167	0	462	697	332	563	9.146e-16	83	27.6	VF0940	(PFL_RS27280) type I secretion system permease/ATPase [HasA-type hemophore-mediated heme uptake system (VF0940) - Nutritional/Metabolic factor (VFC0272)] [Pseudomonas fluorescens Pf-5]	Pseudomonas fluorescens Pf-5
