contig_id	mag
EHA00438_bin.2^_0	EHM015380
EHA00438_bin.2^_1	EHM015380
EHA00438_bin.2^_2	EHM015380
EHA00438_bin.2^_3	EHM015380
EHA00438_bin.2^_4	EHM015380
EHA00438_bin.2^_5	EHM015380
EHA00438_bin.2^_6	EHM015380
EHA00438_bin.2^_7	EHM015380
EHA00438_bin.2^_8	EHM015380
EHA00438_bin.2^_9	EHM015380
EHA00438_bin.2^_10	EHM015380
EHA00438_bin.2^_11	EHM015380
EHA00438_bin.2^_12	EHM015380
EHA00438_bin.2^_13	EHM015380
EHA00438_bin.2^_14	EHM015380
EHA00438_bin.2^_15	EHM015380
EHA00438_bin.2^_16	EHM015380
EHA00438_bin.2^_17	EHM015380
EHA00438_bin.2^_18	EHM015380
EHA00438_bin.2^_19	EHM015380
EHA00438_bin.2^_20	EHM015380
EHA00438_bin.2^_21	EHM015380
EHA00438_bin.2^_22	EHM015380
EHA00438_bin.2^_23	EHM015380
EHA00438_bin.2^_24	EHM015380
EHA00438_bin.2^_25	EHM015380
EHA00438_bin.2^_26	EHM015380
EHA00438_bin.2^_27	EHM015380
EHA00438_bin.2^_28	EHM015380
EHA00438_bin.2^_29	EHM015380
EHA00438_bin.2^_30	EHM015380
EHA00438_bin.2^_31	EHM015380
EHA00438_bin.2^_32	EHM015380
EHA00438_bin.2^_33	EHM015380
EHA00438_bin.2^_34	EHM015380
EHA00438_bin.2^_35	EHM015380
EHA00438_bin.2^_36	EHM015380
EHA00438_bin.2^_37	EHM015380
EHA00438_bin.2^_38	EHM015380
EHA00438_bin.2^_39	EHM015380
EHA00438_bin.2^_40	EHM015380
EHA00438_bin.2^_41	EHM015380
EHA00438_bin.2^_42	EHM015380
EHA00438_bin.2^_43	EHM015380
EHA00438_bin.2^_44	EHM015380
EHA00438_bin.2^_45	EHM015380
EHA00438_bin.2^_46	EHM015380
EHA00438_bin.2^_47	EHM015380
EHA00438_bin.2^_48	EHM015380
EHA00438_bin.2^_49	EHM015380
EHA00438_bin.2^_50	EHM015380
EHA00438_bin.2^_51	EHM015380
EHA00531_bin.10^_0	EHM016229
EHA00531_bin.10^_1	EHM016229
EHA00531_bin.10^_2	EHM016229
EHA00531_bin.10^_3	EHM016229
EHA00531_bin.10^_4	EHM016229
EHA00531_bin.10^_5	EHM016229
EHA00531_bin.10^_6	EHM016229
EHA00531_bin.10^_7	EHM016229
EHA00531_bin.10^_8	EHM016229
EHA00531_bin.10^_9	EHM016229
EHA00531_bin.10^_10	EHM016229
EHA00531_bin.10^_11	EHM016229
EHA00531_bin.10^_12	EHM016229
EHA00531_bin.10^_13	EHM016229
EHA00531_bin.10^_14	EHM016229
EHA00531_bin.10^_15	EHM016229
EHA00531_bin.10^_16	EHM016229
EHA00531_bin.10^_17	EHM016229
EHA00531_bin.10^_18	EHM016229
EHA00531_bin.10^_19	EHM016229
EHA00531_bin.10^_20	EHM016229
EHA00531_bin.10^_21	EHM016229
EHA00531_bin.10^_22	EHM016229
EHA00531_bin.10^_23	EHM016229
EHA00531_bin.10^_24	EHM016229
EHA00531_bin.10^_25	EHM016229
EHA00531_bin.10^_26	EHM016229
EHA00531_bin.10^_27	EHM016229
EHA00531_bin.10^_28	EHM016229
EHA00531_bin.10^_29	EHM016229
EHA00531_bin.10^_30	EHM016229
EHA00531_bin.10^_31	EHM016229
EHA00531_bin.10^_32	EHM016229
EHA00531_bin.10^_33	EHM016229
EHA00531_bin.10^_34	EHM016229
EHA00531_bin.10^_35	EHM016229
EHA00531_bin.10^_36	EHM016229
EHA00531_bin.10^_37	EHM016229
EHA00531_bin.10^_38	EHM016229
EHA00531_bin.10^_39	EHM016229
EHA00531_bin.10^_40	EHM016229
EHA00531_bin.10^_41	EHM016229
EHA00531_bin.10^_42	EHM016229
EHA00531_bin.10^_43	EHM016229
EHA00531_bin.10^_44	EHM016229
EHA00531_bin.10^_45	EHM016229
EHA00531_bin.10^_46	EHM016229
EHA00531_bin.10^_47	EHM016229
EHA00531_bin.10^_48	EHM016229
EHA00531_bin.10^_49	EHM016229
EHA00531_bin.10^_50	EHM016229
EHA00531_bin.10^_51	EHM016229
EHA00531_bin.10^_52	EHM016229
EHA00539_bin.4^_0	EHM016316
EHA00539_bin.4^_1	EHM016316
EHA00539_bin.4^_2	EHM016316
EHA00539_bin.4^_3	EHM016316
EHA00539_bin.4^_4	EHM016316
EHA00539_bin.4^_5	EHM016316
EHA00539_bin.4^_6	EHM016316
EHA00539_bin.4^_7	EHM016316
EHA00539_bin.4^_8	EHM016316
EHA00539_bin.4^_9	EHM016316
EHA00539_bin.4^_10	EHM016316
EHA00539_bin.4^_11	EHM016316
EHA00539_bin.4^_12	EHM016316
EHA00539_bin.4^_13	EHM016316
EHA00539_bin.4^_14	EHM016316
EHA00539_bin.4^_15	EHM016316
EHA00539_bin.4^_16	EHM016316
EHA00539_bin.4^_17	EHM016316
EHA00539_bin.4^_18	EHM016316
EHA00539_bin.4^_19	EHM016316
EHA00539_bin.4^_20	EHM016316
EHA00539_bin.4^_21	EHM016316
EHA00539_bin.4^_22	EHM016316
EHA00539_bin.4^_23	EHM016316
EHA00539_bin.4^_24	EHM016316
EHA00539_bin.4^_25	EHM016316
EHA00539_bin.4^_26	EHM016316
EHA00539_bin.4^_27	EHM016316
EHA00539_bin.4^_28	EHM016316
EHA00539_bin.4^_29	EHM016316
EHA00539_bin.4^_30	EHM016316
EHA00539_bin.4^_31	EHM016316
EHA01202_bin.41^_0	EHM020890
EHA01202_bin.41^_1	EHM020890
EHA01202_bin.41^_2	EHM020890
EHA01202_bin.41^_3	EHM020890
EHA01202_bin.41^_4	EHM020890
EHA01202_bin.41^_5	EHM020890
EHA01202_bin.41^_6	EHM020890
EHA01202_bin.41^_7	EHM020890
EHA01202_bin.41^_8	EHM020890
EHA01202_bin.41^_9	EHM020890
EHA01202_bin.41^_10	EHM020890
EHA01202_bin.41^_11	EHM020890
EHA01202_bin.41^_12	EHM020890
EHA01202_bin.41^_13	EHM020890
EHA01202_bin.41^_14	EHM020890
EHA01202_bin.41^_15	EHM020890
EHA01202_bin.41^_16	EHM020890
EHA01202_bin.41^_17	EHM020890
EHA01202_bin.41^_18	EHM020890
EHA01202_bin.41^_19	EHM020890
EHA01202_bin.41^_20	EHM020890
EHA01202_bin.41^_21	EHM020890
EHA01202_bin.41^_22	EHM020890
EHA01202_bin.41^_23	EHM020890
EHA01202_bin.41^_24	EHM020890
EHA01202_bin.41^_25	EHM020890
EHA01202_bin.41^_26	EHM020890
EHA01202_bin.41^_27	EHM020890
EHA01202_bin.41^_28	EHM020890
EHA01202_bin.41^_29	EHM020890
EHA01202_bin.41^_30	EHM020890
EHA01202_bin.41^_31	EHM020890
EHA01202_bin.41^_32	EHM020890
EHA01202_bin.41^_33	EHM020890
EHA01202_bin.41^_34	EHM020890
EHA01202_bin.41^_35	EHM020890
EHA01202_bin.41^_36	EHM020890
EHA01202_bin.41^_37	EHM020890
EHA01202_bin.41^_38	EHM020890
EHA01202_bin.41^_39	EHM020890
EHA01202_bin.41^_40	EHM020890
EHA01202_bin.41^_41	EHM020890
EHA01202_bin.41^_42	EHM020890
EHA01202_bin.41^_43	EHM020890
EHA01202_bin.41^_44	EHM020890
EHA01202_bin.41^_45	EHM020890
EHA01202_bin.41^_46	EHM020890
EHA01202_bin.41^_47	EHM020890
EHA01202_bin.41^_48	EHM020890
EHA01202_bin.41^_49	EHM020890
EHA01202_bin.41^_50	EHM020890
EHA01202_bin.41^_51	EHM020890
EHA01202_bin.41^_52	EHM020890
EHA01202_bin.41^_53	EHM020890
EHA01202_bin.41^_54	EHM020890
EHA01202_bin.41^_55	EHM020890
EHA01202_bin.41^_56	EHM020890
EHA01202_bin.41^_57	EHM020890
EHA01202_bin.41^_58	EHM020890
EHA01202_bin.41^_59	EHM020890
EHA01202_bin.41^_60	EHM020890
EHA01202_bin.41^_61	EHM020890
EHA01202_bin.41^_62	EHM020890
EHA01202_bin.41^_63	EHM020890
EHA01202_bin.41^_64	EHM020890
EHA01202_bin.41^_65	EHM020890
EHA01202_bin.41^_66	EHM020890
EHA01202_bin.41^_67	EHM020890
EHA01202_bin.41^_68	EHM020890
EHA01202_bin.41^_69	EHM020890
EHA01202_bin.41^_70	EHM020890
EHA01202_bin.41^_71	EHM020890
EHA01202_bin.41^_72	EHM020890
EHA01202_bin.41^_73	EHM020890
EHA01202_bin.41^_74	EHM020890
EHA01202_bin.41^_75	EHM020890
EHA01202_bin.41^_76	EHM020890
EHA01202_bin.41^_77	EHM020890
EHA01202_bin.41^_78	EHM020890
EHA01202_bin.41^_79	EHM020890
EHA01202_bin.41^_80	EHM020890
EHA01202_bin.41^_81	EHM020890
EHA01202_bin.41^_82	EHM020890
EHA01202_bin.41^_83	EHM020890
EHA01202_bin.41^_84	EHM020890
EHA01202_bin.41^_85	EHM020890
EHA01202_bin.41^_86	EHM020890
EHA01202_bin.41^_87	EHM020890
EHA01202_bin.41^_88	EHM020890
EHA01202_bin.41^_89	EHM020890
EHA01202_bin.41^_90	EHM020890
EHA01202_bin.41^_91	EHM020890
EHA01202_bin.41^_92	EHM020890
EHA01202_bin.41^_93	EHM020890
EHA01202_bin.41^_94	EHM020890
EHA01202_bin.41^_95	EHM020890
EHA01202_bin.41^_96	EHM020890
EHA01202_bin.41^_97	EHM020890
EHA01202_bin.41^_98	EHM020890
EHA01202_bin.41^_99	EHM020890
EHA01202_bin.41^_100	EHM020890
EHA01202_bin.41^_101	EHM020890
EHA01202_bin.41^_102	EHM020890
EHA01202_bin.41^_103	EHM020890
EHA01202_bin.41^_104	EHM020890
EHA01202_bin.41^_105	EHM020890
EHA01202_bin.41^_106	EHM020890
EHA01202_bin.41^_107	EHM020890
EHA00951_bin.9^_0	EHM021927
EHA00951_bin.9^_1	EHM021927
EHA00951_bin.9^_2	EHM021927
EHA00951_bin.9^_3	EHM021927
EHA00951_bin.9^_4	EHM021927
EHA00951_bin.9^_5	EHM021927
EHA00951_bin.9^_6	EHM021927
EHA00951_bin.9^_7	EHM021927
EHA00951_bin.9^_8	EHM021927
EHA00951_bin.9^_9	EHM021927
EHA00951_bin.9^_10	EHM021927
EHA00951_bin.9^_11	EHM021927
EHA00951_bin.9^_12	EHM021927
EHA00951_bin.9^_13	EHM021927
EHA00951_bin.9^_14	EHM021927
EHA00951_bin.9^_15	EHM021927
EHA00951_bin.9^_16	EHM021927
EHA00951_bin.9^_17	EHM021927
EHA00951_bin.9^_18	EHM021927
EHA00951_bin.9^_19	EHM021927
EHA00951_bin.9^_20	EHM021927
EHA00951_bin.9^_21	EHM021927
EHA00951_bin.9^_22	EHM021927
EHA00951_bin.9^_23	EHM021927
EHA00951_bin.9^_24	EHM021927
EHA00951_bin.9^_25	EHM021927
EHA00951_bin.9^_26	EHM021927
EHA00951_bin.9^_27	EHM021927
EHA00951_bin.9^_28	EHM021927
EHA00951_bin.9^_29	EHM021927
EHA00951_bin.9^_30	EHM021927
EHA00951_bin.9^_31	EHM021927
EHA00951_bin.9^_32	EHM021927
EHA00951_bin.9^_33	EHM021927
EHA00951_bin.9^_34	EHM021927
EHA00951_bin.9^_35	EHM021927
EHA00951_bin.9^_36	EHM021927
