ID	mag_name	link_to_assembly	AB_batch	eha_number	GTDB_version	GTDB_release	domain	phylum	class	order	family	genus	species	fastani_ani	closest_placement_ani	closest_placement_af	completeness	contamination	size	GC	N50	coding_density	contigs	number_genes	number_unannotated_genes	DM_batch	host_species	host_order	host_class	locality	country	MAG_url	anno_url	kegg_url	annotated	taxonomy_level	assembly_type	sample_type	gbk_url	kegg_hits	Capture ID	percent_unannotated_genes	percent_unannotated_kegg	dereplicated	metagenomic source	completeness software	binning software	assembly quality	binning parameters	taxonomic identity marker	isolation_source	assembly software	Submission
EHM014869	EHA00382_bin.8.fa	EHA00382	ABB0117	EHA00382	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli	98.59	98.59	0.91	94.04	1.35	4414661	50.70%	9280	NA	628	NA	NA	DMB0009,DMB0026	Sciurus carolinensis	Rodentia	Mammalia	Durham, NC	United States	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0117/EHA00382_bin.8.fa.gz	NA	NA	FALSE	Species	Individual	Anal/cloacal swab	NA	NA	SD0068301	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM016124	EHA00529_bin.3.fa	EHA00529	ABB0120	EHA00529	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli	98.72	98.72	0.93	99.96	0.04	4763981	50.50%	342461	NA	33	4425	313	DMB0005,DMB0023,DMB0114	Strix aluco	Strigiformes	Aves	Gipuzkoa, Donostia	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0120/EHA00529_bin.3.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016124_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016124_kegg.tsv.gz	TRUE	Species	Individual	Anal/cloacal swab	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016124.gbk.gz	3295	SD0115501	7.1	25.5	DMB0005,DMB0023,DMB0114	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM016592	EHA00567_bin.7.fa	EHA00567	ABB0121	EHA00567	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli	98.58	98.58	0.89	99.81	0.54	4975676	50.40%	101864	NA	100	4705	465	DMB0062,DMB0114,DMB0148,DMB0152	Hipposideros ruber	Chiroptera	Mammalia	Rio Muni	Equatorial Guinea	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0121/EHA00567_bin.7.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016592_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016592_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016592.gbk.gz	3322	SD0201401	9.9	29.4	DMB0062,DMB0114	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM017645	EHA00802_bin.9.fa	EHA00802	ABB0127	EHA00802	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli	98.69	98.69	0.9	99.96	0.04	4937448	50.60%	431725	NA	37	NA	NA	DMB0006,DMB0025	Sciurus vulgaris	Rodentia	Mammalia	Hokkaido	Japan	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0127/EHA00802_bin.9.fa.gz	NA	NA	FALSE	Species	Individual	Anal/cloacal swab	NA	NA	SD0153401	NA	NA	DMB0006,DMB0025	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM018264	EHA00548_bin.5.fa	EHA00548	ABB0129	EHA00548	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli	96.73	96.73	0.87	99.62	0.1	4750272	50.60%	192634	NA	46	NA	NA	DMB0004,DMB0041,DMB0182	Psittacula echo	Psittaciformes	Aves	Bel Ombre, Mollocus	Mauritius	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0129/EHA00548_bin.5.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0018601	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS005
EHM019901	EHA00201_bin.12.fa	EHA00201	ABB0143	EHA00201	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli	98.57	98.57	0.9	99.37	0.74	4830995	50.40%	258628	NA	48	4556	375	DMB0029,DMB0114,DMB0172	Plecotus auritus	Chiroptera	Mammalia	Stoke on Trent	United Kingdom	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0143/EHA00201_bin.12.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019901_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019901_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019901.gbk.gz	3295	SD0072101, SD0072201, SD0072401, SD0072301, SD0072501	8.2	27.7	DMB0029,DMB0114,DMB0172	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM019935	EHA01190_bin.29.fa	EHA01190	ABB0170	EHA01190	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli	96.66	96.66	0.87	95.45	0.43	4631574	50.70%	85448	NA	90	NA	NA	DMB0004,DMB0041	Psittacula echo	Psittaciformes	Aves	Bel Ombre, Rockfield	Mauritius	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0170/EHA01190_bin.29.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0017601, SD0018901, SD0018102, SD0018301, SD0017501, SD0018401, SD0018701, SD0017801, SD0018601, SD0018001, SD0019001, SD0017901	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM021204	EHA00838_bin.26.fa	EHA00838	ABB0154	EHA00838	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli	99.01	99.01	0.98	93.57	2.11	4063974	51.20%	9183	NA	629	NA	NA	DMB0009,DMB0026	Sciurus carolinensis	Rodentia	Mammalia	Piedmont, ILO	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0154/EHA00838_bin.26.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0039402, SD0042602, SD0175901, SD0039802, SD0176401, SD0031703, SD0178601, SD0029602, SD0178701, SD0031002	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM021660	EHA00821_bin.25.fa	EHA00821	ABB0151	EHA00821	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli	98.58	98.58	0.92	94.65	1.41	4420590	50.70%	10328	NA	607	NA	NA	DMB0009,DMB0026	Sciurus carolinensis	Rodentia	Mammalia	Durham, NC	United States	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0151/EHA00821_bin.25.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0068001, SD0068301, SD0068601	NA	NA	DMB0009,DMB0026	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM023320	EHA00874_bin.6.fa	EHA00874	ABB0159	EHA00874	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli	96.65	96.65	0.86	94.38	0.96	4697395	50.60%	13556	NA	586	NA	NA	DMB0009,DMB0026	Sciurus carolinensis	Rodentia	Mammalia	Scotland, Dumfries & Galloway	United Kingdom	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0159/EHA00874_bin.6.fa.gz	NA	NA	FALSE	Species	Coassembly	Anal/cloacal swab	NA	NA	SD0164901, SD0164201	NA	NA	DMB0009,DMB0026	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
