ID	mag_name	link_to_assembly	AB_batch	eha_number	GTDB_version	GTDB_release	domain	phylum	class	order	family	genus	species	fastani_ani	closest_placement_ani	closest_placement_af	completeness	contamination	size	GC	N50	coding_density	contigs	number_genes	number_unannotated_genes	DM_batch	host_species	host_order	host_class	locality	country	MAG_url	anno_url	kegg_url	annotated	taxonomy_level	assembly_type	sample_type	gbk_url	kegg_hits	Capture ID	percent_unannotated_genes	percent_unannotated_kegg	dereplicated	metagenomic source	completeness software	binning software	assembly quality	binning parameters	taxonomic identity marker	isolation_source	assembly software	Submission
EHM016370	EHA00536_bin.10.fa	EHA00536	ABB0120	EHA00536	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis	98.81	98.81	0.91	98.12	0	2749426	37.50%	98983	NA	45	2638	383	DMB0005,DMB0023,DMB0114	Strix aluco	Strigiformes	Aves	Gipuzkoa, Donostia	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0120/EHA00536_bin.10.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016370_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016370_kegg.tsv.gz	TRUE	Species	Individual	Anal/cloacal swab	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016370.gbk.gz	1499	SD0116001	14.5	43.2	DMB0005,DMB0023,DMB0114	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM016583	EHA00535_bin.7.fa	EHA00535	ABB0120	EHA00535	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis	98.81	98.81	0.91	90.54	1.53	2468385	37.70%	9044	NA	345	NA	NA	DMB0005,DMB0023	Strix aluco	Strigiformes	Aves	Gipuzkoa, Donostia	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0120/EHA00535_bin.7.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016583_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016583_kegg.tsv.gz	TRUE	Species	Individual	Anal/cloacal swab	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016583.gbk.gz	NA	SD0115901	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM017156	EHA00783_bin.4.fa	EHA00783	ABB0125	EHA00783	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis	98.79	98.79	0.9	99.53	1.32	2814781	37.40%	182728	NA	40	2690	391	DMB0095,DMB0114,DMB0145	Rhinolophus hipposideros	Chiroptera	Mammalia	Catalonia, Bòfia de Sant Jaume	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0125/EHA00783_bin.4.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM017156_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM017156_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM017156.gbk.gz	1534	SD0002001	14.5	43	DMB0095,DMB0114,DMB0145	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM017292	EHA00776_bin.7.fa	EHA00776	ABB0125	EHA00776	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis	98.8	98.8	0.9	99.62	0.04	2785472	37.30%	248357	NA	21	2663	384	DMB0093,DMB0114,DMB0144	Rhinolophus euryale	Chiroptera	Mammalia	Catalonia, Cova Rocafesa	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0125/EHA00776_bin.7.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM017292_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM017292_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM017292.gbk.gz	1526	SD0005401	14.4	42.7	DMB0093,DMB0114,DMB0144	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM019889	EHA00211_bin.13.fa	EHA00211	ABB0145	EHA00211	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis	98.76	98.76	0.97	97.75	0	2481474	37.70%	36804	NA	104	2413	326	DMB0029,DMB0114,DMB0172	Plecotus auritus	Chiroptera	Mammalia	Viken	Norway	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0145/EHA00211_bin.13.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019889_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019889_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019889.gbk.gz	1392	SD0160401, SD0161101, SD0159801, SD0159701, SD0161001	13.5	42.3	DMB0029,DMB0114,DMB0172	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM020945	EHA01202_bin.93.fa	EHA01202	ABB0171	EHA01202	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis	98.87	98.87	0.9	99.62	0.77	2769116	37.50%	67291	NA	65	NA	NA	DMB0005,DMB0023	Strix aluco	Strigiformes	Aves	Gipuzkoa	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0171/EHA01202_bin.93.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM020945_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM020945_kegg.tsv.gz	TRUE	Species	Coassembly	Oral swab	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM020945.gbk.gz	NA	SD0016401, SD0016401, SD0016401, SD0116901, SD0115501, SD0116001, SD0116501, SD0115701, SD0115501, SD0116201, SD0115901, SD0116001, SD0116001, SD0115501, SD0017101	NA	NA	NA	1227552	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM032299	EHA02071_bin.2.fa	EHA02071	ABB0252	EHA02071	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis	98.96	98.96	0.89	99.34	0.09	2700320	38.00%	42838	0.89	125	NA	NA	NA	Dasyurus geoffroii	Dasyuromorphia	Mammalia	Ikara-Flinders Ranges National Park	Australia	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0252/EHA02071_bin.2.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0280901	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM032900	EHA02129_bin.13.fa	EHA02129	ABB0256	EHA02129	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis	98.59	98.59	0.84	99.98	1.73	3023152	37.00%	36768	0.88	186	2993	613	DMB0034,DMB0114	Dasyurus geoffroii	Dasyuromorphia	Mammalia	Ikara-Flinders Ranges National Park	Australia	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0256/EHA02129_bin.13.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM032900_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM032900_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM032900.gbk.gz	1530	SD0281901, SD0280901, SD0281701, SD0281301, SD0281001	20.5	48.9	DMB0034,DMB0114	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM041310	EHA02678_bin.2.fa	EHA02678	ABB0299	EHA02678	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis	98.12	98.12	0.88	99.88	0.14	2634568	37.00%	23994	0.87	165	2879	638	DMB0060,DMB0114	Glauconycteris sp	Chiroptera	Mammalia	Rio Muni	Equatorial Guinea	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0299/EHA02678_bin.2.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM041310_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM041310_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM041310.gbk.gz	1349	SD0204201	22.2	53.1	DMB0060,DMB0114	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM042893	EHA02823_bin.6.fa	EHA02823	ABB0328	EHA02823	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis	98.59	98.59	0.9	90.22	1.34	2554736	38.00%	8251	0.88	433	2553	480	DMB0076,DMB0114	Myotis blythii	Chiroptera	Mammalia	Godech	Bulgaria	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0328/EHA02823_bin.6.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM042893_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM042893_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM042893.gbk.gz	1252	SD0302701, SD0304101, SD0303601, SD0302901	18.8	51	DMB0076,DMB0114	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
