ID	mag_name	link_to_assembly	AB_batch	eha_number	GTDB_version	GTDB_release	domain	phylum	class	order	family	genus	species	fastani_ani	closest_placement_ani	closest_placement_af	completeness	contamination	size	GC	N50	coding_density	contigs	number_genes	number_unannotated_genes	DM_batch	host_species	host_order	host_class	locality	country	MAG_url	anno_url	kegg_url	annotated	taxonomy_level	assembly_type	sample_type	gbk_url	kegg_hits	Capture ID	percent_unannotated_genes	percent_unannotated_kegg	dereplicated	metagenomic source	completeness software	binning software	assembly quality	binning parameters	taxonomic identity marker	isolation_source	assembly software	Submission
EHM013277	EHA00364_bin.25.fa	EHA00364	ABB0113	EHA00364	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus lactis	98.45	98.45	0.88	100	0	2305439	34.80%	199102	NA	16	NA	NA	NA	Podarcis muralis	Squamata	Reptilia	Occitanie, Tourmalet	France	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0113/EHA00364_bin.25.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0086901	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS010
EHM015868	EHA00350_bin.27.fa	EHA00350	ABB0113	EHA00350	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus lactis	98.41	98.41	0.87	100	0.57	2394853	34.80%	206606	NA	19	NA	NA	NA	Podarcis muralis	Squamata	Reptilia	Occitanie, Sentein	France	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0113/EHA00350_bin.27.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0077501	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS010
EHM016594	EHA00567_bin.9.fa	EHA00567	ABB0121	EHA00567	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus lactis	98.78	98.78	0.91	99.24	1.89	2192958	34.90%	71364	NA	54	2150	351	DMB0062,DMB0148,DMB0152	Hipposideros ruber	Chiroptera	Mammalia	Rio Muni	Equatorial Guinea	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0121/EHA00567_bin.9.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016594_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016594_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016594.gbk.gz	1191	SD0201401	16.3	44.6	DMB0062	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM017294	EHA00776_bin.9.fa	EHA00776	ABB0125	EHA00776	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus lactis	98.31	98.31	0.85	100	1.14	2583348	34.70%	233163	NA	21	NA	NA	DMB0093,DMB0144	Rhinolophus euryale	Chiroptera	Mammalia	Catalonia, Cova Rocafesa	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0125/EHA00776_bin.9.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0005401	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM019886	EHA00211_bin.10.fa	EHA00211	ABB0145	EHA00211	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus lactis	98.35	98.35	0.83	96.21	0.32	2419581	34.90%	135219	NA	32	NA	NA	DMB0029,DMB0172	Plecotus auritus	Chiroptera	Mammalia	Viken	Norway	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0145/EHA00211_bin.10.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0160401, SD0161101, SD0159801, SD0159701, SD0161001	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM020035	EHA00169_bin.40.fa	EHA00169	ABB0134	EHA00169	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus lactis	98.84	98.84	0.85	98.86	0.95	2309135	34.80%	36284	NA	107	NA	NA	DMB0029,DMB0172	Plecotus auritus	Chiroptera	Mammalia	Berlin-Brandenburg	Germany	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0134/EHA00169_bin.40.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0141701, SD0142601, SD0144601, SD0144201, SD0144101, SD0144301, SD0141901, SD0141501, SD0141601, SD0142101	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM025059	EHA01453_bin.48.fa	EHA01453	ABB0199	EHA01453	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus lactis	98.44	98.44	0.88	100	0.57	2343375	34.90%	206606	NA	16	NA	NA	DMB0011,DMB0113	Podarcis muralis	Squamata	Reptilia	Occitanie, Sentein	France	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0199/EHA01453_bin.48.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM025059_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM025059_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM025059.gbk.gz	NA	SD0077801, SD0077901, SD0077501, SD0077601, SD0077701	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM025679	EHA01477_bin.63.fa	EHA01477	ABB0204	EHA01477	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus lactis	98.45	98.45	0.87	99.93	0	2310490	34.80%	145897	NA	22	2260	388	DMB0011,DMB0112,DMB0113,DMB0114	Podarcis muralis	Squamata	Reptilia	Occitanie, Tourmalet	France	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0204/EHA01477_bin.63.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM025679_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM025679_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM025679.gbk.gz	1211	SD0086801, SD0087201, SD0086901, SD0087001	17.2	46.4	DMB0011,DMB0112,DMB0114,DMB0113	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM027656	EHA01634_bin.31.fa	EHA01634	ABB0225	EHA01634	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus lactis	98.29	98.29	0.95	95.52	1.26	2040196	35.00%	9630	NA	292	NA	NA	DMB0019,DMB0027,DMB0043,DMB0117,DMB0182	Cathartes aura	Accipitriformes	Aves	Florida, 4.1 mi N of Brooker	United States	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0225/EHA01634_bin.31.fa.gz	NA	NA	FALSE	Species	Coassembly	Colon contents	NA	NA	SD0294701, SD0294801, SD0297801, SD0297701, SD0296701, SD0297601, SD0294501, SD0295001, SD0295101, SD0295201, SD0296201, SD0295301	NA	NA	NA	NA	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM028200	EHA01709_bin.8.fa	EHA01709	ABB0232	EHA01709	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus lactis	98.11	98.11	0.9	99.62	0.36	2218744	35.00%	33136	NA	110	2191	363	DMB0019,DMB0027,DMB0043,DMB0114,DMB0117,DMB0182	Cathartes aura	Accipitriformes	Aves	Florida, 4.1 mi N of Brooker	United States	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0232/EHA01709_bin.8.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM028200_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM028200_kegg.tsv.gz	TRUE	Species	Coassembly	Jejunum contents	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM028200.gbk.gz	1194	SD0294801, SD0294701, SD0294801, SD0294701, SD0294701, SD0294801, SD0294501, SD0297801, SD0297701, SD0296201, SD0296701, SD0295001, SD0297601, SD0296701, SD0294501, SD0297801, SD0297601, SD0295101, SD0295201, SD0296701, SD0297601, SD0294501, SD0297701, SD0294501, SD0295001, SD0295001, SD0295301, SD0295201, SD0295101, SD0295301, SD0295001, SD0295201, SD0297801, SD0296201, SD0295101, SD0297701, SD0296201, SD0297701, SD0295201, SD0297601, SD0297801, SD0296201, SD0296701, SD0295301, SD0295301, SD0294801, SD0295101, SD0294701, SD0294901, SD0295601, SD0295601, SD0295601, SD0295601, SD0294901, SD0294901, SD0294901, SD0296801, SD0296001, SD0297001, SD0296501, SD0296901, SD0296401, SD0296301, SD0296801, SD0296001, SD0296601, SD0294601, SD0296901, SD0296601, SD0294601, SD0294601, SD0296401, SD0296301, SD0296301, SD0296501, SD0297001, SD0296501, SD0296401, SD0296901, SD0296601, SD0297001, SD0296801, SD0296001, SD0296801, SD0296301, SD0297001, SD0296501, SD0294601, SD0296001, SD0296401, SD0296601	16.6	45.5	DMB0019,DMB0027,DMB0114	NA	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
