ID	mag_name	link_to_assembly	AB_batch	eha_number	GTDB_version	GTDB_release	domain	phylum	class	order	family	genus	species	fastani_ani	closest_placement_ani	closest_placement_af	completeness	contamination	size	GC	N50	coding_density	contigs	number_genes	number_unannotated_genes	DM_batch	host_species	host_order	host_class	locality	country	MAG_url	anno_url	kegg_url	annotated	taxonomy_level	assembly_type	sample_type	gbk_url	kegg_hits	Capture ID	percent_unannotated_genes	percent_unannotated_kegg	dereplicated	metagenomic source	completeness software	binning software	assembly quality	binning parameters	taxonomic identity marker	isolation_source	assembly software	Submission
EHM015870	EHA00350_bin.29.fa	EHA00350	ABB0113	EHA00350	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Rahnella	s__Rahnella variigena	97.4	97.4	0.93	92.85	1.33	5081012	52.00%	11651	NA	650	NA	NA	NA	Podarcis muralis	Squamata	Reptilia	Occitanie, Sentein	France	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0113/EHA00350_bin.29.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0077501	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS010
EHM019732	EHA00628_bin.6.fa	EHA00628	ABB0122	EHA00628	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Rahnella	s__Rahnella variigena	98.71	98.71	0.94	98.54	0.72	5293140	52.20%	81528	NA	115	4898	486	DMB0029,DMB0114,DMB0172	Plecotus auritus	Chiroptera	Mammalia	Wales, Monmouthshire	United Kingdom	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0122/EHA00628_bin.6.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019732_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019732_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019732.gbk.gz	3262	SD0072601	9.9	33.4	DMB0029,DMB0114,DMB0172	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM019752	EHA00626_bin.3.fa	EHA00626	ABB0122	EHA00626	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Rahnella	s__Rahnella variigena	97.36	97.36	0.95	94.93	1.67	4852106	52.30%	21296	NA	328	NA	NA	DMB0029,DMB0172	Plecotus auritus	Chiroptera	Mammalia	Sussex	United Kingdom	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0122/EHA00626_bin.3.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0073101	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM019766	EHA00635_bin.4.fa	EHA00635	ABB0122	EHA00635	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Rahnella	s__Rahnella variigena	97.39	97.39	0.89	99.79	2.02	5653542	51.90%	179743	NA	73	5136	521	DMB0029,DMB0114,DMB0172	Plecotus auritus	Chiroptera	Mammalia	Wales, Monmouthshire	United Kingdom	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0122/EHA00635_bin.4.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019766_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019766_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019766.gbk.gz	3411	SD0072901	10.1	33.6	DMB0029,DMB0114	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM019778	EHA00621_bin.7.fa	EHA00621	ABB0122	EHA00621	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Rahnella	s__Rahnella variigena	98.69	98.69	0.97	91.21	0.54	4649697	52.40%	34400	NA	247	NA	NA	DMB0029,DMB0172	Plecotus auritus	Chiroptera	Mammalia	Stoke on Trent	United Kingdom	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0122/EHA00621_bin.7.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0072501	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM019785	EHA00183_bin.7.fa	EHA00183	ABB0138	EHA00183	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Rahnella	s__Rahnella variigena	97.4	97.4	0.95	97.75	2.1	4912320	52.40%	13590	NA	521	NA	NA	DMB0029,DMB0172	Plecotus auritus	Chiroptera	Mammalia	Greater London	United Kingdom	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0138/EHA00183_bin.7.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0073601, SD0073701	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM019846	EHA00206_bin.22.fa	EHA00206	ABB0144	EHA00206	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Rahnella	s__Rahnella variigena	97.38	97.38	0.95	92.83	1.88	4867711	52.10%	44671	NA	164	NA	NA	DMB0029,DMB0172	Plecotus auritus	Chiroptera	Mammalia	Sussex	United Kingdom	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0144/EHA00206_bin.22.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0073001, SD0073401, SD0073101, SD0073501, SD0073201	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM019893	EHA00211_bin.5.fa	EHA00211	ABB0145	EHA00211	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Rahnella	s__Rahnella variigena	97.41	97.41	0.93	95.42	1.74	5227358	52.10%	21040	NA	391	NA	NA	DMB0029,DMB0172	Plecotus auritus	Chiroptera	Mammalia	Viken	Norway	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0145/EHA00211_bin.5.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0160401, SD0161101, SD0159801, SD0159701, SD0161001	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM024968	EHA01453_bin.100.fa	EHA01453	ABB0199	EHA01453	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Rahnella	s__Rahnella variigena	97.44	97.44	0.95	97.39	1.55	5121707	52.20%	12906	NA	608	4808	536	DMB0011,DMB0112,DMB0113,DMB0114	Podarcis muralis	Squamata	Reptilia	Occitanie, Sentein	France	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0199/EHA01453_bin.100.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM024968_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM024968_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM024968.gbk.gz	3062	SD0077801, SD0077901, SD0077501, SD0077601, SD0077701	11.1	36.3	DMB0011,DMB0112,DMB0114,DMB0113	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM044927	EHA02997_bin.8.fa	EHA02997	ABB0369	EHA02997	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Rahnella	s__Rahnella variigena	98.79	98.79	0.94	96.23	1.27	5257512	52.00%	180510	0.88	55	NA	NA	DMB0172	Plecotus auritus	Chiroptera	Mammalia	Wales, Monmouthshire	United Kingdom	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0369/EHA02997_bin.8.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0072601	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
