reference,querry,ani,alignment_coverage,primary_cluster
EHM015380.fna,EHM015380.fna,1.0,0.9955801104972376,1
EHM015380.fna,EHM016229.fna,0.96509,0.8806629834254144,1
EHM015380.fna,EHM016316.fna,0.9650289999999999,0.8629834254143647,1
EHM015380.fna,EHM020890.fna,0.9656629999999999,0.7966850828729282,1
EHM015380.fna,EHM021927.fna,0.999996,0.9823204419889503,1
EHM015380.fna,EHM037909.fna,0.96516,0.8397790055248618,1
EHM015380.fna,EHM038031.fna,0.9646819999999999,0.8541436464088398,1
EHM015380.fna,EHM038744.fna,0.964882,0.850828729281768,1
EHM015380.fna,EHM038989.fna,0.964059,0.8430939226519337,1
EHM015380.fna,EHM046625.fna,0.965948,0.8651933701657458,1
EHM015380.fna,EHM048605.fna,0.965693,0.8696132596685083,1
EHM015380.fna,EHM049281.fna,0.965843,0.8674033149171271,1
EHM015380.fna,GCA_000436395.1.fna,0.974429,0.8574585635359117,1
EHM015380.fna,GCA_002885155.1.fna,0.97651,0.9104972375690608,1
EHM015380.fna,GCA_002885165.1.fna,0.97322,0.8696132596685083,1
EHM015380.fna,GCA_002885195.1.fna,0.9759869999999999,0.8740331491712707,1
EHM015380.fna,GCA_002885215.1.fna,0.9732569999999999,0.8828729281767956,1
EHM015380.fna,GCA_002885235.1.fna,0.973234,0.8939226519337017,1
EHM015380.fna,GCA_002885255.1.fna,0.973283,0.8883977900552487,1
EHM015380.fna,GCA_002885265.1.fna,0.973506,0.8751381215469614,1
EHM015380.fna,GCA_002885295.1.fna,0.96458,0.8928176795580111,1
EHM015380.fna,GCA_002885315.1.fna,0.965314,0.8751381215469614,1
EHM015380.fna,GCA_002885335.1.fna,0.964623,0.876243093922652,1
EHM015380.fna,GCA_002885355.1.fna,0.963805,0.8961325966850828,1
EHM015380.fna,GCA_002885375.1.fna,0.9635680000000001,0.8895027624309392,1
EHM015380.fna,GCA_002885395.1.fna,0.964425,0.8961325966850828,1
EHM015380.fna,GCA_002885415.1.fna,0.9641670000000001,0.8806629834254144,1
EHM015380.fna,GCA_002885425.1.fna,0.9648309999999999,0.8740331491712707,1
EHM015380.fna,GCA_002885455.1.fna,0.964115,0.8795580110497238,1
EHM015380.fna,GCA_002885465.1.fna,0.9645950000000001,0.8795580110497238,1
EHM015380.fna,GCA_002885475.1.fna,0.965928,0.8662983425414365,1
EHM015380.fna,GCA_002885575.1.fna,0.9721899999999999,0.887292817679558,1
EHM015380.fna,GCA_002885595.1.fna,0.973435,0.887292817679558,1
EHM015380.fna,GCA_002885615.1.fna,0.973225,0.8729281767955801,1
EHM015380.fna,GCA_002885625.1.fna,0.973519,0.8839779005524862,1
EHM015380.fna,GCA_002885655.1.fna,0.972892,0.8895027624309392,1
EHM015380.fna,GCA_002885675.1.fna,0.96423,0.8928176795580111,1
EHM015380.fna,GCA_002885695.1.fna,0.965117,0.8685082872928177,1
EHM015380.fna,GCA_002885715.1.fna,0.964159,0.8740331491712707,1
EHM015380.fna,GCA_003716915.1.fna,0.9738330000000001,0.8895027624309392,1
EHM015380.fna,GCA_003716935.1.fna,0.9652259999999999,0.8850828729281768,1
EHM015380.fna,GCA_003716955.1.fna,0.965193,0.8806629834254144,1
EHM015380.fna,GCA_003716975.1.fna,0.972302,0.8806629834254144,1
EHM015380.fna,GCA_004015005.1.fna,0.973034,0.8707182320441988,1
EHM015380.fna,GCA_004015025.1.fna,0.9730209999999999,0.8707182320441988,1
EHM015380.fna,GCA_004015045.1.fna,0.973162,0.8662983425414365,1
EHM015380.fna,GCA_004015065.1.fna,0.9729340000000001,0.8707182320441988,1
EHM015380.fna,GCA_004015085.1.fna,0.975791,0.8795580110497238,1
EHM015380.fna,GCA_004015105.2.fna,0.9735670000000001,0.8740331491712707,1
EHM015380.fna,GCA_004015125.1.fna,0.97348,0.8696132596685083,1
EHM015380.fna,GCA_004015205.1.fna,0.9757389999999999,0.8784530386740331,1
EHM015380.fna,GCA_004015225.1.fna,0.975756,0.8784530386740331,1
EHM015380.fna,GCA_004015245.1.fna,0.964769,0.876243093922652,1
EHM015380.fna,GCA_004015265.1.fna,0.9722580000000001,0.8895027624309392,1
EHM015380.fna,GCA_004015285.1.fna,0.973195,0.8685082872928177,1
EHM015380.fna,GCA_004015305.1.fna,0.9757399999999999,0.8784530386740331,1
EHM015380.fna,GCA_004015325.1.fna,0.973521,0.8685082872928177,1
EHM015380.fna,GCA_004015345.1.fna,0.973318,0.8685082872928177,1
EHM015380.fna,GCA_004104435.1.fna,0.973225,0.8994475138121547,1
EHM015380.fna,GCA_004168105.1.fna,0.97311,0.8751381215469614,1
EHM015380.fna,GCA_008000975.1.fna,0.965081,0.8850828729281768,1
EHM015380.fna,GCA_008422615.1.fna,0.9732,0.8751381215469614,1
EHM015380.fna,GCA_008422635.1.fna,0.973379,0.8740331491712707,1
EHM015380.fna,GCA_008422665.1.fna,0.9734050000000001,0.8784530386740331,1
EHM015380.fna,GCA_008422685.1.fna,0.973489,0.8740331491712707,1
EHM015380.fna,GCA_008422695.1.fna,0.973326,0.8740331491712707,1
EHM015380.fna,GCA_008422705.1.fna,0.973364,0.8751381215469614,1
EHM015380.fna,GCA_008422715.1.fna,0.973282,0.876243093922652,1
EHM015380.fna,GCA_008422765.1.fna,0.973439,0.8718232044198895,1
EHM015380.fna,GCA_008422775.1.fna,0.9734,0.8751381215469614,1
EHM015380.fna,GCA_008422795.1.fna,0.973314,0.8795580110497238,1
EHM015380.fna,GCA_008422805.1.fna,0.9733459999999999,0.8784530386740331,1
EHM015380.fna,GCA_008422815.1.fna,0.973433,0.8740331491712707,1
EHM015380.fna,GCA_008422865.1.fna,0.973512,0.8696132596685083,1
EHM015380.fna,GCA_008422875.1.fna,0.973325,0.8740331491712707,1
EHM015380.fna,GCA_008422895.1.fna,0.9734,0.8740331491712707,1
EHM015380.fna,GCA_008422925.1.fna,0.9733809999999999,0.8751381215469614,1
EHM015380.fna,GCA_008422965.1.fna,0.973291,0.8773480662983425,1
EHM015380.fna,GCA_008422985.1.fna,0.973392,0.8740331491712707,1
