Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp	# predicted rRNA genes
EHM016840	193	193	185	157	108	35	6050239	6050239	6019878	5817959	5003687	2459930	193	122274	6050239	43.68	43339	17096	48482.6	48	130	0.00	3 + 0 part
EHM018199	93	93	91	83	67	50	6341802	6341802	6332546	6275083	5985100	5389863	93	500446	6341802	43.41	99144	35307	134679.6	20	58	0.00	2 + 0 part
EHM018319	301	301	272	180	61	14	5386727	5386727	5274052	4590176	2548525	919357	301	118907	5386727	43.94	24369	8525	30813.3	67	208	0.00	4 + 0 part
EHM018971	161	161	148	128	90	45	6836605	6836605	6787780	6631147	5976889	4421914	161	233327	6836605	43.10	70951	22040	85434.1	29	98	0.00	2 + 0 part
EHM019513	114	114	107	100	78	42	5684108	5684108	5661177	5608483	5268663	3950930	114	217158	5684108	43.48	75938	28964	84864.6	25	73	0.00	2 + 0 part
EHM019698	161	161	151	134	79	42	5951914	5951914	5913223	5792009	4908642	3575778	161	199383	5951914	43.67	61619	16000	69636.9	32	101	0.00	3 + 0 part
EHM020631	192	192	178	150	88	41	6285720	6285720	6233352	6016551	4981062	3324112	192	213776	6285720	43.38	52484	16272	64093.2	38	121	0.00	2 + 0 part
EHM044815	511	511	314	182	38	1	5034310	5034310	4420188	3494585	1274601	52638	511	52638	5034310	44.07	14784	4552	17969.2	103	338	0.00	3 + 0 part
EHM047420	435	435	339	199	55	11	5942293	5942293	5600818	4587891	2316637	786083	435	127215	5942293	43.46	19752	6210	27680.4	85	295	0.00	1 + 0 part
EHM048328	300	300	244	178	80	22	5624334	5624334	5459564	4978240	3439395	1484299	300	136560	5624334	43.70	29939	9399	36830.9	58	187	0.00	2 + 0 part
EHM048951	255	255	218	166	83	29	5841124	5841124	5710672	5326250	3989637	2140652	255	131142	5841124	43.48	37282	10608	44937.8	48	160	0.00	2 + 0 part
EHM049476	348	348	268	186	80	13	5801183	5801183	5545741	4945114	3265441	929342	348	161365	5801183	43.64	28164	7744	33655.9	67	218	0.00	6 + 0 part
EHM049771	202	202	183	156	92	31	5924874	5924874	5855092	5656825	4597417	2461709	202	155347	5924874	43.64	40418	15326	52644.6	43	130	0.00	3 + 0 part
EHM050866	143	143	132	117	90	52	6776691	6776691	6742013	6626458	6160456	4762621	143	388466	6776691	43.26	75553	27806	95770.0	31	88	0.00	4 + 1 part
EHM050943	97	97	86	80	61	40	6761326	6761326	6716589	6672869	6367242	5618346	97	565133	6761326	43.23	142794	33840	176859.3	15	52	0.00	4 + 0 part
EHM074851	544	544	323	196	39	5	5484201	5484201	4810530	3877249	1447068	318682	544	78843	5484201	43.65	15915	4470	19791.8	106	350	0.00	1 + 0 part
EHM075880	695	695	385	194	18	0	5433180	5433180	4470057	3099542	575216	0	695	47288	5433180	43.85	11116	3813	13154.7	158	482	0.00	0 + 1 part
GCA_947382255.1	440	440	350	195	40	4	5256823	5256823	4904324	3753904	1420742	236153	440	65379	5256823	43.87	15087	6037	19339.4	104	319	0.00	0 + 0 part
GCA_948602925.1	250	250	197	147	67	33	6251309	6251309	6060533	5697339	4354466	3060627	250	214631	6251309	43.33	49342	11331	71218.5	35	141	263.26	0 + 0 part
GCA_948651455.1	175	172	143	115	80	51	6409467	6407059	6306986	6097753	5503527	4392265	172	176685	6407059	43.10	67083	19942	75067.1	32	92	4.64	1 + 0 part
GCA_948685565.1	331	331	277	185	75	21	5999729	5999729	5785166	5119407	3365580	1481646	331	108117	5999729	43.34	28829	7889	35700.7	62	217	194.94	0 + 0 part
GCA_948697095.1	334	334	274	186	75	29	6094292	6094292	5875806	5251663	3499347	1907481	334	131802	6094292	43.51	30047	7771	36984.4	59	213	11.26	0 + 0 part
GCA_948865225.1	344	344	275	188	69	21	5845093	5845093	5605137	5007854	3108809	1462833	344	117238	5845093	43.63	27585	7195	34893.4	62	218	24.70	0 + 0 part
GCA_949345095.1	793	793	372	168	28	2	5786380	5786380	4495996	3031940	961407	102467	793	52017	5786380	43.60	10582	3158	14276.1	155	548	0.00	0 + 0 part
GCA_958413355.1	617	617	426	197	22	1	5510665	5510665	4804792	3165556	693290	62716	617	62716	5510665	43.76	11087	4539	13670.6	159	459	0.00	0 + 0 part
GCF_000403825.2	14	14	9	9	9	9	7086746	7086746	7076552	7076552	7076552	7076552	14	2403023	7086746	43.52	1662278	311152	1576076.9	2	6	289.84	26 + 0 part
GCF_009677045.1	133	133	77	68	57	42	6761343	6761343	6641852	6585164	6421011	5830927	133	390552	6761343	43.41	141593	42709	153108.0	17	48	0.00	3 + 0 part
GCF_009677055.1	129	129	86	77	62	44	6742956	6742956	6641997	6581102	6332307	5666089	129	343551	6742956	43.39	126909	37376	143151.1	18	54	0.00	3 + 0 part
GCF_009677135.1	136	136	83	76	62	47	6767714	6767714	6657267	6612635	6391287	5810252	136	522311	6767714	43.42	113382	42017	164735.1	17	54	0.00	3 + 0 part
GCF_009677145.1	148	148	91	83	66	49	6761478	6761478	6627442	6574856	6315203	5659558	148	341872	6761478	43.42	112734	38269	125556.0	20	59	0.55	2 + 1 part
GCF_009677155.1	130	130	75	70	60	44	6776699	6776699	6651569	6618563	6460979	5849831	130	341714	6776699	43.43	141594	42030	146688.5	17	50	0.62	3 + 0 part
GCF_009677195.1	136	136	80	69	59	42	6761776	6761776	6632662	6559229	6406720	5726421	136	379254	6761776	43.40	140316	39792	155681.7	17	51	1.01	3 + 0 part
GCF_009677205.1	127	127	79	72	59	44	6757989	6757989	6644590	6598719	6394277	5790481	127	359703	6757989	43.41	126909	42589	150551.6	17	51	0.00	3 + 0 part
GCF_009677815.1	129	129	83	74	63	46	6768663	6768663	6668651	6610742	6441198	5815662	129	431286	6768663	43.41	116225	39522	160803.4	16	53	0.00	3 + 0 part
GCF_009677865.1	148	148	98	84	62	42	6758370	6758370	6637550	6549173	6198729	5463180	148	503440	6758370	43.40	116225	28833	153029.4	17	58	0.00	3 + 0 part
GCF_010206235.1	115	110	96	84	66	46	6797469	6793698	6758734	6673281	6372260	5612318	110	469781	6793698	43.46	109394	37781	154680.2	17	58	0.46	9 + 0 part
GCF_017873595.1	1	1	1	1	1	1	6881351	6881351	6881351	6881351	6881351	6881351	1	6881351	6881351	43.45	6881351	6881351	6881351.0	1	1	0.00	18 + 0 part
GCF_027688775.1	130	108	78	67	54	35	6561326	6545035	6481005	6403522	6201427	5492885	108	436250	6545035	43.59	142757	36904	193873.9	12	45	3.51	3 + 0 part
GCF_902375575.1	7	7	4	4	4	4	6486757	6486757	6480032	6480032	6480032	6480032	7	3531919	6486757	43.35	3531919	2341185	2798722.7	1	2	518.52	11 + 4 part
GCF_905205365.1	74	74	74	61	57	45	5926420	5926420	5926420	5820769	5747673	5319795	74	246396	5926420	43.42	126865	48815	127653.1	18	46	0.00	0 + 1 part
GCF_910574435.1	56	47	43	41	36	33	6769136	6764634	6752986	6738954	6663117	6536274	47	645519	6764634	43.40	197119	113393	256151.5	11	28	0.93	5 + 0 part
GCF_910574575.1	53	45	41	40	35	30	6775007	6771195	6755921	6748187	6670723	6487088	45	1037539	6771195	43.39	219415	117992	351319.8	9	26	2.26	6 + 0 part
GCF_910577775.1	81	81	77	70	56	44	6194755	6194755	6177340	6122672	5886407	5438375	81	294279	6194755	43.46	130620	46510	141297.2	17	47	0.00	3 + 0 part
GCF_932751185.1	150	150	102	96	71	51	6764462	6764462	6650312	6609882	6229362	5510457	150	241593	6764462	43.44	102970	29502	109981.6	23	66	0.00	3 + 0 part
GCF_938010035.1	95	95	88	77	61	40	6285278	6285278	6260056	6179276	5896323	5148152	95	451347	6285278	43.38	128202	33762	164572.0	14	53	0.00	0 + 0 part
GCF_947038275.1	96	96	91	88	71	48	6380109	6380109	6361774	6343821	6047683	5184171	96	342446	6380109	43.37	92808	36918	122315.7	21	61	0.00	0 + 0 part
GCF_947061905.1	326	326	276	189	75	20	6143066	6143066	5953904	5312132	3480705	1532042	326	178013	6143066	43.70	29327	8191	39460.3	61	214	0.00	0 + 0 part
GCF_947256775.1	80	80	77	73	59	47	6623797	6623797	6612112	6585308	6378230	5958010	80	333210	6623797	43.39	133546	49126	148644.4	17	48	0.00	0 + 0 part
GCF_947256815.1	115	115	105	95	74	55	6510375	6510375	6475119	6404956	6073587	5362570	115	277345	6510375	43.35	89860	33588	102827.5	24	67	0.00	0 + 0 part
GCF_947364385.1	88	88	83	77	56	46	6577350	6577350	6559059	6519509	6152894	5798786	88	476419	6577350	43.36	133646	41981	162800.8	16	49	0.00	0 + 0 part
GCF_947367975.1	87	87	80	73	63	44	6541480	6541480	6517221	6474949	6330836	5616470	87	266036	6541480	43.30	150849	42695	137337.7	17	50	0.00	0 + 0 part
GCF_947571905.1	89	89	84	78	65	46	6554279	6554279	6533238	6492839	6277465	5568710	89	288569	6554279	43.33	128830	40450	132295.1	18	54	0.00	0 + 0 part
GCF_947649565.1	92	92	89	82	60	46	6455612	6455612	6443992	6391270	6035739	5495568	92	675936	6455612	43.44	109846	41068	170801.4	17	53	0.00	1 + 0 part
GCF_947653485.1	89	89	86	81	63	46	6723794	6723794	6712108	6682270	6402012	5795706	89	258017	6723794	43.34	129926	40381	133335.1	19	52	0.00	0 + 0 part
GCF_948560525.1	132	132	117	101	73	43	6075216	6075216	6027857	5906512	5437069	4363404	132	228709	6075216	43.43	88728	23921	93023.2	23	75	66.45	1 + 0 part
GCF_948590365.1	114	114	104	98	78	46	5961871	5961871	5926782	5881075	5567688	4345879	114	286757	5961871	43.60	73962	31605	93909.5	25	71	11.19	0 + 0 part
GCF_948592825.1	113	113	105	92	66	45	6025680	6025680	5995914	5907666	5507041	4754549	113	432476	6025680	43.54	90584	28213	126778.2	21	63	0.00	0 + 0 part
GCF_948708715.1	109	109	99	90	73	43	6362725	6362725	6331987	6275907	6000946	4901312	109	344829	6362725	43.42	98698	31576	120835.6	20	64	0.31	0 + 0 part
GCF_948742315.1	249	249	213	162	85	32	6064004	6064004	5924683	5555669	4304701	2430930	249	175714	6064004	43.51	40860	11262	49172.0	46	153	21.57	0 + 0 part
GCF_948761645.1	150	148	132	109	76	45	6430334	6429209	6382517	6217687	5708706	4552082	148	319109	6429209	43.47	77833	19780	101526.8	25	80	58.89	1 + 0 part
GCF_948766295.1	92	92	87	79	67	51	6402457	6402457	6389097	6334695	6149312	5591820	92	312785	6402457	43.34	108261	36278	122134.9	21	56	0.00	3 + 0 part
GCF_948785215.1	130	130	115	103	85	46	6262974	6262974	6212119	6123337	5821361	4358496	130	250045	6262974	43.43	73995	28748	88541.4	27	79	3.02	0 + 0 part
GCF_948786225.1	150	150	131	111	79	46	6614972	6614972	6551790	6400618	5882922	4669855	150	297311	6614972	43.34	82566	21603	95236.0	26	83	3.78	0 + 0 part
GCF_948821275.1	219	218	198	166	83	28	5579082	5578354	5502008	5261482	3915154	2025970	218	136337	5578354	43.84	38899	13280	45772.2	46	145	93.11	0 + 0 part
GCF_948825195.1	150	150	133	115	86	44	6318238	6318238	6253894	6113781	5637358	4080001	150	296656	6318238	43.39	70073	24331	84100.1	29	88	27.49	0 + 0 part
GCF_948890965.1	147	147	127	108	79	46	6556813	6556813	6489989	6348094	5882922	4669855	147	297311	6556813	43.32	82566	23066	95915.7	26	80	3.51	0 + 0 part
GCF_948908075.1	110	110	98	89	72	44	6434212	6434212	6394465	6338385	6063424	5039662	110	344829	6434212	43.32	103360	34792	121996.6	20	63	0.31	0 + 0 part
