contig_id	mag
EHA00364_bin.25^_0	EHM013277
EHA00364_bin.25^_1	EHM013277
EHA00364_bin.25^_2	EHM013277
EHA00364_bin.25^_3	EHM013277
EHA00364_bin.25^_4	EHM013277
EHA00364_bin.25^_5	EHM013277
EHA00364_bin.25^_6	EHM013277
EHA00364_bin.25^_7	EHM013277
EHA00364_bin.25^_8	EHM013277
EHA00364_bin.25^_9	EHM013277
EHA00364_bin.25^_10	EHM013277
EHA00364_bin.25^_11	EHM013277
EHA00364_bin.25^_12	EHM013277
EHA00364_bin.25^_13	EHM013277
EHA00364_bin.25^_14	EHM013277
EHA00364_bin.25^_15	EHM013277
EHA00350_bin.27^_0	EHM015868
EHA00350_bin.27^_1	EHM015868
EHA00350_bin.27^_2	EHM015868
EHA00350_bin.27^_3	EHM015868
EHA00350_bin.27^_4	EHM015868
EHA00350_bin.27^_5	EHM015868
EHA00350_bin.27^_6	EHM015868
EHA00350_bin.27^_7	EHM015868
EHA00350_bin.27^_8	EHM015868
EHA00350_bin.27^_9	EHM015868
EHA00350_bin.27^_10	EHM015868
EHA00350_bin.27^_11	EHM015868
EHA00350_bin.27^_12	EHM015868
EHA00350_bin.27^_13	EHM015868
EHA00350_bin.27^_14	EHM015868
EHA00350_bin.27^_15	EHM015868
EHA00350_bin.27^_16	EHM015868
EHA00350_bin.27^_17	EHM015868
EHA00350_bin.27^_18	EHM015868
EHA00567_bin.9^_0	EHM016594
EHA00567_bin.9^_1	EHM016594
EHA00567_bin.9^_2	EHM016594
EHA00567_bin.9^_3	EHM016594
EHA00567_bin.9^_4	EHM016594
EHA00567_bin.9^_5	EHM016594
EHA00567_bin.9^_6	EHM016594
EHA00567_bin.9^_7	EHM016594
EHA00567_bin.9^_8	EHM016594
EHA00567_bin.9^_9	EHM016594
EHA00567_bin.9^_10	EHM016594
EHA00567_bin.9^_11	EHM016594
EHA00567_bin.9^_12	EHM016594
EHA00567_bin.9^_13	EHM016594
EHA00567_bin.9^_14	EHM016594
EHA00567_bin.9^_15	EHM016594
EHA00567_bin.9^_16	EHM016594
EHA00567_bin.9^_17	EHM016594
EHA00567_bin.9^_18	EHM016594
EHA00567_bin.9^_19	EHM016594
EHA00567_bin.9^_20	EHM016594
EHA00567_bin.9^_21	EHM016594
EHA00567_bin.9^_22	EHM016594
EHA00567_bin.9^_23	EHM016594
EHA00567_bin.9^_24	EHM016594
EHA00567_bin.9^_25	EHM016594
EHA00567_bin.9^_26	EHM016594
EHA00567_bin.9^_27	EHM016594
EHA00567_bin.9^_28	EHM016594
EHA00567_bin.9^_29	EHM016594
EHA00567_bin.9^_30	EHM016594
EHA00567_bin.9^_31	EHM016594
EHA00567_bin.9^_32	EHM016594
EHA00567_bin.9^_33	EHM016594
EHA00567_bin.9^_34	EHM016594
EHA00567_bin.9^_35	EHM016594
EHA00567_bin.9^_36	EHM016594
EHA00567_bin.9^_37	EHM016594
EHA00567_bin.9^_38	EHM016594
EHA00567_bin.9^_39	EHM016594
EHA00567_bin.9^_40	EHM016594
EHA00567_bin.9^_41	EHM016594
EHA00567_bin.9^_42	EHM016594
EHA00567_bin.9^_43	EHM016594
EHA00567_bin.9^_44	EHM016594
EHA00567_bin.9^_45	EHM016594
EHA00567_bin.9^_46	EHM016594
EHA00567_bin.9^_47	EHM016594
EHA00567_bin.9^_48	EHM016594
EHA00567_bin.9^_49	EHM016594
EHA00567_bin.9^_50	EHM016594
EHA00567_bin.9^_51	EHM016594
EHA00567_bin.9^_52	EHM016594
EHA00567_bin.9^_53	EHM016594
EHA00776_bin.9^_0	EHM017294
EHA00776_bin.9^_1	EHM017294
EHA00776_bin.9^_2	EHM017294
EHA00776_bin.9^_3	EHM017294
EHA00776_bin.9^_4	EHM017294
EHA00776_bin.9^_5	EHM017294
EHA00776_bin.9^_6	EHM017294
EHA00776_bin.9^_7	EHM017294
EHA00776_bin.9^_8	EHM017294
EHA00776_bin.9^_9	EHM017294
EHA00776_bin.9^_10	EHM017294
EHA00776_bin.9^_11	EHM017294
EHA00776_bin.9^_12	EHM017294
EHA00776_bin.9^_13	EHM017294
EHA00776_bin.9^_14	EHM017294
EHA00776_bin.9^_15	EHM017294
EHA00776_bin.9^_16	EHM017294
EHA00776_bin.9^_17	EHM017294
EHA00776_bin.9^_18	EHM017294
EHA00776_bin.9^_19	EHM017294
EHA00776_bin.9^_20	EHM017294
EHA00211_bin.10^_0	EHM019886
EHA00211_bin.10^_1	EHM019886
EHA00211_bin.10^_2	EHM019886
EHA00211_bin.10^_3	EHM019886
EHA00211_bin.10^_4	EHM019886
EHA00211_bin.10^_5	EHM019886
EHA00211_bin.10^_6	EHM019886
EHA00211_bin.10^_7	EHM019886
EHA00211_bin.10^_8	EHM019886
EHA00211_bin.10^_9	EHM019886
EHA00211_bin.10^_10	EHM019886
EHA00211_bin.10^_11	EHM019886
EHA00211_bin.10^_12	EHM019886
EHA00211_bin.10^_13	EHM019886
EHA00211_bin.10^_14	EHM019886
EHA00211_bin.10^_15	EHM019886
EHA00211_bin.10^_16	EHM019886
EHA00211_bin.10^_17	EHM019886
EHA00211_bin.10^_18	EHM019886
EHA00211_bin.10^_19	EHM019886
EHA00211_bin.10^_20	EHM019886
EHA00211_bin.10^_21	EHM019886
EHA00211_bin.10^_22	EHM019886
EHA00211_bin.10^_23	EHM019886
EHA00211_bin.10^_24	EHM019886
EHA00211_bin.10^_25	EHM019886
EHA00211_bin.10^_26	EHM019886
EHA00211_bin.10^_27	EHM019886
EHA00211_bin.10^_28	EHM019886
EHA00211_bin.10^_29	EHM019886
EHA00211_bin.10^_30	EHM019886
EHA00211_bin.10^_31	EHM019886
EHA00169_bin.40^_0	EHM020035
EHA00169_bin.40^_1	EHM020035
EHA00169_bin.40^_2	EHM020035
EHA00169_bin.40^_3	EHM020035
EHA00169_bin.40^_4	EHM020035
EHA00169_bin.40^_5	EHM020035
EHA00169_bin.40^_6	EHM020035
EHA00169_bin.40^_7	EHM020035
EHA00169_bin.40^_8	EHM020035
EHA00169_bin.40^_9	EHM020035
