ID	mag_name	link_to_assembly	AB_batch	eha_number	GTDB_version	GTDB_release	domain	phylum	class	order	family	genus	species	fastani_ani	closest_placement_ani	closest_placement_af	completeness	contamination	size	GC	N50	coding_density	contigs	number_genes	number_unannotated_genes	DM_batch	host_species	host_order	host_class	locality	country	MAG_url	anno_url	kegg_url	annotated	taxonomy_level	assembly_type	sample_type	gbk_url	kegg_hits	Capture ID	percent_unannotated_genes	percent_unannotated_kegg	dereplicated	metagenomic source	completeness software	binning software	assembly quality	binning parameters	taxonomic identity marker	isolation_source	assembly software	Submission	species_clean
EHM013856	EHA00283_bin.7.fa	EHA00283	ABB0115	EHA00283	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter braakii	98.59	98.59	0.82	98.98	0.94	5435271	51.90%	173844	NA	68	NA	NA	NA	Podarcis muralis	Squamata	Reptilia	Catalunya	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0115/EHA00283_bin.7.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0061101	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS011	citrobacter_braakii
EHM016687	EHA00568_bin.21.fa	EHA00568	ABB0121	EHA00568	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter braakii	98.66	98.66	0.89	99.96	1.17	4971521	52.00%	63394	NA	118	4766	408	DMB0067,DMB0114,DMB0147	Lacerta viridis	Squamata	Reptilia	Sarajevo	Bosnia and Herzegovina	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0121/EHA00568_bin.21.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016687_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016687_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016687.gbk.gz	3379	SD0146501	8.6	29.1	DMB0067,DMB0114	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	citrobacter_braakii
EHM018416	EHA00560_bin.13.fa	EHA00560	ABB0129	EHA00560	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter braakii	98.85	98.85	0.94	99.66	0.7	4682009	52.30%	83076	NA	105	NA	NA	DMB0087	Podarcis liolepis	Squamata	Reptilia	Catalunya	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0129/EHA00560_bin.13.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0051001	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS011	citrobacter_braakii
EHM019588	EHA00703_bin.18.fa	EHA00703	ABB0132	EHA00703	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter braakii	98.53	98.53	0.87	99.96	0.4	5132553	52.10%	360863	NA	42	4891	461	DMB0049,DMB0112,DMB0114	Podarcis muralis	Squamata	Reptilia	Pianelle	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0132/EHA00703_bin.18.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019588_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019588_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019588.gbk.gz	3436	SD0227401	9.4	29.7	DMB0049,DMB0112,DMB0114	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS015	citrobacter_braakii
EHM025899	EHA01500_bin.74.fa	EHA01500	ABB0209	EHA01500	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter braakii	98.6	98.6	0.89	98.84	0.56	4948952	52.00%	65384	NA	123	4722	405	DMB0010,DMB0112,DMB0113	Podarcis muralis	Squamata	Reptilia	Catalunya	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0209/EHA01500_bin.74.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM025899_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM025899_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM025899.gbk.gz	3381	SD0051201, SD0053501, SD0051901, SD0053201, SD0051401, SD0050801	8.6	28.4	DMB0010,DMB0113	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	citrobacter_braakii
EHM034508	EHA02345_bin.1.fa	EHA02345	ABB0269	EHA02345	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter braakii	96.36	96.36	0.83	100	0.15	4944607	52.00%	95467	0.89	89	4846	550	DMB0042,DMB0114,DMB0157	Lissotriton helveticus	Urodela	Amphibia	Irun	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0269/EHA02345_bin.1.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM034508_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM034508_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM034508.gbk.gz	3269	SD0342101	11.3	32.5	DMB0042,DMB0114,DMB0157	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS004	citrobacter_braakii
EHM036539	EHA02398_bin.58.fa	EHA02398	ABB0277	EHA02398	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter braakii	96.42	96.42	0.83	100	0.33	5061706	52.00%	101425	0.89	92	NA	NA	DMB0042,DMB0157	Lissotriton helveticus	Urodela	Amphibia	Irun	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0277/EHA02398_bin.58.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0342201, SD0342001, SD0342001, SD0342301, SD0342101, SD0342101	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	citrobacter_braakii
EHM042977	EHA02875_bin.42.fa	EHA02875	ABB0341	EHA02875	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter braakii	98.84	98.84	0.94	100	0.06	4628168	52.00%	76921	0.89	99	4352	249	DMB0087,DMB0114,DMB0187	Podarcis liolepis	Squamata	Reptilia	Catalunya	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0341/EHA02875_bin.42.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM042977_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM042977_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM042977.gbk.gz	3306	SD0052601, SD0051001, SD0052201	5.7	24	DMB0087,DMB0114	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	citrobacter_braakii
EHM043923	EHA02904_bin.33.fa	EHA02904	ABB0348	EHA02904	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter braakii	98.65	98.65	0.89	100	0.89	4978702	52.00%	207777	0.89	43	NA	NA	NA	Podarcis muralis	Squamata	Reptilia	Pianelle	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0348/EHA02904_bin.33.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0227401, SD0227801, SD0227901, SD0228001, SD0227701, SD0227501	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	citrobacter_braakii
EHM050060	EHA03373_bin.37.fa	EHA03373	ABB0404	EHA03373	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter braakii	98.66	98.66	0.87	100	1.21	5136877	52.00%	68704	0.89	122	4923	460	DMB0159,DMB0162,DMB0187	Podarcis filfolensis	Squamata	Reptilia	Ghadira	Malta	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0404/EHA03373_bin.37.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM050060_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM050060_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM050060.gbk.gz	3452	SD0230801	9.3	29.9	DMB0159,DMB0162	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS015	citrobacter_braakii
