contig_id	mag
EHA00283_bin.7^_0	EHM013856
EHA00283_bin.7^_1	EHM013856
EHA00283_bin.7^_2	EHM013856
EHA00283_bin.7^_3	EHM013856
EHA00283_bin.7^_4	EHM013856
EHA00283_bin.7^_5	EHM013856
EHA00283_bin.7^_6	EHM013856
EHA00283_bin.7^_7	EHM013856
EHA00283_bin.7^_8	EHM013856
EHA00283_bin.7^_9	EHM013856
EHA00283_bin.7^_10	EHM013856
EHA00283_bin.7^_11	EHM013856
EHA00283_bin.7^_12	EHM013856
EHA00283_bin.7^_13	EHM013856
EHA00283_bin.7^_14	EHM013856
EHA00283_bin.7^_15	EHM013856
EHA00283_bin.7^_16	EHM013856
EHA00283_bin.7^_17	EHM013856
EHA00283_bin.7^_18	EHM013856
EHA00283_bin.7^_19	EHM013856
EHA00283_bin.7^_20	EHM013856
EHA00283_bin.7^_21	EHM013856
EHA00283_bin.7^_22	EHM013856
EHA00283_bin.7^_23	EHM013856
EHA00283_bin.7^_24	EHM013856
EHA00283_bin.7^_25	EHM013856
EHA00283_bin.7^_26	EHM013856
EHA00283_bin.7^_27	EHM013856
EHA00283_bin.7^_28	EHM013856
EHA00283_bin.7^_29	EHM013856
EHA00283_bin.7^_30	EHM013856
EHA00283_bin.7^_31	EHM013856
EHA00283_bin.7^_32	EHM013856
EHA00283_bin.7^_33	EHM013856
EHA00283_bin.7^_34	EHM013856
EHA00283_bin.7^_35	EHM013856
EHA00283_bin.7^_36	EHM013856
EHA00283_bin.7^_37	EHM013856
EHA00283_bin.7^_38	EHM013856
EHA00283_bin.7^_39	EHM013856
EHA00283_bin.7^_40	EHM013856
EHA00283_bin.7^_41	EHM013856
EHA00283_bin.7^_42	EHM013856
EHA00283_bin.7^_43	EHM013856
EHA00283_bin.7^_44	EHM013856
EHA00283_bin.7^_45	EHM013856
EHA00283_bin.7^_46	EHM013856
EHA00283_bin.7^_47	EHM013856
EHA00283_bin.7^_48	EHM013856
EHA00283_bin.7^_49	EHM013856
EHA00283_bin.7^_50	EHM013856
EHA00283_bin.7^_51	EHM013856
EHA00283_bin.7^_52	EHM013856
EHA00283_bin.7^_53	EHM013856
EHA00283_bin.7^_54	EHM013856
EHA00283_bin.7^_55	EHM013856
EHA00283_bin.7^_56	EHM013856
EHA00283_bin.7^_57	EHM013856
EHA00283_bin.7^_58	EHM013856
EHA00283_bin.7^_59	EHM013856
EHA00283_bin.7^_60	EHM013856
EHA00283_bin.7^_61	EHM013856
EHA00283_bin.7^_62	EHM013856
EHA00283_bin.7^_63	EHM013856
EHA00283_bin.7^_64	EHM013856
EHA00283_bin.7^_65	EHM013856
EHA00283_bin.7^_66	EHM013856
EHA00283_bin.7^_67	EHM013856
EHA00568_bin.21^_0	EHM016687
EHA00568_bin.21^_1	EHM016687
EHA00568_bin.21^_2	EHM016687
EHA00568_bin.21^_3	EHM016687
EHA00568_bin.21^_4	EHM016687
EHA00568_bin.21^_5	EHM016687
EHA00568_bin.21^_6	EHM016687
EHA00568_bin.21^_7	EHM016687
EHA00568_bin.21^_8	EHM016687
EHA00568_bin.21^_9	EHM016687
EHA00568_bin.21^_10	EHM016687
EHA00568_bin.21^_11	EHM016687
EHA00568_bin.21^_12	EHM016687
EHA00568_bin.21^_13	EHM016687
EHA00568_bin.21^_14	EHM016687
EHA00568_bin.21^_15	EHM016687
EHA00568_bin.21^_16	EHM016687
EHA00568_bin.21^_17	EHM016687
EHA00568_bin.21^_18	EHM016687
EHA00568_bin.21^_19	EHM016687
EHA00568_bin.21^_20	EHM016687
EHA00568_bin.21^_21	EHM016687
EHA00568_bin.21^_22	EHM016687
EHA00568_bin.21^_23	EHM016687
EHA00568_bin.21^_24	EHM016687
EHA00568_bin.21^_25	EHM016687
EHA00568_bin.21^_26	EHM016687
EHA00568_bin.21^_27	EHM016687
EHA00568_bin.21^_28	EHM016687
EHA00568_bin.21^_29	EHM016687
EHA00568_bin.21^_30	EHM016687
EHA00568_bin.21^_31	EHM016687
EHA00568_bin.21^_32	EHM016687
EHA00568_bin.21^_33	EHM016687
EHA00568_bin.21^_34	EHM016687
EHA00568_bin.21^_35	EHM016687
EHA00568_bin.21^_36	EHM016687
EHA00568_bin.21^_37	EHM016687
EHA00568_bin.21^_38	EHM016687
EHA00568_bin.21^_39	EHM016687
EHA00568_bin.21^_40	EHM016687
EHA00568_bin.21^_41	EHM016687
EHA00568_bin.21^_42	EHM016687
EHA00568_bin.21^_43	EHM016687
EHA00568_bin.21^_44	EHM016687
EHA00568_bin.21^_45	EHM016687
EHA00568_bin.21^_46	EHM016687
EHA00568_bin.21^_47	EHM016687
EHA00568_bin.21^_48	EHM016687
EHA00568_bin.21^_49	EHM016687
EHA00568_bin.21^_50	EHM016687
EHA00568_bin.21^_51	EHM016687
EHA00568_bin.21^_52	EHM016687
EHA00568_bin.21^_53	EHM016687
EHA00568_bin.21^_54	EHM016687
EHA00568_bin.21^_55	EHM016687
EHA00568_bin.21^_56	EHM016687
EHA00568_bin.21^_57	EHM016687
EHA00568_bin.21^_58	EHM016687
EHA00568_bin.21^_59	EHM016687
EHA00568_bin.21^_60	EHM016687
EHA00568_bin.21^_61	EHM016687
EHA00568_bin.21^_62	EHM016687
EHA00568_bin.21^_63	EHM016687
EHA00568_bin.21^_64	EHM016687
EHA00568_bin.21^_65	EHM016687
EHA00568_bin.21^_66	EHM016687
EHA00568_bin.21^_67	EHM016687
EHA00568_bin.21^_68	EHM016687
EHA00568_bin.21^_69	EHM016687
EHA00568_bin.21^_70	EHM016687
EHA00568_bin.21^_71	EHM016687
EHA00568_bin.21^_72	EHM016687
EHA00568_bin.21^_73	EHM016687
EHA00568_bin.21^_74	EHM016687
EHA00568_bin.21^_75	EHM016687
EHA00568_bin.21^_76	EHM016687
EHA00568_bin.21^_77	EHM016687
EHA00568_bin.21^_78	EHM016687
EHA00568_bin.21^_79	EHM016687
EHA00568_bin.21^_80	EHM016687
EHA00568_bin.21^_81	EHM016687
EHA00568_bin.21^_82	EHM016687
EHA00568_bin.21^_83	EHM016687
EHA00568_bin.21^_84	EHM016687
EHA00568_bin.21^_85	EHM016687
EHA00568_bin.21^_86	EHM016687
EHA00568_bin.21^_87	EHM016687
EHA00568_bin.21^_88	EHM016687
EHA00568_bin.21^_89	EHM016687
EHA00568_bin.21^_90	EHM016687
EHA00568_bin.21^_91	EHM016687
EHA00568_bin.21^_92	EHM016687
EHA00568_bin.21^_93	EHM016687
EHA00568_bin.21^_94	EHM016687
EHA00568_bin.21^_95	EHM016687
EHA00568_bin.21^_96	EHM016687
EHA00568_bin.21^_97	EHM016687
EHA00568_bin.21^_98	EHM016687
EHA00568_bin.21^_99	EHM016687
EHA00568_bin.21^_100	EHM016687
EHA00568_bin.21^_101	EHM016687
EHA00568_bin.21^_102	EHM016687
EHA00568_bin.21^_103	EHM016687
EHA00568_bin.21^_104	EHM016687
EHA00568_bin.21^_105	EHM016687
EHA00568_bin.21^_106	EHM016687
EHA00568_bin.21^_107	EHM016687
EHA00568_bin.21^_108	EHM016687
EHA00568_bin.21^_109	EHM016687
EHA00568_bin.21^_110	EHM016687
EHA00568_bin.21^_111	EHM016687
EHA00568_bin.21^_112	EHM016687
EHA00568_bin.21^_113	EHM016687
EHA00568_bin.21^_114	EHM016687
EHA00568_bin.21^_115	EHM016687
EHA00568_bin.21^_116	EHM016687
EHA00568_bin.21^_117	EHM016687
EHA00560_bin.13^_0	EHM018416
EHA00560_bin.13^_1	EHM018416
EHA00560_bin.13^_2	EHM018416
EHA00560_bin.13^_3	EHM018416
EHA00560_bin.13^_4	EHM018416
EHA00560_bin.13^_5	EHM018416
EHA00560_bin.13^_6	EHM018416
EHA00560_bin.13^_7	EHM018416
EHA00560_bin.13^_8	EHM018416
EHA00560_bin.13^_9	EHM018416
EHA00560_bin.13^_10	EHM018416
EHA00560_bin.13^_11	EHM018416
EHA00560_bin.13^_12	EHM018416
EHA00560_bin.13^_13	EHM018416
EHA00560_bin.13^_14	EHM018416
EHA00560_bin.13^_15	EHM018416
EHA00560_bin.13^_16	EHM018416
EHA00560_bin.13^_17	EHM018416
EHA00560_bin.13^_18	EHM018416
EHA00560_bin.13^_19	EHM018416
EHA00560_bin.13^_20	EHM018416
EHA00560_bin.13^_21	EHM018416
EHA00560_bin.13^_22	EHM018416
EHA00560_bin.13^_23	EHM018416
EHA00560_bin.13^_24	EHM018416
EHA00560_bin.13^_25	EHM018416
EHA00560_bin.13^_26	EHM018416
EHA00560_bin.13^_27	EHM018416
EHA00560_bin.13^_28	EHM018416
EHA00560_bin.13^_29	EHM018416
EHA00560_bin.13^_30	EHM018416
EHA00560_bin.13^_31	EHM018416
EHA00560_bin.13^_32	EHM018416
EHA00560_bin.13^_33	EHM018416
EHA00560_bin.13^_34	EHM018416
EHA00560_bin.13^_35	EHM018416
EHA00560_bin.13^_36	EHM018416
EHA00560_bin.13^_37	EHM018416
EHA00560_bin.13^_38	EHM018416
EHA00560_bin.13^_39	EHM018416
EHA00560_bin.13^_40	EHM018416
EHA00560_bin.13^_41	EHM018416
EHA00560_bin.13^_42	EHM018416
EHA00560_bin.13^_43	EHM018416
EHA00560_bin.13^_44	EHM018416
EHA00560_bin.13^_45	EHM018416
EHA00560_bin.13^_46	EHM018416
EHA00560_bin.13^_47	EHM018416
EHA00560_bin.13^_48	EHM018416
EHA00560_bin.13^_49	EHM018416
EHA00560_bin.13^_50	EHM018416
EHA00560_bin.13^_51	EHM018416
EHA00560_bin.13^_52	EHM018416
EHA00560_bin.13^_53	EHM018416
EHA00560_bin.13^_54	EHM018416
EHA00560_bin.13^_55	EHM018416
EHA00560_bin.13^_56	EHM018416
EHA00560_bin.13^_57	EHM018416
EHA00560_bin.13^_58	EHM018416
EHA00560_bin.13^_59	EHM018416
EHA00560_bin.13^_60	EHM018416
EHA00560_bin.13^_61	EHM018416
EHA00560_bin.13^_62	EHM018416
EHA00560_bin.13^_63	EHM018416
EHA00560_bin.13^_64	EHM018416
EHA00560_bin.13^_65	EHM018416
EHA00560_bin.13^_66	EHM018416
EHA00560_bin.13^_67	EHM018416
EHA00560_bin.13^_68	EHM018416
EHA00560_bin.13^_69	EHM018416
EHA00560_bin.13^_70	EHM018416
EHA00560_bin.13^_71	EHM018416
EHA00560_bin.13^_72	EHM018416
EHA00560_bin.13^_73	EHM018416
EHA00560_bin.13^_74	EHM018416
EHA00560_bin.13^_75	EHM018416
EHA00560_bin.13^_76	EHM018416
EHA00560_bin.13^_77	EHM018416
EHA00560_bin.13^_78	EHM018416
EHA00560_bin.13^_79	EHM018416
EHA00560_bin.13^_80	EHM018416
EHA00560_bin.13^_81	EHM018416
EHA00560_bin.13^_82	EHM018416
EHA00560_bin.13^_83	EHM018416
EHA00560_bin.13^_84	EHM018416
EHA00560_bin.13^_85	EHM018416
EHA00560_bin.13^_86	EHM018416
EHA00560_bin.13^_87	EHM018416
EHA00560_bin.13^_88	EHM018416
EHA00560_bin.13^_89	EHM018416
EHA00560_bin.13^_90	EHM018416
EHA00560_bin.13^_91	EHM018416
EHA00560_bin.13^_92	EHM018416
EHA00560_bin.13^_93	EHM018416
EHA00560_bin.13^_94	EHM018416
EHA00560_bin.13^_95	EHM018416
EHA00560_bin.13^_96	EHM018416
EHA00560_bin.13^_97	EHM018416
EHA00560_bin.13^_98	EHM018416
EHA00560_bin.13^_99	EHM018416
EHA00560_bin.13^_100	EHM018416
EHA00560_bin.13^_101	EHM018416
EHA00560_bin.13^_102	EHM018416
EHA00560_bin.13^_103	EHM018416
EHA00560_bin.13^_104	EHM018416
EHA00703_bin.18^_0	EHM019588
EHA00703_bin.18^_1	EHM019588
EHA00703_bin.18^_2	EHM019588
EHA00703_bin.18^_3	EHM019588
EHA00703_bin.18^_4	EHM019588
EHA00703_bin.18^_5	EHM019588
EHA00703_bin.18^_6	EHM019588
EHA00703_bin.18^_7	EHM019588
EHA00703_bin.18^_8	EHM019588
EHA00703_bin.18^_9	EHM019588
EHA00703_bin.18^_10	EHM019588
EHA00703_bin.18^_11	EHM019588
EHA00703_bin.18^_12	EHM019588
EHA00703_bin.18^_13	EHM019588
EHA00703_bin.18^_14	EHM019588
EHA00703_bin.18^_15	EHM019588
EHA00703_bin.18^_16	EHM019588
EHA00703_bin.18^_17	EHM019588
EHA00703_bin.18^_18	EHM019588
EHA00703_bin.18^_19	EHM019588
EHA00703_bin.18^_20	EHM019588
EHA00703_bin.18^_21	EHM019588
EHA00703_bin.18^_22	EHM019588
EHA00703_bin.18^_23	EHM019588
EHA00703_bin.18^_24	EHM019588
EHA00703_bin.18^_25	EHM019588
EHA00703_bin.18^_26	EHM019588
EHA00703_bin.18^_27	EHM019588
EHA00703_bin.18^_28	EHM019588
EHA00703_bin.18^_29	EHM019588
EHA00703_bin.18^_30	EHM019588
EHA00703_bin.18^_31	EHM019588
EHA00703_bin.18^_32	EHM019588
EHA00703_bin.18^_33	EHM019588
EHA00703_bin.18^_34	EHM019588
EHA00703_bin.18^_35	EHM019588
EHA00703_bin.18^_36	EHM019588
EHA00703_bin.18^_37	EHM019588
EHA00703_bin.18^_38	EHM019588
EHA00703_bin.18^_39	EHM019588
EHA00703_bin.18^_40	EHM019588
EHA00703_bin.18^_41	EHM019588
EHA01500_bin.74^_0	EHM025899
EHA01500_bin.74^_1	EHM025899
EHA01500_bin.74^_2	EHM025899
EHA01500_bin.74^_3	EHM025899
EHA01500_bin.74^_4	EHM025899
EHA01500_bin.74^_5	EHM025899
EHA01500_bin.74^_6	EHM025899
EHA01500_bin.74^_7	EHM025899
EHA01500_bin.74^_8	EHM025899
EHA01500_bin.74^_9	EHM025899
EHA01500_bin.74^_10	EHM025899
EHA01500_bin.74^_11	EHM025899
EHA01500_bin.74^_12	EHM025899
EHA01500_bin.74^_13	EHM025899
EHA01500_bin.74^_14	EHM025899
EHA01500_bin.74^_15	EHM025899
EHA01500_bin.74^_16	EHM025899
EHA01500_bin.74^_17	EHM025899
EHA01500_bin.74^_18	EHM025899
EHA01500_bin.74^_19	EHM025899
EHA01500_bin.74^_20	EHM025899
EHA01500_bin.74^_21	EHM025899
EHA01500_bin.74^_22	EHM025899
EHA01500_bin.74^_23	EHM025899
EHA01500_bin.74^_24	EHM025899
EHA01500_bin.74^_25	EHM025899
EHA01500_bin.74^_26	EHM025899
EHA01500_bin.74^_27	EHM025899
EHA01500_bin.74^_28	EHM025899
EHA01500_bin.74^_29	EHM025899
EHA01500_bin.74^_30	EHM025899
EHA01500_bin.74^_31	EHM025899
EHA01500_bin.74^_32	EHM025899
EHA01500_bin.74^_33	EHM025899
EHA01500_bin.74^_34	EHM025899
EHA01500_bin.74^_35	EHM025899
EHA01500_bin.74^_36	EHM025899
EHA01500_bin.74^_37	EHM025899
EHA01500_bin.74^_38	EHM025899
EHA01500_bin.74^_39	EHM025899
EHA01500_bin.74^_40	EHM025899
EHA01500_bin.74^_41	EHM025899
EHA01500_bin.74^_42	EHM025899
EHA01500_bin.74^_43	EHM025899
EHA01500_bin.74^_44	EHM025899
EHA01500_bin.74^_45	EHM025899
EHA01500_bin.74^_46	EHM025899
EHA01500_bin.74^_47	EHM025899
EHA01500_bin.74^_48	EHM025899
EHA01500_bin.74^_49	EHM025899
EHA01500_bin.74^_50	EHM025899
EHA01500_bin.74^_51	EHM025899
EHA01500_bin.74^_52	EHM025899
EHA01500_bin.74^_53	EHM025899
EHA01500_bin.74^_54	EHM025899
EHA01500_bin.74^_55	EHM025899
EHA01500_bin.74^_56	EHM025899
EHA01500_bin.74^_57	EHM025899
EHA01500_bin.74^_58	EHM025899
EHA01500_bin.74^_59	EHM025899
EHA01500_bin.74^_60	EHM025899
EHA01500_bin.74^_61	EHM025899
EHA01500_bin.74^_62	EHM025899
EHA01500_bin.74^_63	EHM025899
EHA01500_bin.74^_64	EHM025899
EHA01500_bin.74^_65	EHM025899
EHA01500_bin.74^_66	EHM025899
EHA01500_bin.74^_67	EHM025899
EHA01500_bin.74^_68	EHM025899
EHA01500_bin.74^_69	EHM025899
EHA01500_bin.74^_70	EHM025899
EHA01500_bin.74^_71	EHM025899
EHA01500_bin.74^_72	EHM025899
EHA01500_bin.74^_73	EHM025899
EHA01500_bin.74^_74	EHM025899
EHA01500_bin.74^_75	EHM025899
EHA01500_bin.74^_76	EHM025899
EHA01500_bin.74^_77	EHM025899
EHA01500_bin.74^_78	EHM025899
EHA01500_bin.74^_79	EHM025899
EHA01500_bin.74^_80	EHM025899
EHA01500_bin.74^_81	EHM025899
EHA01500_bin.74^_82	EHM025899
EHA01500_bin.74^_83	EHM025899
EHA01500_bin.74^_84	EHM025899
EHA01500_bin.74^_85	EHM025899
EHA01500_bin.74^_86	EHM025899
EHA01500_bin.74^_87	EHM025899
EHA01500_bin.74^_88	EHM025899
EHA01500_bin.74^_89	EHM025899
EHA01500_bin.74^_90	EHM025899
EHA01500_bin.74^_91	EHM025899
EHA01500_bin.74^_92	EHM025899
EHA01500_bin.74^_93	EHM025899
EHA01500_bin.74^_94	EHM025899
EHA01500_bin.74^_95	EHM025899
EHA01500_bin.74^_96	EHM025899
EHA01500_bin.74^_97	EHM025899
EHA01500_bin.74^_98	EHM025899
EHA01500_bin.74^_99	EHM025899
EHA01500_bin.74^_100	EHM025899
EHA01500_bin.74^_101	EHM025899
EHA01500_bin.74^_102	EHM025899
EHA01500_bin.74^_103	EHM025899
EHA01500_bin.74^_104	EHM025899
EHA01500_bin.74^_105	EHM025899
EHA01500_bin.74^_106	EHM025899
EHA01500_bin.74^_107	EHM025899
EHA01500_bin.74^_108	EHM025899
EHA01500_bin.74^_109	EHM025899
EHA01500_bin.74^_110	EHM025899
EHA01500_bin.74^_111	EHM025899
EHA01500_bin.74^_112	EHM025899
EHA01500_bin.74^_113	EHM025899
EHA01500_bin.74^_114	EHM025899
EHA01500_bin.74^_115	EHM025899
EHA01500_bin.74^_116	EHM025899
EHA01500_bin.74^_117	EHM025899
EHA01500_bin.74^_118	EHM025899
EHA01500_bin.74^_119	EHM025899
EHA01500_bin.74^_120	EHM025899
EHA01500_bin.74^_121	EHM025899
EHA01500_bin.74^_122	EHM025899
EHA02345_bin.1^_0	EHM034508
EHA02345_bin.1^_1	EHM034508
EHA02345_bin.1^_2	EHM034508
EHA02345_bin.1^_3	EHM034508
EHA02345_bin.1^_4	EHM034508
EHA02345_bin.1^_5	EHM034508
EHA02345_bin.1^_6	EHM034508
EHA02345_bin.1^_7	EHM034508
EHA02345_bin.1^_8	EHM034508
EHA02345_bin.1^_9	EHM034508
EHA02345_bin.1^_10	EHM034508
EHA02345_bin.1^_11	EHM034508
EHA02345_bin.1^_12	EHM034508
EHA02345_bin.1^_13	EHM034508
EHA02345_bin.1^_14	EHM034508
EHA02345_bin.1^_15	EHM034508
EHA02345_bin.1^_16	EHM034508
EHA02345_bin.1^_17	EHM034508
EHA02345_bin.1^_18	EHM034508
EHA02345_bin.1^_19	EHM034508
EHA02345_bin.1^_20	EHM034508
EHA02345_bin.1^_21	EHM034508
EHA02345_bin.1^_22	EHM034508
EHA02345_bin.1^_23	EHM034508
EHA02345_bin.1^_24	EHM034508
EHA02345_bin.1^_25	EHM034508
EHA02345_bin.1^_26	EHM034508
EHA02345_bin.1^_27	EHM034508
EHA02345_bin.1^_28	EHM034508
EHA02345_bin.1^_29	EHM034508
EHA02345_bin.1^_30	EHM034508
EHA02345_bin.1^_31	EHM034508
EHA02345_bin.1^_32	EHM034508
EHA02345_bin.1^_33	EHM034508
EHA02345_bin.1^_34	EHM034508
EHA02345_bin.1^_35	EHM034508
EHA02345_bin.1^_36	EHM034508
