accession	ambiguous_bases	checkm2_completeness	checkm2_contamination	checkm2_model	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation_ncbi_taxa	gtdb_type_designation_ncbi_taxa_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count	original_gcf	search_accession
GB_GCA_958416015.1	0	86.5	0.18	Specific	92.42	0.13	427	o__Bacteroidales (UID2621)	260	0.0	3622388	92.82695188634813	497	1809292	46.3647354817746	3902302	RS_GCF_000012845.1	f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	not type material	none	f	128	128	46706	46706	none	0	none	none	none	0	none	none	none	none	none	none	none	none	7851	7851	f	f	t	9412	9412	Contig	ERR10960865_bin.15_MetaWRAP_v1.3_MAG	na	PRJEB62839	SAMEA114061381	497	9412	none	2023-07-19	GCA_958416015.1	derived from metagenome	full	ERR10960865_bin.15_MetaWRAP_v1.3_MAG	human feces metagenome	none	0	none	Parabacteroides distasonis	none	na	none	none	none	none	none	none	2023/07/19	0	823	none	ERR10960865_bin.15_MetaWRAP_v1.3_MAG	EMG	823	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	0	3902302	none	none	na	3902302	0	CATZAC000000000.1	3149	497	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	14	36	0		GCA_958416015.1
GB_GCA_025757725.1	0	99.97	0.99	Specific	99.42	0.51	427	o__Bacteroidales (UID2621)	260	0.0	4378722	90.31065413690924	1	2185575	45.07724123963006	4848511	RS_GCF_000012845.1	f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	not type material	none	f	1	1	4848511	4848511	4848511	7	2871	CP107196.1-#4	4848511	7	106	CP107196.1	2871	5297	0	99.965	CDZT01017363.2085.4962	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;gut metagenome	4848511	4848511	t	f	f	4848511	4848511	Complete Genome	ASM2575772v1	na	PRJNA798244	SAMN31100333	none	none	South Korea:Seoul	2022-10-19	GCA_025757725.1	derived from metagenome	full	KR001_HAM_0055	feces	37.5637563 N 126.937546 E	1	0	Parabacteroides distasonis	none	na	21	1	1	4848511	4848511	4848511	2022/10/19	0	823	7	KR001_HAM_0055	Yonsei University	823	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	0	4848511	11	83	na	4848511	0	na	3997	1	4848511	7	none	none	none	none	none	none	1522	CP107196.1	1522	2756	0	99.343	CP022754.4526807.4528346	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides sp. CT06	0	19	82	0		GCA_025757725.1
GB_GCA_008679285.1	0	95.98	1.54	Specific	95.76	1.15	427	o__Bacteroidales (UID2621)	260	50.0	4234357	89.8708168173726	21	2123597	45.07163590148917	4711604	RS_GCF_000012845.1	f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	not type material	none	f	5	5	631926	631926	262694	7	2870	NANL01000001.1	262694	8	106	NANL01000001.1	2870	5240	0	99.617	CEAZ01017753.1812.4688	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;gut metagenome	224362	224362	t	f	f	307675	307675	Contig	ASM867928v1	na	PRJNA362284	SAMN06546902	21	307675	none	2019-09-23	GCA_008679285.1	derived from metagenome	full	LMAG:98	Human feces	none	0	none	Parabacteroides distasonis	none	na	none	none	none	none	none	none	2019/09/23	0	823	none	LMAG:98	The University of Tokyo	823	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	0	4711604	none	none	na	4711604	0	NANL00000000.1	3985	21	262694	7	none	none	none	none	none	none	1524	NANL01000001.1	1517	2769	0	99.604	EU136681.1.1911	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	0	19	81	0		GCA_008679285.1
GB_GCA_959026225.1	0	99.98	0.54	Specific	99.42	0.13	427	o__Bacteroidales (UID2621)	260	0.0	4266363	91.30265345822713	77	2107058	45.0922686115516	4672770	RS_GCF_000012845.1	f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	not type material	none	f	19	19	181855	181855	none	0	none	none	none	0	none	none	none	none	none	none	none	none	60685	60685	f	f	t	91526	91526	Contig	SRR13494490_bin.7_MetaWRAP_v1.3_MAG	na	PRJEB63401	SAMEA114096577	77	91526	none	2023-07-21	GCA_959026225.1	derived from metagenome	full	SRR13494490_bin.7_MetaWRAP_v1.3_MAG	human feces metagenome	none	0	none	Parabacteroides distasonis	none	na	none	none	none	none	none	none	2023/07/21	0	823	none	SRR13494490_bin.7_MetaWRAP_v1.3_MAG	EMG	823	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	0	4672770	none	none	na	4672770	0	CAUFLA000000000.1	3881	77	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	17	54	0		GCA_959026225.1
GB_GCA_959606485.1	0	99.89	0.36	Specific	99.42	0.38	427	o__Bacteroidales (UID2621)	260	0.0	4170960	91.1232517702134	50	2072018	45.26752063947245	4577273	RS_GCF_000012845.1	f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	not type material	none	f	9	9	765944	765944	none	0	none	none	none	0	none	none	none	none	none	none	none	none	91545	91545	f	f	t	162146	162146	Contig	SRR16244384_bin.5_MetaWRAP_v1.3_MAG	na	PRJEB63177	SAMEA114095613	50	162146	none	2023-07-23	GCA_959606485.1	derived from metagenome	full	SRR16244384_bin.5_MetaWRAP_v1.3_MAG	human feces metagenome	none	0	none	Parabacteroides distasonis	none	na	none	none	none	none	none	none	2023/07/23	0	823	none	SRR16244384_bin.5_MetaWRAP_v1.3_MAG	EMG	823	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	0	4577273	none	none	na	4577273	0	CAUHJC000000000.1	3803	50	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	18	59	0		GCA_959606485.1
GB_GCA_020809955.1	0	94.01	0.5	Specific	95.81	0.38	427	o__Bacteroidales (UID2621)	260	0.0	4003200	91.50236264531246	130	1977762	45.20630889041728	4374969	RS_GCF_000012845.1	f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	not type material	none	f	26	26	238785	238785	none	0	none	none	none	0	none	none	none	none	none	none	none	none	33653	33653	f	f	t	53155	53155	Contig	ASM2080995v1	na	PRJNA543206	SAMN21194309	130	53155	China:Wuhan	2021-11-09	GCA_020809955.1	derived from metagenome	full	ChiW1-1136	feces	none	0	0	Parabacteroides distasonis	none	na	0	none	none	none	none	none	2021/11/09	0	823	0	ChiW1-1136	Quadram Institutte	823	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	0	4374969	11	30	na	4374969	0	DYUW00000000.1	3600	130	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	16	33	0		GCA_020809955.1
GB_GCA_958371025.1	0	99.99	0.93	Specific	99.42	0.0	427	o__Bacteroidales (UID2621)	260	0.0	4193398	91.39029519772473	77	2069672	45.10612516209178	4588450	RS_GCF_000012845.1	f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	not type material	none	f	17	17	313721	313721	none	0	none	none	none	0	none	none	none	none	none	none	none	none	59590	59590	f	f	t	91690	91690	Contig	SRR17798044_bin.10_MetaWRAP_v1.3_MAG	na	PRJEB63161	SAMEA114066079	77	91690	none	2023-07-19	GCA_958371025.1	derived from metagenome	full	SRR17798044_bin.10_MetaWRAP_v1.3_MAG	human feces metagenome	none	0	none	Parabacteroides distasonis	none	na	none	none	none	none	none	none	2023/07/19	0	823	none	SRR17798044_bin.10_MetaWRAP_v1.3_MAG	EMG	823	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	0	4588450	none	none	na	4588450	0	CATXLD000000000.1	3814	77	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	19	60	0		GCA_958371025.1
GB_GCA_003464145.1	0	99.97	2.42	Specific	98.27	0.38	427	o__Bacteroidales (UID2621)	260	0.0	4852090	90.1290296095862	128	2425448	45.05536699781044	5383493	RS_GCF_000012845.1	f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	not type material	none	f	12	12	396669	398907	398907	1	2975	QSEH01000001.1	398907	4	106	QSEH01000001.1	2483	4562	0	99.839	AGZM01000019.165649.168527	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis CL03T12C09	42056	42389	t	f	f	152801	152801	Scaffold	ASM346414v1	na	PRJNA482748	SAMN09736618	128	152801	China: Shenzhen	2018-09-06	GCA_003464145.1	none	full	na	feces	none	0	0	Parabacteroides distasonis	none	na	7	127	12	152801	75129	30846	2018/09/06	1	823	2	AM50-1	BGI	823	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	232	5383493	11	63	na	5383261	0	QSEH00000000.1	4997	127	398907	2	none	none	none	none	none	none	1321	QSEH01000001.1	1321	2435	0	99.924	CP022754.1214557.1216096	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides sp. CT06	232	19	62	0		GCA_003464145.1
GB_GCA_958447325.1	0	99.98	0.61	Specific	99.42	0.27	427	o__Bacteroidales (UID2621)	260	50.0	4295796	91.2168020155284	66	2117426	44.9613594836748	4709435	RS_GCF_000012845.1	f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	not type material	none	f	14	14	275428	275428	none	0	none	none	none	0	none	none	none	none	none	none	none	none	71355	71355	f	f	t	118754	118754	Contig	ERR4316497_bin.13_MetaWRAP_v1.3_MAG	na	PRJEB62827	SAMEA114062357	66	118754	none	2023-07-19	GCA_958447325.1	derived from metagenome	full	ERR4316497_bin.13_MetaWRAP_v1.3_MAG	human feces metagenome	none	0	none	Parabacteroides distasonis	none	na	none	none	none	none	none	none	2023/07/19	0	823	none	ERR4316497_bin.13_MetaWRAP_v1.3_MAG	EMG	823	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	0	4709435	none	none	na	4709435	0	CAUCZP000000000.1	3889	66	22557	1	none	none	none	none	none	none	1520	CAUCZP010000051.1	1393	2440	0	98.277	DQ793316.1.1393	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;uncultured bacterium	0	18	53	0		GCA_958447325.1
GB_GCA_014870645.1	0	99.29	0.09	Specific	98.96	0.0	427	o__Bacteroidales (UID2621)	260	0.0	4145595	91.17371565229116	53	2055311	45.20227872983882	4546919	RS_GCF_000012845.1	f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	not type material	none	f	11	11	428993	428993	none	0	none	none	none	0	none	none	none	none	none	none	none	none	85790	85790	f	f	t	120600	120600	Contig	ASM1487064v1	na	PRJNA562766	SAMN12905036	53	120600	Australia: Newcastle	2020-10-08	GCA_014870645.1	derived from metagenome	full	COPD089	feces	32.93 S 151.78 E	0	none	Parabacteroides distasonis	none	na	none	none	none	none	none	none	2020/10/08	0	823	none	COPD089	University of Queensland	823	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	0	4546919	none	none	na	4546919	0	WGVK00000000.1	3750	53	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	18	51	0		GCA_014870645.1
