accession	ambiguous_bases	checkm2_completeness	checkm2_contamination	checkm2_model	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation_ncbi_taxa	gtdb_type_designation_ncbi_taxa_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count	original_gcf	search_accession
GB_GCA_947382255.1	0	90.24	1.1	Specific	94.57	0.71	427	o__Bacteroidales (UID2621)	260	0.0	4788117	91.08385425950236	440	2305935	43.86556290748233	5256823	RS_GCF_000969835.1	f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	not type material	none	f	104	104	65379	65379	none	0	none	none	none	0	none	none	none	none	none	none	none	none	11947	11947	f	f	t	15087	15087	Contig	ERR6760059_bin.66_metawrap_v1.3_MAG	na	PRJEB55478	SAMEA112151311	440	15087	none	2022-11-28	GCA_947382255.1	derived from metagenome	full	ERR6760059_bin.66_metawrap_v1.3_MAG	mouse gut metagenome	none	0	none	Parabacteroides goldsteinii	none	na	none	none	none	none	none	none	2022/11/28	0	328812	none	ERR6760059_bin.66_metawrap_v1.3_MAG	EMG	328812	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	0	5256823	none	none	na	5256823	0	CANCZS000000000.1	4281	440	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	18	43	0		GCA_947382255.1
GB_GCA_948865225.1	0	91.22	3.11	Specific	92.35	2.31	427	o__Bacteroidales (UID2621)	260	37.5	5329275	91.17519601484528	482	2549552	43.62945139244332	5845093	RS_GCF_000969835.1	f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	not type material	none	f	75	62	117238	117238	none	0	none	none	none	0	none	none	none	none	none	none	none	none	12123	16991	f	f	t	20403	27585	Scaffold	MGBC136801	na	PRJEB59335	SAMEA112409463	482	20403	none	2023-04-23	GCA_948865225.1	derived from metagenome	full	MGBC136801	Faeces	none	0	none	Parabacteroides goldsteinii	none	na	none	344	62	27585	14686	7195	2023/04/23	138	328812	none	MGBC136801	UNIVERSITY OF CAMBRIDGE	328812	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	1444	5845093	none	none	na	5843649	0	CAQQRQ000000000.1	4794	344	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	1444	16	31	0		GCA_948865225.1
GB_GCA_948697095.1	0	90.05	3.52	Specific	95.58	1.6	427	o__Bacteroidales (UID2621)	260	33.33	5546845	91.01705333449726	392	2651040	43.50527421694149	6094292	RS_GCF_000969835.1	f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	not type material	none	f	68	59	131802	131802	none	0	none	none	none	0	none	none	none	none	none	none	none	none	15544	18246	f	f	t	25122	30047	Scaffold	MGBC165360	na	PRJEB59335	SAMEA112435408	392	25122	none	2023-04-23	GCA_948697095.1	derived from metagenome	full	MGBC165360	Faeces	none	0	none	Parabacteroides goldsteinii	none	na	none	334	59	30047	14857	7771	2023/04/23	58	328812	none	MGBC165360	UNIVERSITY OF CAMBRIDGE	328812	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	686	6094292	none	none	na	6093606	0	CAPRZW000000000.1	5036	334	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	686	18	36	0		GCA_948697095.1
GB_GCA_948602925.1	0	90.3	2.77	Specific	93.99	1.54	427	o__Bacteroidales (UID2621)	260	14.29	5611990	89.7730379349349	986	2701871	43.3349660906145	6251309	RS_GCF_000969835.1	f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	not type material	none	f	129	35	105316	214631	none	0	none	none	none	0	none	none	none	none	none	none	none	none	6323	25005	f	f	t	12693	49342	Scaffold	MGBC143770	na	PRJEB59335	SAMEA112414036	986	12693	none	2023-04-23	GCA_948602925.1	derived from metagenome	full	MGBC143770	Faeces	none	0	none	Parabacteroides goldsteinii	none	na	none	250	35	49342	21526	11331	2023/04/23	736	328812	none	MGBC143770	UNIVERSITY OF CAMBRIDGE	328812	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	16457	6251309	none	none	na	6234852	0	CAPEBP000000000.1	5417	250	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	16457	17	38	0		GCA_948602925.1
GB_GCA_949345095.1	0	93.43	2.56	Specific	92.18	1.99	427	o__Bacteroidales (UID2621)	260	14.29	5263346	90.96094622199026	793	2523106	43.60422232898634	5786380	RS_GCF_000969835.1	f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	not type material	none	f	156	156	52017	52017	none	0	none	none	none	0	none	none	none	none	none	none	none	none	7296	7296	f	f	t	10582	10582	Contig	HZI_2_HZIce.13_1677235736	na	PRJEB32890	SAMEA112684587	793	10582	none	2023-04-08	GCA_949345095.1	derived from metagenome	full	HZI_2_HZIce.13_1677235736	mouse gut metagenome	none	0	none	Parabacteroides goldsteinii	none	na	none	none	none	none	none	none	2023/04/08	0	328812	none	HZI_2_HZIce.13_1677235736	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	328812	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	0	5786380	none	none	na	5786380	0	CASGRR000000000.1	5132	793	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	18	42	0		GCA_949345095.1
GB_GCA_948685565.1	0	94.68	4.43	General	92.22	0.64	427	o__Bacteroidales (UID2621)	260	0.0	5401512	90.02926632186221	989	2595486	43.344550706383885	5999729	RS_GCF_000969835.1	f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	not type material	none	f	164	62	59583	108117	none	0	none	none	none	0	none	none	none	none	none	none	none	none	6054	18126	f	f	t	10736	28829	Scaffold	MGBC165379	na	PRJEB59335	SAMEA112435426	989	10736	none	2023-04-23	GCA_948685565.1	derived from metagenome	full	MGBC165379	Faeces	none	0	none	Parabacteroides goldsteinii	none	na	none	331	62	28829	14841	7889	2023/04/23	658	328812	none	MGBC165379	UNIVERSITY OF CAMBRIDGE	328812	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	11696	5999729	none	none	na	5988033	0	CAPQKS000000000.1	5223	331	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	11696	17	32	0		GCA_948685565.1
GB_GCA_948651455.1	9	99.56	1.34	Specific	99.62	0.32	427	o__Bacteroidales (UID2621)	260	50.0	5815822	90.73799740290416	183	2762042	43.09515896754182	6409467	RS_GCF_000969835.1	f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	not type material	none	f	32	32	176685	176685	none	0	none	none	176685	1	103	CAPLGD010000001.1	none	none	none	none	none	none	35022	36625	f	f	t	65338	67083	Scaffold	MGBC102290	na	PRJEB59335	SAMEA112376257	183	65338	none	2023-04-23	GCA_948651455.1	derived from metagenome	full	MGBC102290	Faeces	none	0	none	Parabacteroides goldsteinii	none	na	none	175	32	67083	41924	19942	2023/04/23	8	328812	none	MGBC102290	UNIVERSITY OF CAMBRIDGE	328812	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	288	6409467	none	none	na	6409179	0	CAPLGD000000000.1	5328	175	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	288	19	60	0		GCA_948651455.1
GB_GCA_958413355.1	0	90.37	2.61	General	87.21	0.83	427	o__Bacteroidales (UID2621)	260	0.0	5034801	91.36467195882892	617	2411691	43.7640647725819	5510665	RS_GCF_000969835.1	f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	not type material	none	f	159	159	62716	62716	none	0	none	none	none	0	none	none	none	none	none	none	none	none	8931	8931	f	f	t	11087	11087	Contig	ERR9578277_bin.8_MetaWRAP_v1.3_MAG	na	PRJEB62820	SAMEA114063393	617	11087	none	2023-07-19	GCA_958413355.1	derived from metagenome	full	ERR9578277_bin.8_MetaWRAP_v1.3_MAG	human feces metagenome	none	0	none	Parabacteroides goldsteinii	none	na	none	none	none	none	none	none	2023/07/19	0	328812	none	ERR9578277_bin.8_MetaWRAP_v1.3_MAG	EMG	328812	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	0	5510665	none	none	na	5510665	0	CATYUV000000000.1	4567	617	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	13	32	0		GCA_958413355.1
RS_GCF_949434065.1	0	93.02	2.48	Specific	97.69	1.92	427	o__Bacteroidales (UID2621)	260	0.0	5709363	90.92756946423034	258	2729670	43.47284601441976	6279023	RS_GCF_000969835.1	f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	not type material	none	f	46	46	202607	202607	none	0	none	none	none	0	none	none	none	none	none	none	none	none	24337	24337	f	f	t	39293	39293	Contig	extra-SRR6032564.34_1677799104	na	PRJNA224116	SAMEA112728197	258	39293	none	2023-04-08	GCA_949434065.1	derived from metagenome	full	extra-SRR6032564.34_1677799104	mouse gut metagenome	none	0	0	Parabacteroides goldsteinii	none	na	0	none	none	none	none	none	2023/04/08	0	328812	0	extra-SRR6032564.34_1677799104	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	328812	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	0	6279023	11	46	na	6279023	0	CASRDD000000000.1	5132	258	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	18	46	0	GCF_949434065.1	GCF_949434065.1
RS_GCF_009677205.1	0	99.98	1.99	Specific	99.62	1.03	427	o__Bacteroidales (UID2621)	260	0.0	6135707	90.79190569857394	127	2933431	43.406862603653245	6757989	RS_GCF_000969835.1	f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	not type material	none	f	17	17	359703	359703	5184	1	2869	NZ_WKLR01000079.1	5184	1	103	NZ_WKLR01000079.1	2869	5293	0	99.965	ASSQ01000028.100088.102965	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides goldsteinii dnLKV18	53212	53212	t	f	f	126909	126909	Contig	ASM967720v1	na	PRJNA224116	SAMN11946227	127	126909	USA: Boston	2019-11-20	GCA_009677205.1	none	full	na	fecal material [ENVO:00002003]	42.36 N 71.06 W	0	0	Parabacteroides goldsteinii	none	na	3	none	none	none	none	none	2019/11/20	0	328812	1	BIOML-A2	Massachusetts Institute of Technology	328812	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	0	6757989	11	66	na	6757989	0	WKLR00000000.1	5412	127	5184	1	none	none	none	none	none	none	1524	NZ_WKLR01000079.1	1517	2778	0	99.736	EU136697.1.2002	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides goldsteinii	0	19	66	0	GCF_009677205.1	GCF_009677205.1
