ID	mag_name	link_to_assembly	AB_batch	eha_number	GTDB_version	GTDB_release	domain	phylum	class	order	family	genus	species	fastani_ani	closest_placement_ani	closest_placement_af	completeness	contamination	size	GC	N50	coding_density	contigs	number_genes	number_unannotated_genes	DM_batch	host_species	host_order	host_class	locality	country	MAG_url	anno_url	kegg_url	annotated	taxonomy_level	assembly_type	sample_type	gbk_url	kegg_hits	Capture ID	percent_unannotated_genes	percent_unannotated_kegg	dereplicated	metagenomic source	completeness software	binning software	assembly quality	binning parameters	taxonomic identity marker	isolation_source	assembly software	Submission
EHM027676	EHA01634_bin.5.fa	EHA01634	ABB0225	EHA01634	2.3.0	R214	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Sarcina	s__Sarcina perfringens	98.09	98.09	0.92	95.18	2.1	3076704	28.10%	17590	NA	296	2895	639	DMB0019,DMB0027,DMB0043,DMB0114,DMB0117,DMB0182	Cathartes aura	Accipitriformes	Aves	Florida, 4.1 mi N of Brooker	United States	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0225/EHA01634_bin.5.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM027676_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM027676_kegg.tsv.gz	TRUE	Species	Coassembly	Colon contents	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM027676.gbk.gz	1469	SD0294701, SD0294801, SD0297801, SD0297701, SD0296701, SD0297601, SD0294501, SD0295001, SD0295101, SD0295201, SD0296201, SD0295301	22.1	49.3	DMB0019,DMB0027,DMB0114,DMB0182	NA	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM028421	EHA01289_bin.2.fa	EHA01289	ABB0174	EHA01289	2.3.0	R214	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Sarcina	s__Sarcina perfringens	97.07	97.07	0.93	90.36	0.26	2954836	28.00%	29367	0.85	150	2751	549	DMB0029,DMB0172	Plecotus auritus	Chiroptera	Mammalia	Berlin-Brandenburg	Germany	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0174/EHA01289_bin.2.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM028421_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM028421_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM028421.gbk.gz	1469	SD0141501	20	46.6	DMB0172	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM030697	EHA01927_bin.4.fa	EHA01927	ABB0247	EHA01927	2.3.0	R214	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Sarcina	s__Sarcina perfringens	98.24	98.24	0.86	100	2.29	3508514	28.00%	51886	0.84	129	3428	879	DMB0024,DMB0032,DMB0114,DMB0182	Canis familiaris	Carnivora	Mammalia	Ittoqqortoormii	Greenland	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0247/EHA01927_bin.4.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM030697_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM030697_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM030697.gbk.gz	1609	SD0317501	25.6	53.1	DMB0032,DMB0114	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS002
EHM030883	EHA01877_bin.6.fa	EHA01877	ABB0246	EHA01877	2.3.0	R214	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Sarcina	s__Sarcina perfringens	98.46	98.46	0.92	99.93	1.2	2982968	28.00%	17732	0.84	276	2846	605	DMB0024,DMB0032,DMB0114,DMB0182	Canis familiaris	Carnivora	Mammalia	Daneborg	Greenland	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0246/EHA01877_bin.6.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM030883_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM030883_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM030883.gbk.gz	1466	SD0314301	21.3	48.5	DMB0024,DMB0032,DMB0114,DMB0182	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS002
EHM031408	EHA01923_bin.20.fa	EHA01923	ABB0247	EHA01923	2.3.0	R214	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Sarcina	s__Sarcina perfringens	97.95	97.95	0.83	93.03	0.92	3815890	28.00%	47857	0.83	124	3846	1314	DMB0024,DMB0032,DMB0114,DMB0182	Canis familiaris	Carnivora	Mammalia	Ittoqqortoormii	Greenland	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0247/EHA01923_bin.20.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM031408_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM031408_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM031408.gbk.gz	1510	SD0316201	34.2	60.7	DMB0024,DMB0032,DMB0114,DMB0182	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS002
EHM047705	EHA03238_bin.10.fa	EHA03238	ABB0387	EHA03238	2.3.0	R214	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Sarcina	s__Sarcina perfringens	98.27	98.27	0.83	94.15	2.32	3419430	28.00%	16477	0.85	267	3265	691	DMB0120	Myotis myotis	Chiroptera	Mammalia	Ruse	Bulgaria	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0387/EHA03238_bin.10.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM047705_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM047705_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM047705.gbk.gz	1606	SD0388201	21.2	50.8	DMB0120	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM069367	EHA04682_bin.20.fa	EHA04682	ABB0562	EHA04682	2.3.0	R214	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Sarcina	s__Sarcina perfringens	98.75	98.75	0.93	99.61	0.55	3225835	28.00%	512184	0.85	20	NA	NA	DMB0169	Rattus rattus	Rodentia	Mammalia	Forth, Tasmania	Australia	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0562/EHA04682_bin.20.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0460501	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM070393	EHA04696_bin.58.fa	EHA04696	ABB0563	EHA04696	2.3.0	NA	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Sarcina	s__Sarcina perfringens	98.72	98.72	0.93	99.65	0.55	3225669	28.00%	512359	0.85	18	2909	529	DMB0169	Rattus rattus	Rodentia	Mammalia	Forth, Tasmania	Australia	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0563/EHA04696_bin.58.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070393_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070393_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070393.gbk.gz	1568	SD0460601, SD0467101, SD0460501, SD0456501, SD0460001, SD0466601, SD0460101, SD0455801, SD0467401, SD0465401, SD0457401, SD0465801, SD0460401, SD0461801, SD0461401, SD0455501	18.2	46.1	DMB0169	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM075554	EHA05078_bin.83.fa	EHA05078	ABB0602	EHA05078	2.3.0	NA	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Sarcina	s__Sarcina perfringens	98.72	98.72	0.93	99.64	0.55	3227250	28.00%	512359	0.85	19	2913	532	DMB0173	Rattus rattus	Rodentia	Mammalia	Forth, Tasmania	Australia	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0602/EHA05078_bin.83.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM075554_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM075554_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM075554.gbk.gz	1569	SD0460601, SD0467101, SD0460501, SD0456501, SD0460001, SD0466601, SD0460101, SD0455801, SD0467401, SD0465401, SD0457401, SD0465801, SD0460401, SD0461801, SD0461401, SD0455501	18.3	46.1	DMB0173	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM083839	EHA05610_bin.51.fa	EHA05610	ABB0626	EHA05610	2.3.0	NA	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Sarcina	s__Sarcina perfringens	98.41	98.41	0.91	97.09	2.4	3184913	28.00%	10344	0.84	478	NA	NA	DMB0181	Canis familiaris	Carnivora	Mammalia	Ittoqqortoormiit	Greenland	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0626/EHA05610_bin.51.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0529001, SD0529002, SD0529003, SD0529004, SD0529005	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
