#soft_core=0.95
#duplication_margin=0.05
Genome_name	Contigs	Genes	Fragmented_genes	Families	Families_with_fragments	Families_in_multicopy	Soft_core_families	Soft_core_genes	Exact_core_families	Exact_core_genes	Persistent_genes	Persistent_fragmented_genes	Persistent_families	Persistent_families_with_fragments	Persistent_families_in_multicopy	Shell_genes	Shell_fragmented_genes	Shell_families	Shell_families_with_fragments	Shell_families_in_multicopy	Cloud_genes	Cloud_fragmented_genes	Cloud_families	Cloud_families_with_fragments	Cloud_families_in_multicopy	Completeness	Contamination	Fragmentation	RGPs	Spots	Modules
EHA00531_bin.1	224	3897	117	3837	102	54	2095	2126	158	161	2767	63	2730	58	31	876	47	854	37	22	254	7	253	7	1	95.79	0.46	2.66	85	17	90
EHA00535_bin.6	618	2958	364	2907	331	49	1855	1888	158	160	2316	266	2275	240	39	306	71	298	65	8	336	27	334	26	2	79.82	1.1	11.39	42	4	43
EHA00539_bin.6	685	3261	391	3208	364	46	1938	1978	158	164	2537	325	2491	303	39	460	52	454	48	6	264	14	263	13	1	87.4	0.92	11.35	44	2	52
EHA00726_bin.13	76	3849	70	3784	56	50	2108	2144	158	158	2856	41	2806	33	36	922	28	907	22	14	71	1	71	1	0	98.46	0.39	1.48	62	39	89
EHA00928_bin.90	607	3064	333	3019	315	37	1963	1998	158	162	2501	272	2461	256	32	332	49	328	47	4	231	12	230	12	1	86.35	0.71	10.43	32	0	36
EHA01202_bin.66	414	2762	193	2731	181	29	1911	1936	158	162	2377	168	2349	158	26	248	24	245	22	3	137	1	137	1	0	82.42	0.71	6.63	17	2	18
EHA01281_bin.18	107	3798	83	3735	70	53	2116	2154	158	159	2864	52	2812	42	42	799	29	788	26	11	135	2	135	2	0	98.67	0.6	1.87	71	36	82
EHA01439_bin.44	369	3264	196	3212	181	49	2058	2093	158	158	2666	136	2622	127	41	385	45	378	40	7	213	15	212	14	1	92.0	0.96	5.64	32	7	40
EHA01634_bin.14	526	3306	273	3263	262	38	2010	2035	158	158	2632	211	2598	205	29	568	59	559	54	9	106	3	106	3	0	91.16	0.46	8.03	50	10	60
EHA01845_bin.103	152	3591	100	3530	86	59	2117	2158	158	163	2806	64	2754	53	50	679	30	670	27	9	106	6	106	6	0	96.63	1.21	2.44	61	17	67
EHA01958_bin.190	296	3390	197	3316	172	69	2065	2101	158	160	2766	137	2705	119	56	557	55	544	48	13	67	5	67	5	0	94.91	1.53	5.19	50	12	52
EHA02500_bin.116	243	3577	160	3530	144	42	2080	2107	158	158	2707	108	2674	98	29	446	24	439	24	7	424	28	417	22	6	93.82	0.6	4.08	60	18	60
EHA03161_bin.52	181	3465	102	3425	92	37	2106	2130	158	158	2807	71	2774	66	30	592	27	586	23	6	66	4	65	3	1	97.33	0.64	2.69	42	14	59
EHA03288_bin.14	124	3671	118	3594	85	63	2092	2134	158	158	2797	60	2741	40	43	788	56	768	43	19	86	2	85	2	1	96.18	0.71	2.37	71	20	81
EHA03306_bin.55	405	2833	183	2794	174	36	1933	1963	158	158	2458	161	2420	153	35	251	17	250	16	1	124	5	124	5	0	84.91	0.89	6.23	23	3	25
EHA03349_bin.40	428	3057	246	3009	233	46	2028	2063	158	159	2604	173	2561	163	41	357	64	352	61	5	96	9	96	9	0	89.86	1.17	7.74	20	1	49
