ID	mag_name	link_to_assembly	AB_batch	eha_number	GTDB_version	GTDB_release	domain	phylum	class	order	family	genus	species	fastani_ani	closest_placement_ani	closest_placement_af	completeness	contamination	size	GC	N50	coding_density	contigs	number_genes	number_unannotated_genes	DM_batch	host_species	host_order	host_class	locality	country	MAG_url	anno_url	kegg_url	annotated	taxonomy_level	assembly_type	sample_type	gbk_url	kegg_hits	Capture ID	percent_unannotated_genes	percent_unannotated_kegg	dereplicated	metagenomic source	completeness software	binning software	assembly quality	binning parameters	taxonomic identity marker	isolation_source	assembly software	Submission	species_clean
EHM015380	EHA00438_bin.2.fa	EHA00438	ABB0118	EHA00438	2.3.0	R214	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia muciniphila	96.54	0	0	97.95	0	2795043	55.70%	104987	NA	52	NA	NA	DMB0006,DMB0025	Sciurus vulgaris	Rodentia	Mammalia	Ovar	Portugal	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0118/EHA00438_bin.2.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0188801	NA	NA	DMB0006,DMB0025	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	akkermansia_muciniphila
EHM016229	EHA00531_bin.10.fa	EHA00531	ABB0120	EHA00531	2.3.0	R214	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia muciniphila	98.69	98.69	0.92	97.95	0	2950484	55.50%	94668	NA	53	2592	885	DMB0005,DMB0023,DMB0114	Strix aluco	Strigiformes	Aves	Gipuzkoa, Donostia	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0120/EHA00531_bin.10.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016229_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016229_kegg.tsv.gz	TRUE	Species	Individual	Anal/cloacal swab	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016229.gbk.gz	1073	SD0116501	34.1	58.6	DMB0005,DMB0023,DMB0114	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	akkermansia_muciniphila
EHM016316	EHA00539_bin.4.fa	EHA00539	ABB0120	EHA00539	2.3.0	R214	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia muciniphila	98.9	98.9	0.93	97.82	0	2642546	55.60%	132408	NA	32	NA	NA	DMB0005,DMB0023	Strix aluco	Strigiformes	Aves	Gipuzkoa	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0120/EHA00539_bin.4.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016316_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016316_kegg.tsv.gz	TRUE	Species	Individual	Anal/cloacal swab	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016316.gbk.gz	NA	SD0017101	NA	NA	DMB0005	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	akkermansia_muciniphila
EHM020890	EHA01202_bin.41.fa	EHA01202	ABB0171	EHA01202	2.3.0	R214	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia muciniphila	98.89	98.89	0.94	97.27	0.04	2557388	56.00%	35593	NA	108	NA	NA	DMB0005,DMB0023	Strix aluco	Strigiformes	Aves	Gipuzkoa	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0171/EHA01202_bin.41.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM020890_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM020890_kegg.tsv.gz	TRUE	Species	Coassembly	Oral swab	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM020890.gbk.gz	NA	SD0016401, SD0016401, SD0016401, SD0116901, SD0115501, SD0116001, SD0116501, SD0115701, SD0115501, SD0116201, SD0115901, SD0116001, SD0116001, SD0115501, SD0017101	NA	NA	NA	1227552	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	akkermansia_muciniphila
EHM021927	EHA00951_bin.9.fa	EHA00951	ABB0168	EHA00951	2.3.0	R214	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia muciniphila	96.53	0	0	95.23	0	2760780	55.80%	100111	NA	50	NA	NA	DMB0006,DMB0025	Sciurus vulgaris	Rodentia	Mammalia	Ovar	Portugal	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0168/EHA00951_bin.9.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0188801, SD0188901, SD0188601	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	akkermansia_muciniphila
EHM037909	EHA02470_bin.29.fa	EHA02470	ABB0281	EHA02470	2.3.0	R214	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia muciniphila	98.81	98.81	0.9	99.98	0.37	2768777	56.00%	97554	0.89	47	2376	720	DMB0044,DMB0046,DMB0114,DMB0135	Sciurus vulgaris	Rodentia	Mammalia	Lombardy, Pineta	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0281/EHA02470_bin.29.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM037909_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM037909_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM037909.gbk.gz	1043	SD0040101	30.3	56.1	DMB0044,DMB0046,DMB0114,DMB0135	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS012	akkermansia_muciniphila
EHM038031	EHA02450_bin.6.fa	EHA02450	ABB0280	EHA02450	2.3.0	R214	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia muciniphila	98.78	98.78	0.93	100	0.48	2741858	55.00%	112004	0.88	34	NA	NA	DMB0044	Sciurus vulgaris	Rodentia	Mammalia	Lombardy, Varese	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0280/EHA02450_bin.6.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0172201	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS012	akkermansia_muciniphila
EHM038744	EHA02549_bin.82.fa	EHA02549	ABB0290	EHA02549	2.3.0	R214	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia muciniphila	98.83	98.83	0.91	99.99	0.39	2788970	56.00%	97600	0.89	47	NA	NA	DMB0044	Sciurus vulgaris	Rodentia	Mammalia	Lombardy, Pineta	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0290/EHA02549_bin.82.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0031103, SD0031101, SD0040102, SD0040101, SD0170802, SD0170801, SD0170803, SD0170903, SD0170902, SD0170901	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	akkermansia_muciniphila
EHM038989	EHA02599_bin.16.fa	EHA02599	ABB0295	EHA02599	2.3.0	R214	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia muciniphila	98.79	98.79	0.93	99.99	0.44	2698232	56.00%	112004	0.89	32	NA	NA	DMB0044	Sciurus vulgaris	Rodentia	Mammalia	Lombardy, Varese	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0295/EHA02599_bin.16.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0171202, SD0171101, SD0169503, SD0169502, SD0172201, SD0172202, SD0172203	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	akkermansia_muciniphila
EHM046625	EHA03296_bin.12.fa	EHA03296	ABB0381	EHA03296	2.3.0	R214	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia muciniphila	98.72	98.72	0.94	100	0.28	2686383	56.00%	219762	0.88	26	NA	NA	DMB0118,DMB0165	Lepus europaeus	Lagomorpha	Mammalia	Nafarroa	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0381/EHA03296_bin.12.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0420802	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS006	akkermansia_muciniphila
