ID	mag_name	link_to_assembly	AB_batch	eha_number	GTDB_version	GTDB_release	domain	phylum	class	order	family	genus	species	fastani_ani	closest_placement_ani	closest_placement_af	completeness	contamination	size	GC	N50	coding_density	contigs	number_genes	number_unannotated_genes	DM_batch	host_species	host_order	host_class	locality	country	MAG_url	anno_url	kegg_url	annotated	taxonomy_level	assembly_type	sample_type	gbk_url	kegg_hits	Capture ID	percent_unannotated_genes	percent_unannotated_kegg	dereplicated	metagenomic source	completeness software	binning software	assembly quality	binning parameters	taxonomic identity marker	isolation_source	assembly software	Submission	species_clean
EHM012289	EHA00451_bin.8.fa	EHA00451	ABB0111	EHA00451	2.3.0	R214	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides fragilis	98.83	98.83	0.9	94.2	2.04	4636206	43.50%	90475	NA	114	NA	NA	DMB0006,DMB0025	Sciurus vulgaris	Rodentia	Mammalia	Gaia	Portugal	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0111/EHA00451_bin.8.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0188301	NA	NA	DMB0006,DMB0025	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	bacteroides_fragilis
EHM016394	EHA00536_bin.9.fa	EHA00536	ABB0120	EHA00536	2.3.0	R214	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides fragilis	99.12	99.12	0.91	99.25	1.96	4953213	43.10%	192565	NA	47	4123	837	DMB0005,DMB0023,DMB0114	Strix aluco	Strigiformes	Aves	Gipuzkoa, Donostia	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0120/EHA00536_bin.9.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016394_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016394_kegg.tsv.gz	TRUE	Species	Individual	Anal/cloacal swab	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016394.gbk.gz	1780	SD0116001	20.3	56.8	DMB0005,DMB0023,DMB0114	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	bacteroides_fragilis
EHM020821	EHA01202_bin.113.fa	EHA01202	ABB0171	EHA01202	2.3.0	R214	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides fragilis	99.17	99.17	0.94	96.27	1.74	4595159	43.30%	95341	NA	88	NA	NA	DMB0005,DMB0023	Strix aluco	Strigiformes	Aves	Gipuzkoa	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0171/EHA01202_bin.113.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM020821_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM020821_kegg.tsv.gz	TRUE	Species	Coassembly	Oral swab	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM020821.gbk.gz	NA	SD0016401, SD0016401, SD0016401, SD0116901, SD0115501, SD0116001, SD0116501, SD0115701, SD0115501, SD0116201, SD0115901, SD0116001, SD0116001, SD0115501, SD0017101	NA	NA	DMB0005	1227552	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	bacteroides_fragilis
EHM027640	EHA01634_bin.17.fa	EHA01634	ABB0225	EHA01634	2.3.0	R214	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides fragilis	98.82	98.82	0.88	99.25	0.12	5037571	43.00%	214841	NA	69	NA	NA	DMB0019,DMB0027,DMB0043,DMB0117,DMB0182	Cathartes aura	Accipitriformes	Aves	Florida, 4.1 mi N of Brooker	United States	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0225/EHA01634_bin.17.fa.gz	NA	NA	FALSE	Species	Coassembly	Colon contents	NA	NA	SD0294701, SD0294801, SD0297801, SD0297701, SD0296701, SD0297601, SD0294501, SD0295001, SD0295101, SD0295201, SD0296201, SD0295301	NA	NA	NA	NA	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	bacteroides_fragilis
EHM027690	EHA01595_bin.8.fa	EHA01595	ABB0221	EHA01595	2.3.0	R214	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides fragilis	98.83	98.83	0.87	99.25	0	5020724	43.00%	287692	NA	42	4134	823	DMB0019,DMB0027,DMB0043,DMB0114,DMB0117,DMB0182	Cathartes aura	Accipitriformes	Aves	Florida, 4.1 mi N of Brooker	United States	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0221/EHA01595_bin.8.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM027690_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM027690_kegg.tsv.gz	TRUE	Species	Individual	Colon contents	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM027690.gbk.gz	1775	SD0295101	19.9	57.1	DMB0019,DMB0027,DMB0043,DMB0114,DMB0117,DMB0182	NA	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	bacteroides_fragilis
EHM028151	EHA01709_bin.32.fa	EHA01709	ABB0232	EHA01709	2.3.0	R214	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides fragilis	98.81	98.81	0.88	93.1	2.35	4931339	43.30%	238764	NA	37	NA	NA	DMB0019,DMB0027,DMB0043,DMB0117,DMB0182	Cathartes aura	Accipitriformes	Aves	Florida, 4.1 mi N of Brooker	United States	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0232/EHA01709_bin.32.fa.gz	NA	NA	FALSE	Species	Coassembly	Jejunum contents	NA	NA	SD0294801, SD0294701, SD0294801, SD0294701, SD0294701, SD0294801, SD0294501, SD0297801, SD0297701, SD0296201, SD0296701, SD0295001, SD0297601, SD0296701, SD0294501, SD0297801, SD0297601, SD0295101, SD0295201, SD0296701, SD0297601, SD0294501, SD0297701, SD0294501, SD0295001, SD0295001, SD0295301, SD0295201, SD0295101, SD0295301, SD0295001, SD0295201, SD0297801, SD0296201, SD0295101, SD0297701, SD0296201, SD0297701, SD0295201, SD0297601, SD0297801, SD0296201, SD0296701, SD0295301, SD0295301, SD0294801, SD0295101, SD0294701, SD0294901, SD0295601, SD0295601, SD0295601, SD0295601, SD0294901, SD0294901, SD0294901, SD0296801, SD0296001, SD0297001, SD0296501, SD0296901, SD0296401, SD0296301, SD0296801, SD0296001, SD0296601, SD0294601, SD0296901, SD0296601, SD0294601, SD0294601, SD0296401, SD0296301, SD0296301, SD0296501, SD0297001, SD0296501, SD0296401, SD0296901, SD0296601, SD0297001, SD0296801, SD0296001, SD0296801, SD0296301, SD0297001, SD0296501, SD0294601, SD0296001, SD0296401, SD0296601	NA	NA	NA	NA	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	bacteroides_fragilis
EHM040120	EHA02526_bin.79.fa	EHA02526	ABB0288	EHA02526	2.3.0	R214	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides fragilis	98.81	98.81	0.9	98.24	1.72	4766825	43.00%	144277	0.89	48	3921	773	DMB0044,DMB0046,DMB0114,DMB0135	Sciurus vulgaris	Rodentia	Mammalia	Lombardy, Golasecca	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0288/EHA02526_bin.79.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM040120_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM040120_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM040120.gbk.gz	1698	SD0172601, SD0172501, SD0029703, SD0029804, SD0029801, SD0032503, SD0032502, SD0038504, SD0038503, SD0038501, SD0040203, SD0040202, SD0040201, SD0170402, SD0170401, SD0170303, SD0170301, SD0170302	19.7	56.7	DMB0044,DMB0046,DMB0114,DMB0135	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	bacteroides_fragilis
EHM040221	EHA02637_bin.34.fa	EHA02637	ABB0298	EHA02637	2.3.0	R214	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides fragilis	98.83	98.83	0.87	99.72	0.97	5006847	43.00%	222857	0.9	56	NA	NA	DMB0043,DMB0117	Cathartes aura	Accipitriformes	Aves	Florida, Lake Butler	United States	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0298/EHA02637_bin.34.fa.gz	NA	NA	FALSE	Species	Coassembly	Stomach contents	NA	NA	SD0294501, SD0295301, SD0295001, SD0295201, SD0296201, SD0294701, SD0295301, SD0295001, SD0297801, SD0294501, SD0294701, SD0294801, SD0297801, SD0297701, SD0296701, SD0294501, SD0295001, SD0295101, SD0296201, SD0295301, SD0294801, SD0295001, SD0295201, SD0297701, SD0296701, SD0294701, SD0295101, SD0294501, SD0297601, SD0297801	NA	NA	NA	NA	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	bacteroides_fragilis
EHM042364	EHA02786_bin.12.fa	EHA02786	ABB0318	EHA02786	2.3.0	R214	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides fragilis	99.21	99.21	0.96	99.13	0.01	4390806	44.00%	50978	0.9	144	NA	NA	NA	Lasiorhinus latifrons	Diprotodontia	Mammalia	South Australia	Australia	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0318/EHA02786_bin.12.fa.gz	NA	NA	FALSE	Species	Coassembly	Pouch	NA	NA	SD0292301, SD0292401, SD0293601, SD0292801, SD0293001, SD0292901	NA	NA	NA	NA	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	bacteroides_fragilis
EHM073471	EHA05094_bin.109.fa	EHA05094	ABB0603	EHA05094	2.3.0	NA	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides fragilis	98.81	98.81	0.89	93.38	2.33	4663733	43.00%	146088	0.89	51	3857	794	DMB0173	Sciurus vulgaris	Rodentia	Mammalia	Lombardy, Calusco	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0603/EHA05094_bin.109.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM073471_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM073471_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM073471.gbk.gz	1640	SD0044604, SD0170402, SD0178901, SD0172601, SD0046603, SD0172501, SD0179101, SD0031202, SD0179001, SD0040203, SD0170303, SD0170903, SD0029703, SD0040202, SD0029801, SD0029804, SD0171202	20.6	57.5	DMB0173	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	bacteroides_fragilis
