contig_id	mag
EHA00720_bin.5^_0	EHM016840
EHA00720_bin.5^_1	EHM016840
EHA00720_bin.5^_2	EHM016840
EHA00720_bin.5^_3	EHM016840
EHA00720_bin.5^_4	EHM016840
EHA00720_bin.5^_5	EHM016840
EHA00720_bin.5^_6	EHM016840
EHA00720_bin.5^_7	EHM016840
EHA00720_bin.5^_8	EHM016840
EHA00720_bin.5^_9	EHM016840
EHA00720_bin.5^_10	EHM016840
EHA00720_bin.5^_11	EHM016840
EHA00720_bin.5^_12	EHM016840
EHA00720_bin.5^_13	EHM016840
EHA00720_bin.5^_14	EHM016840
EHA00720_bin.5^_15	EHM016840
EHA00720_bin.5^_16	EHM016840
EHA00720_bin.5^_17	EHM016840
EHA00720_bin.5^_18	EHM016840
EHA00720_bin.5^_19	EHM016840
EHA00720_bin.5^_20	EHM016840
EHA00720_bin.5^_21	EHM016840
EHA00720_bin.5^_22	EHM016840
EHA00720_bin.5^_23	EHM016840
EHA00720_bin.5^_24	EHM016840
EHA00720_bin.5^_25	EHM016840
EHA00720_bin.5^_26	EHM016840
EHA00720_bin.5^_27	EHM016840
EHA00720_bin.5^_28	EHM016840
EHA00720_bin.5^_29	EHM016840
EHA00720_bin.5^_30	EHM016840
EHA00720_bin.5^_31	EHM016840
EHA00720_bin.5^_32	EHM016840
EHA00720_bin.5^_33	EHM016840
EHA00720_bin.5^_34	EHM016840
EHA00720_bin.5^_35	EHM016840
EHA00720_bin.5^_36	EHM016840
EHA00720_bin.5^_37	EHM016840
EHA00720_bin.5^_38	EHM016840
EHA00720_bin.5^_39	EHM016840
EHA00720_bin.5^_40	EHM016840
EHA00720_bin.5^_41	EHM016840
EHA00720_bin.5^_42	EHM016840
EHA00720_bin.5^_43	EHM016840
EHA00720_bin.5^_44	EHM016840
EHA00720_bin.5^_45	EHM016840
EHA00720_bin.5^_46	EHM016840
EHA00720_bin.5^_47	EHM016840
EHA00720_bin.5^_48	EHM016840
EHA00720_bin.5^_49	EHM016840
EHA00720_bin.5^_50	EHM016840
EHA00720_bin.5^_51	EHM016840
EHA00720_bin.5^_52	EHM016840
EHA00720_bin.5^_53	EHM016840
EHA00720_bin.5^_54	EHM016840
EHA00720_bin.5^_55	EHM016840
EHA00720_bin.5^_56	EHM016840
EHA00720_bin.5^_57	EHM016840
EHA00720_bin.5^_58	EHM016840
EHA00720_bin.5^_59	EHM016840
EHA00720_bin.5^_60	EHM016840
EHA00720_bin.5^_61	EHM016840
EHA00720_bin.5^_62	EHM016840
EHA00720_bin.5^_63	EHM016840
EHA00720_bin.5^_64	EHM016840
EHA00720_bin.5^_65	EHM016840
EHA00720_bin.5^_66	EHM016840
EHA00720_bin.5^_67	EHM016840
EHA00720_bin.5^_68	EHM016840
EHA00720_bin.5^_69	EHM016840
EHA00720_bin.5^_70	EHM016840
EHA00720_bin.5^_71	EHM016840
EHA00720_bin.5^_72	EHM016840
EHA00720_bin.5^_73	EHM016840
EHA00720_bin.5^_74	EHM016840
EHA00720_bin.5^_75	EHM016840
EHA00720_bin.5^_76	EHM016840
EHA00720_bin.5^_77	EHM016840
EHA00720_bin.5^_78	EHM016840
EHA00720_bin.5^_79	EHM016840
EHA00720_bin.5^_80	EHM016840
EHA00720_bin.5^_81	EHM016840
EHA00720_bin.5^_82	EHM016840
EHA00720_bin.5^_83	EHM016840
EHA00720_bin.5^_84	EHM016840
EHA00720_bin.5^_85	EHM016840
EHA00720_bin.5^_86	EHM016840
EHA00720_bin.5^_87	EHM016840
EHA00720_bin.5^_88	EHM016840
EHA00720_bin.5^_89	EHM016840
EHA00720_bin.5^_90	EHM016840
