persistent_family	duplication_ratio	mean_presence	is_single_copy_marker
EHA00531_bin.1_CDS_0004	0.0	1.021	True
EHA00531_bin.1_CDS_0006	0.0	1.0	True
EHA00531_bin.1_CDS_0013	0.0	1.0	True
EHA00531_bin.1_CDS_0014	0.0	1.011	True
EHA00531_bin.1_CDS_0015	0.0	1.0	True
EHA00531_bin.1_CDS_0017	0.0	1.022	True
EHA00531_bin.1_CDS_0018	0.0	1.0	True
EHA00531_bin.1_CDS_0019	0.0	1.0	True
EHA00531_bin.1_CDS_0024	0.0	1.0	True
EHA00531_bin.1_CDS_0025	0.0	1.0	True
EHA00531_bin.1_CDS_0026	0.0	1.0	True
EHA00531_bin.1_CDS_0043	0.0	1.0	True
EHA00531_bin.1_CDS_0045	0.0	1.0	True
EHA00531_bin.1_CDS_0046	0.0	1.0	True
EHA00531_bin.1_CDS_0047	0.0	1.0	True
EHA00531_bin.1_CDS_0048	0.0	1.0	True
EHA00531_bin.1_CDS_0049	0.0	1.011	True
EHA00531_bin.1_CDS_0051	0.0	1.0	True
EHA00531_bin.1_CDS_0052	0.0	1.0	True
EHA00531_bin.1_CDS_0053	0.0	1.0	True
EHA00531_bin.1_CDS_0063	0.0	1.0	True
EHA00531_bin.1_CDS_0064	0.0	1.0	True
EHA00531_bin.1_CDS_0065	0.0	1.0	True
EHA00531_bin.1_CDS_0067	0.0	1.0	True
EHA00531_bin.1_CDS_0068	0.0	1.0	True
EHA00531_bin.1_CDS_0069	0.0	1.0	True
EHA00531_bin.1_CDS_0070	0.0	1.0	True
EHA00531_bin.1_CDS_0072	0.0	1.0	True
EHA00531_bin.1_CDS_0073	0.0	1.0	True
EHA00531_bin.1_CDS_0074	0.0	1.0	True
EHA00531_bin.1_CDS_0075	0.0	1.0	True
EHA00531_bin.1_CDS_0076	0.0	1.0	True
EHA00531_bin.1_CDS_0077	0.0	1.011	True
EHA00531_bin.1_CDS_0078	0.0	1.0	True
EHA00531_bin.1_CDS_0079	0.0	1.022	True
EHA00531_bin.1_CDS_0080	0.0	1.012	True
EHA00531_bin.1_CDS_0081	0.0	1.0	True
EHA00531_bin.1_CDS_0082	0.0	1.0	True
EHA00531_bin.1_CDS_0085	0.0	1.011	True
EHA00531_bin.1_CDS_0086	0.0	1.0	True
EHA00531_bin.1_CDS_0087	0.0	1.0	True
EHA00531_bin.1_CDS_0088	0.0	1.0	True
EHA00531_bin.1_CDS_0089	0.0	1.0	True
EHA00531_bin.1_CDS_0092	0.0	1.0	True
EHA00531_bin.1_CDS_0093	0.0	1.0	True
EHA00531_bin.1_CDS_0095	0.0	1.011	True
EHA00531_bin.1_CDS_0096	0.0	1.011	True
EHA00531_bin.1_CDS_0097	0.0	1.0	True
EHA00531_bin.1_CDS_0098	0.0	1.011	True
EHA00531_bin.1_CDS_0099	0.011	1.146	True
EHA00531_bin.1_CDS_0102	0.0	1.0	True
EHA00531_bin.1_CDS_0103	0.0	1.0	True
EHA00531_bin.1_CDS_0105	0.0	1.0	True
EHA00531_bin.1_CDS_0106	0.0	1.0	True
EHA00531_bin.1_CDS_0108	0.0	1.022	True
EHA00531_bin.1_CDS_0109	0.0	1.0	True
EHA00531_bin.1_CDS_0111	0.0	1.0	True
EHA00531_bin.1_CDS_0112	0.0	1.0	True
EHA00531_bin.1_CDS_0113	0.0	1.0	True
EHA00531_bin.1_CDS_0114	0.0	1.0	True
EHA00531_bin.1_CDS_0115	0.0	1.0	True
EHA00531_bin.1_CDS_0116	0.0	1.0	True
EHA00531_bin.1_CDS_0117	0.0	1.0	True
EHA00531_bin.1_CDS_0121	0.0	1.0	True
EHA00531_bin.1_CDS_0122	0.0	1.0	True
EHA00531_bin.1_CDS_0123	0.0	1.0	True
EHA00531_bin.1_CDS_0124	0.0	1.0	True
EHA00531_bin.1_CDS_0125	0.0	1.0	True
EHA00531_bin.1_CDS_0127	0.022	1.022	True
EHA00531_bin.1_CDS_0128	0.022	1.022	True
EHA00531_bin.1_CDS_0131	0.022	1.033	True
EHA00531_bin.1_CDS_0132	0.022	1.022	True
EHA00531_bin.1_CDS_0133	0.022	1.022	True
EHA00531_bin.1_CDS_0134	0.022	1.022	True
EHA00531_bin.1_CDS_0135	0.022	1.022	True
EHA00531_bin.1_CDS_0137	0.0	1.0	True
EHA00531_bin.1_CDS_0139	0.0	1.0	True
EHA00531_bin.1_CDS_0140	0.0	1.0	True
EHA00531_bin.1_CDS_0141	0.0	1.0	True
EHA00531_bin.1_CDS_0143	0.011	1.011	True
EHA00531_bin.1_CDS_0145	0.011	1.011	True
EHA00531_bin.1_CDS_0146	0.011	1.011	True
EHA00531_bin.1_CDS_0147	0.011	1.011	True
EHA00531_bin.1_CDS_0150	0.011	1.011	True
EHA00531_bin.1_CDS_0151	0.0	1.0	True
EHA00531_bin.1_CDS_0152	0.0	1.011	True
EHA00531_bin.1_CDS_0154	0.0	1.022	True
EHA00531_bin.1_CDS_0155	0.0	1.044	True
EHA00531_bin.1_CDS_0156	0.011	1.043	True
EHA00531_bin.1_CDS_0157	0.011	1.043	True
EHA00531_bin.1_CDS_0158	0.011	1.043	True
EHA00531_bin.1_CDS_0164	0.0	1.037	True
EHA00531_bin.1_CDS_0165	0.012	1.074	True
EHA00531_bin.1_CDS_0166	0.0	1.045	True
EHA00531_bin.1_CDS_0167	0.0	1.0	True
EHA00531_bin.1_CDS_0169	0.011	1.044	True
EHA00531_bin.1_CDS_0170	0.0	1.0	True
EHA00531_bin.1_CDS_0171	0.0	1.0	True
EHA00531_bin.1_CDS_0184	0.0	1.087	True
EHA00531_bin.1_CDS_0185	0.0	1.0	True
EHA00531_bin.1_CDS_0187	0.014	1.029	True
EHA00531_bin.1_CDS_0191	0.011	1.022	True
EHA00531_bin.1_CDS_0192	0.0	1.011	True
EHA00531_bin.1_CDS_0193	0.0	1.0	True
EHA00531_bin.1_CDS_0194	0.0	1.0	True
EHA00531_bin.1_CDS_0195	0.0	1.0	True
EHA00531_bin.1_CDS_0196	0.0	1.0	True
EHA00531_bin.1_CDS_0197	0.0	1.0	True
EHA00531_bin.1_CDS_0198	0.0	1.011	True
EHA00531_bin.1_CDS_0199	0.0	1.0	True
EHA00531_bin.1_CDS_0200	0.0	1.0	True
EHA00531_bin.1_CDS_0201	0.0	1.0	True
EHA00531_bin.1_CDS_0213	0.011	1.011	True
EHA00531_bin.1_CDS_0214	0.011	1.011	True
EHA00531_bin.1_CDS_0215	0.011	1.011	True
EHA00531_bin.1_CDS_0216	0.011	1.011	True
EHA00531_bin.1_CDS_0217	0.011	1.022	True
EHA00531_bin.1_CDS_0219	0.0	1.0	True
EHA00531_bin.1_CDS_0220	0.0	1.0	True
EHA00531_bin.1_CDS_0221	0.0	1.011	True
EHA00531_bin.1_CDS_0222	0.0	1.0	True
EHA00531_bin.1_CDS_0223	0.0	1.0	True
EHA00531_bin.1_CDS_0224	0.0	1.022	True
