reference,querry,ani,alignment_coverage,primary_cluster
EHA00531_bin.1.fa,EHA00531_bin.1.fa,1.0,0.9932930918846412,1
EHA00531_bin.1.fa,EHA00535_bin.6.fa,0.970156,0.5217974513749162,1
EHA00531_bin.1.fa,EHA00539_bin.6.fa,0.970645,0.5600268276324615,1
EHA00531_bin.1.fa,EHA00726_bin.13.fa,0.9734860000000001,0.7920858484238766,1
EHA00531_bin.1.fa,EHA00928_bin.90.fa,0.9724379999999999,0.5593561368209256,1
EHA00531_bin.1.fa,EHA01202_bin.66.fa,0.9883230000000001,0.5821596244131455,1
EHA00531_bin.1.fa,EHA01281_bin.18.fa,0.973657,0.7940979208584842,1
EHA00531_bin.1.fa,EHA01439_bin.44.fa,0.971568,0.6686787391012743,1
EHA00531_bin.1.fa,EHA01634_bin.14.fa,0.9692050000000001,0.6036217303822937,1
EHA00531_bin.1.fa,EHA01845_bin.103.fa,0.973686,0.7632461435278337,1
EHA00531_bin.1.fa,EHA01958_bin.190.fa,0.974313,0.7142857142857143,1
EHA00531_bin.1.fa,EHA02500_bin.116.fa,0.975022,0.7230046948356808,1
EHA00531_bin.1.fa,EHA03161_bin.52.fa,0.9734910000000001,0.7391012743125419,1
EHA00531_bin.1.fa,EHA03288_bin.14.fa,0.972421,0.7672702883970489,1
EHA00531_bin.1.fa,EHA03306_bin.55.fa,0.9793999999999999,0.5835010060362174,1
EHA00531_bin.1.fa,EHA03349_bin.40.fa,0.975217,0.6237424547283702,1
EHA00531_bin.1.fa,EHA03351_bin.43.fa,0.973398,0.7639168343393695,1
EHA00531_bin.1.fa,EHA03376_bin.12.fa,0.9699899999999999,0.8262910798122066,1
EHA00531_bin.1.fa,EHA03390_bin.20.fa,0.9783369999999999,0.7994634473507712,1
EHA00531_bin.1.fa,EHA04575_bin.10.fa,0.974813,0.641851106639839,1
EHA00531_bin.1.fa,EHA04588_bin.13.fa,0.981182,0.6519114688128773,1
EHA00531_bin.1.fa,EHA04680_bin.8.fa,0.980316,0.8222669349429913,1
EHA00531_bin.1.fa,EHA04696_bin.132.fa,0.980217,0.8014755197853789,1
EHA00531_bin.1.fa,EHA05078_bin.42.fa,0.9800620000000001,0.7947686116700201,1
EHA00531_bin.1.fa,EHA05111_bin.128.fa,0.9749079999999999,0.7565392354124748,1
EHA00531_bin.1.fa,GCA_003464145.1_ASM346414v1_genomic.fna,0.973009,0.8189134808853119,1
EHA00531_bin.1.fa,GCA_008679285.1_ASM867928v1_genomic.fna,0.972377,0.7645875251509054,1
EHA00531_bin.1.fa,GCA_008679655.1_ASM867965v1_genomic.fna,0.982688,0.8303152246814218,1
EHA00531_bin.1.fa,GCA_008680675.1_ASM868067v1_genomic.fna,0.985054,0.8705566733735748,1
EHA00531_bin.1.fa,GCA_009774835.1_ASM977483v1_genomic.fna,0.9801040000000001,0.8323272971160295,1
EHA00531_bin.1.fa,GCA_014870645.1_ASM1487064v1_genomic.fna,0.972446,0.7934272300469484,1
EHA00531_bin.1.fa,GCA_020809955.1_ASM2080995v1_genomic.fna,0.972259,0.7505030181086519,1
EHA00531_bin.1.fa,GCA_022771305.1_ASM2277130v1_genomic.fna,0.973157,0.778001341381623,1
EHA00531_bin.1.fa,GCA_022774455.1_ASM2277445v1_genomic.fna,0.9735290000000001,0.7981220657276995,1
EHA00531_bin.1.fa,GCA_022776965.1_ASM2277696v1_genomic.fna,0.984857,0.8511066398390342,1
EHA00531_bin.1.fa,GCA_022784765.1_ASM2278476v1_genomic.fna,0.9851099999999999,0.8558014755197854,1
EHA00531_bin.1.fa,GCA_025757725.1_ASM2575772v1_genomic.fna,0.9722329999999999,0.8329979879275654,1
EHA00531_bin.1.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.98494,0.7317236753856472,1
EHA00531_bin.1.fa,GCA_030839725.1_ASM3083972v1_genomic.fna,0.971705,0.6961770623742455,1
EHA00531_bin.1.fa,GCA_030841945.1_ASM3084194v1_genomic.fna,0.9712520000000001,0.7048960429242119,1
EHA00531_bin.1.fa,GCA_030842445.1_ASM3084244v1_genomic.fna,0.974137,0.8075117370892019,1
EHA00531_bin.1.fa,GCA_030842705.1_ASM3084270v1_genomic.fna,0.973283,0.7276995305164319,1
EHA00531_bin.1.fa,GCA_030843875.1_ASM3084387v1_genomic.fna,0.994213,0.721663313212609,1
EHA00531_bin.1.fa,GCA_030844325.1_ASM3084432v1_genomic.fna,0.9722620000000001,0.6498993963782697,1
EHA00531_bin.1.fa,GCA_030844705.1_ASM3084470v1_genomic.fna,0.9727809999999999,0.7914151576123407,1
EHA00531_bin.1.fa,GCA_958371025.1_SRR17798044_bin.10_MetaWRAP_v1.3_MAG_genomic.fna,0.972837,0.7853789403085177,1
EHA00531_bin.1.fa,GCA_958404515.1_ERR9492504_bin.8_MetaWRAP_v1.3_MAG_genomic.fna,0.958527,0.8095238095238095,1
EHA00531_bin.1.fa,GCA_958413795.1_ERR9578301_bin.6_MetaWRAP_v1.3_MAG_genomic.fna,0.981943,0.8625083836351441,1
EHA00531_bin.1.fa,GCA_958416015.1_ERR10960865_bin.15_MetaWRAP_v1.3_MAG_genomic.fna,0.979892,0.6130114017437961,1
EHA00531_bin.1.fa,GCA_958416885.1_ERR9354025_bin.52_MetaWRAP_v1.3_MAG_genomic.fna,0.997599,0.9121395036887995,1
EHA00531_bin.1.fa,GCA_958422645.1_ERR9762696_bin.1_MetaWRAP_v1.3_MAG_genomic.fna,0.974234,0.641851106639839,1
EHA00531_bin.1.fa,GCA_958427815.1_ERR9762699_bin.64_MetaWRAP_v1.3_MAG_genomic.fna,0.9742230000000001,0.7873910127431254,1
EHA00531_bin.1.fa,GCA_958432605.1_SRR22541667_bin.32_MetaWRAP_v1.3_MAG_genomic.fna,0.9737250000000001,0.7940979208584842,1
EHA00531_bin.1.fa,GCA_958435695.1_SRR18940298_bin.11_MetaWRAP_v1.3_MAG_genomic.fna,0.9733799999999999,0.7860496311200537,1
EHA00531_bin.1.fa,GCA_958440685.1_ERR4918969_bin.9_MetaWRAP_v1.3_MAG_genomic.fna,0.974133,0.7974513749161637,1
EHA00531_bin.1.fa,GCA_958445425.1_ERR9610044_bin.23_MetaWRAP_v1.3_MAG_genomic.fna,0.972915,0.784037558685446,1
EHA00531_bin.1.fa,GCA_958447325.1_ERR4316497_bin.13_MetaWRAP_v1.3_MAG_genomic.fna,0.981554,0.8222669349429913,1
EHA00531_bin.1.fa,GCA_959023275.1_DRR221348_bin.3_MetaWRAP_v1.3_MAG_genomic.fna,0.983656,0.8511066398390342,1
EHA00531_bin.1.fa,GCA_959026225.1_SRR13494490_bin.7_MetaWRAP_v1.3_MAG_genomic.fna,0.984968,0.8443997317236754,1
EHA00531_bin.1.fa,GCA_959026965.1_SRR20881986_bin.33_MetaWRAP_v1.3_MAG_genomic.fna,0.971866,0.6887994634473508,1
EHA00531_bin.1.fa,GCA_959028115.1_ERR10149225_bin.6_MetaWRAP_v1.3_MAG_genomic.fna,0.984461,0.85177733065057,1
EHA00531_bin.1.fa,GCA_959600655.1_SRR16280015_bin.44_MetaWRAP_v1.3_MAG_genomic.fna,0.973519,0.8028169014084507,1
