contig_id	mag
EHA01270_bin.16^_0	EHM028451
EHA01270_bin.16^_1	EHM028451
EHA01270_bin.16^_2	EHM028451
EHA01270_bin.16^_3	EHM028451
EHA01270_bin.16^_4	EHM028451
EHA01270_bin.16^_5	EHM028451
EHA01270_bin.16^_6	EHM028451
EHA01270_bin.16^_7	EHM028451
EHA01270_bin.16^_8	EHM028451
EHA01270_bin.16^_9	EHM028451
EHA01270_bin.16^_10	EHM028451
EHA01270_bin.16^_11	EHM028451
EHA01270_bin.16^_12	EHM028451
EHA01270_bin.16^_13	EHM028451
EHA01270_bin.16^_14	EHM028451
EHA01270_bin.16^_15	EHM028451
EHA01270_bin.16^_16	EHM028451
EHA01270_bin.16^_17	EHM028451
EHA01270_bin.16^_18	EHM028451
EHA01270_bin.16^_19	EHM028451
EHA01270_bin.16^_20	EHM028451
EHA01270_bin.16^_21	EHM028451
EHA01270_bin.16^_22	EHM028451
EHA01270_bin.16^_23	EHM028451
EHA01270_bin.16^_24	EHM028451
EHA01270_bin.16^_25	EHM028451
EHA01270_bin.16^_26	EHM028451
EHA01270_bin.16^_27	EHM028451
EHA01270_bin.16^_28	EHM028451
EHA01270_bin.16^_29	EHM028451
EHA01270_bin.16^_30	EHM028451
EHA01270_bin.16^_31	EHM028451
EHA01270_bin.16^_32	EHM028451
EHA01270_bin.16^_33	EHM028451
EHA01270_bin.16^_34	EHM028451
EHA01270_bin.16^_35	EHM028451
EHA01270_bin.16^_36	EHM028451
EHA01270_bin.16^_37	EHM028451
EHA01270_bin.16^_38	EHM028451
EHA01270_bin.16^_39	EHM028451
EHA01904_bin.9^_0	EHM030672
EHA01904_bin.9^_1	EHM030672
EHA01904_bin.9^_2	EHM030672
EHA01904_bin.9^_3	EHM030672
EHA01904_bin.9^_4	EHM030672
EHA01904_bin.9^_5	EHM030672
EHA01904_bin.9^_6	EHM030672
EHA01904_bin.9^_7	EHM030672
EHA01904_bin.9^_8	EHM030672
EHA01904_bin.9^_9	EHM030672
EHA01904_bin.9^_10	EHM030672
EHA01904_bin.9^_11	EHM030672
EHA01904_bin.9^_12	EHM030672
EHA01904_bin.9^_13	EHM030672
EHA01904_bin.9^_14	EHM030672
EHA01904_bin.9^_15	EHM030672
EHA01904_bin.9^_16	EHM030672
EHA01904_bin.9^_17	EHM030672
EHA01904_bin.9^_18	EHM030672
EHA01904_bin.9^_19	EHM030672
EHA01904_bin.9^_20	EHM030672
EHA01904_bin.9^_21	EHM030672
EHA01904_bin.9^_22	EHM030672
EHA01904_bin.9^_23	EHM030672
EHA01904_bin.9^_24	EHM030672
EHA01904_bin.9^_25	EHM030672
EHA01904_bin.9^_26	EHM030672
EHA01904_bin.9^_27	EHM030672
EHA01904_bin.9^_28	EHM030672
EHA01904_bin.9^_29	EHM030672
EHA01904_bin.9^_30	EHM030672
EHA01904_bin.9^_31	EHM030672
EHA01904_bin.9^_32	EHM030672
EHA01904_bin.9^_33	EHM030672
EHA01904_bin.9^_34	EHM030672
