bacterial_species	ID	source	species	gtdb_taxonomy	host_species	host_order	host_class	isolation_source	host	host_summary	country	locality	completeness	contamination	genome_size	GC	N50	contigs	collection_date	ncbi_biosample	mag_name	eha_number	gtdb_representative	mimag_high_quality	mimag_medium_quality	common_name	sample_name	external_id	submitter_id	env_broad	env_medium	env_local	env_local_context	host_status	disease	diagnosis	latitude	longitude	accession	host_type	country_simple	country_normalized	continent	ID_clean	host_disease	host_age	country_grouped
akkermansia_muciniphila	EHM049281	EHI	s__Akkermansia muciniphila	NA	Lepus europaeus	Lagomorpha	Mammalia	host-associated	NA	NA	Spain	Nafarroa	100	0.23	2692978	56	219762	28	NA	NA	EHA03306_bin.106.fa	EHA03306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	animal	Spain	Spain	Europe	EHM049281	NA	NA	Spain
akkermansia_muciniphila	EHM046625	EHI	s__Akkermansia muciniphila	NA	Lepus europaeus	Lagomorpha	Mammalia	host-associated	NA	NA	Spain	Nafarroa	100	0.28	2686383	56	219762	26	NA	NA	EHA03296_bin.12.fa	EHA03296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	animal	Spain	Spain	Europe	EHM046625	NA	NA	Spain
akkermansia_muciniphila	GCF_002885255.1	NCBI	NA	NA	Homo sapiens	Primates	Mammalia	gut microbiota	Homo sapiens	NA	China	NA	100	0.35	2824426	55.5	NA	NA	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	China	China	Asia	GCF_002885255.1	NA	NA	China
akkermansia_muciniphila	GCF_002885655.1	NCBI	NA	NA	Homo sapiens	Primates	Mammalia	gut microbiota	Homo sapiens	NA	China	NA	100	0.35	2838669	55.5	NA	NA	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	China	China	Asia	GCF_002885655.1	NA	NA	China
akkermansia_muciniphila	GCF_004104435.1	NCBI	NA	NA	Homo sapiens	Primates	Mammalia	human feces	Homo sapiens	NA	missing	NA	100	0.35	2860407	55.5	NA	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	missing	Missing	NA	GCF_004104435.1	NA	NA	NA
akkermansia_muciniphila	GCF_008423265.1	NCBI	NA	NA	Homo sapiens	Primates	Mammalia	fecal material	Homo sapiens	NA	USA:Boston	NA	100	0.35	2881414	54.5	NA	NA	2016-01-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	USA	United States	Americas	GCF_008423265.1	NA	NA	United States
akkermansia_muciniphila	GCF_010509235.1	NCBI	NA	NA	Homo sapiens	Primates	Mammalia	human feces	NA	NA	na	NA	100	0.35	2878261	55.5	NA	NA	na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	na	None	NA	GCF_010509235.1	NA	NA	None
akkermansia_muciniphila	GCF_046045155.1	NCBI	NA	NA	Homo sapiens	Primates	Mammalia	stool, healthy person	Homo sapiens	NA	China:Harbin	NA	100	0.35	2792574	55.5	NA	NA	2022-09-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	China	China	Asia	GCF_046045155.1	NA	NA	China
akkermansia_muciniphila	EHM038031	EHI	s__Akkermansia muciniphila	NA	Sciurus vulgaris	Rodentia	Mammalia	host-associated	NA	NA	Italy	Lombardy, Varese	100	0.48	2741858	55	112004	34	NA	NA	EHA02450_bin.6.fa	EHA02450	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	animal	Italy	Italy	Europe	EHM038031	NA	NA	Italy
akkermansia_muciniphila	EHM048605	EHI	s__Akkermansia muciniphila	NA	Lepus europaeus	Lagomorpha	Mammalia	host-associated	NA	NA	Spain	Nafarroa	100	0.66	2813053	55	219762	26	NA	NA	EHA03343_bin.14.fa	EHA03343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	animal	Spain	Spain	Europe	EHM048605	NA	NA	Spain
bacteroides_fragilis	EHM040221	EHI	s__Bacteroides fragilis	NA	Cathartes aura	Accipitriformes	Aves	host-associated	NA	NA	United States	Florida, Lake Butler	99.72	0.97	5006847	43	222857	56	NA	NA	EHA02637_bin.34.fa	EHA02637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	animal	United States	United States	Americas	EHM040221	NA	NA	United States
bacteroides_fragilis	GCF_003464385.1	NCBI	NA	NA	Homo sapiens	Primates	Mammalia	feces	Homo sapiens	NA	China: Shenzhen	NA	99.39	0.11	5170789	43.5	NA	NA	2013-11-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	China	China	Asia	GCF_003464385.1	NA	NA	China
bacteroides_fragilis	GCF_004167855.1	NCBI	NA	NA	Homo sapiens	Primates	Mammalia	stool	Homo sapiens	NA	USA: Cambridge	NA	99.39	0.11	5209622	43.5	NA	NA	2015-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	USA	United States	Americas	GCF_004167855.1	NA	NA	United States
bacteroides_fragilis	GCF_003458955.1	NCBI	NA	NA	Homo sapiens	Primates	Mammalia	feces	Homo sapiens	NA	China: Shenzhen	NA	99.39	0.16	5224118	43	NA	NA	2013-12-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	China	China	Asia	GCF_003458955.1	NA	NA	China
bacteroides_fragilis	GCF_003363115.1	NCBI	NA	NA	Homo sapiens	Primates	Mammalia	feces	Homo sapiens	NA	China	NA	99.39	0.26	5252832	43.5	NA	NA	2017-04-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	China	China	Asia	GCF_003363115.1	NA	NA	China
bacteroides_fragilis	GCF_019733435.1	NCBI	NA	NA	Homo sapiens	Primates	Mammalia	fecal sample	Homo sapiens	NA	China	NA	99.39	0.26	5282608	43.5	NA	NA	2019-01-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	China	China	Asia	GCF_019733435.1	NA	NA	China
bacteroides_fragilis	GCF_015548825.1	NCBI	NA	NA	Homo sapiens	Primates	Mammalia	stool	Homo sapiens	NA	USA	NA	99.39	0.28	5157891	43	NA	NA	2015-04-20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	USA	United States	Americas	GCF_015548825.1	NA	NA	United States
bacteroides_fragilis	GCF_026966015.1	NCBI	NA	NA	Homo sapiens	Primates	Mammalia	feces	Homo sapiens	NA	Denmark	NA	99.39	0.28	5056184	43	NA	NA	2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	Denmark	Denmark	Europe	GCF_026966015.1	NA	NA	Denmark
bacteroides_fragilis	GCF_003468145.1	NCBI	NA	NA	Homo sapiens	Primates	Mammalia	feces	Homo sapiens	NA	China: Shenzhen	NA	99.39	0.44	5165672	43	NA	NA	2014-01-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	China	China	Asia	GCF_003468145.1	NA	NA	China
bacteroides_fragilis	GCF_015551365.1	NCBI	NA	NA	Homo sapiens	Primates	Mammalia	stool	Homo sapiens	NA	USA	NA	99.39	0.46	5277783	43.5	NA	NA	2016-09-19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	USA	United States	Americas	GCF_015551365.1	NA	NA	United States
bacteroides_uniformis	GCF_003475375.1	GTDB	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	Homo sapiens	Primates	Mammalia	feces	Homo sapiens	NA	China: Shenzhen	NA	100	0.14	4425688	46.43034844419619	220580	NA	2014-01-01	SAMN09734589	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RS_GCF_003475375.1	human	China	China	Asia	GCF_003475375.1	NA	NA	China
bacteroides_uniformis	GCF_019129685.1	GTDB	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	Homo sapiens	Primates	Mammalia	fecal sample	Homo sapiens	NA	USA: New York	NA	100	0.14	4531263	46.2286342681941	219113	NA	NA	SAMN19731954	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	not applicable	not applicable	not applicable	NA	NA	NA	NA	NA	NA	RS_GCF_019129685.1	human	USA	United States	Americas	GCF_019129685.1	NA	NA	United States
bacteroides_uniformis	GCF_003437205.1	GTDB	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	Homo sapiens	Primates	Mammalia	feces	Homo sapiens	NA	China: Shenzhen	NA	100	0.21	4748699	46.54895706694571	215163	NA	2013-08-01	SAMN09736902	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RS_GCF_003437205.1	human	China	China	Asia	GCF_003437205.1	NA	NA	China
