genome1,genome2,dist,similarity
GCA_030839525.1_ASM3083952v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.0,1.0
EHA04680_bin.8.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.022420406,0.9775796
EHA04575_bin.10.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.023829877,0.9761701
GCA_958404515.1_ERR9492504_bin.8_MetaWRAP_v1.3_MAG_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.04100299,0.958997
EHA00535_bin.6.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.029142082,0.9708579
EHA00531_bin.1.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.014251828,0.9857482
GCF_003439415.1_ASM343941v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.027866304,0.9721337
EHA03376_bin.12.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.0296126,0.9703874
GCA_959028115.1_ERR10149225_bin.6_MetaWRAP_v1.3_MAG_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.014714479,0.9852855
GCA_959026965.1_SRR20881986_bin.33_MetaWRAP_v1.3_MAG_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.025402784,0.9745972
GCA_025757725.1_ASM2575772v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.025241077,0.9747589
GCF_003437495.1_ASM343749v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.027424872,0.9725751
GCF_001405775.1_13414_6_6_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.026059687,0.9739403
GCF_003467575.1_ASM346757v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.024136782,0.9758632
EHA01439_bin.44.fa,GCA_030839525.1_ASM3083952v1_genomic.fna,0.023602009,0.976398
GCA_959023275.1_DRR221348_bin.3_MetaWRAP_v1.3_MAG_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.015998006,0.984002
GCA_022776965.1_ASM2277696v1_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.014923394,0.9850766
GCA_959600655.1_SRR16280015_bin.44_MetaWRAP_v1.3_MAG_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.023753703,0.9762463
GCF_001406015.1_14207_7_71_genomic.fna,GCA_030839525.1_ASM3083952v1_genomic.fna,0.02227658,0.9777234
